SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CUMMINSIND, EQ, 17-Sep-2021,1032.05,1039.0,1041.15,996.75,1010.9,1007.7,1011.99,904354,46972,471878,52.18
CUMMINSIND, EQ, 20-Sep-2021,1007.7,1007.7,1022.5,976.05,982.35,984.2,999.26,668143,38710,270993,40.56
CUMMINSIND, EQ, 21-Sep-2021,984.2,992.5,1007.1,968.65,988.9,990.65,984.35,600629,22136,170556,28.4
CUMMINSIND, EQ, 22-Sep-2021,990.65,993.1,1026.35,987.55,1022.0,1022.2,1006.36,710873,19619,227229,31.96
CUMMINSIND, EQ, 23-Sep-2021,1022.2,1030.7,1039.3,1015.0,1029.95,1027.8,1026.89,454649,16243,87125,19.16
CUMMINSIND, EQ, 24-Sep-2021,1027.8,1030.0,1041.25,990.6,996.0,994.8,1014.07,533414,25093,204910,38.41
CUMMINSIND, EQ, 27-Sep-2021,994.8,1004.05,1004.9,983.15,995.0,998.4,994.6,335525,13613,87464,26.07
CUMMINSIND, EQ, 28-Sep-2021,998.4,997.05,1023.0,995.0,1000.4,1001.5,1008.92,438399,16112,122662,27.98
CUMMINSIND, EQ, 29-Sep-2021,1001.5,1003.75,1011.95,993.0,997.45,996.95,1000.27,270602,12701,77472,28.63
CUMMINSIND, EQ, 30-Sep-2021,996.95,932.0,1000.0,932.0,990.0,991.95,987.67,744956,29455,239919,32.21
CUMMINSIND, EQ, 01-Oct-2021,991.95,987.8,987.8,878.15,915.0,918.1,915.21,9096073,238743,3652591,40.16
CUMMINSIND, EQ, 04-Oct-2021,918.1,918.2,932.2,888.45,892.0,893.3,898.65,5686783,131241,2630757,46.26
CUMMINSIND, EQ, 05-Oct-2021,893.3,890.0,903.55,885.4,900.1,899.85,897.79,1292721,31796,587909,45.48
CUMMINSIND, EQ, 06-Oct-2021,899.85,901.0,915.0,876.65,883.0,882.6,901.38,1533500,52208,655857,42.77
CUMMINSIND, EQ, 07-Oct-2021,882.6,886.6,902.7,885.6,899.0,896.9,897.48,978399,27670,472170,48.26
CUMMINSIND, EQ, 08-Oct-2021,896.9,905.0,907.9,875.1,882.65,883.6,891.41,1057034,34600,533023,50.43
CUMMINSIND, EQ, 11-Oct-2021,883.6,889.0,912.0,883.6,910.7,909.4,902.09,1083385,44628,517289,47.75
CUMMINSIND, EQ, 12-Oct-2021,909.4,915.0,918.0,894.25,899.45,899.4,903.95,594370,23878,187145,31.49
CUMMINSIND, EQ, 13-Oct-2021,899.4,907.0,911.05,895.65,900.0,898.05,901.19,456620,19634,227190,49.75
CUMMINSIND, EQ, 14-Oct-2021,898.05,902.7,915.0,894.75,905.0,903.15,901.65,890689,30059,563549,63.27
CUMMINSIND, EQ, 18-Oct-2021,903.15,915.0,929.95,903.15,911.75,910.2,920.04,1187657,38639,514079,43.29
CUMMINSIND, EQ, 19-Oct-2021,910.2,914.95,952.0,904.0,910.5,908.3,929.41,1935874,69648,542292,28.01
CUMMINSIND, EQ, 20-Oct-2021,908.3,914.9,921.35,871.05,886.0,883.15,890.46,1384833,51545,549174,39.66
CUMMINSIND, EQ, 21-Oct-2021,883.15,886.0,897.35,871.0,889.3,881.1,881.83,1543769,25901,827305,53.59
CUMMINSIND, EQ, 22-Oct-2021,881.1,891.0,910.0,881.55,887.0,885.25,893.52,956330,21960,306575,32.06
CUMMINSIND, EQ, 25-Oct-2021,885.25,887.0,893.5,849.5,866.05,868.55,870.02,1048967,35188,363652,34.67
CUMMINSIND, EQ, 26-Oct-2021,868.55,868.55,887.0,865.35,877.0,875.35,876.6,654920,16230,283893,43.35
CUMMINSIND, EQ, 27-Oct-2021,875.35,875.0,904.75,875.0,893.5,894.6,893.15,1374702,21716,615237,44.75
CUMMINSIND, EQ, 28-Oct-2021,894.6,927.8,950.0,884.0,892.45,894.9,910.86,4091480,103825,1348369,32.96
CUMMINSIND, EQ, 29-Oct-2021,894.9,890.0,912.3,868.1,896.0,895.7,897.83,1394234,38161,716761,51.41
CUMMINSIND, EQ, 01-Nov-2021,895.7,896.0,923.65,896.0,913.5,912.75,909.94,1211268,32419,472577,39.02
CUMMINSIND, EQ, 02-Nov-2021,912.75,912.4,923.0,899.4,908.05,911.95,913.37,624307,22363,251409,40.27
CUMMINSIND, EQ, 03-Nov-2021,911.95,911.95,914.2,888.0,895.2,895.55,895.26,933131,20870,498319,53.4
CUMMINSIND, EQ, 08-Nov-2021,899.55,901.7,922.0,900.05,912.5,911.85,913.53,734400,25341,400345,54.51
CUMMINSIND, EQ, 09-Nov-2021,911.85,916.4,924.95,910.0,922.0,921.95,917.19,1040287,16010,435562,41.87
CUMMINSIND, EQ, 10-Nov-2021,921.95,923.0,939.0,916.45,925.2,924.55,929.15,1736346,37723,681181,39.23
CUMMINSIND, EQ, 11-Nov-2021,924.55,924.0,928.75,911.25,917.3,917.2,917.86,527215,19651,303564,57.58
CUMMINSIND, EQ, 12-Nov-2021,917.2,924.95,936.2,919.75,923.0,922.85,927.88,398802,16108,170537,42.76
CUMMINSIND, EQ, 15-Nov-2021,922.85,927.9,935.5,918.85,926.0,925.35,925.7,876359,16633,632583,72.18
CUMMINSIND, EQ, 16-Nov-2021,925.35,925.0,937.45,921.0,925.3,926.65,930.25,579065,21322,252483,43.6
CUMMINSIND, EQ, 17-Nov-2021,926.65,923.0,929.9,918.35,919.25,924.4,924.25,322082,14827,167222,51.92
CUMMINSIND, EQ, 18-Nov-2021,924.4,921.0,929.75,903.05,917.0,915.35,913.92,618377,18774,343877,55.61
CUMMINSIND, EQ, 22-Nov-2021,915.35,913.7,924.7,868.35,880.05,879.45,893.99,699130,25998,308563,44.14
CUMMINSIND, EQ, 23-Nov-2021,879.45,877.8,900.5,867.4,895.55,895.8,888.52,352603,12009,107034,30.36
