SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DCMSHRIRAM, EQ, 17-Sep-2021,978.1,983.0,1088.0,970.0,1064.0,1036.8,1015.12,403532,18822,258068,63.95
DCMSHRIRAM, EQ, 20-Sep-2021,1036.8,1063.0,1063.0,998.1,1019.0,1007.85,1027.16,106908,9831,50209,46.96
DCMSHRIRAM, EQ, 21-Sep-2021,1007.85,1020.0,1026.9,961.65,1002.0,1005.25,994.39,71929,5486,32854,45.68
DCMSHRIRAM, EQ, 22-Sep-2021,1005.25,1009.9,1047.0,986.65,1039.95,1035.25,1029.17,134000,9156,74546,55.63
DCMSHRIRAM, EQ, 23-Sep-2021,1035.25,1049.0,1050.0,1020.0,1026.9,1026.8,1037.15,74502,5357,39490,53.01
DCMSHRIRAM, EQ, 24-Sep-2021,1026.8,1039.0,1060.0,1001.0,1025.0,1023.15,1030.04,89550,6812,40171,44.86
DCMSHRIRAM, EQ, 27-Sep-2021,1023.15,1025.0,1055.0,1015.0,1050.0,1049.05,1038.68,90728,7509,48515,53.47
DCMSHRIRAM, EQ, 28-Sep-2021,1049.05,1050.0,1054.3,994.3,1006.0,1003.75,1016.03,93212,9341,57224,61.39
DCMSHRIRAM, EQ, 29-Sep-2021,1003.75,995.4,1006.45,980.0,985.0,987.25,990.15,52373,3881,28881,55.14
DCMSHRIRAM, EQ, 30-Sep-2021,987.25,987.0,1035.0,987.0,1007.0,1010.9,1014.51,73733,6069,36489,49.49
DCMSHRIRAM, EQ, 01-Oct-2021,1010.9,1008.0,1030.0,1001.85,1029.95,1024.05,1018.0,75253,5008,41445,55.07
DCMSHRIRAM, EQ, 04-Oct-2021,1024.05,1045.0,1178.0,1035.65,1154.9,1146.5,1126.61,637180,47179,203941,32.01
DCMSHRIRAM, EQ, 05-Oct-2021,1146.5,1164.8,1181.7,1125.0,1164.0,1161.85,1158.91,194527,20432,74579,38.34
DCMSHRIRAM, EQ, 06-Oct-2021,1161.85,1167.0,1248.0,1154.0,1196.0,1191.85,1213.43,363828,33458,113839,31.29
DCMSHRIRAM, EQ, 07-Oct-2021,1191.85,1201.0,1210.25,1170.0,1185.0,1182.15,1188.91,75625,6166,39674,52.46
DCMSHRIRAM, EQ, 08-Oct-2021,1182.15,1190.0,1216.0,1163.75,1207.2,1201.65,1191.88,95140,8284,43166,45.37
DCMSHRIRAM, EQ, 11-Oct-2021,1201.65,1220.25,1240.0,1199.0,1222.0,1217.65,1221.31,96762,8813,48837,50.47
DCMSHRIRAM, EQ, 12-Oct-2021,1217.65,1220.0,1238.0,1202.55,1232.05,1230.9,1226.1,57898,4340,34242,59.14
DCMSHRIRAM, EQ, 13-Oct-2021,1230.9,1239.4,1239.4,1200.05,1207.95,1211.55,1221.08,89145,8842,52584,58.99
DCMSHRIRAM, EQ, 14-Oct-2021,1211.55,1211.25,1225.25,1175.0,1200.0,1191.1,1200.37,81705,5635,46173,56.51
DCMSHRIRAM, EQ, 18-Oct-2021,1191.1,1212.0,1231.0,1177.0,1194.5,1193.65,1204.01,81888,6763,46939,57.32
DCMSHRIRAM, EQ, 19-Oct-2021,1193.65,1200.0,1250.0,1130.0,1147.0,1168.75,1207.69,250856,21504,63219,25.2
DCMSHRIRAM, EQ, 20-Oct-2021,1168.75,1170.0,1172.45,1081.0,1086.0,1088.25,1109.73,133129,16478,74990,56.33
DCMSHRIRAM, EQ, 21-Oct-2021,1088.25,1080.0,1097.8,1003.05,1013.0,1019.3,1045.69,106225,8359,65501,61.66
DCMSHRIRAM, EQ, 22-Oct-2021,1019.3,976.35,1012.0,930.0,938.0,935.1,963.26,362359,29634,215885,59.58
DCMSHRIRAM, EQ, 25-Oct-2021,935.1,945.0,977.2,911.5,958.0,957.25,939.84,128798,10703,58337,45.29
DCMSHRIRAM, EQ, 26-Oct-2021,957.25,960.0,995.0,950.0,980.0,983.85,977.27,86986,7394,38397,44.14
DCMSHRIRAM, EQ, 27-Oct-2021,983.85,983.85,991.4,970.75,980.0,980.3,980.36,39881,2890,23439,58.77
DCMSHRIRAM, EQ, 28-Oct-2021,980.3,991.0,999.05,970.05,981.75,980.25,984.22,78600,4722,42423,53.97
DCMSHRIRAM, EQ, 29-Oct-2021,980.25,985.0,1003.0,977.0,985.0,987.7,988.32,50209,4374,24547,48.89
DCMSHRIRAM, EQ, 01-Nov-2021,987.7,989.7,1005.0,983.0,987.9,992.4,994.33,37052,3187,21060,56.84
DCMSHRIRAM, EQ, 02-Nov-2021,992.4,1001.9,1010.0,982.15,983.05,990.2,997.09,42483,3338,20330,47.85
DCMSHRIRAM, EQ, 03-Nov-2021,990.2,992.0,1019.0,990.0,991.15,993.85,998.1,50854,3620,22251,43.75
DCMSHRIRAM, EQ, 08-Nov-2021,989.2,989.0,1004.9,980.0,995.6,995.25,996.77,38771,2402,17718,45.7
DCMSHRIRAM, EQ, 09-Nov-2021,995.25,1004.75,1047.7,998.35,1036.0,1041.4,1027.79,55056,6889,31476,57.17
DCMSHRIRAM, EQ, 10-Nov-2021,1041.4,1041.0,1059.7,1015.0,1020.0,1021.5,1037.84,43194,4591,23388,54.15
DCMSHRIRAM, EQ, 11-Nov-2021,1021.5,1030.0,1030.0,1001.0,1025.0,1026.4,1020.85,24433,2440,14263,58.38
DCMSHRIRAM, EQ, 12-Nov-2021,1026.4,1035.0,1051.15,1007.3,1029.75,1027.4,1032.59,59027,5969,34545,58.52
DCMSHRIRAM, EQ, 15-Nov-2021,1027.4,1035.75,1037.0,991.0,994.65,999.0,1000.14,65453,4616,40828,62.38
DCMSHRIRAM, EQ, 16-Nov-2021,999.0,1002.0,1018.0,975.25,981.0,984.85,996.4,70765,7785,44466,62.84
