SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DFMFOODS, EQ, 17-Sep-2021,363.55,360.35,363.8,348.1,355.0,353.4,356.48,69907,4262,33660,48.15
DFMFOODS, EQ, 20-Sep-2021,353.4,345.05,354.8,345.05,346.0,346.45,349.37,45777,2808,23779,51.95
DFMFOODS, EQ, 21-Sep-2021,346.45,345.2,347.6,338.85,346.0,346.3,343.59,52073,2831,25925,49.79
DFMFOODS, EQ, 22-Sep-2021,346.3,347.95,357.0,344.1,357.0,352.45,348.93,34661,2181,14189,40.94
DFMFOODS, EQ, 23-Sep-2021,352.45,356.95,366.75,354.55,359.0,359.95,360.44,90365,5382,49826,55.14
DFMFOODS, EQ, 24-Sep-2021,359.95,360.0,361.0,354.0,358.0,357.05,357.74,120081,2415,104005,86.61
DFMFOODS, EQ, 27-Sep-2021,357.05,357.9,362.0,352.15,357.0,360.45,358.36,41971,2652,26834,63.93
DFMFOODS, EQ, 28-Sep-2021,360.45,362.3,365.6,351.0,353.15,353.65,357.84,50483,3682,24184,47.91
DFMFOODS, EQ, 29-Sep-2021,353.65,352.15,365.0,351.1,357.0,356.45,359.77,74545,4115,27531,36.93
DFMFOODS, EQ, 30-Sep-2021,356.45,358.25,362.0,356.0,360.5,358.6,358.55,21388,1513,11037,51.6
DFMFOODS, EQ, 01-Oct-2021,358.6,358.7,359.6,348.05,349.95,349.6,352.64,40993,2481,25376,61.9
DFMFOODS, EQ, 04-Oct-2021,349.6,351.95,355.0,345.2,349.0,348.8,350.73,53399,2720,28987,54.28
DFMFOODS, EQ, 05-Oct-2021,348.8,348.0,352.4,346.5,348.25,347.9,348.53,42983,2484,26486,61.62
DFMFOODS, EQ, 06-Oct-2021,347.9,347.9,359.85,346.7,347.0,347.8,351.97,72787,4007,37438,51.44
DFMFOODS, EQ, 07-Oct-2021,347.8,349.05,351.45,345.15,347.1,347.15,347.55,36917,2490,18119,49.08
DFMFOODS, EQ, 08-Oct-2021,347.15,348.05,348.95,341.95,342.0,342.45,343.94,84143,8101,48723,57.9
DFMFOODS, EQ, 11-Oct-2021,342.45,344.0,346.95,340.3,343.1,343.25,343.87,43816,2886,20022,45.7
DFMFOODS, EQ, 12-Oct-2021,343.25,341.5,345.0,341.0,342.35,342.2,342.86,22111,1579,13563,61.34
DFMFOODS, EQ, 13-Oct-2021,342.2,343.95,346.0,338.1,341.5,343.3,342.08,77275,4301,40616,52.56
DFMFOODS, EQ, 14-Oct-2021,343.3,341.5,343.25,338.0,339.6,339.45,340.18,60367,3317,31932,52.9
DFMFOODS, EQ, 18-Oct-2021,339.45,341.95,352.0,338.45,343.65,343.2,345.12,95820,6142,50341,52.54
DFMFOODS, EQ, 19-Oct-2021,343.2,340.1,346.25,339.0,340.1,340.9,341.94,50113,3091,29324,58.52
DFMFOODS, EQ, 20-Oct-2021,340.9,341.0,342.95,336.0,337.3,337.3,338.16,37996,2971,19578,51.53
DFMFOODS, EQ, 21-Oct-2021,337.3,339.0,340.15,326.25,328.55,327.4,331.3,69148,5030,44253,64.0
DFMFOODS, EQ, 22-Oct-2021,327.4,333.0,350.0,328.2,342.0,338.2,342.58,194159,9440,84070,43.3
DFMFOODS, EQ, 25-Oct-2021,338.2,344.5,346.0,327.1,327.1,328.85,331.31,73831,3595,42291,57.28
DFMFOODS, EQ, 26-Oct-2021,328.85,327.0,351.0,327.0,346.6,348.5,343.05,146144,5784,91242,62.43
DFMFOODS, EQ, 27-Oct-2021,348.5,351.5,355.9,340.8,351.0,351.15,351.54,86269,5593,48026,55.67
DFMFOODS, EQ, 28-Oct-2021,351.15,352.95,352.95,334.25,339.0,337.3,341.32,64944,3887,31967,49.22
DFMFOODS, EQ, 29-Oct-2021,337.3,339.8,340.0,329.4,335.0,332.2,333.58,67776,3821,34568,51.0
DFMFOODS, EQ, 01-Nov-2021,332.2,334.6,343.0,330.8,341.25,341.65,335.9,72197,4089,39197,54.29
DFMFOODS, EQ, 02-Nov-2021,341.65,343.0,347.05,336.0,338.55,339.35,339.01,38474,3146,18949,49.25
DFMFOODS, EQ, 03-Nov-2021,339.35,341.05,341.05,335.0,335.4,336.85,337.25,26955,2827,13453,49.91
DFMFOODS, EQ, 08-Nov-2021,343.65,341.2,345.4,340.0,341.0,341.3,342.13,28386,1482,17328,61.04
DFMFOODS, EQ, 09-Nov-2021,341.3,343.0,350.0,334.65,337.0,338.2,341.22,142167,5164,77102,54.23
DFMFOODS, EQ, 10-Nov-2021,338.2,339.4,341.55,336.3,337.0,336.8,338.56,33559,1503,20337,60.6
DFMFOODS, EQ, 11-Nov-2021,336.8,340.0,351.0,340.0,347.7,347.55,346.32,110089,5119,62085,56.4
DFMFOODS, EQ, 12-Nov-2021,347.55,338.0,340.0,321.3,338.5,337.45,336.52,127799,5886,65424,51.19
DFMFOODS, EQ, 15-Nov-2021,337.45,338.0,341.0,315.0,319.45,319.95,324.21,200585,11686,108553,54.12
DFMFOODS, EQ, 16-Nov-2021,319.95,319.45,320.9,305.5,307.5,306.8,309.86,262557,10792,141099,53.74
DFMFOODS, EQ, 17-Nov-2021,306.8,306.8,309.9,304.05,306.7,306.55,307.68,62451,3751,31232,50.01
DFMFOODS, EQ, 18-Nov-2021,306.55,308.1,308.5,300.0,301.0,300.75,301.49,99599,4820,55169,55.39
DFMFOODS, EQ, 22-Nov-2021,300.75,301.1,304.95,290.05,291.7,291.25,292.89,105048,6188,54342,51.73
DFMFOODS, EQ, 23-Nov-2021,291.25,285.1,294.0,282.6,291.0,291.75,288.72,65015,4926,32238,49.59
DFMFOODS, EQ, 24-Nov-2021,291.75,295.0,296.65,282.0,285.2,286.25,287.76,140036,7241,65715,46.93
DFMFOODS, EQ, 25-Nov-2021,286.25,287.7,305.0,284.1,303.0,301.3,293.32,117927,7999,50802,43.08
DFMFOODS, EQ, 26-Nov-2021,301.3,298.25,299.0,287.6,291.0,291.85,293.58,79005,5512,39882,50.48
DFMFOODS, EQ, 29-Nov-2021,291.85,290.0,290.0,276.2,280.75,280.0,280.9,85739,6500,41274,48.14
DFMFOODS, EQ, 30-Nov-2021,280.0,280.75,283.7,270.0,270.75,271.35,276.52,94918,6509,48265,50.85
DFMFOODS, EQ, 01-Dec-2021,271.35,273.1,280.0,267.1,272.8,272.75,271.95,118167,7513,53050,44.89
DFMFOODS, EQ, 02-Dec-2021,272.75,274.15,280.0,270.0,271.55,272.75,274.08,54162,3124,26522,48.97
DFMFOODS, EQ, 03-Dec-2021,272.75,272.9,278.0,272.75,273.8,274.7,274.63,72707,3255,43941,60.44
DFMFOODS, EQ, 06-Dec-2021,274.7,274.7,280.0,265.0,266.5,268.25,270.7,114311,8995,65685,57.46
DFMFOODS, EQ, 07-Dec-2021,268.25,269.0,271.0,267.5,269.0,268.7,269.2,90442,4123,59779,66.1
DFMFOODS, EQ, 08-Dec-2021,268.7,272.0,277.0,267.5,270.9,271.8,271.55,325114,7803,183840,56.55
DFMFOODS, EQ, 09-Dec-2021,271.8,273.2,326.15,273.0,318.4,322.2,312.68,2027557,51158,299262,14.76
DFMFOODS, EQ, 10-Dec-2021,322.2,313.35,318.85,305.75,307.55,308.65,312.29,658659,23185,136117,20.67
DFMFOODS, EQ, 13-Dec-2021,308.65,310.5,313.95,288.25,292.0,291.15,302.31,537501,24922,148435,27.62
DFMFOODS, EQ, 14-Dec-2021,291.15,289.8,299.45,285.5,288.7,289.4,292.12,151027,6945,43251,28.64
DFMFOODS, EQ, 15-Dec-2021,289.4,288.7,297.8,288.7,292.3,293.35,294.42,77787,3340,22346,28.73
DFMFOODS, EQ, 16-Dec-2021,293.35,294.85,296.0,290.0,293.5,291.2,292.5,54210,3404,20744,38.27
