SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DIVISLAB, EQ, 17-Sep-2021,5166.9,5178.0,5198.65,5059.55,5126.15,5122.8,5139.37,401270,30905,202643,50.5
DIVISLAB, EQ, 20-Sep-2021,5122.8,5100.0,5235.6,5079.65,5102.05,5110.1,5177.64,451356,43900,140807,31.2
DIVISLAB, EQ, 21-Sep-2021,5110.1,5119.5,5188.45,5080.0,5180.0,5179.45,5150.26,340766,37270,156925,46.05
DIVISLAB, EQ, 22-Sep-2021,5179.45,5178.4,5187.15,5125.9,5132.05,5139.9,5156.94,199338,27472,101875,51.11
DIVISLAB, EQ, 23-Sep-2021,5139.9,5169.85,5224.7,5141.6,5219.5,5212.1,5180.85,258292,36800,131951,51.09
DIVISLAB, EQ, 24-Sep-2021,5212.1,5235.35,5254.0,5092.0,5107.8,5108.55,5166.75,350328,33544,160757,45.89
DIVISLAB, EQ, 27-Sep-2021,5108.55,5120.0,5133.85,4925.0,4944.0,4932.55,4971.39,553003,69423,310329,56.12
DIVISLAB, EQ, 28-Sep-2021,4932.55,4965.0,4965.0,4701.0,4794.0,4784.05,4794.87,1028992,94298,627466,60.98
DIVISLAB, EQ, 29-Sep-2021,4784.05,4789.0,4914.3,4752.1,4805.4,4806.45,4836.62,877223,89266,364142,41.51
DIVISLAB, EQ, 30-Sep-2021,4806.45,4797.0,4844.85,4765.6,4800.0,4798.7,4800.62,541396,56511,300965,55.59
DIVISLAB, EQ, 01-Oct-2021,4798.7,4800.0,4874.0,4780.0,4830.0,4832.3,4829.83,362529,37154,149902,41.35
DIVISLAB, EQ, 04-Oct-2021,4832.3,4890.0,5315.5,4890.0,5211.1,5220.7,5187.79,2888637,205980,634233,21.96
DIVISLAB, EQ, 05-Oct-2021,5220.7,5250.5,5254.35,5147.1,5208.45,5217.85,5195.3,575663,43301,197244,34.26
DIVISLAB, EQ, 06-Oct-2021,5217.85,5225.0,5227.85,5117.85,5128.0,5136.55,5164.23,304090,38257,125390,41.23
DIVISLAB, EQ, 07-Oct-2021,5136.55,5150.0,5162.05,5062.2,5094.95,5097.85,5094.94,314433,34544,137710,43.8
DIVISLAB, EQ, 08-Oct-2021,5097.85,5123.0,5131.0,5022.3,5074.0,5071.3,5067.27,314249,37584,138418,44.05
DIVISLAB, EQ, 11-Oct-2021,5071.3,5104.0,5223.95,5060.5,5142.0,5143.05,5146.97,386696,34203,154067,39.84
DIVISLAB, EQ, 12-Oct-2021,5143.05,5185.2,5289.0,5101.0,5284.0,5225.9,5171.35,505001,41604,220638,43.69
DIVISLAB, EQ, 13-Oct-2021,5225.9,5300.0,5332.65,5217.55,5242.05,5248.9,5267.56,363526,37956,109962,30.25
DIVISLAB, EQ, 14-Oct-2021,5248.9,5248.9,5389.0,5226.2,5385.0,5372.15,5341.74,549795,45862,255705,46.51
DIVISLAB, EQ, 18-Oct-2021,5372.15,5383.0,5425.1,5314.55,5330.0,5343.05,5358.49,544942,46152,280795,51.53
DIVISLAB, EQ, 19-Oct-2021,5343.05,5344.0,5390.0,5167.75,5190.0,5192.1,5253.89,388226,44594,199767,51.46
DIVISLAB, EQ, 20-Oct-2021,5192.1,5182.1,5292.0,5089.2,5128.0,5116.4,5180.69,623004,55728,281490,45.18
DIVISLAB, EQ, 21-Oct-2021,5116.4,5167.55,5219.0,5052.65,5202.0,5193.65,5136.03,435607,47051,234912,53.93
DIVISLAB, EQ, 22-Oct-2021,5193.65,5239.0,5239.0,5050.0,5058.2,5073.4,5125.31,372979,33439,170976,45.84
DIVISLAB, EQ, 25-Oct-2021,5073.4,5052.0,5070.0,4874.85,4998.9,4995.95,4956.04,588823,43670,300579,51.05
DIVISLAB, EQ, 26-Oct-2021,4995.95,4995.0,5074.0,4972.1,5028.15,5018.9,5020.78,334367,27999,166719,49.86
DIVISLAB, EQ, 27-Oct-2021,5018.9,5007.85,5227.0,5000.2,5134.0,5149.35,5161.78,624281,55424,188678,30.22
DIVISLAB, EQ, 28-Oct-2021,5149.35,5161.9,5210.3,5102.6,5122.0,5121.15,5162.48,410588,39966,198964,48.46
DIVISLAB, EQ, 29-Oct-2021,5121.15,5114.4,5248.35,5085.3,5168.0,5150.15,5178.83,442907,42318,187647,42.37
