SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
EQUITAS, EQ, 17-Sep-2021,124.0,124.8,126.0,119.5,119.65,120.0,121.64,566085,11878,429765,75.92
EQUITAS, EQ, 20-Sep-2021,120.0,120.0,124.0,118.0,120.9,120.6,121.43,383175,8524,221029,57.68
EQUITAS, EQ, 21-Sep-2021,120.6,120.2,121.15,117.0,119.0,119.55,119.17,503395,8846,300077,59.61
EQUITAS, EQ, 22-Sep-2021,119.55,120.0,121.3,117.8,117.9,118.0,118.75,353155,7134,231493,65.55
EQUITAS, EQ, 23-Sep-2021,118.0,120.5,120.85,118.2,119.1,119.25,119.51,1181656,11082,1051150,88.96
EQUITAS, EQ, 24-Sep-2021,119.25,119.95,120.2,117.1,119.6,119.95,119.75,944340,8583,837947,88.73
EQUITAS, EQ, 27-Sep-2021,119.95,122.0,127.4,121.05,124.8,124.9,125.56,1645462,27740,1071225,65.1
EQUITAS, EQ, 28-Sep-2021,124.9,127.0,127.5,121.8,123.0,123.4,124.05,696520,22466,408472,58.64
EQUITAS, EQ, 29-Sep-2021,123.4,121.1,124.4,120.7,122.8,122.9,122.19,588481,17420,377029,64.07
EQUITAS, EQ, 30-Sep-2021,122.9,123.5,123.85,120.2,121.5,121.0,121.85,1003015,15859,391449,39.03
EQUITAS, EQ, 01-Oct-2021,121.0,121.0,122.8,119.9,120.4,120.2,121.27,561842,11628,422731,75.24
EQUITAS, EQ, 04-Oct-2021,120.2,120.3,124.1,120.25,122.8,123.05,121.87,1053915,20999,695647,66.01
EQUITAS, EQ, 05-Oct-2021,123.05,122.0,125.0,121.6,124.2,123.95,123.57,472688,7467,307809,65.12
EQUITAS, EQ, 06-Oct-2021,123.95,124.5,124.9,122.55,123.0,122.75,123.4,427886,6131,311891,72.89
EQUITAS, EQ, 07-Oct-2021,122.75,124.8,124.8,121.05,121.7,122.1,122.65,416431,10535,307135,73.75
EQUITAS, EQ, 08-Oct-2021,122.1,122.9,123.5,121.5,122.1,122.05,122.36,390080,9875,300480,77.03
EQUITAS, EQ, 11-Oct-2021,122.05,128.0,134.25,126.0,134.25,133.0,130.91,2519293,26869,1673524,66.43
EQUITAS, EQ, 12-Oct-2021,133.0,136.7,139.7,134.25,136.0,136.25,136.67,1635235,19061,921019,56.32
EQUITAS, EQ, 13-Oct-2021,136.25,136.4,145.0,135.1,136.7,137.7,139.14,2441181,28011,1624017,66.53
EQUITAS, EQ, 14-Oct-2021,137.7,139.1,141.2,134.65,135.2,135.2,136.22,975855,11091,774853,79.4
EQUITAS, EQ, 18-Oct-2021,135.2,136.8,137.5,130.1,132.1,132.25,134.36,866058,14372,587407,67.83
EQUITAS, EQ, 19-Oct-2021,132.25,133.5,134.4,119.25,126.35,123.1,127.25,1065747,14686,800813,75.14
EQUITAS, EQ, 20-Oct-2021,123.1,124.0,128.8,123.5,127.4,126.45,125.7,2106807,22740,1673877,79.45
EQUITAS, EQ, 21-Oct-2021,126.45,127.8,131.5,126.05,131.0,130.55,129.27,1104887,10599,845159,76.49
EQUITAS, EQ, 22-Oct-2021,130.55,133.5,136.0,128.05,128.6,129.1,132.05,713011,14331,403711,56.62
EQUITAS, EQ, 25-Oct-2021,129.1,130.1,133.95,126.5,132.5,132.5,130.49,612372,13202,377068,61.57
EQUITAS, EQ, 26-Oct-2021,132.5,131.0,136.0,129.6,131.95,131.85,133.43,789287,11123,465280,58.95
EQUITAS, EQ, 27-Oct-2021,131.85,132.15,132.15,127.25,128.0,127.9,129.28,455955,6302,329681,72.31
EQUITAS, EQ, 28-Oct-2021,127.9,128.0,128.95,125.0,127.0,126.8,126.86,663315,8411,549188,82.79
EQUITAS, EQ, 29-Oct-2021,126.8,127.45,132.0,125.7,129.55,129.8,129.56,789848,15286,444246,56.24
EQUITAS, EQ, 01-Nov-2021,129.8,130.45,130.6,126.4,127.5,127.45,127.8,445472,4593,318132,71.41
EQUITAS, EQ, 02-Nov-2021,127.45,128.3,132.8,127.1,132.1,131.7,131.06,673955,12337,490654,72.8
EQUITAS, EQ, 03-Nov-2021,131.7,132.0,132.4,126.25,127.4,127.0,129.61,1277640,21277,1126912,88.2
EQUITAS, EQ, 08-Nov-2021,129.25,129.25,129.75,124.9,127.5,127.05,126.82,564272,10678,344571,61.06
