SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ESCORTS, EQ, 17-Sep-2021,1447.85,1451.75,1465.0,1415.25,1457.5,1452.55,1443.57,917819,39574,316469,34.48
ESCORTS, EQ, 20-Sep-2021,1452.55,1438.0,1501.5,1430.0,1441.0,1439.45,1468.98,2042054,83090,528373,25.87
ESCORTS, EQ, 21-Sep-2021,1439.45,1457.5,1492.0,1434.05,1473.15,1474.85,1469.87,3448518,112221,974252,28.25
ESCORTS, EQ, 22-Sep-2021,1474.85,1475.05,1542.0,1455.0,1524.9,1520.15,1505.54,2890213,98117,616799,21.34
ESCORTS, EQ, 23-Sep-2021,1520.15,1565.1,1571.9,1487.3,1507.0,1508.4,1520.2,2597565,93002,728399,28.04
ESCORTS, EQ, 24-Sep-2021,1508.4,1514.8,1514.9,1451.0,1461.0,1465.45,1480.38,1032392,36632,367719,35.62
ESCORTS, EQ, 27-Sep-2021,1465.45,1475.0,1488.95,1445.6,1458.0,1459.15,1471.45,1209718,36611,390131,32.25
ESCORTS, EQ, 28-Sep-2021,1459.15,1469.8,1505.0,1455.55,1490.0,1489.9,1484.68,1568084,46448,338144,21.56
ESCORTS, EQ, 29-Sep-2021,1489.9,1479.1,1505.15,1470.2,1485.0,1488.6,1487.49,1232093,31180,311811,25.31
ESCORTS, EQ, 30-Sep-2021,1488.6,1477.15,1519.7,1475.65,1477.7,1480.1,1493.31,1426550,38243,322814,22.63
ESCORTS, EQ, 01-Oct-2021,1480.1,1463.0,1478.45,1427.0,1471.95,1471.95,1459.71,933091,29835,165816,17.77
ESCORTS, EQ, 04-Oct-2021,1471.95,1478.0,1504.0,1462.0,1499.0,1496.4,1485.65,765785,24686,195754,25.56
ESCORTS, EQ, 05-Oct-2021,1496.4,1485.0,1515.8,1480.0,1492.6,1488.8,1495.87,671752,21864,202740,30.18
ESCORTS, EQ, 06-Oct-2021,1488.8,1486.5,1507.2,1445.0,1450.0,1455.55,1479.93,557028,19309,132758,23.83
ESCORTS, EQ, 07-Oct-2021,1455.55,1465.9,1520.0,1459.45,1518.9,1514.65,1499.45,1079940,31811,343632,31.82
ESCORTS, EQ, 08-Oct-2021,1514.65,1524.5,1534.0,1494.25,1506.1,1500.5,1513.03,1075371,32413,326469,30.36
ESCORTS, EQ, 11-Oct-2021,1500.5,1505.0,1529.9,1486.6,1490.95,1491.75,1506.99,907444,25042,417084,45.96
ESCORTS, EQ, 12-Oct-2021,1491.75,1491.4,1538.9,1489.95,1517.2,1516.65,1516.76,1197881,40674,378531,31.6
ESCORTS, EQ, 13-Oct-2021,1516.65,1522.0,1558.0,1512.2,1523.0,1520.2,1532.86,1231332,42074,278719,22.64
ESCORTS, EQ, 14-Oct-2021,1520.2,1524.0,1546.0,1508.25,1517.7,1520.95,1527.42,677408,26157,131730,19.45
ESCORTS, EQ, 18-Oct-2021,1520.95,1530.0,1566.3,1520.95,1550.2,1551.25,1549.59,1394214,56344,273810,19.64
ESCORTS, EQ, 19-Oct-2021,1551.25,1551.95,1555.0,1467.6,1491.0,1486.4,1516.28,1231042,40239,443590,36.03
ESCORTS, EQ, 20-Oct-2021,1486.4,1491.0,1505.0,1422.0,1440.95,1438.35,1460.3,1645913,40693,634141,38.53
ESCORTS, EQ, 21-Oct-2021,1438.35,1445.0,1485.0,1425.15,1472.0,1476.8,1459.73,944311,30141,268043,28.39
ESCORTS, EQ, 22-Oct-2021,1476.8,1475.0,1510.35,1452.5,1457.05,1463.3,1484.86,1242631,44147,359572,28.94
ESCORTS, EQ, 25-Oct-2021,1463.3,1475.0,1508.0,1434.0,1494.75,1495.1,1479.89,900150,28414,268711,29.85
ESCORTS, EQ, 26-Oct-2021,1495.1,1495.0,1549.65,1486.25,1548.0,1544.45,1527.38,1364333,41612,475651,34.86
ESCORTS, EQ, 27-Oct-2021,1544.45,1545.0,1579.95,1533.8,1551.4,1543.3,1557.4,2521284,64556,662932,26.29
ESCORTS, EQ, 28-Oct-2021,1543.3,1550.0,1563.75,1510.0,1525.05,1532.35,1537.2,994523,32479,295269,29.69
ESCORTS, EQ, 29-Oct-2021,1532.35,1530.0,1588.0,1480.0,1580.35,1569.4,1545.79,2651006,91769,583894,22.03
ESCORTS, EQ, 01-Nov-2021,1569.4,1566.1,1666.35,1491.85,1552.0,1545.6,1548.03,3394040,123022,526158,15.5
ESCORTS, EQ, 02-Nov-2021,1545.6,1553.0,1593.5,1532.5,1553.4,1557.2,1570.17,1589334,70175,548476,34.51
ESCORTS, EQ, 03-Nov-2021,1557.2,1565.0,1565.0,1476.15,1500.0,1496.9,1513.68,1961985,70850,849979,43.32
ESCORTS, EQ, 08-Nov-2021,1528.1,1540.8,1545.75,1441.1,1504.0,1505.95,1487.83,1304830,47373,450186,34.5
ESCORTS, EQ, 09-Nov-2021,1505.95,1515.0,1579.85,1515.0,1577.0,1570.75,1551.39,1753403,57421,686657,39.16
ESCORTS, EQ, 10-Nov-2021,1570.75,1560.0,1596.0,1520.75,1538.45,1543.1,1563.88,1568558,71683,586116,37.37
ESCORTS, EQ, 11-Nov-2021,1543.1,1545.0,1547.0,1456.0,1529.85,1521.3,1492.74,3281771,107960,1105699,33.69
ESCORTS, EQ, 12-Nov-2021,1521.3,1535.0,1594.0,1530.0,1580.0,1580.75,1567.94,2365813,60030,978774,41.37
ESCORTS, EQ, 15-Nov-2021,1580.75,1589.0,1649.9,1572.3,1641.0,1640.5,1622.98,3033537,83407,1029260,33.93
ESCORTS, EQ, 16-Nov-2021,1640.5,1650.0,1659.0,1601.0,1625.2,1629.3,1632.15,2879547,81405,953834,33.12
ESCORTS, EQ, 17-Nov-2021,1629.3,1633.0,1665.0,1588.8,1641.0,1630.95,1629.38,3997327,105515,953334,23.85
ESCORTS, EQ, 18-Nov-2021,1630.95,1640.0,1824.95,1612.5,1796.0,1802.85,1747.0,19036475,421607,3112659,16.35
ESCORTS, EQ, 22-Nov-2021,1802.85,1811.0,1831.3,1755.15,1801.85,1802.75,1790.91,4234114,134400,1435374,33.9
ESCORTS, EQ, 23-Nov-2021,1802.75,1790.1,1826.6,1785.05,1808.0,1802.55,1808.68,2018204,60961,633276,31.38
ESCORTS, EQ, 24-Nov-2021,1802.55,1814.9,1831.0,1796.25,1810.0,1802.0,1812.95,1744444,41568,703139,40.31
ESCORTS, EQ, 25-Nov-2021,1802.0,1810.0,1834.65,1802.0,1819.7,1813.85,1812.62,3117728,52884,1611414,51.69
ESCORTS, EQ, 26-Nov-2021,1813.85,1804.1,1889.75,1803.0,1865.0,1869.4,1855.45,4903273,102732,1283245,26.17
ESCORTS, EQ, 29-Nov-2021,1869.4,1875.0,1879.85,1847.7,1855.0,1858.85,1865.73,1310185,58148,397446,30.34
ESCORTS, EQ, 30-Nov-2021,1858.85,1856.0,1880.0,1836.85,1850.05,1846.3,1858.51,1280247,41037,455161,35.55
ESCORTS, EQ, 01-Dec-2021,1846.3,1853.0,1864.4,1831.3,1845.55,1848.4,1849.83,1092248,33778,362863,33.22
ESCORTS, EQ, 02-Dec-2021,1848.4,1848.0,1862.05,1836.1,1848.9,1848.95,1847.99,772046,23146,303021,39.25
ESCORTS, EQ, 03-Dec-2021,1848.95,1855.9,1872.0,1849.25,1861.35,1866.1,1860.3,1196217,29416,437469,36.57
ESCORTS, EQ, 06-Dec-2021,1866.1,1860.0,1865.0,1843.5,1845.75,1846.15,1853.87,674398,17639,282122,41.83
ESCORTS, EQ, 07-Dec-2021,1846.15,1852.0,1863.65,1840.9,1850.0,1851.6,1851.62,684639,23875,308800,45.1
ESCORTS, EQ, 08-Dec-2021,1851.6,1853.0,1885.85,1853.0,1870.8,1867.75,1868.69,909742,34967,292015,32.1
ESCORTS, EQ, 09-Dec-2021,1867.75,1875.0,1897.95,1865.55,1879.95,1878.6,1885.57,1499650,41165,284904,19.0
ESCORTS, EQ, 10-Dec-2021,1878.6,1879.95,1879.95,1855.2,1866.0,1868.0,1866.02,757187,22464,343473,45.36
ESCORTS, EQ, 13-Dec-2021,1868.0,1869.0,1873.45,1852.0,1856.0,1857.5,1860.21,515245,15530,295059,57.27
