SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
FACT, EQ, 17-Sep-2021,126.1,126.4,127.1,120.75,122.95,122.8,123.64,170420,4457,76430,44.85
FACT, EQ, 20-Sep-2021,122.8,121.1,125.2,119.2,120.3,120.15,122.26,222756,9719,51602,23.17
FACT, EQ, 21-Sep-2021,120.15,120.3,122.0,117.3,120.0,119.8,119.84,140299,5235,29393,20.95
FACT, EQ, 22-Sep-2021,119.8,119.8,124.85,119.8,123.3,122.85,123.04,170956,6064,42296,24.74
FACT, EQ, 23-Sep-2021,122.85,124.9,126.85,122.15,124.5,123.65,124.23,151936,6593,48175,31.71
FACT, EQ, 24-Sep-2021,123.65,124.2,138.8,123.6,132.0,132.25,133.55,3367517,41046,523469,15.54
FACT, EQ, 27-Sep-2021,132.25,132.9,135.2,128.15,130.4,130.2,131.94,889916,14818,176824,19.87
FACT, EQ, 28-Sep-2021,130.2,131.7,134.0,126.55,127.25,127.85,129.1,350130,8320,99472,28.41
FACT, EQ, 29-Sep-2021,127.85,126.85,130.4,125.3,128.1,128.5,127.96,339606,7278,78817,23.21
FACT, EQ, 30-Sep-2021,128.5,128.9,130.1,127.0,127.0,127.85,128.48,144306,4069,45265,31.37
FACT, EQ, 01-Oct-2021,127.85,125.15,129.25,125.15,125.8,126.05,126.65,186309,4890,44109,23.68
FACT, EQ, 04-Oct-2021,126.05,126.6,129.9,125.55,126.1,126.35,127.67,208968,4460,69966,33.48
FACT, EQ, 05-Oct-2021,126.35,127.0,129.8,126.6,128.0,127.7,128.14,218108,5309,57520,26.37
FACT, EQ, 06-Oct-2021,127.7,128.2,129.15,125.0,126.95,126.2,127.49,152667,4007,68010,44.55
FACT, EQ, 07-Oct-2021,126.2,127.1,128.9,126.75,126.95,127.25,127.64,133086,3124,35081,26.36
FACT, EQ, 08-Oct-2021,127.25,129.0,138.0,124.7,129.5,132.1,131.0,700166,11498,157197,22.45
FACT, EQ, 11-Oct-2021,132.1,129.95,129.95,128.0,128.95,128.4,128.93,143953,3154,71029,49.34
FACT, EQ, 12-Oct-2021,128.4,128.3,132.95,125.55,128.2,128.4,129.13,463086,8749,78785,17.01
FACT, EQ, 13-Oct-2021,128.4,129.55,130.8,126.5,127.0,127.05,128.25,175083,3522,70531,40.28
FACT, EQ, 14-Oct-2021,127.05,128.0,130.95,126.5,127.0,127.2,128.3,191655,3983,54444,28.41
FACT, EQ, 18-Oct-2021,127.2,127.5,128.0,126.1,126.2,126.45,126.96,100495,2104,59924,59.63
FACT, EQ, 19-Oct-2021,126.45,127.3,128.55,122.0,123.1,123.3,125.89,155510,3743,59196,38.07
FACT, EQ, 20-Oct-2021,123.3,124.0,125.1,119.55,122.4,122.3,122.7,144269,4458,48437,33.57
FACT, EQ, 21-Oct-2021,122.3,121.8,124.15,120.6,123.0,122.65,122.26,126400,3972,33120,26.2
FACT, EQ, 22-Oct-2021,122.65,121.3,123.5,118.05,120.7,120.6,121.07,88126,2947,33665,38.2
FACT, EQ, 25-Oct-2021,120.6,121.6,121.6,117.05,117.75,117.8,118.94,85550,3057,26238,30.67
FACT, EQ, 26-Oct-2021,117.8,118.5,119.9,118.1,118.5,118.6,119.02,76291,2294,30951,40.57
FACT, EQ, 27-Oct-2021,118.6,119.3,119.9,118.15,119.2,119.15,119.33,49898,1650,18293,36.66
FACT, EQ, 28-Oct-2021,119.15,119.8,119.8,114.95,115.9,115.95,116.5,88533,3131,41917,47.35
FACT, EQ, 29-Oct-2021,115.95,115.0,116.65,111.9,115.0,115.1,115.05,65862,2077,25692,39.01
FACT, EQ, 01-Nov-2021,115.1,116.6,120.0,116.1,119.4,118.8,118.2,76457,1998,30610,40.04
FACT, EQ, 02-Nov-2021,118.8,119.6,128.0,119.6,122.65,122.8,122.79,332444,5545,58113,17.48
FACT, EQ, 03-Nov-2021,122.8,122.0,122.05,119.05,120.1,120.0,120.3,74868,1462,29535,39.45
FACT, EQ, 08-Nov-2021,120.4,121.3,122.85,118.2,120.7,120.2,120.66,96607,2303,27988,28.97
FACT, EQ, 09-Nov-2021,120.2,120.75,122.5,119.3,121.0,121.05,121.12,62664,1438,25837,41.23
FACT, EQ, 10-Nov-2021,121.05,121.6,125.15,115.6,120.7,118.9,118.2,899996,14294,77723,8.64
FACT, EQ, 11-Nov-2021,118.9,120.7,120.8,117.0,117.65,117.9,118.64,69632,1591,29303,42.08
FACT, EQ, 12-Nov-2021,117.9,118.85,119.65,117.3,118.0,118.05,118.41,67909,1400,29863,43.98
FACT, EQ, 15-Nov-2021,118.05,118.95,118.95,116.0,116.85,117.0,117.13,37591,1202,15718,41.81
FACT, EQ, 16-Nov-2021,117.0,116.0,118.5,116.0,118.4,117.1,117.44,82603,3208,22767,27.56
FACT, EQ, 17-Nov-2021,117.1,118.0,118.2,116.0,116.3,116.6,116.78,36773,1093,15752,42.84
FACT, EQ, 18-Nov-2021,116.6,116.6,120.45,112.2,113.8,114.15,116.39,107726,3067,45711,42.43
FACT, EQ, 22-Nov-2021,114.15,115.8,115.8,108.5,109.0,109.0,111.19,82217,3177,36042,43.84
FACT, EQ, 23-Nov-2021,109.0,110.0,114.0,109.0,113.0,113.15,112.12,69921,2013,21030,30.08
FACT, EQ, 24-Nov-2021,113.15,113.15,116.0,113.15,113.95,113.55,114.3,36179,1471,13677,37.8
FACT, EQ, 25-Nov-2021,113.55,114.5,117.0,113.2,115.4,115.35,115.22,64883,2163,19407,29.91
FACT, EQ, 26-Nov-2021,115.35,115.7,115.7,110.3,111.35,111.5,112.2,47233,1589,27189,57.56
FACT, EQ, 29-Nov-2021,111.5,108.0,111.0,102.25,105.0,106.4,107.32,90551,2364,44534,49.18
FACT, EQ, 30-Nov-2021,106.4,109.5,117.0,107.1,109.9,109.9,113.46,379227,11604,62025,16.36
FACT, EQ, 01-Dec-2021,109.9,114.0,117.0,112.5,113.6,113.8,114.9,206598,5711,49358,23.89
FACT, EQ, 02-Dec-2021,113.8,114.9,114.9,111.75,113.0,113.15,113.0,50720,1466,27457,54.13
FACT, EQ, 03-Dec-2021,113.15,113.7,116.45,112.25,114.4,113.8,114.79,108770,2134,42184,38.78
FACT, EQ, 06-Dec-2021,113.8,110.85,115.05,110.5,110.85,110.9,111.94,68217,1525,25672,37.63
FACT, EQ, 07-Dec-2021,110.9,111.1,113.1,111.0,112.15,111.5,111.94,59977,2175,21982,36.65
FACT, EQ, 08-Dec-2021,111.5,113.25,117.75,112.8,113.6,114.15,115.01,253723,4564,56499,22.27
FACT, EQ, 09-Dec-2021,114.15,114.7,115.4,113.4,113.4,113.65,114.17,70164,1520,30555,43.55
FACT, EQ, 10-Dec-2021,113.65,113.9,116.45,112.35,114.5,115.0,115.2,92588,2208,24853,26.84
FACT, EQ, 13-Dec-2021,115.0,115.15,119.7,115.15,118.4,117.9,117.83,169972,3353,71422,42.02
FACT, EQ, 14-Dec-2021,117.9,117.9,118.75,116.05,117.6,117.4,117.25,81551,2369,18072,22.16
FACT, EQ, 15-Dec-2021,117.4,116.55,120.85,116.45,118.1,117.95,118.83,283636,5067,72077,25.41
FACT, EQ, 16-Dec-2021,117.95,119.0,122.8,116.5,118.5,118.3,120.2,492664,9076,86339,17.52
FACT, EQ, 17-Dec-2021,118.3,118.8,121.5,114.0,114.5,114.95,118.46,310657,5470,80180,25.81
FACT, EQ, 20-Dec-2021,114.95,113.95,113.95,107.1,107.5,107.55,109.25,134553,3576,47072,34.98
FACT, EQ, 21-Dec-2021,107.55,107.9,111.7,107.9,111.0,110.0,110.22,104720,3077,25096,23.96
FACT, EQ, 22-Dec-2021,110.0,110.8,112.85,110.65,112.0,112.0,111.8,26703,934,7947,29.76
FACT, EQ, 23-Dec-2021,112.0,112.25,120.4,111.9,119.5,118.1,116.36,198563,4321,88301,44.47
FACT, EQ, 24-Dec-2021,118.1,120.0,121.8,115.35,115.85,116.15,118.88,388341,9197,63572,16.37
