SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
FEDERALBNK, EQ, 17-Sep-2021,85.9,86.5,86.7,83.1,83.35,83.3,84.37,19944073,62693,7150138,35.85
FEDERALBNK, EQ, 20-Sep-2021,83.3,83.0,83.0,79.4,79.45,79.7,81.14,16863234,58905,7770632,46.08
FEDERALBNK, EQ, 21-Sep-2021,79.7,79.5,80.5,78.15,80.4,80.05,79.27,15056016,42990,5121050,34.01
FEDERALBNK, EQ, 22-Sep-2021,80.05,80.4,81.65,79.9,81.15,81.1,80.78,10697315,28847,3926180,36.7
FEDERALBNK, EQ, 23-Sep-2021,81.1,82.0,82.5,81.25,81.95,81.85,81.88,13640424,49782,5999849,43.99
FEDERALBNK, EQ, 24-Sep-2021,81.85,82.5,82.55,80.55,80.85,80.85,81.37,9330468,28997,3548008,38.03
FEDERALBNK, EQ, 27-Sep-2021,80.85,81.4,82.0,81.0,81.7,81.6,81.57,5384060,19005,1576864,29.29
FEDERALBNK, EQ, 28-Sep-2021,81.6,81.9,82.0,80.1,81.0,80.9,81.16,10618280,34702,4250346,40.03
FEDERALBNK, EQ, 29-Sep-2021,80.9,80.7,82.25,79.5,81.6,81.35,81.22,23686048,43539,9989446,42.17
FEDERALBNK, EQ, 30-Sep-2021,81.35,81.8,86.25,81.7,84.4,84.3,84.68,33472211,77946,9897094,29.57
FEDERALBNK, EQ, 01-Oct-2021,84.3,83.95,84.3,82.7,83.25,83.15,83.41,10264738,32732,2856520,27.83
FEDERALBNK, EQ, 04-Oct-2021,83.15,84.5,86.0,83.95,85.25,85.05,84.9,15602179,48838,3668736,23.51
FEDERALBNK, EQ, 05-Oct-2021,85.05,85.15,86.2,84.5,85.5,85.75,85.46,13017163,39552,4686481,36.0
FEDERALBNK, EQ, 06-Oct-2021,85.75,85.9,86.9,84.05,84.3,84.4,85.42,13315657,51709,4412641,33.14
FEDERALBNK, EQ, 07-Oct-2021,84.4,85.7,86.45,84.8,85.45,85.45,85.49,11719207,38080,4454281,38.01
FEDERALBNK, EQ, 08-Oct-2021,85.45,85.95,86.35,84.8,85.4,85.6,85.49,14090906,47817,5720895,40.6
FEDERALBNK, EQ, 11-Oct-2021,85.6,86.5,87.5,85.8,86.05,86.25,86.46,12822354,46834,4695246,36.62
FEDERALBNK, EQ, 12-Oct-2021,86.25,86.95,88.95,85.5,88.45,88.6,87.36,25448034,78975,11140328,43.78
FEDERALBNK, EQ, 13-Oct-2021,88.6,89.05,94.0,88.5,93.65,93.6,91.75,54208636,143292,17542713,32.36
FEDERALBNK, EQ, 14-Oct-2021,93.6,94.7,95.5,92.75,93.2,93.1,93.78,31082419,92051,10862176,34.95
FEDERALBNK, EQ, 18-Oct-2021,93.1,95.0,96.5,94.0,95.15,95.3,95.46,28559068,101756,11047891,38.68
FEDERALBNK, EQ, 19-Oct-2021,95.3,96.05,96.05,92.45,92.8,92.85,94.34,17698523,61808,5331992,30.13
FEDERALBNK, EQ, 20-Oct-2021,92.85,92.85,94.4,91.0,94.2,94.0,92.93,20059712,62348,6014304,29.98
FEDERALBNK, EQ, 21-Oct-2021,94.0,94.8,98.0,93.3,96.6,96.55,96.28,47242354,139400,13918371,29.46
FEDERALBNK, EQ, 22-Oct-2021,96.55,97.2,105.7,93.6,103.15,103.9,100.6,128941859,298442,24879651,19.3
FEDERALBNK, EQ, 25-Oct-2021,103.9,105.0,107.65,100.3,102.4,102.5,104.6,78995676,235871,17833374,22.58
FEDERALBNK, EQ, 26-Oct-2021,102.5,103.0,104.7,101.65,102.2,102.0,102.99,25656807,91269,5662837,22.07
FEDERALBNK, EQ, 27-Oct-2021,102.0,102.7,102.75,98.3,100.1,100.35,100.16,31075808,96351,7017405,22.58
FEDERALBNK, EQ, 28-Oct-2021,100.35,100.35,101.6,97.05,98.5,97.8,99.48,21384254,70647,4714880,22.05
FEDERALBNK, EQ, 29-Oct-2021,97.8,97.9,100.0,96.0,97.65,97.45,98.3,25060969,91964,5905637,23.57
FEDERALBNK, EQ, 01-Nov-2021,97.45,98.0,99.25,96.85,98.2,98.0,97.81,21186299,54416,8982854,42.4
FEDERALBNK, EQ, 02-Nov-2021,98.0,98.75,102.7,98.55,102.25,101.95,100.32,28226648,85321,7648709,27.1
FEDERALBNK, EQ, 03-Nov-2021,101.95,102.65,102.65,99.0,100.1,100.2,100.73,24199708,70129,7449265,30.78
FEDERALBNK, EQ, 08-Nov-2021,101.1,101.6,102.2,100.2,101.7,101.55,101.17,15322961,69161,5294970,34.56
FEDERALBNK, EQ, 09-Nov-2021,101.55,101.55,103.35,100.75,102.25,102.05,102.08,22350613,66669,7564863,33.85
FEDERALBNK, EQ, 10-Nov-2021,102.05,102.05,102.8,100.05,100.55,100.35,101.45,16567044,73320,4583634,27.67
FEDERALBNK, EQ, 11-Nov-2021,100.35,100.9,102.1,99.3,100.25,100.2,100.76,17144200,60978,4793501,27.96
FEDERALBNK, EQ, 12-Nov-2021,100.2,100.95,101.05,99.75,100.0,100.1,100.23,13928829,53381,4595745,32.99
FEDERALBNK, EQ, 15-Nov-2021,100.1,100.6,101.3,99.0,99.5,99.55,99.85,11534669,46462,2625672,22.76
FEDERALBNK, EQ, 16-Nov-2021,99.55,99.75,99.75,97.05,97.25,97.4,98.34,11586459,47911,3983527,34.38
FEDERALBNK, EQ, 17-Nov-2021,97.4,97.4,98.3,96.5,97.2,97.1,97.46,10725400,48874,2965136,27.65
FEDERALBNK, EQ, 18-Nov-2021,97.1,97.15,98.1,94.0,94.45,94.7,95.53,16495647,65994,5380329,32.62
