SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
FINCABLES, EQ, 17-Sep-2021,518.85,524.0,530.0,505.7,510.2,513.3,514.55,300476,11095,153784,51.18
FINCABLES, EQ, 20-Sep-2021,513.3,511.65,511.65,490.25,493.25,497.2,504.14,116602,5646,57743,49.52
FINCABLES, EQ, 21-Sep-2021,497.2,497.2,504.95,476.25,503.95,497.75,487.81,193977,8556,75377,38.86
FINCABLES, EQ, 22-Sep-2021,497.75,497.0,497.0,477.15,489.5,490.55,490.87,181950,8147,60908,33.48
FINCABLES, EQ, 23-Sep-2021,490.55,496.0,501.4,491.5,497.5,499.35,496.35,140127,5963,70571,50.36
FINCABLES, EQ, 24-Sep-2021,499.35,500.0,503.0,491.1,492.5,493.05,497.84,159567,7544,84851,53.18
FINCABLES, EQ, 27-Sep-2021,493.05,492.0,497.45,485.1,491.0,490.1,490.02,120677,6084,61561,51.01
FINCABLES, EQ, 28-Sep-2021,490.1,486.0,489.55,477.0,484.0,481.5,483.8,199043,8066,114831,57.69
FINCABLES, EQ, 29-Sep-2021,481.5,483.5,495.25,477.7,487.0,487.45,485.86,113155,6977,40214,35.54
FINCABLES, EQ, 30-Sep-2021,487.45,487.45,492.6,483.0,492.6,487.1,488.65,154969,8814,93143,60.1
FINCABLES, EQ, 01-Oct-2021,487.1,490.0,490.0,475.6,479.4,478.55,481.08,253842,7788,188428,74.23
FINCABLES, EQ, 04-Oct-2021,478.55,488.55,497.0,479.65,494.0,492.6,490.71,219550,10058,97124,44.24
FINCABLES, EQ, 05-Oct-2021,492.6,492.9,504.0,492.9,498.0,501.3,499.41,181827,8908,99773,54.87
FINCABLES, EQ, 06-Oct-2021,501.3,508.0,516.5,494.4,498.65,502.05,508.7,340393,13880,154330,45.34
FINCABLES, EQ, 07-Oct-2021,502.05,503.0,513.0,495.2,506.15,505.1,504.21,160011,7207,78669,49.16
FINCABLES, EQ, 08-Oct-2021,505.1,510.0,511.75,498.0,501.0,501.2,502.9,88244,5723,41761,47.32
FINCABLES, EQ, 11-Oct-2021,501.2,505.5,507.8,498.95,501.1,503.25,503.36,91954,5517,38233,41.58
FINCABLES, EQ, 12-Oct-2021,503.25,512.0,515.0,495.0,498.0,497.7,501.69,99756,7898,43964,44.07
FINCABLES, EQ, 13-Oct-2021,497.7,500.0,503.05,488.0,491.5,491.45,495.67,84167,5903,44971,53.43
FINCABLES, EQ, 14-Oct-2021,491.45,496.9,496.9,486.25,490.4,490.55,490.65,176575,10461,72881,41.27
FINCABLES, EQ, 18-Oct-2021,490.55,494.5,504.7,488.5,497.0,495.6,496.02,141785,6673,60866,42.93
FINCABLES, EQ, 19-Oct-2021,495.6,499.3,499.3,481.1,483.1,484.45,489.84,132494,6960,64782,48.89
FINCABLES, EQ, 20-Oct-2021,484.45,482.3,484.95,470.65,472.5,472.1,475.94,117054,8457,61680,52.69
FINCABLES, EQ, 21-Oct-2021,472.1,475.0,491.0,445.1,451.5,451.3,457.3,209522,9879,106386,50.78
FINCABLES, EQ, 22-Oct-2021,451.3,457.0,462.25,452.8,456.0,456.8,456.6,127947,6344,61825,48.32
FINCABLES, EQ, 25-Oct-2021,456.8,460.0,465.8,442.75,451.35,451.7,450.25,144609,7180,67225,46.49
FINCABLES, EQ, 26-Oct-2021,451.7,456.95,464.95,456.95,459.0,460.5,460.53,82337,4018,40107,48.71
FINCABLES, EQ, 27-Oct-2021,460.5,465.0,465.8,451.05,458.25,459.05,459.86,155916,6797,37130,23.81
FINCABLES, EQ, 28-Oct-2021,459.05,459.05,480.0,453.6,475.1,473.9,470.33,305084,14823,133464,43.75
FINCABLES, EQ, 29-Oct-2021,473.9,468.0,474.8,462.3,468.5,467.15,467.87,127358,6649,28240,22.17
FINCABLES, EQ, 01-Nov-2021,467.15,468.0,472.8,463.5,468.7,470.6,467.82,64134,4231,26212,40.87
FINCABLES, EQ, 02-Nov-2021,470.6,470.6,478.1,467.2,473.3,473.3,473.53,121453,6953,27696,22.8
FINCABLES, EQ, 03-Nov-2021,473.3,473.3,491.1,473.3,488.9,488.3,486.53,184216,9214,62664,34.02
FINCABLES, EQ, 08-Nov-2021,494.35,499.0,502.7,494.0,499.05,498.45,498.66,126238,4473,69393,54.97
FINCABLES, EQ, 09-Nov-2021,498.45,499.0,501.95,490.0,491.1,492.2,496.37,55909,3609,28125,50.3
FINCABLES, EQ, 10-Nov-2021,492.2,491.0,501.0,490.0,492.0,492.45,496.21,121557,6996,34205,28.14
FINCABLES, EQ, 11-Nov-2021,492.45,493.0,512.0,491.0,496.0,496.95,505.66,553064,24199,143289,25.91
FINCABLES, EQ, 12-Nov-2021,496.95,498.9,509.9,488.4,509.0,505.05,503.19,293324,10894,74603,25.43
FINCABLES, EQ, 15-Nov-2021,505.05,510.0,554.95,510.0,549.9,550.95,539.32,2479531,54281,1012947,40.85
FINCABLES, EQ, 16-Nov-2021,550.95,554.0,598.0,551.0,585.45,587.85,583.37,3329360,91219,838881,25.2
FINCABLES, EQ, 17-Nov-2021,587.85,584.0,605.0,573.2,603.0,600.0,590.71,1222195,41732,255485,20.9
FINCABLES, EQ, 18-Nov-2021,600.0,601.0,607.5,575.6,583.95,585.9,590.73,615943,22962,167479,27.19
FINCABLES, EQ, 22-Nov-2021,585.9,591.4,608.6,571.7,585.0,586.35,590.49,708269,29842,214062,30.22
FINCABLES, EQ, 23-Nov-2021,586.35,588.45,593.4,576.75,581.0,581.7,586.23,453755,18102,213877,47.13
FINCABLES, EQ, 24-Nov-2021,581.7,587.9,592.95,560.55,563.95,566.85,580.21,313640,23218,104088,33.19
