SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
FRETAIL, EQ, 17-Sep-2021,48.2,48.5,48.75,47.0,47.45,47.35,47.71,2069791,9893,1513541,73.13
FRETAIL, EQ, 20-Sep-2021,47.35,47.8,48.75,47.0,47.2,47.1,47.76,1483280,7833,691924,46.65
FRETAIL, EQ, 21-Sep-2021,47.1,48.0,48.1,46.65,47.1,47.1,47.24,997778,5662,578746,58.0
FRETAIL, EQ, 22-Sep-2021,47.1,47.15,48.05,47.15,47.7,47.65,47.64,885924,5090,526629,59.44
FRETAIL, EQ, 23-Sep-2021,47.65,48.45,48.45,47.6,47.95,47.95,48.05,861472,4913,509695,59.17
FRETAIL, EQ, 24-Sep-2021,47.95,48.0,48.45,47.4,47.7,47.55,47.84,915249,6242,525006,57.36
FRETAIL, EQ, 27-Sep-2021,47.55,47.95,47.95,47.0,47.15,47.05,47.26,823708,5306,548280,66.56
FRETAIL, EQ, 28-Sep-2021,47.05,47.9,51.75,47.3,51.75,51.75,49.61,2948968,12012,1899529,64.41
FRETAIL, EQ, 29-Sep-2021,51.75,56.9,56.9,53.5,54.25,54.0,55.0,9025538,46451,4141134,45.88
FRETAIL, EQ, 30-Sep-2021,54.0,54.4,54.4,51.7,51.9,51.85,52.61,2031042,12739,1112191,54.76
FRETAIL, EQ, 01-Oct-2021,51.85,51.85,52.7,50.6,52.5,52.0,51.39,1914474,11564,1093864,57.14
FRETAIL, EQ, 04-Oct-2021,52.0,54.0,54.0,51.55,51.85,51.85,52.48,2041857,11809,1309201,64.12
FRETAIL, EQ, 05-Oct-2021,51.85,51.3,52.75,51.05,51.3,51.55,51.81,2690819,11157,1226487,45.58
FRETAIL, EQ, 06-Oct-2021,51.55,51.1,52.5,50.6,51.05,50.85,51.44,1423568,8733,848570,59.61
FRETAIL, EQ, 07-Oct-2021,50.85,51.4,52.75,51.35,52.1,52.0,52.13,1972279,14872,1038724,52.67
FRETAIL, EQ, 08-Oct-2021,52.0,52.8,56.0,52.45,54.0,53.75,53.88,3765670,24066,1611120,42.78
FRETAIL, EQ, 11-Oct-2021,53.75,55.0,55.95,53.3,53.5,53.45,54.34,2573406,15481,1409239,54.76
FRETAIL, EQ, 12-Oct-2021,53.45,55.65,61.7,54.2,60.4,59.0,58.61,18448800,72516,5210803,28.24
FRETAIL, EQ, 13-Oct-2021,59.0,60.95,61.4,56.8,56.95,57.35,58.4,6651225,30729,2583275,38.84
FRETAIL, EQ, 14-Oct-2021,57.35,57.7,57.7,56.0,56.15,56.15,56.41,2030016,10554,1005718,49.54
FRETAIL, EQ, 18-Oct-2021,56.15,56.35,61.9,52.8,54.95,57.75,56.57,7858547,31548,3066652,39.02
FRETAIL, EQ, 19-Oct-2021,57.75,57.8,59.3,53.5,54.7,55.15,56.69,5643246,23052,2453672,43.48
FRETAIL, EQ, 20-Oct-2021,55.15,54.8,54.9,53.25,53.6,53.55,53.93,2140948,12548,974452,45.51
FRETAIL, EQ, 21-Oct-2021,53.55,50.55,53.25,50.55,51.5,51.45,51.54,4196556,19235,1715413,40.88
FRETAIL, EQ, 22-Oct-2021,51.45,51.85,52.2,50.0,50.35,50.15,50.94,2380802,13663,1134741,47.66
FRETAIL, EQ, 25-Oct-2021,50.15,50.25,50.35,47.7,48.8,48.5,48.72,2029161,13574,1051864,51.84
FRETAIL, EQ, 26-Oct-2021,48.5,48.8,50.45,48.6,49.75,49.6,49.6,1552146,9676,611407,39.39
FRETAIL, EQ, 27-Oct-2021,49.6,49.75,51.0,49.0,49.5,49.45,50.04,1647394,12240,549547,33.36
FRETAIL, EQ, 28-Oct-2021,49.45,49.45,49.95,48.0,48.1,48.25,48.67,1424579,11671,728259,51.12
FRETAIL, EQ, 29-Oct-2021,48.25,48.25,50.0,47.5,48.2,48.1,48.37,2326634,14414,733757,31.54
FRETAIL, EQ, 01-Nov-2021,48.1,47.05,48.7,47.0,47.8,48.0,47.71,1448792,9938,561958,38.79
FRETAIL, EQ, 02-Nov-2021,48.0,48.3,49.25,48.2,48.6,48.5,48.61,823496,6842,393948,47.84
FRETAIL, EQ, 03-Nov-2021,48.5,49.0,50.5,48.75,49.65,49.8,49.46,1215149,7313,573808,47.22
FRETAIL, EQ, 08-Nov-2021,50.05,50.5,50.95,48.85,50.05,49.9,50.18,1253633,9118,527486,42.08
FRETAIL, EQ, 09-Nov-2021,49.9,49.3,50.25,49.1,49.35,49.3,49.51,1277938,8024,627389,49.09
FRETAIL, EQ, 10-Nov-2021,49.3,49.9,50.3,49.2,49.55,49.45,49.7,1165635,7620,486898,41.77
FRETAIL, EQ, 11-Nov-2021,49.45,49.9,51.6,48.85,49.8,49.8,50.25,3369592,18721,847583,25.15
FRETAIL, EQ, 12-Nov-2021,49.8,49.8,50.1,49.45,49.75,49.75,49.75,905752,5931,412709,45.57
FRETAIL, EQ, 15-Nov-2021,49.75,50.25,51.3,49.4,50.1,49.95,50.26,2188671,14963,725935,33.17
FRETAIL, EQ, 16-Nov-2021,49.95,49.95,51.4,49.25,50.7,50.5,50.52,2628863,14261,881944,33.55
FRETAIL, EQ, 17-Nov-2021,50.5,51.1,51.4,49.85,50.2,50.1,50.42,1199380,7143,556379,46.39
FRETAIL, EQ, 18-Nov-2021,50.1,50.1,50.3,48.35,48.65,48.5,48.92,1417071,11090,739649,52.2
FRETAIL, EQ, 22-Nov-2021,48.5,48.95,48.95,47.1,48.0,48.0,48.03,1367618,9962,723050,52.87
FRETAIL, EQ, 23-Nov-2021,48.0,49.0,51.5,48.6,50.6,50.25,50.5,4090342,21119,1327261,32.45
FRETAIL, EQ, 24-Nov-2021,50.25,52.0,52.0,50.0,50.45,50.4,50.63,1336636,9449,602738,45.09
FRETAIL, EQ, 25-Nov-2021,50.4,50.8,53.25,50.0,52.35,52.1,51.32,2928999,16254,1145384,39.1
FRETAIL, EQ, 26-Nov-2021,52.1,52.0,52.5,49.9,50.45,50.25,51.3,2492799,13629,1174269,47.11
FRETAIL, EQ, 29-Nov-2021,50.25,50.45,55.25,48.3,51.75,52.3,52.06,5347316,33045,1237355,23.14
FRETAIL, EQ, 30-Nov-2021,52.3,52.4,52.4,49.0,49.5,49.6,50.58,2228402,14167,945525,42.43
FRETAIL, EQ, 01-Dec-2021,49.6,50.0,50.8,48.65,48.85,48.95,49.13,1769699,10580,659111,37.24
FRETAIL, EQ, 02-Dec-2021,48.95,48.15,49.35,48.15,48.8,48.9,48.9,1148504,7848,437431,38.09
FRETAIL, EQ, 03-Dec-2021,48.9,48.85,49.7,48.65,49.0,49.1,49.19,1126304,7553,457758,40.64
FRETAIL, EQ, 06-Dec-2021,49.1,49.25,49.5,48.3,48.75,48.7,49.08,1460649,9833,610407,41.79
FRETAIL, EQ, 07-Dec-2021,48.7,48.7,49.3,48.6,48.8,48.8,49.02,829492,5505,449981,54.25
FRETAIL, EQ, 08-Dec-2021,48.8,49.0,49.5,48.3,48.45,48.45,48.87,1134526,7376,663012,58.44
FRETAIL, EQ, 09-Dec-2021,48.45,48.7,49.5,48.4,48.7,48.65,48.71,1372924,7830,555702,40.48
FRETAIL, EQ, 10-Dec-2021,48.65,48.8,51.55,48.55,50.15,50.05,50.38,5728914,21024,1508139,26.33
FRETAIL, EQ, 13-Dec-2021,50.05,50.8,51.5,49.2,49.9,49.45,50.19,2127633,10615,799079,37.56
FRETAIL, EQ, 14-Dec-2021,49.45,49.4,49.55,48.5,49.0,48.85,48.99,1633011,7329,872033,53.4
FRETAIL, EQ, 15-Dec-2021,48.85,49.4,49.45,48.2,48.5,48.45,48.66,1235940,6637,740610,59.92
FRETAIL, EQ, 16-Dec-2021,48.45,49.25,49.3,47.75,48.2,47.95,48.24,1679521,7919,903594,53.8
FRETAIL, EQ, 17-Dec-2021,47.95,48.05,48.85,47.75,47.85,47.95,48.15,2029112,8238,1179459,58.13
FRETAIL, EQ, 20-Dec-2021,47.95,57.5,57.5,55.3,57.5,57.5,57.33,19720702,28927,8027056,40.7
FRETAIL, EQ, 21-Dec-2021,57.5,62.0,63.7,53.2,54.25,54.35,56.8,18685270,78977,4764080,25.5
FRETAIL, EQ, 22-Dec-2021,54.35,54.75,55.9,53.7,54.55,54.7,54.89,3905946,18941,1093890,28.01
FRETAIL, EQ, 23-Dec-2021,54.7,55.0,55.0,51.4,51.75,51.85,52.94,4023061,17801,1547941,38.48
FRETAIL, EQ, 24-Dec-2021,51.85,52.2,52.2,49.8,50.15,50.1,50.34,2976020,13402,1203059,40.43
FRETAIL, EQ, 27-Dec-2021,50.1,50.1,50.6,49.3,49.45,49.5,49.91,2156148,10646,1017603,47.2
FRETAIL, EQ, 28-Dec-2021,49.5,49.65,49.9,49.0,49.6,49.55,49.59,1786000,9065,1015787,56.87
FRETAIL, EQ, 29-Dec-2021,49.55,49.5,49.85,49.1,49.65,49.6,49.58,1162538,5367,581890,50.05
FRETAIL, EQ, 30-Dec-2021,49.6,49.7,49.9,49.0,49.2,49.1,49.34,1175956,6309,681889,57.99
FRETAIL, EQ, 31-Dec-2021,49.1,49.4,51.7,49.25,50.7,50.95,50.73,2667200,13817,1087501,40.77
FRETAIL, EQ, 03-Jan-2022,50.95,50.5,51.25,49.0,50.2,50.0,50.34,4298765,18951,1577631,36.7
FRETAIL, EQ, 04-Jan-2022,50.0,51.9,53.35,51.0,51.8,51.65,52.09,6702493,25405,1972334,29.43
FRETAIL, EQ, 05-Jan-2022,51.65,50.0,51.6,48.8,50.6,50.5,50.14,4458190,15575,1324324,29.71
FRETAIL, EQ, 06-Jan-2022,50.5,55.3,55.3,52.65,52.95,53.0,53.62,12444981,36353,2828284,22.73
FRETAIL, EQ, 07-Jan-2022,53.0,53.1,53.5,52.15,52.55,52.45,52.63,2857897,10018,1095404,38.33
FRETAIL, EQ, 10-Jan-2022,52.45,52.25,53.15,51.65,52.6,52.5,52.44,3204501,11135,1146908,35.79
FRETAIL, EQ, 11-Jan-2022,52.5,52.5,54.0,51.1,51.95,52.3,52.78,3860376,12972,1297517,33.61
FRETAIL, EQ, 12-Jan-2022,52.3,52.5,53.25,52.25,52.5,52.45,52.62,2263155,10130,999274,44.15
FRETAIL, EQ, 13-Jan-2022,52.45,52.5,52.8,51.5,51.7,51.65,52.05,1839444,8965,980493,53.3
FRETAIL, EQ, 14-Jan-2022,51.65,51.2,53.3,51.05,52.3,52.25,51.96,2310840,10704,1088185,47.09
FRETAIL, EQ, 17-Jan-2022,52.25,51.95,52.0,51.5,51.55,51.55,51.65,1373208,6774,848674,61.8
FRETAIL, EQ, 18-Jan-2022,51.55,51.5,51.9,50.25,50.25,50.5,51.05,1636380,7382,953052,58.24
FRETAIL, EQ, 19-Jan-2022,50.5,50.45,51.5,49.65,50.8,50.8,50.25,2139639,8807,1142203,53.38
FRETAIL, EQ, 20-Jan-2022,50.8,50.8,51.25,49.8,49.95,49.9,50.18,1723055,10496,988945,57.39
FRETAIL, EQ, 21-Jan-2022,49.9,51.0,51.8,49.6,49.75,49.85,50.26,2268402,10435,979229,43.17
FRETAIL, EQ, 24-Jan-2022,49.85,51.1,51.1,48.4,48.9,48.65,49.35,2446434,11428,1263961,51.67
FRETAIL, EQ, 25-Jan-2022,48.65,48.9,49.4,47.65,49.0,48.85,48.74,1245792,7068,539880,43.34
FRETAIL, EQ, 27-Jan-2022,48.85,48.8,49.45,47.0,48.3,48.2,48.55,1352733,9564,766727,56.68
FRETAIL, EQ, 28-Jan-2022,48.2,49.0,49.25,48.6,48.95,48.8,48.94,889475,5740,475412,53.45
FRETAIL, EQ, 31-Jan-2022,48.8,49.1,49.6,48.15,48.8,48.7,49.05,1037589,6703,580061,55.9
FRETAIL, EQ, 01-Feb-2022,48.7,49.1,55.9,48.55,48.95,49.2,51.09,7929960,27158,1957385,24.68
FRETAIL, EQ, 02-Feb-2022,49.2,50.05,50.3,49.4,49.8,49.7,49.8,1556339,6740,658910,42.34
FRETAIL, EQ, 03-Feb-2022,49.7,49.8,50.4,47.8,48.5,48.2,48.97,2621444,11332,1322109,50.43
FRETAIL, EQ, 04-Feb-2022,48.2,47.6,47.95,46.5,47.35,47.35,47.4,2518548,10110,1223909,48.6
FRETAIL, EQ, 07-Feb-2022,47.35,47.35,47.9,46.9,47.05,47.1,47.22,1593436,7665,868734,54.52
FRETAIL, EQ, 08-Feb-2022,47.1,47.5,49.1,47.2,48.35,48.2,47.99,2543549,10327,816800,32.11
FRETAIL, EQ, 09-Feb-2022,48.2,49.4,49.4,47.8,48.25,48.1,48.3,1209499,7097,603962,49.93
FRETAIL, EQ, 10-Feb-2022,48.1,47.9,48.0,47.35,47.55,47.55,47.69,1290625,6310,562131,43.55
FRETAIL, EQ, 11-Feb-2022,47.55,47.5,47.55,47.05,47.25,47.15,47.27,1203520,4529,520680,43.26
FRETAIL, EQ, 14-Feb-2022,47.15,46.55,46.9,45.0,45.2,45.15,46.02,1588830,8145,705292,44.39
FRETAIL, EQ, 15-Feb-2022,45.15,45.2,47.25,44.3,45.8,45.95,45.74,2800161,15772,609733,21.77
FRETAIL, EQ, 16-Feb-2022,45.95,46.5,47.95,46.25,47.6,47.7,47.39,2029471,7740,546948,26.95
FRETAIL, EQ, 17-Feb-2022,47.7,47.95,48.25,47.0,47.1,47.3,47.54,2357723,7759,426107,18.07
FRETAIL, EQ, 18-Feb-2022,47.3,47.15,47.3,46.65,47.0,46.85,46.92,1906930,7463,318820,16.72
FRETAIL, EQ, 21-Feb-2022,46.85,47.3,47.75,46.0,46.25,46.15,46.58,2275301,8460,592823,26.05
FRETAIL, EQ, 22-Feb-2022,46.15,44.2,45.75,44.2,44.8,44.55,44.73,3223491,12306,808191,25.07
FRETAIL, EQ, 23-Feb-2022,44.55,44.6,48.0,44.6,47.8,47.1,46.12,4062978,14231,798626,19.66
FRETAIL, EQ, 24-Feb-2022,47.1,46.25,46.45,42.8,43.05,43.15,44.78,5141913,18838,1803006,35.06
FRETAIL, EQ, 25-Feb-2022,43.15,45.0,46.35,45.0,45.65,45.8,45.76,3370168,13714,886327,26.3
FRETAIL, EQ, 28-Feb-2022,45.8,47.0,51.7,47.0,48.7,49.0,49.64,16021207,58879,3852769,24.05
FRETAIL, EQ, 02-Mar-2022,49.0,51.3,52.0,49.25,49.6,49.7,50.27,9470370,33169,2207625,23.31
FRETAIL, EQ, 03-Mar-2022,49.7,51.0,51.2,48.1,48.85,48.75,49.09,6300044,21788,1248376,19.82
FRETAIL, EQ, 04-Mar-2022,48.75,51.0,51.0,49.0,50.0,49.9,49.68,5122951,17438,1444042,28.19
FRETAIL, EQ, 08-Mar-2022,48.65,48.5,49.3,48.25,48.85,48.9,48.83,3355013,11840,757786,22.59
FRETAIL, EQ, 09-Mar-2022,48.9,49.0,49.3,48.5,48.7,48.8,48.96,1967387,7334,750211,38.13
