SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
FSL, EQ, 17-Sep-2021,202.4,204.05,209.45,200.55,208.0,207.8,205.99,9211305,61360,2747143,29.82
FSL, EQ, 20-Sep-2021,207.8,207.3,214.0,201.0,203.5,203.8,209.93,9011970,76007,2241971,24.88
FSL, EQ, 21-Sep-2021,203.8,204.6,207.4,193.35,196.6,196.45,198.32,6586813,51439,2070733,31.44
FSL, EQ, 22-Sep-2021,196.45,197.6,204.3,197.45,201.15,201.0,201.15,3716672,28718,883420,23.77
FSL, EQ, 23-Sep-2021,201.0,202.85,204.25,195.55,199.05,199.2,201.27,2569970,31102,1194746,46.49
FSL, EQ, 24-Sep-2021,199.2,201.0,204.8,197.0,197.9,197.85,200.9,3658576,31211,1039125,28.4
FSL, EQ, 27-Sep-2021,197.85,199.8,199.8,194.1,195.4,195.2,196.21,2051923,20784,756097,36.85
FSL, EQ, 28-Sep-2021,195.2,196.3,198.35,193.15,195.05,195.35,195.31,2959919,27795,1056870,35.71
FSL, EQ, 29-Sep-2021,195.35,193.5,197.0,192.05,195.9,195.45,195.1,1752343,17589,497647,28.4
FSL, EQ, 30-Sep-2021,195.45,196.4,196.9,194.15,195.7,195.5,195.14,1660603,15514,703849,42.39
FSL, EQ, 01-Oct-2021,195.5,195.0,197.55,193.3,195.2,195.15,195.2,1962124,19862,624984,31.85
FSL, EQ, 04-Oct-2021,195.15,196.15,197.65,195.0,195.1,195.9,195.8,1350203,14823,562832,41.68
FSL, EQ, 05-Oct-2021,195.9,195.1,195.7,193.1,194.0,194.0,194.08,1801504,16569,920320,51.09
FSL, EQ, 06-Oct-2021,194.0,195.05,199.9,192.85,193.4,193.55,196.48,3372846,29440,1349427,40.01
FSL, EQ, 07-Oct-2021,193.55,200.0,210.8,200.0,207.0,206.65,206.35,12578874,107287,4537172,36.07
FSL, EQ, 08-Oct-2021,206.65,208.45,214.45,207.0,210.65,211.4,211.21,8270252,73616,2757135,33.34
