SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GATI, EQ, 17-Sep-2021,140.25,141.25,142.5,137.0,139.0,139.1,139.43,537642,7416,249871,46.48
GATI, EQ, 20-Sep-2021,139.1,138.65,141.1,135.8,136.45,136.55,138.65,348155,4596,157711,45.3
GATI, EQ, 21-Sep-2021,136.55,136.6,138.85,132.3,137.1,137.45,135.25,329479,6169,135925,41.25
GATI, EQ, 22-Sep-2021,137.45,138.4,144.4,138.0,141.0,141.2,141.89,925318,11405,306406,33.11
GATI, EQ, 23-Sep-2021,141.2,141.75,143.0,139.0,139.4,139.5,140.54,355342,4000,202577,57.01
GATI, EQ, 24-Sep-2021,139.5,140.5,140.65,135.0,136.7,136.4,137.9,485884,8774,215529,44.36
GATI, EQ, 27-Sep-2021,136.4,136.7,139.65,135.15,136.65,136.95,137.1,399339,5991,142740,35.74
GATI, EQ, 28-Sep-2021,136.95,136.0,139.6,136.0,137.0,136.7,137.24,275048,5953,100366,36.49
GATI, EQ, 29-Sep-2021,136.7,136.0,139.0,135.9,136.25,136.6,137.3,236700,5072,94477,39.91
GATI, EQ, 30-Sep-2021,136.6,137.9,138.95,135.55,136.5,136.15,137.14,267006,5906,134035,50.2
GATI, EQ, 01-Oct-2021,136.15,135.1,138.15,135.1,136.8,137.15,136.68,246106,3124,116273,47.25
GATI, EQ, 04-Oct-2021,137.15,139.15,142.95,136.65,140.5,140.1,139.69,727870,11229,319634,43.91
GATI, EQ, 05-Oct-2021,140.1,140.0,146.75,139.15,144.5,144.8,144.94,1519189,17074,652599,42.96
GATI, EQ, 06-Oct-2021,144.8,145.65,156.75,145.4,151.7,150.05,151.92,2385400,30860,946978,39.7
GATI, EQ, 07-Oct-2021,150.05,152.0,157.6,152.0,153.1,153.5,154.41,1252654,17519,476422,38.03
GATI, EQ, 08-Oct-2021,153.5,154.1,154.4,150.1,150.6,150.8,151.54,606884,7082,313910,51.72
GATI, EQ, 11-Oct-2021,150.8,150.9,153.55,149.85,150.2,150.4,151.3,329507,4824,146337,44.41
GATI, EQ, 12-Oct-2021,150.4,151.45,152.3,145.85,146.9,146.65,148.28,488006,8614,243311,49.86
GATI, EQ, 13-Oct-2021,146.65,147.65,148.55,145.6,147.1,146.9,146.76,521613,11889,302596,58.01
GATI, EQ, 14-Oct-2021,146.9,147.0,151.5,145.5,146.9,146.65,147.71,599003,10979,288669,48.19
GATI, EQ, 18-Oct-2021,146.65,147.25,150.9,145.0,146.2,145.55,147.78,533261,9196,323654,60.69
GATI, EQ, 19-Oct-2021,145.55,146.85,147.8,141.4,143.45,143.4,145.31,559922,9909,220152,39.32
GATI, EQ, 20-Oct-2021,143.4,144.4,144.4,137.8,139.45,138.8,140.42,730037,13268,344695,47.22
GATI, EQ, 21-Oct-2021,138.8,140.05,140.35,137.2,139.0,138.4,138.39,283719,6539,124280,43.8
GATI, EQ, 22-Oct-2021,138.4,142.0,142.0,135.0,137.0,136.7,138.06,395677,9816,176283,44.55
GATI, EQ, 25-Oct-2021,136.7,136.7,142.65,133.2,139.0,139.1,138.07,608186,16544,226440,37.23
GATI, EQ, 26-Oct-2021,139.1,140.0,143.4,139.6,141.8,141.3,141.28,386023,10597,169971,44.03
GATI, EQ, 27-Oct-2021,141.3,143.95,148.4,141.0,141.2,141.75,144.61,1205740,18914,387719,32.16
GATI, EQ, 28-Oct-2021,141.75,140.05,142.5,136.8,138.0,138.25,140.11,293232,6093,139872,47.7
GATI, EQ, 29-Oct-2021,138.25,139.2,142.2,136.0,138.6,138.45,139.68,385177,6541,153620,39.88
GATI, EQ, 01-Nov-2021,138.45,141.6,141.7,138.25,140.75,141.05,140.4,233576,4258,103565,44.34
GATI, EQ, 02-Nov-2021,141.05,143.0,156.8,141.9,154.4,154.0,151.39,3358386,41567,990195,29.48
GATI, EQ, 03-Nov-2021,154.0,153.95,154.3,148.5,149.6,150.05,151.73,1288336,18747,479019,37.18
GATI, EQ, 08-Nov-2021,156.85,158.8,173.75,158.05,171.25,171.15,166.91,5149542,54982,1996612,38.77
GATI, EQ, 09-Nov-2021,171.15,170.65,179.0,164.15,176.9,176.6,175.41,3506814,41933,1354765,38.63
GATI, EQ, 10-Nov-2021,176.6,174.0,183.8,173.1,180.2,179.7,179.16,3148649,37080,1004396,31.9
GATI, EQ, 11-Nov-2021,179.7,179.9,181.7,173.05,178.1,178.05,178.24,1337009,19601,421690,31.54
GATI, EQ, 12-Nov-2021,178.05,178.5,178.5,167.65,169.0,169.1,171.47,997431,14500,337036,33.79
GATI, EQ, 15-Nov-2021,169.1,173.5,177.0,172.05,173.75,174.25,174.69,1075195,15779,445081,41.4
GATI, EQ, 16-Nov-2021,174.25,174.4,175.0,168.0,168.4,168.65,170.26,549185,9387,200321,36.48
GATI, EQ, 17-Nov-2021,168.65,166.5,170.2,162.0,162.8,163.3,166.22,613020,8220,223607,36.48
GATI, EQ, 18-Nov-2021,163.3,162.85,164.5,157.0,157.3,157.45,160.37,467139,8325,180264,38.59
GATI, EQ, 22-Nov-2021,157.45,155.15,163.7,152.0,154.95,154.75,157.53,832144,15711,281569,33.84
GATI, EQ, 23-Nov-2021,154.75,155.0,161.9,154.05,161.0,161.1,159.39,601995,12809,211178,35.08
GATI, EQ, 24-Nov-2021,161.1,162.0,173.95,161.15,168.55,169.2,169.72,2615624,32833,703049,26.88
GATI, EQ, 25-Nov-2021,169.2,169.55,171.5,165.25,168.5,168.05,168.24,1048986,17139,288834,27.53
GATI, EQ, 26-Nov-2021,168.05,166.9,167.5,155.0,156.2,155.55,160.45,946580,16705,477408,50.44
GATI, EQ, 29-Nov-2021,155.55,155.0,155.4,144.05,150.0,150.4,151.48,580413,13431,173270,29.85
GATI, EQ, 30-Nov-2021,150.4,151.7,161.5,146.75,147.55,147.65,152.98,1176782,19144,316611,26.9
GATI, EQ, 01-Dec-2021,147.65,151.4,157.0,148.1,156.0,154.4,152.09,827381,14838,219166,26.49
GATI, EQ, 02-Dec-2021,154.4,154.5,160.55,154.0,157.8,158.55,158.02,883359,16156,266380,30.16
GATI, EQ, 03-Dec-2021,158.55,157.8,161.5,155.7,156.2,156.25,158.9,505968,12319,180757,35.72
GATI, EQ, 06-Dec-2021,156.25,156.6,158.6,150.3,151.0,151.0,154.47,374915,6255,149579,39.9
GATI, EQ, 07-Dec-2021,151.0,152.3,155.15,151.4,153.15,153.05,153.58,306392,5706,82229,26.84
GATI, EQ, 08-Dec-2021,153.05,154.45,163.4,154.4,161.35,161.8,159.69,1002444,19296,360239,35.94
GATI, EQ, 09-Dec-2021,161.8,161.7,162.7,158.0,159.4,158.95,159.73,409246,6741,132168,32.3
GATI, EQ, 10-Dec-2021,158.95,158.0,162.6,157.0,159.5,160.15,159.88,478380,8798,141247,29.53
GATI, EQ, 13-Dec-2021,160.15,161.4,166.5,159.15,159.75,160.25,162.97,956204,15789,274684,28.73
GATI, EQ, 14-Dec-2021,160.25,159.0,168.7,158.95,167.95,167.4,164.86,1147331,15218,441030,38.44
GATI, EQ, 15-Dec-2021,167.4,168.3,180.5,167.5,174.0,174.7,175.37,4136828,52742,1316655,31.83
GATI, EQ, 16-Dec-2021,174.7,174.75,176.9,169.4,175.65,175.6,173.4,1445847,21593,489885,33.88
GATI, EQ, 17-Dec-2021,175.6,175.9,175.9,165.55,167.5,166.9,170.81,785967,10552,290048,36.9
GATI, EQ, 20-Dec-2021,166.9,164.0,168.8,154.5,167.0,166.15,161.04,1074636,13260,440618,41.0
GATI, EQ, 21-Dec-2021,166.15,168.15,172.8,164.3,165.95,165.55,168.7,851152,12800,258698,30.39
GATI, EQ, 22-Dec-2021,165.55,166.95,172.3,166.95,169.75,170.0,169.94,717816,10473,256104,35.68
GATI, EQ, 23-Dec-2021,170.0,170.4,199.0,170.4,195.5,195.9,189.44,10742052,104169,2164458,20.15
GATI, EQ, 24-Dec-2021,195.9,195.8,198.6,188.2,188.9,189.5,193.59,4799710,65046,764828,15.93
GATI, EQ, 27-Dec-2021,189.5,190.0,206.0,188.0,198.75,199.15,200.03,7326826,77285,1238243,16.9
GATI, EQ, 28-Dec-2021,199.15,200.7,202.25,191.2,192.1,192.25,196.08,2071004,26067,592025,28.59
