SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GHCL, EQ, 17-Sep-2021,408.6,411.5,413.8,381.55,400.0,395.55,395.62,934773,21144,387321,41.43
GHCL, EQ, 20-Sep-2021,395.55,391.0,401.05,370.5,377.9,379.55,388.37,494220,11549,241760,48.92
GHCL, EQ, 21-Sep-2021,379.55,381.2,384.4,367.05,379.8,379.15,375.75,570695,13311,213515,37.41
GHCL, EQ, 22-Sep-2021,379.15,384.5,404.0,381.7,395.0,396.2,396.73,807835,18979,245071,30.34
GHCL, EQ, 23-Sep-2021,396.2,399.9,410.95,394.4,395.5,397.45,403.45,501332,11386,229018,45.68
GHCL, EQ, 24-Sep-2021,397.45,399.8,423.9,398.2,420.8,419.5,416.49,1808357,32993,659726,36.48
GHCL, EQ, 27-Sep-2021,419.5,425.0,442.0,422.1,442.0,439.2,433.57,2344462,41218,677448,28.9
GHCL, EQ, 28-Sep-2021,439.2,444.7,445.8,421.25,430.05,430.85,430.06,762724,18394,273059,35.8
GHCL, EQ, 29-Sep-2021,430.85,427.05,449.9,423.6,448.0,445.0,439.31,720186,13629,332070,46.11
GHCL, EQ, 30-Sep-2021,445.0,448.9,455.5,435.5,444.3,445.45,447.82,709269,16003,266145,37.52
GHCL, EQ, 01-Oct-2021,445.45,441.0,454.8,432.1,447.0,448.85,445.15,662670,16287,190472,28.74
GHCL, EQ, 04-Oct-2021,448.85,459.0,468.0,457.5,465.1,465.2,462.39,904854,19847,349968,38.68
GHCL, EQ, 05-Oct-2021,465.2,467.0,479.8,463.55,478.0,476.65,472.7,711340,17881,227479,31.98
GHCL, EQ, 06-Oct-2021,476.65,478.5,483.0,458.05,461.0,461.15,471.0,705333,18358,290402,41.17
GHCL, EQ, 07-Oct-2021,461.15,465.05,478.4,451.05,454.0,454.15,460.48,311045,8109,182827,58.78
GHCL, EQ, 08-Oct-2021,454.15,455.9,464.0,442.05,444.0,444.4,447.46,376107,12997,195535,51.99
GHCL, EQ, 11-Oct-2021,444.4,447.45,453.7,435.0,437.55,437.95,445.38,234208,7764,115548,49.34
GHCL, EQ, 12-Oct-2021,437.95,439.0,460.0,439.0,454.25,456.3,453.4,420336,12007,221831,52.77
GHCL, EQ, 13-Oct-2021,456.3,459.4,474.75,451.2,456.0,459.0,460.92,353413,11090,191563,54.2
GHCL, EQ, 14-Oct-2021,459.0,460.45,469.0,443.85,458.0,458.35,461.55,497993,20306,341568,68.59
GHCL, EQ, 18-Oct-2021,458.35,465.4,473.65,461.0,465.85,466.95,467.85,304071,10504,182509,60.02
GHCL, EQ, 19-Oct-2021,466.95,469.95,474.5,447.75,454.0,452.05,461.48,277019,7916,175785,63.46
GHCL, EQ, 20-Oct-2021,452.05,450.0,453.75,424.4,429.0,430.35,437.02,268223,8175,138596,51.67
GHCL, EQ, 21-Oct-2021,430.35,427.0,458.4,427.0,453.0,449.95,442.02,296600,8994,179619,60.56
GHCL, EQ, 22-Oct-2021,449.95,450.0,464.85,436.4,449.9,449.55,449.29,323227,13997,190856,59.05
GHCL, EQ, 25-Oct-2021,449.55,450.0,453.9,421.0,422.0,423.65,433.79,285226,9725,168303,59.01
GHCL, EQ, 26-Oct-2021,423.65,425.0,439.95,425.0,427.1,428.85,430.64,151702,5840,91840,60.54
GHCL, EQ, 27-Oct-2021,428.85,432.3,440.85,425.9,429.8,429.1,433.02,162465,5989,93767,57.72
GHCL, EQ, 28-Oct-2021,429.1,429.1,435.4,405.0,414.0,418.7,428.48,293659,7269,211422,72.0
GHCL, EQ, 29-Oct-2021,418.7,419.0,435.75,408.0,421.5,422.15,424.44,188806,8140,90146,47.75
GHCL, EQ, 01-Nov-2021,422.15,434.0,434.9,424.7,425.1,426.7,429.81,98063,4439,55171,56.26
GHCL, EQ, 02-Nov-2021,426.7,428.0,438.2,427.0,433.0,432.55,433.39,141517,6119,87755,62.01
GHCL, EQ, 03-Nov-2021,432.55,435.0,435.15,420.1,421.25,422.4,426.82,92448,5240,54492,58.94
GHCL, EQ, 08-Nov-2021,428.4,435.0,435.0,420.05,420.35,423.05,425.82,82748,2836,55458,67.02
GHCL, EQ, 09-Nov-2021,423.05,423.05,435.55,423.0,424.5,424.9,427.57,104128,4243,60713,58.31
GHCL, EQ, 10-Nov-2021,424.9,426.5,428.4,417.6,420.45,419.35,421.65,106073,3587,65347,61.61
GHCL, EQ, 11-Nov-2021,419.35,420.55,425.8,417.2,423.0,421.35,420.53,75712,2316,48520,64.08
GHCL, EQ, 12-Nov-2021,421.35,425.0,429.3,412.35,420.0,415.5,419.58,96583,4207,53665,55.56
GHCL, EQ, 15-Nov-2021,415.5,417.5,417.95,393.2,412.45,411.8,407.98,191453,7257,111667,58.33
GHCL, EQ, 16-Nov-2021,411.8,412.95,420.0,401.5,406.95,404.5,414.14,204908,5479,162768,79.43
GHCL, EQ, 17-Nov-2021,404.5,407.95,409.8,393.0,394.5,394.3,398.61,174575,11220,138851,79.54
GHCL, EQ, 18-Nov-2021,394.3,397.0,401.8,378.25,382.45,385.4,386.8,210178,6976,130675,62.17
GHCL, EQ, 22-Nov-2021,385.4,385.4,386.5,359.65,363.55,362.15,369.43,170462,7584,105095,61.65
GHCL, EQ, 23-Nov-2021,362.15,365.0,381.9,360.7,381.9,378.0,373.84,161852,4204,104608,64.63
GHCL, EQ, 24-Nov-2021,378.0,392.0,392.0,372.25,374.0,376.5,382.72,142394,5583,73477,51.6
GHCL, EQ, 25-Nov-2021,376.5,385.0,399.1,375.0,399.0,392.25,383.61,135903,4442,86707,63.8
GHCL, EQ, 26-Nov-2021,392.25,390.0,390.25,373.0,376.0,375.35,379.16,125627,5614,64438,51.29
GHCL, EQ, 29-Nov-2021,375.35,382.0,395.0,377.35,386.0,386.2,386.32,325958,11855,188760,57.91
GHCL, EQ, 30-Nov-2021,386.2,396.0,399.2,382.05,392.0,394.5,392.91,411148,13567,263987,64.21
GHCL, EQ, 01-Dec-2021,394.5,394.5,420.0,393.35,418.95,418.0,408.17,648598,19108,340270,52.46
GHCL, EQ, 02-Dec-2021,418.0,425.0,429.5,405.9,410.9,410.35,419.42,365844,8809,217189,59.37
GHCL, EQ, 03-Dec-2021,410.35,405.1,432.0,405.1,425.0,424.6,424.36,348695,9875,215108,61.69
GHCL, EQ, 06-Dec-2021,424.6,430.0,434.9,407.5,411.0,409.65,422.31,386294,9099,248101,64.23
GHCL, EQ, 07-Dec-2021,409.65,425.0,427.4,393.8,399.7,398.95,404.65,646702,24717,265698,41.09
GHCL, EQ, 08-Dec-2021,398.95,400.0,400.0,390.0,392.4,390.85,394.05,177147,6450,98587,55.65
GHCL, EQ, 09-Dec-2021,390.85,391.5,411.05,390.0,404.1,404.35,403.19,268270,8444,133544,49.78
GHCL, EQ, 10-Dec-2021,404.35,409.5,412.2,402.65,406.7,405.95,407.76,162041,6208,95499,58.94
GHCL, EQ, 13-Dec-2021,405.95,410.1,410.15,388.9,394.6,393.35,399.97,176302,7000,87470,49.61
GHCL, EQ, 14-Dec-2021,393.35,393.35,402.0,392.65,397.05,397.3,397.61,87483,4217,38540,44.05
GHCL, EQ, 15-Dec-2021,397.3,397.3,399.3,387.0,387.4,390.05,393.29,62688,2334,36711,58.56
GHCL, EQ, 16-Dec-2021,390.05,392.45,393.65,377.5,382.0,380.15,381.79,132211,7709,71020,53.72
GHCL, EQ, 17-Dec-2021,380.15,380.8,381.8,367.3,371.9,373.15,372.95,111272,5385,62158,55.86
GHCL, EQ, 20-Dec-2021,373.15,373.15,373.2,348.5,358.55,357.5,358.32,112348,4776,62410,55.55
GHCL, EQ, 21-Dec-2021,357.5,362.85,374.0,358.85,360.85,360.65,365.23,77030,4371,37331,48.46
GHCL, EQ, 22-Dec-2021,360.65,363.85,378.95,362.1,370.0,369.15,368.54,94954,3179,42307,44.56
GHCL, EQ, 23-Dec-2021,369.15,376.5,376.5,366.05,367.5,368.4,370.6,42104,1807,21662,51.45
GHCL, EQ, 24-Dec-2021,368.4,371.9,373.1,367.1,369.8,369.45,369.85,44950,1561,19918,44.31
GHCL, EQ, 27-Dec-2021,369.45,370.0,376.85,364.4,367.0,366.15,370.58,116574,4917,61504,52.76
GHCL, EQ, 28-Dec-2021,366.15,369.05,374.9,368.8,373.25,373.8,372.06,50127,2306,27234,54.33
GHCL, EQ, 29-Dec-2021,373.8,373.8,379.3,373.05,376.0,374.4,375.48,41795,1543,24624,58.92
GHCL, EQ, 30-Dec-2021,374.4,374.0,376.5,370.0,373.55,372.5,373.07,45031,2685,26488,58.82
GHCL, EQ, 31-Dec-2021,372.5,372.05,381.9,372.0,379.8,376.75,376.48,71809,2801,38579,53.72
GHCL, EQ, 03-Jan-2022,376.75,376.75,381.35,375.0,378.9,377.8,377.82,59882,2332,32888,54.92
GHCL, EQ, 04-Jan-2022,377.8,381.95,381.95,375.0,379.0,378.8,378.68,75423,3416,43190,57.26
GHCL, EQ, 05-Jan-2022,378.8,379.0,392.25,378.0,384.0,383.2,384.52,180399,6473,92528,51.29
GHCL, EQ, 06-Jan-2022,383.2,381.95,388.9,378.05,386.8,385.8,385.08,92327,3914,54403,58.92
GHCL, EQ, 07-Jan-2022,385.8,390.0,392.0,379.0,383.5,381.6,383.69,122493,5941,80706,65.89
