SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GICRE, EQ, 17-Sep-2021,147.25,147.8,150.8,141.8,149.5,147.8,146.5,2828858,28067,1270494,44.91
GICRE, EQ, 20-Sep-2021,147.8,147.0,147.3,144.15,146.05,145.9,146.03,773605,16549,355930,46.01
GICRE, EQ, 21-Sep-2021,145.9,144.5,146.2,143.55,144.45,144.75,144.74,514251,8998,251863,48.98
GICRE, EQ, 22-Sep-2021,144.75,145.45,145.65,143.5,143.55,143.9,144.21,503125,9030,293571,58.35
GICRE, EQ, 23-Sep-2021,143.9,144.4,145.3,143.1,143.2,143.25,143.79,718832,7563,419959,58.42
GICRE, EQ, 24-Sep-2021,143.25,143.35,148.8,143.15,145.45,145.95,146.29,1197190,15637,379236,31.68
GICRE, EQ, 27-Sep-2021,145.95,147.0,147.0,143.55,143.8,143.95,144.54,574441,8749,322239,56.1
GICRE, EQ, 28-Sep-2021,143.95,144.5,144.8,142.25,142.7,142.65,143.25,469458,6364,260080,55.4
GICRE, EQ, 29-Sep-2021,142.65,142.0,143.6,135.9,136.55,137.6,139.32,2080255,24808,1392266,66.93
GICRE, EQ, 30-Sep-2021,137.6,138.0,147.4,137.5,144.9,145.05,144.59,6973381,67387,977960,14.02
GICRE, EQ, 01-Oct-2021,145.05,144.85,145.4,142.5,144.25,144.2,143.88,751535,11493,252199,33.56
GICRE, EQ, 04-Oct-2021,144.2,144.35,146.0,143.7,144.05,144.2,144.56,534377,6902,264420,49.48
GICRE, EQ, 05-Oct-2021,144.2,144.4,148.9,144.05,144.8,144.85,146.0,1174043,18638,521214,44.39
GICRE, EQ, 06-Oct-2021,144.85,145.0,146.45,142.55,143.35,143.3,144.4,687719,8387,352448,51.25
GICRE, EQ, 07-Oct-2021,143.3,143.7,148.8,143.7,145.45,145.65,146.26,1045546,12146,420976,40.26
GICRE, EQ, 08-Oct-2021,145.65,146.6,147.9,145.0,146.05,146.1,146.16,756928,9504,438322,57.91
GICRE, EQ, 11-Oct-2021,146.1,146.75,147.9,145.4,145.65,145.85,146.36,717771,12100,382352,53.27
GICRE, EQ, 12-Oct-2021,145.85,146.45,146.45,144.55,145.85,145.9,145.39,468630,6539,259060,55.28
GICRE, EQ, 13-Oct-2021,145.9,146.2,152.8,145.5,149.5,149.6,149.9,2567151,29240,991817,38.63
GICRE, EQ, 14-Oct-2021,149.6,150.9,151.8,147.35,147.95,148.0,149.36,779834,9603,381070,48.87
GICRE, EQ, 18-Oct-2021,148.0,148.2,148.9,146.45,146.6,146.75,147.57,846820,8708,500995,59.16
GICRE, EQ, 19-Oct-2021,146.75,147.85,149.5,144.0,144.3,144.25,145.73,733851,9285,383905,52.31
GICRE, EQ, 20-Oct-2021,144.25,144.1,145.0,140.4,140.9,140.9,142.31,1054561,11950,573973,54.43
GICRE, EQ, 21-Oct-2021,140.9,142.0,142.4,139.1,140.05,140.45,140.87,639901,10218,311577,48.69
GICRE, EQ, 22-Oct-2021,140.45,140.1,142.2,137.65,138.95,138.95,139.3,673343,10188,321944,47.81
GICRE, EQ, 25-Oct-2021,138.95,139.0,139.9,135.5,136.0,136.0,136.94,990259,14643,440354,44.47
GICRE, EQ, 26-Oct-2021,136.0,137.0,138.8,135.6,136.4,136.45,136.73,603741,9167,269120,44.58
GICRE, EQ, 27-Oct-2021,136.45,137.0,138.95,136.1,137.8,137.25,137.21,500965,5905,256486,51.2
GICRE, EQ, 28-Oct-2021,137.25,137.2,137.9,134.0,137.0,134.8,135.32,526363,8015,250137,47.52
GICRE, EQ, 29-Oct-2021,134.8,135.2,135.95,132.45,133.2,133.3,133.64,704936,13778,325250,46.14
GICRE, EQ, 01-Nov-2021,133.3,133.6,134.55,131.65,133.5,133.2,132.68,566952,9680,251160,44.3
GICRE, EQ, 02-Nov-2021,133.2,134.1,138.3,133.7,135.9,135.95,136.26,1179437,19012,224485,19.03
