SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GLAND, EQ, 17-Sep-2021,4043.25,4049.7,4179.65,3900.0,3920.0,3962.9,4048.15,266974,34157,142356,53.32
GLAND, EQ, 20-Sep-2021,3962.9,3948.0,3948.0,3869.0,3903.0,3899.7,3906.23,90582,14397,56928,62.85
GLAND, EQ, 21-Sep-2021,3899.7,3901.15,3936.85,3769.55,3867.0,3864.85,3845.12,102715,17500,50799,49.46
GLAND, EQ, 22-Sep-2021,3864.85,3900.1,3933.0,3863.05,3870.0,3877.15,3887.77,39787,7397,17768,44.66
GLAND, EQ, 23-Sep-2021,3877.15,3938.0,3957.0,3867.5,3902.0,3905.25,3918.05,91881,12556,47222,51.39
GLAND, EQ, 24-Sep-2021,3905.25,3930.0,3937.6,3832.0,3838.0,3844.05,3882.61,63278,11908,31236,49.36
GLAND, EQ, 27-Sep-2021,3844.05,3900.0,3900.0,3822.1,3855.25,3846.15,3846.07,53962,11542,22507,41.71
GLAND, EQ, 28-Sep-2021,3846.15,3880.0,3885.0,3649.5,3680.0,3677.6,3720.54,219342,33206,141231,64.39
GLAND, EQ, 29-Sep-2021,3677.6,3677.6,3765.2,3604.3,3716.05,3714.75,3690.0,203786,29994,98320,48.25
GLAND, EQ, 30-Sep-2021,3714.75,3677.65,3760.05,3672.0,3715.0,3719.9,3707.48,168438,23347,100054,59.4
GLAND, EQ, 01-Oct-2021,3719.9,3724.0,3763.95,3704.0,3731.0,3727.6,3730.9,64900,12599,29642,45.67
GLAND, EQ, 04-Oct-2021,3727.6,3760.0,3930.0,3705.05,3870.0,3878.25,3862.65,216740,32220,105801,48.81
GLAND, EQ, 05-Oct-2021,3878.25,3884.0,4050.0,3851.7,4024.3,4030.55,4003.63,302291,25139,178123,58.92
GLAND, EQ, 06-Oct-2021,4030.55,4033.0,4072.0,3880.0,3899.0,3897.4,3942.5,134071,22054,73323,54.69
GLAND, EQ, 07-Oct-2021,3897.4,3929.0,3973.85,3861.25,3872.0,3882.6,3906.72,121557,17048,80385,66.13
GLAND, EQ, 08-Oct-2021,3882.6,3904.9,3905.6,3823.6,3852.9,3850.0,3854.25,80001,17317,43255,54.07
GLAND, EQ, 11-Oct-2021,3850.0,3889.7,3924.6,3786.05,3825.0,3809.6,3843.83,127777,26244,69489,54.38
GLAND, EQ, 12-Oct-2021,3809.6,3838.75,3850.0,3780.0,3791.9,3789.15,3805.21,71424,12232,36963,51.75
GLAND, EQ, 13-Oct-2021,3789.15,3799.9,3811.85,3737.0,3782.0,3779.4,3770.01,122941,15304,82231,66.89
GLAND, EQ, 14-Oct-2021,3779.4,3801.95,3819.9,3765.0,3792.0,3780.5,3786.05,93229,11704,58860,63.13
GLAND, EQ, 18-Oct-2021,3780.5,3809.9,3819.95,3733.7,3755.0,3749.2,3768.23,86911,15623,55689,64.08
GLAND, EQ, 19-Oct-2021,3749.2,3709.2,3808.75,3703.1,3737.0,3737.3,3738.68,76696,12679,36355,47.4
GLAND, EQ, 20-Oct-2021,3737.3,3737.0,3737.0,3511.35,3561.0,3543.1,3633.8,201532,26516,121478,60.28
GLAND, EQ, 21-Oct-2021,3543.1,3580.0,3720.0,3335.45,3575.0,3621.95,3535.91,487252,58903,238969,49.04
GLAND, EQ, 22-Oct-2021,3621.95,3608.9,3725.0,3580.65,3720.05,3693.95,3679.36,192338,23692,100961,52.49
GLAND, EQ, 25-Oct-2021,3693.95,3680.0,3752.0,3312.15,3735.0,3726.4,3564.34,997538,94119,489049,49.03
GLAND, EQ, 26-Oct-2021,3726.4,3755.0,3780.0,3512.5,3590.0,3560.3,3568.93,372705,45057,200325,53.75
GLAND, EQ, 27-Oct-2021,3560.3,3590.0,3613.2,3488.0,3528.0,3521.95,3550.13,186998,28606,106940,57.19
GLAND, EQ, 28-Oct-2021,3521.95,3530.0,3644.95,3465.55,3600.0,3593.4,3528.97,141206,19871,71531,50.66
GLAND, EQ, 29-Oct-2021,3593.4,3599.85,3749.0,3552.95,3673.0,3700.2,3636.64,254944,26695,164210,64.41
GLAND, EQ, 01-Nov-2021,3700.2,3700.0,3725.0,3643.5,3685.0,3681.65,3696.38,227937,20691,169312,74.28
