SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GODREJAGRO, EQ, 17-Sep-2021,657.45,665.0,677.0,654.0,666.1,670.55,667.77,167193,10823,70836,42.37
GODREJAGRO, EQ, 20-Sep-2021,670.55,670.55,688.95,645.2,649.7,651.8,673.95,291939,17450,72124,24.71
GODREJAGRO, EQ, 21-Sep-2021,651.8,652.55,659.0,629.6,644.2,645.85,642.84,167125,9434,37814,22.63
GODREJAGRO, EQ, 22-Sep-2021,645.85,645.85,659.3,645.85,650.8,650.65,651.17,80031,5083,38941,48.66
GODREJAGRO, EQ, 23-Sep-2021,650.65,658.0,658.0,645.25,647.0,647.15,649.76,63643,3806,34796,54.67
GODREJAGRO, EQ, 24-Sep-2021,647.15,656.25,658.0,644.25,646.0,645.8,650.49,92452,5231,44102,47.7
GODREJAGRO, EQ, 27-Sep-2021,645.8,650.0,651.6,631.0,639.0,636.6,641.24,73173,4923,36099,49.33
GODREJAGRO, EQ, 28-Sep-2021,636.6,640.5,652.75,635.1,640.0,641.0,642.88,100127,6173,26175,26.14
GODREJAGRO, EQ, 29-Sep-2021,641.0,636.8,644.05,633.25,634.0,633.85,635.91,128293,5468,91422,71.26
GODREJAGRO, EQ, 30-Sep-2021,633.85,637.0,654.0,620.0,637.25,640.0,637.52,201719,10666,40989,20.32
GODREJAGRO, EQ, 01-Oct-2021,640.0,636.0,643.95,628.0,631.0,631.2,632.09,93951,6378,53190,56.61
GODREJAGRO, EQ, 04-Oct-2021,631.2,634.4,640.0,629.0,630.0,629.95,632.45,62272,4606,32744,52.58
GODREJAGRO, EQ, 05-Oct-2021,629.95,629.85,636.1,626.0,626.9,626.55,629.7,102284,5442,59898,58.56
GODREJAGRO, EQ, 06-Oct-2021,626.55,628.5,638.0,626.0,629.75,628.85,630.6,85466,5409,34069,39.86
GODREJAGRO, EQ, 07-Oct-2021,628.85,630.0,634.85,624.4,630.1,629.65,628.36,94120,5540,52729,56.02
GODREJAGRO, EQ, 08-Oct-2021,629.65,632.8,634.8,625.1,626.9,625.95,627.52,59871,3103,38163,63.74
GODREJAGRO, EQ, 11-Oct-2021,625.95,626.0,631.55,621.1,624.2,624.2,626.13,67631,3068,39300,58.11
GODREJAGRO, EQ, 12-Oct-2021,624.2,624.2,627.95,622.0,623.1,623.2,623.74,48977,2647,27250,55.64
GODREJAGRO, EQ, 13-Oct-2021,623.2,623.35,662.85,623.35,653.0,651.25,644.29,315074,15038,109340,34.7
GODREJAGRO, EQ, 14-Oct-2021,651.25,655.0,660.1,632.4,635.55,637.2,644.05,133571,7940,56892,42.59
GODREJAGRO, EQ, 18-Oct-2021,637.2,639.9,647.05,633.0,635.2,635.8,638.17,82195,6351,39343,47.87
GODREJAGRO, EQ, 19-Oct-2021,635.8,639.8,648.8,622.0,632.05,630.25,632.28,159993,8260,37671,23.55
GODREJAGRO, EQ, 20-Oct-2021,630.25,630.25,634.95,623.05,625.95,624.55,626.95,51377,3706,24010,46.73
GODREJAGRO, EQ, 21-Oct-2021,624.55,624.55,630.1,622.0,624.05,624.25,625.26,57062,3301,32081,56.22
GODREJAGRO, EQ, 22-Oct-2021,624.25,629.0,632.9,610.25,618.0,618.75,622.01,45459,3938,20218,44.48
GODREJAGRO, EQ, 25-Oct-2021,618.75,620.15,622.95,584.5,585.0,585.25,588.78,174271,14236,88633,50.86
GODREJAGRO, EQ, 26-Oct-2021,585.25,587.1,603.0,586.6,595.1,593.45,594.09,59622,5611,19899,33.38
GODREJAGRO, EQ, 27-Oct-2021,593.45,597.9,599.05,587.5,593.05,592.15,593.79,39117,3124,21639,55.32
GODREJAGRO, EQ, 28-Oct-2021,592.15,595.15,600.0,590.0,593.0,593.45,593.69,46794,4511,22494,48.07
GODREJAGRO, EQ, 29-Oct-2021,593.45,595.45,598.7,584.0,591.5,593.6,592.55,40704,3762,17630,43.31
GODREJAGRO, EQ, 01-Nov-2021,593.6,584.0,598.05,578.1,587.45,586.85,588.36,63655,6362,30871,48.5
GODREJAGRO, EQ, 02-Nov-2021,586.85,592.7,599.0,589.7,598.45,597.35,596.25,46053,3682,21511,46.71
GODREJAGRO, EQ, 03-Nov-2021,597.35,599.95,637.0,591.05,596.5,594.45,599.82,87955,6183,26801,30.47
GODREJAGRO, EQ, 08-Nov-2021,597.4,600.0,629.0,591.25,629.0,625.45,615.81,407606,18838,67113,16.47
GODREJAGRO, EQ, 09-Nov-2021,625.45,628.0,635.0,620.1,630.25,631.2,629.34,138747,6132,42475,30.61
GODREJAGRO, EQ, 10-Nov-2021,631.2,625.0,636.25,606.0,617.9,617.9,621.83,188967,9429,44688,23.65
GODREJAGRO, EQ, 11-Nov-2021,617.9,617.8,622.0,612.5,616.0,615.65,616.57,44372,3352,18507,41.71
GODREJAGRO, EQ, 12-Nov-2021,615.65,615.85,620.45,604.0,609.95,606.95,609.79,95456,6270,52228,54.71
GODREJAGRO, EQ, 15-Nov-2021,606.95,606.95,612.85,603.0,605.0,603.85,605.79,48095,2685,22904,47.62
GODREJAGRO, EQ, 16-Nov-2021,603.85,606.0,608.0,590.0,591.9,592.4,597.86,85936,5395,46407,54.0
GODREJAGRO, EQ, 17-Nov-2021,592.4,590.9,595.15,585.0,591.0,589.65,590.87,53494,3748,30057,56.19
GODREJAGRO, EQ, 18-Nov-2021,589.65,589.6,593.2,580.35,582.0,582.0,584.6,68563,4269,42659,62.22
GODREJAGRO, EQ, 22-Nov-2021,582.0,580.0,583.25,560.0,581.0,576.15,570.59,73237,5543,40828,55.75
GODREJAGRO, EQ, 23-Nov-2021,576.15,576.0,581.0,566.25,576.9,575.25,574.32,57691,4293,20360,35.29
GODREJAGRO, EQ, 24-Nov-2021,575.25,584.9,588.75,568.05,570.0,572.45,580.57,70249,3977,34196,48.68
GODREJAGRO, EQ, 25-Nov-2021,572.45,575.0,575.1,567.55,572.4,570.25,570.77,48925,1896,29201,59.69
GODREJAGRO, EQ, 26-Nov-2021,570.25,569.85,572.75,559.0,564.0,561.2,566.0,74676,3773,49522,66.32
GODREJAGRO, EQ, 29-Nov-2021,561.2,565.0,565.45,535.5,538.5,537.8,548.18,101600,6148,56294,55.41
GODREJAGRO, EQ, 30-Nov-2021,537.8,528.95,544.95,525.0,527.75,527.25,533.83,114100,7084,55554,48.69
GODREJAGRO, EQ, 01-Dec-2021,527.25,535.9,536.9,511.0,521.05,521.35,527.07,88005,4789,54620,62.06
GODREJAGRO, EQ, 02-Dec-2021,521.35,522.35,530.9,511.85,514.0,514.65,516.8,204814,9067,98066,47.88
GODREJAGRO, EQ, 03-Dec-2021,514.65,515.0,534.5,514.9,525.7,524.7,525.93,169658,9221,53582,31.58
GODREJAGRO, EQ, 06-Dec-2021,524.7,528.0,536.9,524.0,533.75,532.55,530.87,102411,5407,38041,37.15
GODREJAGRO, EQ, 07-Dec-2021,532.55,533.2,545.0,527.8,540.05,538.65,535.95,111756,6322,46434,41.55
GODREJAGRO, EQ, 08-Dec-2021,538.65,547.9,547.9,537.95,539.85,539.35,540.83,123292,4602,88833,72.05
GODREJAGRO, EQ, 09-Dec-2021,539.35,542.05,545.95,534.05,535.0,534.95,535.89,121141,6820,95438,78.78
GODREJAGRO, EQ, 10-Dec-2021,534.95,536.0,544.0,535.95,539.9,541.3,541.19,134670,4193,93989,69.79
GODREJAGRO, EQ, 13-Dec-2021,541.3,545.8,545.8,528.0,529.55,529.25,535.87,192174,6359,112651,58.62
GODREJAGRO, EQ, 14-Dec-2021,529.25,525.0,535.0,525.0,534.0,534.05,530.15,55571,2523,34225,61.59
GODREJAGRO, EQ, 15-Dec-2021,534.05,531.05,538.1,528.45,536.05,535.45,534.07,39238,2331,18479,47.09
GODREJAGRO, EQ, 16-Dec-2021,535.45,537.35,539.0,529.0,534.95,534.15,532.96,43430,2214,23863,54.95
GODREJAGRO, EQ, 17-Dec-2021,534.15,538.8,538.8,525.7,530.0,530.35,529.81,50111,3080,31159,62.18
GODREJAGRO, EQ, 20-Dec-2021,530.35,530.0,530.35,516.35,522.0,522.7,519.92,70682,4485,34104,48.25
GODREJAGRO, EQ, 21-Dec-2021,522.7,524.0,528.05,517.2,523.85,522.65,522.9,224850,7586,147336,65.53
GODREJAGRO, EQ, 22-Dec-2021,522.65,524.5,526.0,518.35,522.0,523.9,522.46,158513,3895,120023,75.72
GODREJAGRO, EQ, 23-Dec-2021,523.9,529.75,544.0,528.4,533.0,532.4,536.78,164820,5063,105440,63.97
GODREJAGRO, EQ, 24-Dec-2021,532.4,540.75,555.0,530.25,536.0,534.1,543.94,249590,14465,42754,17.13
GODREJAGRO, EQ, 27-Dec-2021,534.1,527.3,532.8,520.65,525.55,524.4,528.91,116421,3713,74510,64.0
GODREJAGRO, EQ, 28-Dec-2021,524.4,526.05,531.7,525.55,527.9,527.5,527.39,64972,2911,36882,56.77
GODREJAGRO, EQ, 29-Dec-2021,527.5,530.0,534.75,528.5,530.35,531.7,531.67,103434,2758,76232,73.7
GODREJAGRO, EQ, 30-Dec-2021,531.7,532.9,535.7,519.0,520.0,519.8,525.12,252507,5124,163439,64.73
GODREJAGRO, EQ, 31-Dec-2021,519.8,523.95,524.85,512.25,517.7,517.75,517.82,170941,7113,90634,53.02
GODREJAGRO, EQ, 03-Jan-2022,517.75,519.85,529.9,518.25,525.05,524.8,522.63,210355,6124,71291,33.89
GODREJAGRO, EQ, 04-Jan-2022,524.8,529.85,534.0,524.25,532.0,531.7,530.43,86272,3654,49075,56.88
GODREJAGRO, EQ, 05-Jan-2022,531.7,530.0,537.95,527.0,529.5,528.75,531.97,60617,3902,27397,45.2
GODREJAGRO, EQ, 06-Jan-2022,528.75,525.2,528.85,522.6,526.0,525.6,524.76,60122,3387,34046,56.63
GODREJAGRO, EQ, 07-Jan-2022,525.6,529.0,534.3,518.5,524.0,522.55,525.01,95989,4737,45923,47.84
GODREJAGRO, EQ, 10-Jan-2022,522.55,527.5,528.9,522.6,528.45,527.55,525.97,72105,3871,36188,50.19
GODREJAGRO, EQ, 11-Jan-2022,527.55,528.5,536.85,526.75,530.05,531.9,532.73,97795,4708,42229,43.18
GODREJAGRO, EQ, 12-Jan-2022,531.9,535.8,547.7,533.95,542.0,542.8,541.55,161987,7916,67607,41.74
GODREJAGRO, EQ, 13-Jan-2022,542.8,545.0,548.6,538.5,540.9,540.85,542.6,63589,3999,32027,50.37
GODREJAGRO, EQ, 14-Jan-2022,540.85,541.0,553.3,535.4,550.9,550.35,545.72,110163,6673,54625,49.59
GODREJAGRO, EQ, 17-Jan-2022,550.35,555.0,561.35,545.0,547.7,547.6,551.65,126917,5356,67454,53.15
GODREJAGRO, EQ, 18-Jan-2022,547.6,550.0,550.35,532.25,535.75,536.65,543.71,47348,3139,25719,54.32
GODREJAGRO, EQ, 19-Jan-2022,536.65,536.65,536.65,523.65,532.5,531.6,529.58,64988,4232,27468,42.27
GODREJAGRO, EQ, 20-Jan-2022,531.6,534.3,534.9,521.1,524.5,523.35,523.08,293201,4932,264724,90.29
GODREJAGRO, EQ, 21-Jan-2022,523.35,523.0,528.9,517.0,520.4,520.65,522.77,90979,4465,40151,44.13
GODREJAGRO, EQ, 24-Jan-2022,520.65,527.45,527.45,497.75,504.9,502.2,508.78,123719,8006,56743,45.86
GODREJAGRO, EQ, 25-Jan-2022,502.2,504.75,523.8,493.3,520.0,519.85,515.73,133082,7223,78515,59.0
GODREJAGRO, EQ, 27-Jan-2022,519.85,516.5,525.5,506.1,519.4,519.3,519.8,120462,9536,72286,60.01
GODREJAGRO, EQ, 28-Jan-2022,519.3,521.9,538.1,521.9,536.9,535.4,531.93,113973,7383,47823,41.96
GODREJAGRO, EQ, 31-Jan-2022,535.4,538.0,540.0,530.0,534.85,534.95,534.96,251729,5016,220034,87.41
GODREJAGRO, EQ, 01-Feb-2022,534.95,537.65,545.0,523.5,524.95,524.85,533.68,148700,9741,58180,39.13
GODREJAGRO, EQ, 02-Feb-2022,524.85,530.0,533.85,522.0,524.0,523.6,524.92,369395,7746,283949,76.87
GODREJAGRO, EQ, 03-Feb-2022,523.6,526.55,530.0,521.55,526.0,527.3,526.6,69276,3526,38004,54.86
GODREJAGRO, EQ, 04-Feb-2022,527.3,525.0,530.75,517.0,520.0,520.45,523.0,70090,3880,42871,61.17
GODREJAGRO, EQ, 07-Feb-2022,520.45,517.0,517.5,505.0,510.0,507.8,509.31,129246,6980,66745,51.64
GODREJAGRO, EQ, 08-Feb-2022,507.8,513.5,513.5,502.0,507.0,506.5,506.35,51990,3407,20501,39.43
GODREJAGRO, EQ, 09-Feb-2022,506.5,506.5,511.0,504.6,508.6,507.4,507.05,41671,2765,23232,55.75
GODREJAGRO, EQ, 10-Feb-2022,507.4,512.0,512.0,505.0,508.2,507.0,507.39,41216,2731,21032,51.03
GODREJAGRO, EQ, 11-Feb-2022,507.0,505.0,507.5,498.5,503.1,500.75,500.9,73322,4174,45782,62.44
GODREJAGRO, EQ, 14-Feb-2022,500.75,500.0,500.0,487.95,492.0,492.25,492.98,70080,5770,39938,56.99
GODREJAGRO, EQ, 15-Feb-2022,492.25,494.75,505.4,482.25,496.0,493.4,490.61,82871,9205,35342,42.65
GODREJAGRO, EQ, 16-Feb-2022,493.4,496.0,501.0,488.0,491.8,490.4,490.9,104510,7295,67716,64.79
GODREJAGRO, EQ, 17-Feb-2022,490.4,497.95,497.95,485.0,488.9,489.0,488.59,71819,6142,41320,57.53
GODREJAGRO, EQ, 18-Feb-2022,489.0,492.5,492.5,482.0,489.5,488.1,486.69,63902,5377,35945,56.25
GODREJAGRO, EQ, 21-Feb-2022,488.1,483.35,488.0,477.5,480.9,482.1,481.37,48183,4382,25266,52.44
GODREJAGRO, EQ, 22-Feb-2022,482.1,477.0,477.85,472.65,475.5,475.0,475.37,55803,3282,34835,62.42
GODREJAGRO, EQ, 23-Feb-2022,475.0,475.5,488.7,475.5,487.9,483.35,483.84,34647,2677,16289,47.01
GODREJAGRO, EQ, 24-Feb-2022,483.35,474.0,477.5,460.0,466.35,465.4,467.51,120895,6448,63727,52.71
GODREJAGRO, EQ, 25-Feb-2022,465.4,466.55,480.9,466.0,471.85,470.65,474.3,54903,3971,22908,41.72
GODREJAGRO, EQ, 28-Feb-2022,470.65,467.9,469.25,457.55,465.0,464.35,464.39,64654,3946,38013,58.79
GODREJAGRO, EQ, 02-Mar-2022,464.35,464.9,489.25,464.85,486.85,485.0,481.57,96559,6996,29184,30.22
GODREJAGRO, EQ, 03-Mar-2022,485.0,492.0,503.95,486.7,502.9,500.0,498.52,127745,7996,72118,56.45
GODREJAGRO, EQ, 04-Mar-2022,500.0,500.05,505.0,480.25,482.0,483.6,494.34,97990,7917,24830,25.34
GODREJAGRO, EQ, 08-Mar-2022,472.3,474.0,492.0,472.0,489.4,485.3,482.37,141594,10083,41852,29.56
GODREJAGRO, EQ, 09-Mar-2022,485.3,490.0,500.0,482.0,485.5,485.0,488.02,419076,16794,281645,67.21
GODREJAGRO, EQ, 10-Mar-2022,485.0,495.0,496.6,483.0,483.05,483.5,486.29,141256,10637,68078,48.19
GODREJAGRO, EQ, 11-Mar-2022,483.5,483.5,487.15,481.55,482.0,482.45,483.69,84433,5632,35742,42.33
GODREJAGRO, EQ, 14-Mar-2022,482.45,483.0,488.0,480.5,481.95,481.65,482.62,91359,6769,49291,53.95
