SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GODREJIND, EQ, 17-Sep-2021,554.95,558.9,560.05,545.0,546.8,546.8,552.29,224844,7994,147093,65.42
GODREJIND, EQ, 20-Sep-2021,546.8,546.8,561.95,537.2,556.0,555.0,555.98,269706,9866,93002,34.48
GODREJIND, EQ, 21-Sep-2021,555.0,555.0,560.0,551.0,555.8,554.85,554.57,189539,5926,66355,35.01
GODREJIND, EQ, 22-Sep-2021,554.85,558.7,570.0,550.0,569.0,567.3,561.42,490081,14746,189110,38.59
GODREJIND, EQ, 23-Sep-2021,567.3,575.0,594.5,570.0,591.1,588.8,582.9,1222796,30060,621678,50.84
GODREJIND, EQ, 24-Sep-2021,588.8,594.8,600.8,573.0,574.0,577.85,589.66,614253,16217,272053,44.29
GODREJIND, EQ, 27-Sep-2021,577.85,578.0,591.0,568.3,573.2,577.45,578.66,324145,11007,114896,35.45
GODREJIND, EQ, 28-Sep-2021,577.45,579.0,582.4,562.9,567.0,566.4,569.9,278708,11645,147672,52.98
GODREJIND, EQ, 29-Sep-2021,566.4,566.0,579.0,562.95,573.9,574.0,572.52,160916,6471,61414,38.17
GODREJIND, EQ, 30-Sep-2021,574.0,578.0,584.4,574.5,579.0,579.15,579.73,188016,6432,85139,45.28
GODREJIND, EQ, 01-Oct-2021,579.15,578.9,579.0,564.0,564.85,564.85,567.54,141118,6926,89590,63.49
GODREJIND, EQ, 04-Oct-2021,564.85,560.55,569.95,560.55,566.0,565.65,565.31,236687,6655,163200,68.95
GODREJIND, EQ, 05-Oct-2021,565.65,566.3,571.5,562.05,567.0,565.05,567.65,206762,4272,155000,74.97
GODREJIND, EQ, 06-Oct-2021,565.05,566.9,571.35,564.0,568.0,567.6,567.13,201577,5522,123168,61.1
GODREJIND, EQ, 07-Oct-2021,567.6,570.0,578.05,566.7,578.0,576.05,572.52,215077,6262,101814,47.34
GODREJIND, EQ, 08-Oct-2021,576.05,579.8,592.85,576.0,590.0,588.3,586.67,639436,18372,279472,43.71
GODREJIND, EQ, 11-Oct-2021,588.3,594.65,594.65,574.05,584.0,578.4,581.69,342097,16118,183454,53.63
GODREJIND, EQ, 12-Oct-2021,578.4,581.3,587.0,576.0,577.0,578.2,580.47,153772,6716,85606,55.67
GODREJIND, EQ, 13-Oct-2021,578.2,578.0,584.7,575.0,578.0,577.85,579.28,146004,5322,91605,62.74
GODREJIND, EQ, 14-Oct-2021,577.85,580.0,582.6,567.85,571.0,569.35,574.55,124287,5218,67135,54.02
GODREJIND, EQ, 18-Oct-2021,569.35,573.0,580.5,570.3,577.0,578.1,577.26,133869,7308,66187,49.44
GODREJIND, EQ, 19-Oct-2021,578.1,579.25,584.85,564.0,565.0,566.4,573.43,111351,6023,50383,45.25
GODREJIND, EQ, 20-Oct-2021,566.4,570.8,573.0,555.05,570.2,570.4,564.7,208352,9583,116603,55.96
GODREJIND, EQ, 21-Oct-2021,570.4,572.4,579.0,560.2,572.1,575.6,568.68,159124,10859,81741,51.37
GODREJIND, EQ, 22-Oct-2021,575.6,580.0,581.4,565.0,574.25,578.8,574.89,179991,6077,128083,71.16
GODREJIND, EQ, 25-Oct-2021,578.8,578.9,584.0,558.0,575.0,576.5,573.19,140412,7687,54783,39.02
GODREJIND, EQ, 26-Oct-2021,576.5,576.5,579.0,570.05,575.0,575.45,575.53,70510,6156,37039,52.53
GODREJIND, EQ, 27-Oct-2021,575.45,578.95,583.0,568.4,575.0,575.7,576.19,87559,5275,46483,53.09
GODREJIND, EQ, 28-Oct-2021,575.7,575.0,579.3,562.95,565.5,565.4,570.74,151002,11332,75846,50.23
GODREJIND, EQ, 29-Oct-2021,565.4,579.6,589.0,564.6,581.5,580.5,580.51,308319,13386,139629,45.29
GODREJIND, EQ, 01-Nov-2021,580.5,581.35,585.0,571.6,582.0,581.95,579.77,206584,8809,94685,45.83
GODREJIND, EQ, 02-Nov-2021,581.95,584.0,610.0,582.0,605.0,604.1,602.24,1018929,28001,373814,36.69
GODREJIND, EQ, 03-Nov-2021,604.1,610.0,617.5,597.0,604.55,605.85,607.02,491049,17749,196604,40.04
GODREJIND, EQ, 08-Nov-2021,608.35,608.0,614.7,599.1,601.15,602.4,607.4,147279,6625,63827,43.34
GODREJIND, EQ, 09-Nov-2021,602.4,604.45,648.1,602.5,645.9,643.5,632.84,2045904,37125,553189,27.04
GODREJIND, EQ, 10-Nov-2021,643.5,646.4,652.0,626.15,633.3,632.55,642.32,801211,19757,236903,29.57
GODREJIND, EQ, 11-Nov-2021,632.55,636.0,641.95,618.05,630.2,632.75,633.01,327830,10399,131261,40.04
GODREJIND, EQ, 12-Nov-2021,632.75,636.9,647.65,625.0,627.45,630.15,636.65,467481,15750,155258,33.21
GODREJIND, EQ, 15-Nov-2021,630.15,631.0,631.0,608.0,608.0,609.05,615.33,238658,8220,118804,49.78
GODREJIND, EQ, 16-Nov-2021,609.05,611.45,619.0,605.0,612.0,610.9,612.49,188100,8023,64518,34.3
GODREJIND, EQ, 17-Nov-2021,610.9,611.0,616.3,587.35,591.1,593.35,598.29,222098,12070,103078,46.41
GODREJIND, EQ, 18-Nov-2021,593.35,591.1,605.8,580.0,604.5,602.3,594.52,233224,10864,112051,48.04
GODREJIND, EQ, 22-Nov-2021,602.3,606.0,614.85,591.05,610.0,609.6,609.44,408904,16381,215296,52.65
GODREJIND, EQ, 23-Nov-2021,609.6,610.0,620.8,593.2,617.0,618.1,610.24,185519,9859,72480,39.07
GODREJIND, EQ, 24-Nov-2021,618.1,620.0,626.0,612.45,623.0,619.25,621.74,184169,8776,102999,55.93
GODREJIND, EQ, 25-Nov-2021,619.25,623.75,623.75,609.4,619.3,618.15,616.34,90895,5805,40642,44.71
GODREJIND, EQ, 26-Nov-2021,618.15,611.0,613.25,571.0,576.9,577.0,594.97,234404,12211,121771,51.95
GODREJIND, EQ, 29-Nov-2021,577.0,570.0,595.3,541.1,590.0,591.7,570.92,230274,14222,86885,37.73
GODREJIND, EQ, 30-Nov-2021,591.7,576.35,599.0,560.1,567.25,569.3,580.17,178301,10507,87910,49.3
GODREJIND, EQ, 01-Dec-2021,569.3,571.0,576.2,567.6,571.55,571.65,572.15,78134,5289,32443,41.52
GODREJIND, EQ, 02-Dec-2021,571.65,575.65,584.5,570.55,576.0,577.85,578.95,135607,7166,34355,25.33
GODREJIND, EQ, 03-Dec-2021,577.85,580.0,580.35,569.75,572.95,574.35,574.52,70201,4592,31734,45.2
GODREJIND, EQ, 06-Dec-2021,574.35,577.3,577.3,563.0,566.0,566.2,569.32,82598,5719,40305,48.8
GODREJIND, EQ, 07-Dec-2021,566.2,570.45,575.0,564.0,575.0,572.55,570.46,71315,3554,25872,36.28
GODREJIND, EQ, 08-Dec-2021,572.55,575.0,585.45,572.6,577.8,578.95,579.84,77618,5993,25632,33.02
GODREJIND, EQ, 09-Dec-2021,578.95,581.7,581.7,570.1,574.8,573.4,575.18,64825,3628,27693,42.72
GODREJIND, EQ, 10-Dec-2021,573.4,575.65,605.0,573.95,603.0,596.4,588.73,149830,6868,75297,50.25
GODREJIND, EQ, 13-Dec-2021,596.4,599.0,606.95,576.2,580.1,584.0,592.14,92398,4798,27640,29.91
GODREJIND, EQ, 14-Dec-2021,584.0,581.35,588.6,577.7,584.95,583.85,584.08,81076,3628,41152,50.76
GODREJIND, EQ, 15-Dec-2021,583.85,586.8,593.0,578.0,584.5,581.3,586.58,106435,6676,31632,29.72
GODREJIND, EQ, 16-Dec-2021,581.3,581.3,612.0,581.3,602.05,604.6,602.37,632023,25325,101059,15.99
GODREJIND, EQ, 17-Dec-2021,604.6,601.95,607.35,590.0,599.0,600.6,599.37,217171,11276,77235,35.56
GODREJIND, EQ, 20-Dec-2021,600.6,600.0,609.05,575.0,590.0,590.7,593.43,229380,10367,96493,42.07
GODREJIND, EQ, 21-Dec-2021,590.7,595.0,622.9,595.0,622.0,618.5,613.45,250758,9224,118950,47.44
GODREJIND, EQ, 22-Dec-2021,618.5,629.8,629.85,613.0,625.0,624.55,623.21,311923,18033,118789,38.08
GODREJIND, EQ, 23-Dec-2021,624.55,625.1,627.95,615.2,619.0,620.85,621.72,97465,5071,30535,31.33
GODREJIND, EQ, 24-Dec-2021,620.85,623.65,639.2,613.65,630.0,630.15,629.82,316369,12114,88398,27.94
GODREJIND, EQ, 27-Dec-2021,630.15,635.25,644.0,625.4,642.55,642.55,636.07,195355,8356,90360,46.25
GODREJIND, EQ, 28-Dec-2021,642.55,645.0,655.45,635.1,636.7,640.6,647.48,282912,13471,126879,44.85
GODREJIND, EQ, 29-Dec-2021,640.6,639.0,648.35,636.0,637.0,640.75,640.54,375129,3441,319977,85.3
GODREJIND, EQ, 30-Dec-2021,640.75,640.5,642.05,626.45,629.05,630.4,637.37,159813,3746,120159,75.19
GODREJIND, EQ, 31-Dec-2021,630.4,631.0,636.6,624.05,625.0,628.3,627.37,277047,4499,229737,82.92
GODREJIND, EQ, 03-Jan-2022,628.3,628.3,634.35,625.25,633.0,631.3,629.88,323374,5325,221304,68.44
GODREJIND, EQ, 04-Jan-2022,631.3,631.3,642.0,618.2,627.0,627.8,633.8,260774,5152,186338,71.46
GODREJIND, EQ, 05-Jan-2022,627.8,627.8,631.6,619.0,620.45,621.3,622.78,377122,3693,334405,88.67
GODREJIND, EQ, 06-Jan-2022,621.3,619.4,633.8,615.2,628.1,628.25,622.27,377798,5015,284584,75.33
GODREJIND, EQ, 07-Jan-2022,628.25,634.8,661.35,631.85,642.0,642.4,649.96,914939,40930,241039,26.34
GODREJIND, EQ, 10-Jan-2022,642.4,645.0,647.3,634.3,639.0,636.55,639.83,108434,5657,42456,39.15
GODREJIND, EQ, 11-Jan-2022,636.55,636.0,643.45,627.0,632.0,631.25,633.1,76438,4160,33064,43.26
GODREJIND, EQ, 12-Jan-2022,631.25,632.0,662.0,631.25,646.65,644.5,648.81,301550,11577,102000,33.83
GODREJIND, EQ, 13-Jan-2022,644.5,644.5,652.0,636.05,640.25,638.6,642.92,82356,4930,37686,45.76
GODREJIND, EQ, 14-Jan-2022,638.6,638.6,644.0,629.0,630.65,631.1,633.59,95781,4258,60182,62.83
GODREJIND, EQ, 17-Jan-2022,631.1,631.1,638.6,628.3,633.7,634.9,633.44,69647,4841,21563,30.96
GODREJIND, EQ, 18-Jan-2022,634.9,637.9,638.8,620.9,628.95,624.65,631.72,76885,4021,29880,38.86
GODREJIND, EQ, 19-Jan-2022,624.65,626.0,633.8,613.65,630.0,624.7,621.73,113823,5325,38853,34.13
GODREJIND, EQ, 20-Jan-2022,624.7,624.6,629.45,622.0,629.0,625.95,625.95,55764,3335,23344,41.86
GODREJIND, EQ, 21-Jan-2022,625.95,622.0,629.9,610.85,622.35,618.05,621.08,58821,4609,18300,31.11
GODREJIND, EQ, 24-Jan-2022,618.05,618.25,621.3,594.3,608.0,604.25,604.8,217929,12730,106171,48.72
