SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GREENPLY, EQ, 17-Sep-2021,174.8,175.3,177.95,172.6,177.0,176.05,174.71,235308,5085,148795,63.23
GREENPLY, EQ, 20-Sep-2021,176.05,176.0,177.0,173.0,173.0,173.35,175.04,173910,4329,88148,50.69
GREENPLY, EQ, 21-Sep-2021,173.35,173.7,173.7,168.8,172.9,172.35,171.1,150836,3728,49658,32.92
GREENPLY, EQ, 22-Sep-2021,172.35,172.9,176.0,171.95,174.6,174.3,174.53,99006,2225,49740,50.24
GREENPLY, EQ, 23-Sep-2021,174.3,176.0,176.8,174.05,174.9,175.15,175.25,205728,4998,148343,72.11
GREENPLY, EQ, 24-Sep-2021,175.15,176.8,185.7,175.9,182.95,181.55,182.33,978421,13677,643277,65.75
GREENPLY, EQ, 27-Sep-2021,181.55,185.0,187.0,183.0,183.1,183.5,184.86,526535,11903,320638,60.9
GREENPLY, EQ, 28-Sep-2021,183.5,184.95,186.2,179.8,180.8,180.4,182.52,208369,4551,115102,55.24
GREENPLY, EQ, 29-Sep-2021,180.4,180.0,182.4,179.55,181.0,181.5,180.7,250174,4354,169015,67.56
GREENPLY, EQ, 30-Sep-2021,181.5,183.0,184.7,180.35,180.95,181.05,181.32,375489,4706,276461,73.63
GREENPLY, EQ, 01-Oct-2021,181.05,182.5,184.5,179.2,182.15,181.45,181.06,248353,3377,170394,68.61
GREENPLY, EQ, 04-Oct-2021,181.45,180.3,183.3,179.5,179.85,179.8,180.73,177203,3120,111443,62.89
GREENPLY, EQ, 05-Oct-2021,179.8,181.75,182.0,177.9,180.05,179.5,180.3,241832,3077,152451,63.04
GREENPLY, EQ, 06-Oct-2021,179.5,179.95,181.95,178.1,179.05,179.25,179.98,178545,3727,108486,60.76
GREENPLY, EQ, 07-Oct-2021,179.25,179.25,181.85,178.6,179.55,179.75,180.1,412088,5717,305889,74.23
GREENPLY, EQ, 08-Oct-2021,179.75,180.75,181.25,178.0,179.35,179.3,179.24,452535,3156,363248,80.27
GREENPLY, EQ, 11-Oct-2021,179.3,181.0,188.55,179.85,184.9,185.2,185.47,749649,15823,275921,36.81
GREENPLY, EQ, 12-Oct-2021,185.2,185.9,187.75,184.0,184.0,184.45,185.53,383644,4011,286048,74.56
GREENPLY, EQ, 13-Oct-2021,184.45,185.7,192.0,184.6,186.5,185.85,188.17,515010,9887,236914,46.0
GREENPLY, EQ, 14-Oct-2021,185.85,187.1,197.6,186.75,197.1,195.45,192.06,1092339,13222,730903,66.91
GREENPLY, EQ, 18-Oct-2021,195.45,201.4,210.7,196.5,210.0,209.15,205.63,1868074,28272,1145686,61.33
GREENPLY, EQ, 19-Oct-2021,209.15,210.5,211.4,202.15,203.1,204.2,207.01,907837,26910,401524,44.23
GREENPLY, EQ, 20-Oct-2021,204.2,204.2,205.05,196.25,200.3,200.3,200.51,646494,16003,281589,43.56
GREENPLY, EQ, 21-Oct-2021,200.3,201.05,208.8,195.7,202.45,201.0,203.17,506802,13424,289633,57.15
GREENPLY, EQ, 22-Oct-2021,201.0,201.45,205.0,198.0,201.3,202.05,201.19,295638,9584,155592,52.63
GREENPLY, EQ, 25-Oct-2021,202.05,200.0,204.55,195.75,200.0,200.05,199.31,395336,9589,265197,67.08
GREENPLY, EQ, 26-Oct-2021,200.05,199.5,208.6,199.5,207.2,207.85,205.6,378345,11439,220405,58.26
GREENPLY, EQ, 27-Oct-2021,207.85,208.85,211.0,205.1,210.0,209.65,208.9,538705,17641,251536,46.69
GREENPLY, EQ, 28-Oct-2021,209.65,209.65,209.65,204.0,206.95,206.8,206.58,175524,5649,100059,57.01
GREENPLY, EQ, 29-Oct-2021,206.8,203.1,211.75,199.95,210.0,210.05,209.27,570270,11275,336671,59.04
GREENPLY, EQ, 01-Nov-2021,210.05,212.05,236.75,205.6,236.0,229.75,223.33,1974363,27347,925627,46.88
GREENPLY, EQ, 02-Nov-2021,229.75,232.5,247.0,226.5,242.5,242.75,236.5,2377440,42384,606921,25.53
GREENPLY, EQ, 03-Nov-2021,242.75,242.75,242.95,222.55,226.2,226.15,232.7,1528985,28751,571369,37.37
GREENPLY, EQ, 08-Nov-2021,241.95,250.0,254.7,235.0,238.05,240.3,244.32,2219095,41488,782257,35.25
GREENPLY, EQ, 09-Nov-2021,240.3,238.0,249.5,228.5,235.0,240.3,240.69,2934048,51107,876336,29.87
GREENPLY, EQ, 10-Nov-2021,240.3,234.0,239.4,226.5,231.05,232.3,231.83,1608912,22516,774568,48.14
GREENPLY, EQ, 11-Nov-2021,232.3,232.8,237.0,228.3,232.0,232.3,232.62,960795,13319,488144,50.81
GREENPLY, EQ, 12-Nov-2021,232.3,234.4,234.7,228.3,229.35,230.2,230.65,363827,5374,175379,48.2
GREENPLY, EQ, 15-Nov-2021,230.2,228.2,231.8,221.4,223.1,225.0,226.49,455023,8693,190800,41.93
GREENPLY, EQ, 16-Nov-2021,225.0,224.7,233.1,223.25,229.25,228.35,229.28,790011,14062,318600,40.33
GREENPLY, EQ, 17-Nov-2021,228.35,225.0,232.8,223.9,226.0,226.7,227.87,453720,9770,193603,42.67
GREENPLY, EQ, 18-Nov-2021,226.7,228.0,230.85,218.0,220.8,221.45,222.43,429764,9354,184701,42.98
GREENPLY, EQ, 22-Nov-2021,221.45,219.5,220.0,203.9,205.9,208.3,210.73,521098,11663,227434,43.65
GREENPLY, EQ, 23-Nov-2021,208.3,204.1,216.3,202.25,214.0,214.0,212.82,380485,13791,174797,45.94
GREENPLY, EQ, 24-Nov-2021,214.0,215.75,216.95,208.35,210.0,210.3,212.9,257402,7546,53595,20.82
GREENPLY, EQ, 25-Nov-2021,210.3,211.0,219.4,210.05,217.0,217.45,214.44,272900,7703,98393,36.05
GREENPLY, EQ, 26-Nov-2021,217.45,213.0,214.5,203.1,204.0,204.6,208.12,409875,11221,144811,35.33
GREENPLY, EQ, 29-Nov-2021,204.6,203.95,203.95,188.2,188.85,191.7,195.18,391251,11322,142600,36.45
GREENPLY, EQ, 30-Nov-2021,191.7,191.0,208.0,190.1,198.5,199.15,199.84,455537,16095,151778,33.32
GREENPLY, EQ, 01-Dec-2021,199.15,202.0,206.0,198.9,204.7,205.5,202.75,288340,10596,82587,28.64
GREENPLY, EQ, 02-Dec-2021,205.5,205.9,211.75,204.1,210.5,210.4,208.44,300802,12716,135992,45.21
GREENPLY, EQ, 03-Dec-2021,210.4,210.5,214.4,203.7,206.5,205.5,209.82,278971,8413,104704,37.53
GREENPLY, EQ, 06-Dec-2021,205.5,205.5,209.1,200.1,201.85,202.2,205.47,172823,6264,63546,36.77
GREENPLY, EQ, 07-Dec-2021,202.2,205.0,216.0,205.0,215.55,214.35,212.22,448591,16109,190911,42.56
GREENPLY, EQ, 08-Dec-2021,214.35,216.0,222.2,215.05,219.9,219.3,219.19,433869,11063,145900,33.63
GREENPLY, EQ, 09-Dec-2021,219.3,219.9,221.3,209.4,212.0,211.55,214.05,406275,11291,164781,40.56
GREENPLY, EQ, 10-Dec-2021,211.55,213.0,217.55,211.5,213.65,214.75,213.68,169960,3880,67547,39.74
GREENPLY, EQ, 13-Dec-2021,214.75,216.9,216.9,209.7,212.0,210.9,213.27,130922,3795,49927,38.13
GREENPLY, EQ, 14-Dec-2021,210.9,209.95,220.4,209.3,216.4,217.5,216.32,413450,8873,165805,40.1
GREENPLY, EQ, 15-Dec-2021,217.5,218.0,219.0,214.5,216.0,215.95,216.35,141245,4791,69622,49.29
GREENPLY, EQ, 16-Dec-2021,215.95,219.5,219.5,211.6,212.7,212.15,215.0,164160,4675,83010,50.57
GREENPLY, EQ, 17-Dec-2021,212.15,212.0,212.0,204.55,204.8,205.7,208.29,141613,3320,52794,37.28
GREENPLY, EQ, 20-Dec-2021,205.7,202.0,205.4,193.2,195.0,195.5,198.74,390543,9508,129912,33.26
GREENPLY, EQ, 21-Dec-2021,195.5,199.0,202.45,195.0,196.5,196.8,198.85,199676,4677,80091,40.11
GREENPLY, EQ, 22-Dec-2021,196.8,198.0,204.0,197.0,197.8,198.05,200.92,168404,3594,86978,51.65
GREENPLY, EQ, 23-Dec-2021,198.05,200.0,202.2,200.0,200.2,200.5,201.03,88516,2522,34470,38.94
GREENPLY, EQ, 24-Dec-2021,200.5,201.85,203.5,198.55,202.2,201.5,201.0,184797,4786,52917,28.64
GREENPLY, EQ, 27-Dec-2021,201.5,200.0,208.1,200.0,203.0,203.9,204.41,146566,3226,53271,36.35
GREENPLY, EQ, 28-Dec-2021,203.9,203.8,206.7,202.05,202.85,202.9,204.69,139162,2634,51145,36.75
GREENPLY, EQ, 29-Dec-2021,202.9,202.85,204.75,201.15,202.7,202.05,203.19,90741,2464,44382,48.91
GREENPLY, EQ, 30-Dec-2021,202.05,204.45,204.45,200.35,201.8,201.3,201.93,109365,1902,61752,56.46
GREENPLY, EQ, 31-Dec-2021,201.3,203.1,209.0,201.75,204.0,206.05,204.59,136388,3158,66343,48.64
GREENPLY, EQ, 03-Jan-2022,206.05,203.3,209.7,203.3,207.1,207.25,207.57,142222,3449,66699,46.9
GREENPLY, EQ, 04-Jan-2022,207.25,208.85,209.9,205.4,207.9,208.25,208.46,81784,2131,39063,47.76
GREENPLY, EQ, 05-Jan-2022,208.25,209.35,215.5,208.25,210.0,210.15,211.52,315813,9101,124649,39.47
GREENPLY, EQ, 06-Jan-2022,210.15,209.65,211.0,207.5,210.1,209.95,209.83,440774,3765,62901,14.27
GREENPLY, EQ, 07-Jan-2022,209.95,215.0,217.85,211.6,213.0,213.05,214.59,343988,7924,175462,51.01
GREENPLY, EQ, 10-Jan-2022,213.05,215.0,223.8,214.7,221.0,221.75,221.09,560135,9122,305056,54.46
GREENPLY, EQ, 11-Jan-2022,221.75,221.35,223.85,216.75,222.0,222.3,221.33,264537,6203,129909,49.11
GREENPLY, EQ, 12-Jan-2022,222.3,223.25,227.0,220.0,220.1,220.6,223.55,381440,6165,216827,56.84
GREENPLY, EQ, 13-Jan-2022,220.6,221.6,227.35,219.0,219.5,220.3,222.01,296699,6559,167991,56.62
GREENPLY, EQ, 14-Jan-2022,220.3,222.5,222.5,217.35,219.9,219.0,219.74,146172,3933,86776,59.37
GREENPLY, EQ, 17-Jan-2022,219.0,219.9,224.0,217.45,219.75,219.3,220.28,384521,7679,193390,50.29
GREENPLY, EQ, 18-Jan-2022,219.3,220.75,223.95,215.55,216.0,216.25,220.01,249604,5350,114338,45.81
GREENPLY, EQ, 19-Jan-2022,216.25,216.8,219.9,210.45,215.0,215.0,215.45,183863,3952,92470,50.29
GREENPLY, EQ, 20-Jan-2022,215.0,214.45,222.45,213.1,216.5,214.6,217.51,241012,5317,88509,36.72
GREENPLY, EQ, 21-Jan-2022,214.6,212.95,218.8,204.8,209.25,207.5,213.06,254337,5352,117561,46.22
GREENPLY, EQ, 24-Jan-2022,207.5,207.5,209.6,196.5,199.95,198.4,201.77,293287,6816,135734,46.28
GREENPLY, EQ, 25-Jan-2022,198.4,199.45,211.05,194.0,210.35,209.6,206.99,454897,6887,258074,56.73
GREENPLY, EQ, 27-Jan-2022,209.6,203.1,209.65,203.1,207.15,208.2,206.95,116930,3277,48457,41.44
GREENPLY, EQ, 28-Jan-2022,208.2,208.2,212.85,205.6,206.9,206.5,209.78,106189,3198,41193,38.79
GREENPLY, EQ, 31-Jan-2022,206.5,210.65,214.7,200.8,206.75,204.2,208.7,312821,7516,136192,43.54
GREENPLY, EQ, 01-Feb-2022,204.2,205.4,208.0,199.7,200.0,201.55,204.46,380849,8326,253594,66.59
GREENPLY, EQ, 02-Feb-2022,201.55,202.6,206.1,200.45,201.9,201.5,203.23,230527,4389,120232,52.16
GREENPLY, EQ, 03-Feb-2022,201.5,202.5,205.15,202.45,204.95,203.2,203.78,150213,3322,71123,47.35
GREENPLY, EQ, 04-Feb-2022,203.2,205.0,206.75,199.5,200.5,200.75,203.65,296981,6233,110138,37.09
GREENPLY, EQ, 07-Feb-2022,200.75,194.0,200.0,192.55,198.2,197.7,195.87,749934,20526,400017,53.34
GREENPLY, EQ, 08-Feb-2022,197.7,200.0,201.4,194.55,198.0,197.3,196.5,346260,9298,223129,64.44
GREENPLY, EQ, 09-Feb-2022,197.3,199.3,201.2,195.95,199.0,198.5,198.35,123490,4598,49963,40.46
GREENPLY, EQ, 10-Feb-2022,198.5,200.25,203.6,198.5,202.0,201.0,201.59,204431,5730,91957,44.98
GREENPLY, EQ, 11-Feb-2022,201.0,200.6,202.9,199.0,201.75,200.95,201.1,147094,4999,60641,41.23
GREENPLY, EQ, 14-Feb-2022,200.95,195.25,199.8,185.25,196.95,195.85,196.79,278630,9340,164752,59.13
GREENPLY, EQ, 15-Feb-2022,195.85,197.6,199.45,190.5,192.85,192.2,193.76,367885,8279,199737,54.29
GREENPLY, EQ, 16-Feb-2022,192.2,194.9,202.55,193.5,198.2,198.55,198.11,214645,4849,66905,31.17
GREENPLY, EQ, 17-Feb-2022,198.55,201.05,202.55,192.0,193.0,193.0,195.68,170474,3789,96254,56.46
GREENPLY, EQ, 18-Feb-2022,193.0,192.45,194.6,189.0,189.0,189.85,191.25,182423,4235,114089,62.54
GREENPLY, EQ, 21-Feb-2022,189.85,191.9,191.9,185.3,186.0,186.7,187.5,184316,4571,66668,36.17
GREENPLY, EQ, 22-Feb-2022,186.7,186.0,186.0,179.0,180.2,180.7,182.2,187412,5383,82575,44.06
GREENPLY, EQ, 23-Feb-2022,180.7,185.0,185.85,179.0,180.0,180.5,182.35,213192,4431,99344,46.6
GREENPLY, EQ, 24-Feb-2022,180.5,178.0,178.0,161.35,161.35,165.35,171.41,320482,7619,146460,45.7
GREENPLY, EQ, 25-Feb-2022,165.35,168.4,180.75,168.4,171.9,171.65,173.8,318985,10075,136207,42.7
GREENPLY, EQ, 28-Feb-2022,171.65,172.0,175.0,167.4,175.0,173.65,171.41,133936,4805,60161,44.92
GREENPLY, EQ, 02-Mar-2022,173.65,175.0,176.8,166.9,171.0,170.1,170.9,245058,5989,118222,48.24
GREENPLY, EQ, 03-Mar-2022,170.1,174.4,174.4,168.4,170.0,170.0,170.69,173048,6305,102669,59.33
GREENPLY, EQ, 04-Mar-2022,170.0,169.5,170.25,168.0,169.55,169.45,169.52,132033,8766,71508,54.16
GREENPLY, EQ, 08-Mar-2022,164.8,165.4,168.5,163.1,166.0,166.0,165.03,337246,10962,221976,65.82
GREENPLY, EQ, 09-Mar-2022,166.0,167.0,169.8,166.2,168.0,167.95,168.05,363849,10854,219056,60.21
GREENPLY, EQ, 10-Mar-2022,167.95,171.0,186.95,171.0,177.1,177.5,180.56,677845,13500,170913,25.21
GREENPLY, EQ, 11-Mar-2022,177.5,176.0,183.6,175.35,183.0,181.1,180.97,350271,9842,191849,54.77
GREENPLY, EQ, 14-Mar-2022,181.1,181.1,181.5,174.1,175.9,175.45,175.85,292332,4164,163583,55.96
GREENPLY, EQ, 15-Mar-2022,175.45,175.7,178.25,172.25,175.0,175.05,175.59,335815,5493,175395,52.23
