SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HATHWAY, EQ, 17-Sep-2021,24.5,24.7,24.7,23.8,24.35,24.2,24.25,4132354,5196,1952038,47.24
HATHWAY, EQ, 20-Sep-2021,24.2,23.9,24.5,23.8,23.9,23.95,24.11,2635437,4001,1229372,46.65
HATHWAY, EQ, 21-Sep-2021,23.95,23.8,24.2,23.65,23.85,23.85,23.8,2401653,2797,1435761,59.78
HATHWAY, EQ, 22-Sep-2021,23.85,24.7,25.7,24.7,25.1,25.0,25.21,11585856,10593,6888341,59.45
HATHWAY, EQ, 23-Sep-2021,25.0,25.1,25.3,24.55,24.6,24.6,24.79,2044901,4550,1071454,52.4
HATHWAY, EQ, 24-Sep-2021,24.6,24.75,25.15,23.95,24.0,24.1,24.45,2729556,4472,1705133,62.47
HATHWAY, EQ, 27-Sep-2021,24.1,24.25,24.25,23.9,24.0,23.95,24.03,1334674,3177,779163,58.38
HATHWAY, EQ, 28-Sep-2021,23.95,24.1,24.55,23.7,24.0,23.95,24.02,2847468,7031,1330703,46.73
HATHWAY, EQ, 29-Sep-2021,23.95,23.95,24.25,23.85,24.05,24.05,24.07,2911552,8398,1183600,40.65
HATHWAY, EQ, 30-Sep-2021,24.05,24.15,24.35,23.95,24.05,24.0,24.05,2796584,4436,1505999,53.85
HATHWAY, EQ, 01-Oct-2021,24.0,23.95,25.2,23.95,25.2,25.05,24.83,9233891,10618,3538664,38.32
HATHWAY, EQ, 04-Oct-2021,25.05,25.3,25.9,25.1,25.35,25.35,25.52,5426683,8943,2355652,43.41
HATHWAY, EQ, 05-Oct-2021,25.35,25.3,26.8,25.1,26.75,26.5,26.23,12286362,14446,4465577,36.35
HATHWAY, EQ, 06-Oct-2021,26.5,27.05,27.2,25.15,25.45,25.45,26.15,5724407,9145,2599290,45.41
HATHWAY, EQ, 07-Oct-2021,25.45,25.75,26.3,25.55,26.05,25.95,25.95,3405128,6007,1442664,42.37
HATHWAY, EQ, 08-Oct-2021,25.95,26.0,26.75,25.65,26.25,26.25,26.19,3883339,6864,2082563,53.63
HATHWAY, EQ, 11-Oct-2021,26.25,26.5,26.65,25.85,25.95,26.0,26.17,3853208,7076,2569810,66.69
HATHWAY, EQ, 12-Oct-2021,26.0,26.0,27.15,25.8,26.5,26.55,26.48,21787606,23222,9240989,42.41
HATHWAY, EQ, 13-Oct-2021,26.55,26.7,26.9,26.1,26.3,26.2,26.45,3716091,6900,2139040,57.56
HATHWAY, EQ, 14-Oct-2021,26.2,26.3,27.6,26.15,26.75,26.85,26.97,9097801,12898,4016102,44.14
HATHWAY, EQ, 18-Oct-2021,26.85,27.2,27.4,26.3,26.45,26.5,27.01,6587901,11033,3132292,47.55
HATHWAY, EQ, 19-Oct-2021,26.5,26.65,27.0,25.1,25.45,25.45,26.09,7219363,11540,2536462,35.13
HATHWAY, EQ, 20-Oct-2021,25.45,25.65,25.9,24.8,25.1,24.95,25.28,3675515,6908,1755661,47.77
HATHWAY, EQ, 21-Oct-2021,24.95,24.0,24.45,23.5,23.95,23.9,23.96,7007189,10512,3945023,56.3
HATHWAY, EQ, 22-Oct-2021,23.9,24.0,24.75,23.6,23.85,23.9,24.04,3780809,7923,1775929,46.97
HATHWAY, EQ, 25-Oct-2021,23.9,24.0,24.2,23.0,23.3,23.25,23.39,2529745,6966,1316019,52.02
HATHWAY, EQ, 26-Oct-2021,23.25,23.35,24.2,23.25,23.85,23.8,23.81,2202441,4280,995947,45.22
HATHWAY, EQ, 27-Oct-2021,23.8,23.9,24.0,23.3,23.55,23.45,23.6,1965786,5038,1012378,51.5
HATHWAY, EQ, 28-Oct-2021,23.45,23.45,23.5,23.05,23.25,23.15,23.22,1238360,3633,662090,53.47
HATHWAY, EQ, 29-Oct-2021,23.15,23.1,23.25,21.75,21.8,21.8,22.3,7787240,16036,5098348,65.47
