SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HATSUN, EQ, 17-Sep-2021,1448.75,1462.25,1462.25,1369.05,1434.0,1403.4,1403.58,2222945,22609,1554661,69.94
HATSUN, EQ, 20-Sep-2021,1403.4,1390.0,1432.0,1375.0,1378.0,1385.95,1415.14,39025,4207,19522,50.02
HATSUN, EQ, 21-Sep-2021,1385.95,1399.8,1414.65,1321.25,1405.2,1404.05,1381.05,47275,7235,17853,37.76
HATSUN, EQ, 22-Sep-2021,1404.05,1405.0,1424.0,1380.25,1405.0,1405.9,1405.0,29981,3232,16201,54.04
HATSUN, EQ, 23-Sep-2021,1405.9,1410.0,1434.0,1352.0,1380.0,1383.85,1388.81,34341,3123,17440,50.78
HATSUN, EQ, 24-Sep-2021,1383.85,1381.0,1414.8,1345.45,1389.4,1396.4,1391.54,76530,8317,31799,41.55
HATSUN, EQ, 27-Sep-2021,1396.4,1424.0,1425.15,1365.0,1392.0,1375.9,1393.93,38434,6594,20301,52.82
HATSUN, EQ, 28-Sep-2021,1375.9,1390.0,1454.85,1373.0,1444.7,1439.05,1405.26,283118,14488,215183,76.0
HATSUN, EQ, 29-Sep-2021,1439.05,1421.0,1440.0,1405.25,1410.05,1415.8,1425.33,108969,10935,41263,37.87
HATSUN, EQ, 30-Sep-2021,1415.8,1415.8,1439.9,1401.0,1410.0,1409.35,1416.38,72629,13093,30915,42.57
HATSUN, EQ, 01-Oct-2021,1409.35,1400.0,1447.1,1394.9,1420.0,1424.45,1433.94,373710,24162,219069,58.62
HATSUN, EQ, 04-Oct-2021,1424.45,1437.4,1470.0,1415.45,1430.1,1441.8,1444.58,357316,28163,215950,60.44
HATSUN, EQ, 05-Oct-2021,1441.8,1460.0,1462.75,1433.2,1444.65,1441.8,1447.77,45736,5692,18375,40.18
