SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HDFCLIFE, EQ, 17-Sep-2021,755.15,759.0,759.6,740.0,744.5,747.75,748.62,11661592,101591,7403914,63.49
HDFCLIFE, EQ, 20-Sep-2021,747.75,739.05,746.9,727.0,727.6,730.15,737.38,1447672,50347,696778,48.13
HDFCLIFE, EQ, 21-Sep-2021,730.15,729.7,737.7,724.25,736.1,735.8,731.33,1850978,59178,1018795,55.04
HDFCLIFE, EQ, 22-Sep-2021,735.8,733.4,740.05,731.0,732.0,733.05,733.86,1150957,50907,604275,52.5
HDFCLIFE, EQ, 23-Sep-2021,733.05,733.75,735.85,722.2,725.15,724.65,726.89,2336977,83831,1438265,61.54
HDFCLIFE, EQ, 24-Sep-2021,724.65,728.9,731.3,720.75,725.95,725.8,725.44,2219394,68739,1142996,51.5
HDFCLIFE, EQ, 27-Sep-2021,725.8,729.4,730.25,718.3,721.6,721.0,721.67,1906863,66299,1222687,64.12
HDFCLIFE, EQ, 28-Sep-2021,721.0,722.0,733.35,721.5,725.75,725.8,727.6,2407512,53421,1310248,54.42
HDFCLIFE, EQ, 29-Sep-2021,725.8,724.7,738.0,721.0,737.9,734.75,731.44,5200234,84253,3878728,74.59
HDFCLIFE, EQ, 30-Sep-2021,734.75,740.0,740.0,720.7,722.0,722.4,728.05,3235673,108692,2143789,66.25
HDFCLIFE, EQ, 01-Oct-2021,722.4,720.0,730.5,714.3,728.5,729.45,721.18,1852758,65798,852535,46.01
HDFCLIFE, EQ, 04-Oct-2021,729.45,725.4,733.35,725.0,725.95,726.65,728.25,1615207,56138,944120,58.45
HDFCLIFE, EQ, 05-Oct-2021,726.65,724.2,735.95,722.05,735.15,733.15,726.69,2236948,81122,1467747,65.61
HDFCLIFE, EQ, 06-Oct-2021,733.15,736.0,741.7,724.0,726.0,725.65,733.66,1939154,77844,952465,49.12
HDFCLIFE, EQ, 07-Oct-2021,725.65,730.0,732.35,719.3,725.1,725.35,725.22,2453970,63738,1437689,58.59
HDFCLIFE, EQ, 08-Oct-2021,725.35,729.0,731.45,720.3,721.9,722.1,723.59,1573419,73061,943212,59.95
HDFCLIFE, EQ, 11-Oct-2021,722.1,724.9,724.9,714.9,717.0,717.3,718.3,3007329,81447,2121809,70.55
HDFCLIFE, EQ, 12-Oct-2021,717.3,716.9,717.95,699.0,703.5,703.4,706.12,3241303,107725,2115779,65.28
HDFCLIFE, EQ, 13-Oct-2021,703.4,704.3,709.8,700.0,701.0,700.9,703.49,3092746,60203,2301990,74.43
HDFCLIFE, EQ, 14-Oct-2021,700.9,702.5,702.7,693.0,694.4,693.8,696.19,4077281,124675,3007107,73.75
HDFCLIFE, EQ, 18-Oct-2021,693.8,700.0,706.05,689.05,702.7,703.6,695.16,4597120,88533,2490683,54.18
HDFCLIFE, EQ, 19-Oct-2021,703.6,708.0,709.05,698.55,703.2,702.8,705.14,2137420,65743,956090,44.73
HDFCLIFE, EQ, 20-Oct-2021,702.8,703.4,709.5,695.3,704.6,703.4,703.42,2606119,65617,1164897,44.7
HDFCLIFE, EQ, 21-Oct-2021,703.4,706.95,711.0,691.0,694.5,694.55,701.5,3427729,81087,1728447,50.43
HDFCLIFE, EQ, 22-Oct-2021,694.55,700.0,702.0,678.0,693.7,690.75,691.91,3533890,85939,1059480,29.98
HDFCLIFE, EQ, 25-Oct-2021,690.75,690.75,693.55,676.5,684.25,683.25,683.54,2786630,97081,1520195,54.55
HDFCLIFE, EQ, 26-Oct-2021,683.25,685.0,695.0,684.1,690.35,690.05,690.16,2616174,64885,1726271,65.98
HDFCLIFE, EQ, 27-Oct-2021,690.05,689.9,699.95,688.35,693.5,693.85,696.5,2103049,45917,1119962,53.25
HDFCLIFE, EQ, 28-Oct-2021,693.85,693.85,695.7,680.2,684.95,683.1,685.79,1471621,58340,761446,51.74
HDFCLIFE, EQ, 29-Oct-2021,683.1,682.5,689.0,675.5,682.65,680.45,681.7,2021722,81802,1133215,56.05
HDFCLIFE, EQ, 01-Nov-2021,680.45,680.45,693.45,680.35,689.5,689.8,688.5,1575508,58182,894791,56.79
