SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ICIL, EQ, 17-Sep-2021,267.95,270.3,271.05,255.25,268.9,268.85,263.88,690509,15926,339839,49.22
ICIL, EQ, 20-Sep-2021,268.85,265.0,268.45,256.4,257.0,259.35,263.21,451381,9250,225688,50.0
ICIL, EQ, 21-Sep-2021,259.35,257.2,259.45,245.75,253.45,253.45,251.18,507826,11006,187315,36.89
ICIL, EQ, 22-Sep-2021,253.45,253.45,265.5,253.45,262.8,263.45,259.57,326396,8082,106400,32.6
ICIL, EQ, 23-Sep-2021,263.45,265.0,266.85,258.05,259.6,259.85,262.45,359972,10436,155971,43.33
ICIL, EQ, 24-Sep-2021,259.85,262.95,284.05,261.0,274.1,273.65,277.18,2238359,44774,743302,33.21
ICIL, EQ, 27-Sep-2021,273.65,275.8,300.0,275.75,300.0,298.55,293.48,3763504,65754,1334124,35.45
ICIL, EQ, 28-Sep-2021,298.55,302.0,304.9,291.1,304.0,299.2,297.75,1591982,30302,724549,45.51
ICIL, EQ, 29-Sep-2021,299.2,298.0,304.9,295.35,297.65,298.65,301.65,1012416,22529,316581,31.27
ICIL, EQ, 30-Sep-2021,298.65,300.0,304.9,292.1,294.95,295.85,300.0,1041499,20656,346830,33.3
ICIL, EQ, 01-Oct-2021,295.85,293.1,294.9,277.2,278.1,279.05,283.41,1045049,18729,573872,54.91
ICIL, EQ, 04-Oct-2021,279.05,279.0,287.4,278.8,283.0,283.85,283.42,548187,11752,226228,41.27
ICIL, EQ, 05-Oct-2021,283.85,284.5,290.65,282.0,283.0,283.5,286.06,326312,7392,118309,36.26
ICIL, EQ, 06-Oct-2021,283.5,283.0,302.85,283.0,297.0,297.85,295.61,1582100,29246,528555,33.41
ICIL, EQ, 07-Oct-2021,297.85,300.0,308.25,292.55,298.0,298.7,298.75,895784,20005,393310,43.91
ICIL, EQ, 08-Oct-2021,298.7,299.0,308.0,294.05,303.0,302.25,301.98,727778,16725,306384,42.1
ICIL, EQ, 11-Oct-2021,302.25,303.0,315.0,303.0,309.45,309.4,310.22,1149963,24642,427237,37.15
ICIL, EQ, 12-Oct-2021,309.4,309.85,313.75,299.25,302.0,301.7,305.32,424440,9694,221592,52.21
ICIL, EQ, 13-Oct-2021,301.7,301.0,304.35,293.0,295.9,294.15,296.9,321365,7532,179835,55.96
ICIL, EQ, 14-Oct-2021,294.15,295.0,298.15,289.0,289.1,290.9,293.72,262701,6621,145280,55.3
ICIL, EQ, 18-Oct-2021,290.9,290.0,303.0,287.55,299.45,299.3,294.36,422066,11555,190551,45.15
ICIL, EQ, 19-Oct-2021,299.3,296.0,299.7,285.55,287.2,288.85,293.86,316845,8429,176122,55.59
ICIL, EQ, 20-Oct-2021,288.85,286.5,288.85,258.65,271.0,271.1,269.54,925722,23568,435970,47.1
ICIL, EQ, 21-Oct-2021,271.1,271.1,279.6,263.7,274.0,271.15,269.75,276391,8031,115262,41.7
ICIL, EQ, 22-Oct-2021,271.15,280.85,289.45,271.0,281.0,279.3,281.13,534720,18335,204745,38.29
ICIL, EQ, 25-Oct-2021,279.3,281.5,285.2,262.0,266.85,267.85,269.48,406608,13369,152050,37.39
ICIL, EQ, 26-Oct-2021,267.85,270.0,275.0,268.45,274.0,271.95,271.13,278653,12716,172068,61.75
ICIL, EQ, 27-Oct-2021,271.95,260.0,263.9,251.1,253.25,253.55,256.29,978466,22203,474757,48.52
ICIL, EQ, 28-Oct-2021,253.55,257.8,259.65,231.75,235.9,234.05,241.74,1013153,23594,565023,55.77
ICIL, EQ, 29-Oct-2021,234.05,235.8,246.35,228.85,243.8,241.6,240.39,520420,14723,216631,41.63
ICIL, EQ, 01-Nov-2021,241.6,240.0,246.0,231.4,238.5,239.2,238.72,694620,19535,278346,40.07
ICIL, EQ, 02-Nov-2021,239.2,239.6,248.1,239.6,244.2,242.7,244.42,405971,16170,162227,39.96
ICIL, EQ, 03-Nov-2021,242.7,249.5,249.5,241.05,242.1,242.8,243.92,345724,6983,169401,49.0
ICIL, EQ, 08-Nov-2021,248.35,250.1,252.4,243.5,252.0,251.25,249.84,224230,6065,124485,55.52
ICIL, EQ, 09-Nov-2021,251.25,254.5,258.8,251.0,253.15,252.7,254.03,330512,7267,168962,51.12
ICIL, EQ, 10-Nov-2021,252.7,252.5,255.15,248.6,249.0,250.5,251.59,262851,5878,158955,60.47
ICIL, EQ, 11-Nov-2021,250.5,251.0,258.1,250.6,253.0,252.85,253.79,443423,6256,301005,67.88
ICIL, EQ, 12-Nov-2021,252.85,255.65,272.4,254.05,263.5,264.25,266.65,1296828,22406,554714,42.77
ICIL, EQ, 15-Nov-2021,264.25,266.35,266.35,257.8,264.5,264.5,263.17,251179,7242,159186,63.38
ICIL, EQ, 16-Nov-2021,264.5,266.2,266.2,258.35,258.9,259.65,262.41,189218,5836,119764,63.29
ICIL, EQ, 17-Nov-2021,259.65,262.0,266.0,259.5,264.9,264.5,264.45,272753,8297,174569,64.0
ICIL, EQ, 18-Nov-2021,264.5,266.35,268.6,247.0,258.8,256.8,257.63,362540,9694,158789,43.8
