SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ICRA, EQ, 17-Sep-2021,3537.1,3575.0,3575.0,3525.0,3557.9,3538.05,3545.76,2373,599,1393,58.7
ICRA, EQ, 20-Sep-2021,3538.05,3545.0,3590.95,3525.15,3565.0,3547.05,3554.42,1868,490,963,51.55
ICRA, EQ, 21-Sep-2021,3547.05,3527.0,3550.0,3471.0,3546.0,3536.8,3509.15,2505,714,1101,43.95
ICRA, EQ, 22-Sep-2021,3536.8,3526.3,3595.6,3525.0,3588.3,3581.75,3575.94,2531,500,1454,57.45
ICRA, EQ, 23-Sep-2021,3581.75,3617.2,3675.0,3583.45,3642.0,3646.25,3642.73,5844,900,3857,66.0
ICRA, EQ, 24-Sep-2021,3646.25,3673.95,3673.95,3550.05,3560.0,3572.85,3629.89,30066,974,28301,94.13
ICRA, EQ, 27-Sep-2021,3572.85,3570.0,3621.6,3558.75,3600.0,3602.65,3592.8,1522,428,778,51.12
ICRA, EQ, 28-Sep-2021,3602.65,3602.65,3639.15,3576.1,3616.0,3613.45,3612.98,2121,360,1719,81.05
ICRA, EQ, 29-Sep-2021,3613.45,3595.0,3630.0,3559.0,3580.0,3582.2,3606.83,1085,471,695,64.06
ICRA, EQ, 30-Sep-2021,3582.2,3603.3,3620.05,3530.0,3531.05,3552.45,3567.94,1644,468,858,52.19
ICRA, EQ, 01-Oct-2021,3552.45,3552.45,3590.0,3503.65,3511.0,3519.05,3535.85,953,417,559,58.66
ICRA, EQ, 04-Oct-2021,3519.05,3520.85,3635.0,3505.6,3599.65,3598.1,3588.84,2495,803,1345,53.91
ICRA, EQ, 05-Oct-2021,3598.1,3598.0,3650.65,3525.0,3535.0,3537.35,3569.81,2061,553,775,37.6
ICRA, EQ, 06-Oct-2021,3537.35,3537.0,3581.75,3488.0,3504.0,3506.05,3525.58,2088,458,1489,71.31
ICRA, EQ, 07-Oct-2021,3506.05,3536.0,3573.0,3465.0,3478.0,3479.7,3508.9,2841,444,1738,61.18
ICRA, EQ, 08-Oct-2021,3479.7,3524.0,3554.0,3491.5,3549.0,3531.95,3533.23,1686,308,1042,61.8
ICRA, EQ, 11-Oct-2021,3531.95,3549.25,3563.0,3481.0,3520.0,3510.85,3512.58,2222,563,867,39.02
ICRA, EQ, 12-Oct-2021,3510.85,3549.0,3549.0,3437.2,3470.05,3469.55,3485.88,3516,767,1861,52.93
ICRA, EQ, 13-Oct-2021,3469.55,3479.8,3525.0,3470.45,3480.0,3491.65,3497.5,1032,311,783,75.87
