SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
IDBI, EQ, 17-Sep-2021,42.15,42.25,42.5,38.75,39.2,39.15,40.09,41911041,68283,19516056,46.57
IDBI, EQ, 20-Sep-2021,39.15,38.15,38.8,36.8,37.0,36.95,37.88,17529978,22140,9368328,53.44
IDBI, EQ, 21-Sep-2021,36.95,37.2,39.55,36.6,39.25,39.15,38.21,32412713,42163,8013529,24.72
IDBI, EQ, 22-Sep-2021,39.15,39.1,39.35,38.25,38.4,38.45,38.69,11835011,14037,4396745,37.15
IDBI, EQ, 23-Sep-2021,38.45,38.7,39.45,38.6,38.9,38.95,38.96,8749380,11740,3437186,39.28
IDBI, EQ, 24-Sep-2021,38.95,39.0,39.5,38.6,38.7,38.8,38.93,8954136,12066,3805139,42.5
IDBI, EQ, 27-Sep-2021,38.8,39.25,41.9,38.75,41.7,41.25,40.52,28462274,37953,14794473,51.98
IDBI, EQ, 28-Sep-2021,41.25,41.65,45.35,41.0,45.0,44.7,43.43,89531470,116096,35417164,39.56
IDBI, EQ, 29-Sep-2021,44.7,44.6,46.1,44.1,44.55,44.95,45.12,57415678,84255,20843376,36.3
IDBI, EQ, 30-Sep-2021,44.95,44.6,48.75,44.55,46.15,46.3,47.14,61982263,93011,22744779,36.7
IDBI, EQ, 01-Oct-2021,46.3,45.5,50.6,45.15,50.0,49.95,48.56,73961075,99434,22996179,31.09
IDBI, EQ, 04-Oct-2021,49.95,50.0,50.25,47.65,47.95,48.1,48.58,32563175,51883,12379739,38.02
IDBI, EQ, 05-Oct-2021,48.1,48.05,48.7,47.0,47.05,47.15,47.57,15204323,26577,6027605,39.64
IDBI, EQ, 06-Oct-2021,47.15,47.15,47.8,43.5,44.4,44.4,45.72,33556613,44009,15957779,47.55
IDBI, EQ, 07-Oct-2021,44.4,45.0,46.25,44.7,45.1,44.95,45.41,19141711,27547,8000229,41.79
IDBI, EQ, 08-Oct-2021,44.95,45.25,48.4,45.0,48.15,47.85,46.81,31570585,45069,11336446,35.91
IDBI, EQ, 11-Oct-2021,47.85,48.2,49.4,47.5,48.45,48.45,48.52,28434935,41873,12598127,44.31
IDBI, EQ, 12-Oct-2021,48.45,48.9,58.1,48.4,58.1,58.1,55.01,168348607,210271,47059324,27.95
IDBI, EQ, 13-Oct-2021,58.1,58.65,62.85,55.2,58.6,59.2,58.89,119290038,203122,27528431,23.08
IDBI, EQ, 14-Oct-2021,59.2,59.5,64.1,59.15,62.35,62.5,61.36,59130543,111508,15810464,26.74
IDBI, EQ, 18-Oct-2021,62.5,62.35,65.25,59.1,59.4,59.7,62.07,54060042,116171,17553363,32.47
IDBI, EQ, 19-Oct-2021,59.7,60.3,60.45,54.15,54.9,55.15,57.16,25896952,67274,10458597,40.39
IDBI, EQ, 20-Oct-2021,55.15,55.5,58.1,54.0,57.0,56.75,56.57,25193588,58855,6469365,25.68
IDBI, EQ, 21-Oct-2021,56.75,57.25,58.5,55.15,55.65,55.55,56.98,28072581,65538,8471629,30.18
IDBI, EQ, 22-Oct-2021,55.55,55.65,57.3,52.75,53.35,53.2,54.63,18064116,45192,7660070,42.4
IDBI, EQ, 25-Oct-2021,53.2,53.85,54.3,51.5,52.6,52.55,52.9,15911436,37259,5103802,32.08
IDBI, EQ, 26-Oct-2021,52.55,53.05,54.75,52.75,53.35,53.35,53.65,12455972,28566,4183644,33.59
IDBI, EQ, 27-Oct-2021,53.35,53.6,54.5,53.05,53.25,53.25,53.63,9939975,31083,2990791,30.09
IDBI, EQ, 28-Oct-2021,53.25,53.55,53.55,50.4,51.35,51.1,51.57,11492514,29017,4354716,37.89
IDBI, EQ, 29-Oct-2021,51.1,51.4,52.6,49.5,51.25,51.05,51.3,13976813,33221,2932493,20.98
IDBI, EQ, 01-Nov-2021,51.05,51.5,53.75,51.15,52.5,52.6,52.26,9438806,21030,2392059,25.34
IDBI, EQ, 02-Nov-2021,52.6,53.0,57.6,52.75,56.85,56.95,55.33,24039621,47262,7003307,29.13
IDBI, EQ, 03-Nov-2021,56.95,56.85,56.9,53.15,53.65,53.6,54.72,18837386,39347,6341238,33.66
IDBI, EQ, 08-Nov-2021,55.1,55.5,55.5,52.75,52.95,53.0,53.64,12398888,27361,5083233,41.0
IDBI, EQ, 09-Nov-2021,53.0,53.35,55.2,53.1,54.05,54.0,54.17,12934482,27552,3333833,25.77
IDBI, EQ, 10-Nov-2021,54.0,53.8,55.9,53.3,54.9,54.85,54.77,14161883,28671,4423726,31.24
IDBI, EQ, 11-Nov-2021,54.85,55.0,56.35,52.35,53.15,53.3,54.46,18094168,34331,5676668,31.37
IDBI, EQ, 12-Nov-2021,53.3,53.45,54.2,52.55,52.9,52.85,53.25,9578754,18803,3437049,35.88
IDBI, EQ, 15-Nov-2021,52.85,53.2,53.8,52.25,52.85,52.9,52.98,7596526,17547,2181520,28.72
IDBI, EQ, 16-Nov-2021,52.9,53.05,53.6,52.0,52.4,52.55,52.97,6421795,14209,2021012,31.47
IDBI, EQ, 17-Nov-2021,52.55,52.4,53.15,50.7,51.25,51.0,51.93,9191535,22455,3257855,35.44
IDBI, EQ, 18-Nov-2021,51.0,51.1,52.3,49.3,51.8,51.65,50.77,14048873,27889,3657142,26.03
IDBI, EQ, 22-Nov-2021,51.65,51.6,51.8,46.45,47.7,47.8,48.88,15592429,32860,5495840,35.25
IDBI, EQ, 23-Nov-2021,47.8,47.55,49.5,47.5,48.75,48.75,48.78,12072252,24162,3431266,28.42
IDBI, EQ, 24-Nov-2021,48.75,49.4,50.4,48.6,48.7,48.9,49.55,12782871,28949,3310570,25.9
IDBI, EQ, 25-Nov-2021,48.9,49.15,49.6,48.4,49.05,49.1,48.98,6992832,16110,1738625,24.86
IDBI, EQ, 26-Nov-2021,49.1,48.15,48.7,46.6,46.75,46.7,47.45,10103028,23190,4208028,41.65
IDBI, EQ, 29-Nov-2021,46.7,46.7,46.7,43.9,44.1,44.2,45.21,13717596,27971,4407705,32.13
IDBI, EQ, 30-Nov-2021,44.2,44.6,47.25,44.55,45.0,45.45,46.05,14806046,28125,3187707,21.53
IDBI, EQ, 01-Dec-2021,45.45,45.5,46.4,45.25,46.1,45.95,45.73,8236117,15904,1820701,22.11
IDBI, EQ, 02-Dec-2021,45.95,46.2,48.2,45.7,47.1,47.1,46.72,14015178,23701,3231071,23.05
IDBI, EQ, 03-Dec-2021,47.1,46.3,47.55,46.3,46.7,46.7,46.98,8081518,14815,1994310,24.68
IDBI, EQ, 06-Dec-2021,46.7,46.7,47.2,45.25,45.5,45.55,46.27,7198085,16296,1926464,26.76
IDBI, EQ, 07-Dec-2021,45.55,46.25,48.4,45.35,47.9,47.95,47.03,16523623,29516,3843853,23.26
IDBI, EQ, 08-Dec-2021,47.95,48.4,49.35,47.7,48.8,48.9,48.66,9223411,19552,2236253,24.25
IDBI, EQ, 09-Dec-2021,48.9,49.0,49.4,48.15,48.75,48.65,48.67,7586087,15258,2044206,26.95
IDBI, EQ, 10-Dec-2021,48.65,48.5,55.0,47.95,53.95,53.95,52.03,40201551,64088,12465111,31.01
IDBI, EQ, 13-Dec-2021,53.95,54.25,54.45,50.95,51.3,51.5,52.69,16512130,34551,5141861,31.14
IDBI, EQ, 14-Dec-2021,51.5,50.95,52.15,50.25,51.05,51.25,50.95,11971542,27206,3295329,27.53
