SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
IEX, EQ, 17-Sep-2021,609.15,613.95,613.95,587.0,598.0,598.75,599.16,4740057,84774,1055774,22.27
IEX, EQ, 20-Sep-2021,598.75,587.85,606.6,575.7,582.0,582.5,593.21,4894296,92945,1177930,24.07
IEX, EQ, 21-Sep-2021,582.5,583.4,593.35,566.85,585.0,583.75,579.66,4853370,91170,778050,16.03
IEX, EQ, 22-Sep-2021,583.75,586.9,604.8,586.0,601.15,600.65,596.11,4052288,80156,889717,21.96
IEX, EQ, 23-Sep-2021,600.65,605.9,610.9,598.4,601.6,601.2,604.6,2630674,53508,731579,27.81
IEX, EQ, 24-Sep-2021,601.2,603.0,615.0,588.7,592.5,591.35,602.57,4144206,81972,802207,19.36
IEX, EQ, 27-Sep-2021,591.35,595.0,597.4,581.2,588.0,589.0,587.97,2896378,60532,753033,26.0
IEX, EQ, 28-Sep-2021,589.0,591.8,605.0,586.25,596.0,596.35,596.29,4386310,88144,805678,18.37
IEX, EQ, 29-Sep-2021,596.35,593.5,643.8,590.0,639.55,637.25,627.45,21858322,348894,2549049,11.66
IEX, EQ, 30-Sep-2021,637.25,645.0,666.95,640.0,645.9,645.95,652.42,19140117,303168,2224856,11.62
IEX, EQ, 01-Oct-2021,645.95,644.0,650.75,618.0,620.15,620.35,629.65,8316302,173874,2519530,30.3
IEX, EQ, 04-Oct-2021,620.35,625.2,638.0,621.0,632.5,632.45,631.92,4754684,81716,1169057,24.59
IEX, EQ, 05-Oct-2021,632.45,631.3,645.0,630.0,634.0,632.55,637.74,4660997,72861,1383618,29.69
IEX, EQ, 06-Oct-2021,632.55,635.75,642.0,624.0,629.3,627.55,632.49,3524988,67279,845123,23.98
IEX, EQ, 07-Oct-2021,627.55,633.0,650.5,626.0,640.0,640.3,637.99,5794510,108809,1238892,21.38
IEX, EQ, 08-Oct-2021,640.3,645.15,704.3,637.2,704.3,695.9,680.13,24077077,353292,3193808,13.26
IEX, EQ, 11-Oct-2021,695.9,720.0,798.7,712.0,779.4,780.9,771.86,40851795,611050,5083942,12.44
IEX, EQ, 12-Oct-2021,780.9,786.4,809.3,762.15,786.5,790.55,788.12,24960121,436859,3673744,14.72
IEX, EQ, 13-Oct-2021,790.55,788.55,819.0,783.0,794.05,793.7,803.04,13829480,251998,2368469,17.13
IEX, EQ, 14-Oct-2021,793.7,800.0,802.0,784.15,792.5,793.1,793.57,6671011,128559,1746317,26.18
IEX, EQ, 18-Oct-2021,793.1,797.8,808.2,791.2,798.45,796.9,798.34,7581659,145254,2680924,35.36
IEX, EQ, 19-Oct-2021,796.9,876.55,956.0,786.8,845.2,845.35,904.2,65364603,1134855,11664454,17.85
IEX, EQ, 20-Oct-2021,845.35,844.0,844.0,756.55,792.8,789.45,787.66,36297977,896128,5964420,16.43
IEX, EQ, 21-Oct-2021,789.45,798.4,812.2,742.55,758.5,757.95,766.06,18379679,449379,3577483,19.46
IEX, EQ, 22-Oct-2021,757.95,833.7,833.7,760.0,763.7,764.6,790.08,33058060,676616,6554209,19.83
IEX, EQ, 25-Oct-2021,764.6,774.0,774.0,690.55,696.4,699.0,712.7,16682416,510557,4592797,27.53
IEX, EQ, 26-Oct-2021,699.0,700.0,750.45,700.0,742.0,732.0,734.86,15221211,341593,3026030,19.88
IEX, EQ, 27-Oct-2021,732.0,740.0,747.0,730.0,737.3,737.0,738.01,6222966,128804,1292648,20.77
IEX, EQ, 28-Oct-2021,737.0,735.0,749.7,705.6,713.0,710.4,720.3,11596480,318494,2852816,24.6
IEX, EQ, 29-Oct-2021,710.4,674.85,725.0,641.2,708.9,708.3,695.82,12365834,309143,1322819,10.7
IEX, EQ, 01-Nov-2021,708.3,710.5,737.95,705.0,733.6,734.05,724.8,7950455,174521,1403109,17.65
IEX, EQ, 02-Nov-2021,734.05,737.0,758.8,730.0,743.1,744.95,746.46,8778556,177185,1251557,14.26
IEX, EQ, 03-Nov-2021,744.95,741.5,752.6,724.2,729.25,728.1,739.11,4856348,95977,1139112,23.46
IEX, EQ, 08-Nov-2021,737.2,740.0,785.8,730.6,779.5,780.35,761.55,10784767,197659,2871935,26.63
IEX, EQ, 09-Nov-2021,780.35,780.35,794.9,772.15,779.5,782.1,785.55,8501913,148816,1543126,18.15
IEX, EQ, 10-Nov-2021,782.1,778.95,798.2,768.05,779.7,779.8,787.22,6656616,129341,1616602,24.29
IEX, EQ, 11-Nov-2021,779.8,779.4,794.0,770.9,792.35,788.8,781.35,5031294,81320,1946182,38.68
IEX, EQ, 12-Nov-2021,788.8,792.3,807.0,786.1,793.0,793.1,796.36,7158010,132024,1388473,19.4
IEX, EQ, 15-Nov-2021,793.1,795.6,822.85,793.5,811.0,812.7,812.4,9976093,191562,2244201,22.5
IEX, EQ, 16-Nov-2021,812.7,817.65,822.3,805.0,806.95,809.4,815.02,4525182,85786,1347359,29.77
IEX, EQ, 17-Nov-2021,809.4,819.9,827.0,812.3,817.0,816.55,818.7,6893329,147381,2507602,36.38
IEX, EQ, 18-Nov-2021,816.55,820.0,821.0,781.65,786.0,785.75,793.04,6155811,152218,2026587,32.92
IEX, EQ, 22-Nov-2021,785.75,789.7,793.2,754.15,768.35,769.45,769.54,5177251,133664,1576390,30.45
IEX, EQ, 23-Nov-2021,769.45,769.55,796.2,769.55,796.0,791.25,786.47,7117283,147938,1833666,25.76
IEX, EQ, 24-Nov-2021,791.25,798.0,801.0,777.0,778.8,781.45,791.14,4751952,103084,1753327,36.9
IEX, EQ, 25-Nov-2021,781.45,781.45,782.9,765.0,779.15,776.5,772.46,4625175,90336,1647717,35.62
IEX, EQ, 26-Nov-2021,776.5,769.9,775.0,750.0,750.9,752.9,761.88,5350592,199641,1936766,36.2
IEX, EQ, 29-Nov-2021,752.9,750.0,750.0,701.85,733.5,731.0,733.63,6395335,174820,1721678,26.92
IEX, EQ, 30-Nov-2021,731.0,737.8,774.25,734.0,745.75,744.5,751.66,8148449,187492,2202199,27.03
IEX, EQ, 01-Dec-2021,744.5,757.0,757.0,705.0,730.95,729.95,721.15,12552280,283528,3362496,26.79
IEX, EQ, 02-Dec-2021,729.95,718.0,734.15,703.05,732.0,729.55,717.64,10022119,188446,4071738,40.63
IEX, EQ, 03-Dec-2021,729.55,247.55,279.65,246.25,255.9,255.75,260.68,59275167,507966,10859553,18.32
IEX, EQ, 06-Dec-2021,255.75,258.0,259.75,250.1,252.15,251.4,255.46,15383551,167813,3151289,20.48
IEX, EQ, 07-Dec-2021,251.4,255.0,257.75,252.4,255.0,254.95,254.48,6856764,84111,1808406,26.37
IEX, EQ, 08-Dec-2021,254.95,256.7,264.5,256.0,261.7,262.1,261.26,12149458,115492,3366629,27.71
IEX, EQ, 09-Dec-2021,262.1,264.0,271.15,261.7,270.4,269.85,266.8,11462907,106856,2897025,25.27
IEX, EQ, 10-Dec-2021,269.85,271.0,303.8,269.85,295.2,295.25,291.91,67352246,433769,9566468,14.2
IEX, EQ, 13-Dec-2021,295.25,298.4,301.25,280.0,284.95,284.95,288.51,34983110,340685,9939976,28.41
IEX, EQ, 14-Dec-2021,284.95,281.0,285.0,276.6,279.1,278.95,280.09,21638654,204906,6239445,28.83
IEX, EQ, 15-Dec-2021,278.95,280.1,281.0,260.5,262.2,261.6,267.18,40586645,383432,15454320,38.08
IEX, EQ, 16-Dec-2021,261.6,265.55,267.55,256.1,266.2,265.9,263.36,26864347,245049,4105520,15.28
IEX, EQ, 17-Dec-2021,265.9,264.0,264.0,255.0,257.2,256.1,258.23,19362333,215683,5114673,26.42
IEX, EQ, 20-Dec-2021,256.1,250.0,251.0,235.4,238.9,238.6,241.38,23427782,301067,6122816,26.13
IEX, EQ, 21-Dec-2021,238.6,242.95,249.25,242.1,245.5,244.55,245.51,17647123,160572,4410132,24.99
IEX, EQ, 22-Dec-2021,244.55,248.0,255.0,245.5,254.6,254.05,252.23,16551555,139308,3131077,18.92
IEX, EQ, 23-Dec-2021,254.05,257.0,259.0,254.1,255.1,255.5,256.23,8686908,88951,2076496,23.9
IEX, EQ, 24-Dec-2021,255.5,256.8,258.5,250.0,251.05,250.75,251.71,10588760,117938,2834143,26.77
IEX, EQ, 27-Dec-2021,250.75,250.75,254.25,246.3,252.9,252.7,251.39,9533641,89341,1771282,18.58
IEX, EQ, 28-Dec-2021,252.7,254.55,257.55,253.8,255.2,255.2,255.54,9774111,85568,2302111,23.55
IEX, EQ, 29-Dec-2021,255.2,255.5,255.7,250.6,252.45,252.75,252.73,7429245,72041,1812617,24.4
IEX, EQ, 30-Dec-2021,252.75,252.0,252.25,247.0,248.5,247.7,249.22,8818959,94843,3229241,36.62
IEX, EQ, 31-Dec-2021,247.7,248.9,254.1,248.3,252.8,252.8,251.96,6021378,53449,2012478,33.42
IEX, EQ, 03-Jan-2022,252.8,253.5,259.7,253.0,257.7,258.2,256.35,7876078,80096,3578994,45.44
IEX, EQ, 04-Jan-2022,258.2,259.15,264.9,258.0,261.45,261.65,261.89,14969304,129793,4367312,29.18
IEX, EQ, 05-Jan-2022,261.65,261.45,263.5,258.85,260.6,260.65,260.94,6858801,63914,2447690,35.69
IEX, EQ, 06-Jan-2022,260.65,258.0,262.6,255.0,261.15,261.1,258.38,7141553,85114,2477736,34.69
IEX, EQ, 07-Jan-2022,261.1,265.0,265.0,258.15,260.45,260.85,261.45,6837243,76632,2125395,31.09
IEX, EQ, 10-Jan-2022,260.85,261.5,263.8,259.25,260.7,260.8,261.8,6268163,70770,2473719,39.46
IEX, EQ, 11-Jan-2022,260.8,260.0,262.8,258.75,259.35,259.3,260.9,4576771,65969,1870774,40.88
IEX, EQ, 12-Jan-2022,259.3,261.0,261.75,258.2,259.6,259.75,259.86,4221764,52325,1972313,46.72
