SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
IGPL, EQ, 17-Sep-2021,670.85,676.3,744.4,659.75,720.0,721.4,703.73,751133,34216,204268,27.19
IGPL, EQ, 20-Sep-2021,721.4,712.55,740.5,695.0,699.5,702.3,721.41,315074,19443,109336,34.7
IGPL, EQ, 21-Sep-2021,702.3,701.0,720.0,675.05,716.0,714.0,699.83,159848,9307,62794,39.28
IGPL, EQ, 22-Sep-2021,714.0,721.05,764.7,721.05,746.0,744.0,748.86,415827,20386,165318,39.76
IGPL, EQ, 23-Sep-2021,744.0,751.05,769.95,736.3,742.0,741.5,752.27,159750,7399,72263,45.24
IGPL, EQ, 24-Sep-2021,741.5,747.65,747.9,725.0,725.1,728.05,735.63,75215,5229,40526,53.88
IGPL, EQ, 27-Sep-2021,728.05,732.9,756.8,730.1,748.35,750.35,748.17,107561,7356,50549,47.0
IGPL, EQ, 28-Sep-2021,750.35,755.9,756.0,720.05,728.0,731.8,735.34,73677,5359,35672,48.42
IGPL, EQ, 29-Sep-2021,731.8,723.95,763.05,721.0,753.9,747.0,749.6,109787,8390,40551,36.94
IGPL, EQ, 30-Sep-2021,747.0,755.6,769.6,737.1,741.0,742.15,755.3,60358,3564,25506,42.26
IGPL, EQ, 01-Oct-2021,742.15,738.85,764.0,736.5,743.5,741.45,751.1,107533,6185,45769,42.56
IGPL, EQ, 04-Oct-2021,741.45,754.9,780.45,747.1,772.0,773.45,763.98,105097,5632,53349,50.76
IGPL, EQ, 05-Oct-2021,773.45,773.95,928.1,773.95,928.1,925.1,888.6,843977,32021,299526,35.49
IGPL, EQ, 06-Oct-2021,925.1,967.0,1018.6,893.0,903.0,910.35,963.83,739548,54489,203063,27.46
IGPL, EQ, 07-Oct-2021,910.35,926.0,990.0,901.1,978.0,975.85,946.67,233900,12634,99087,42.36
IGPL, EQ, 08-Oct-2021,975.85,990.0,990.0,916.1,919.5,920.85,947.38,101215,8038,52120,51.49
IGPL, EQ, 11-Oct-2021,920.85,912.0,957.0,909.0,914.0,913.6,924.66,63334,5951,34522,54.51
IGPL, EQ, 12-Oct-2021,913.6,930.0,939.0,907.0,917.0,913.75,922.21,57141,3807,33864,59.26
IGPL, EQ, 13-Oct-2021,913.75,915.05,929.8,893.5,898.0,896.8,912.18,48913,3561,30164,61.67
IGPL, EQ, 14-Oct-2021,896.8,898.0,910.0,871.05,873.25,875.95,885.95,57928,4215,31032,53.57
IGPL, EQ, 18-Oct-2021,875.95,877.0,891.9,851.1,859.9,854.9,869.3,69802,5649,37549,53.79
IGPL, EQ, 19-Oct-2021,854.9,862.8,893.0,825.55,831.95,836.3,860.84,85494,7460,34085,39.87
IGPL, EQ, 20-Oct-2021,836.3,839.6,855.3,790.5,815.95,810.1,821.85,75218,8542,27488,36.54
IGPL, EQ, 21-Oct-2021,810.1,814.7,831.5,788.0,795.5,797.7,808.79,107075,8023,44019,41.11
IGPL, EQ, 22-Oct-2021,797.7,805.6,824.0,775.1,787.0,784.7,799.23,99692,6917,31173,31.27
IGPL, EQ, 25-Oct-2021,784.7,847.7,899.9,800.1,855.0,863.95,863.3,363319,34642,105988,29.17
IGPL, EQ, 26-Oct-2021,863.95,858.3,879.7,835.05,862.0,861.2,854.35,100535,11136,35650,35.46
IGPL, EQ, 27-Oct-2021,861.2,869.4,909.85,867.4,888.0,885.45,892.3,104186,8478,50475,48.45
IGPL, EQ, 28-Oct-2021,885.45,883.0,889.55,843.25,855.0,853.0,866.72,97962,6278,23253,23.74
IGPL, EQ, 29-Oct-2021,853.0,840.8,878.45,818.55,835.9,835.7,847.59,99853,6708,22217,22.25
IGPL, EQ, 01-Nov-2021,835.7,840.0,870.0,802.65,863.0,863.15,842.07,146848,8419,41036,27.94
IGPL, EQ, 02-Nov-2021,863.15,883.9,894.0,840.05,846.0,847.4,867.22,201206,10476,61560,30.6
IGPL, EQ, 03-Nov-2021,847.4,850.0,852.45,803.5,805.5,806.75,821.52,106915,6175,48099,44.99
IGPL, EQ, 08-Nov-2021,805.75,812.8,819.95,796.95,817.0,817.15,811.66,60413,3773,17366,28.75
IGPL, EQ, 09-Nov-2021,817.15,810.0,851.35,810.0,849.0,847.6,837.11,165537,7431,47161,28.49
IGPL, EQ, 10-Nov-2021,847.6,847.6,855.0,821.1,827.0,825.6,836.24,83767,4371,20366,24.31
IGPL, EQ, 11-Nov-2021,825.6,830.0,830.0,808.0,811.9,811.5,815.65,36627,2767,22672,61.9
IGPL, EQ, 12-Nov-2021,811.5,820.0,820.0,786.0,794.85,791.55,797.03,87159,5267,35121,40.3
