SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
IIFLSEC, EQ, 17-Sep-2021,93.95,94.8,96.5,92.0,96.35,95.8,94.25,604700,5844,388090,64.18
IIFLSEC, EQ, 20-Sep-2021,95.8,95.0,96.9,90.0,92.05,91.95,93.82,349535,4329,217448,62.21
IIFLSEC, EQ, 21-Sep-2021,91.95,91.95,93.5,90.0,91.45,91.35,91.12,244041,2749,150440,61.65
IIFLSEC, EQ, 22-Sep-2021,91.35,92.45,95.0,91.95,93.2,92.9,93.15,193456,1979,120095,62.08
IIFLSEC, EQ, 23-Sep-2021,92.9,92.9,95.0,92.9,94.4,93.65,94.11,271216,2577,167187,61.64
IIFLSEC, EQ, 24-Sep-2021,93.65,93.1,95.5,93.05,93.8,93.3,94.3,238738,1990,148676,62.28
IIFLSEC, EQ, 27-Sep-2021,93.3,93.15,95.0,93.0,93.75,93.6,93.74,184922,2155,104194,56.34
IIFLSEC, EQ, 28-Sep-2021,93.6,93.8,102.95,93.8,102.95,102.45,100.44,1986626,16283,994493,50.06
IIFLSEC, EQ, 29-Sep-2021,102.45,103.4,104.95,98.55,99.05,99.8,102.39,996534,9435,513523,51.53
IIFLSEC, EQ, 30-Sep-2021,99.8,99.9,102.8,96.35,97.0,97.6,99.76,756224,9161,403310,53.33
IIFLSEC, EQ, 01-Oct-2021,97.6,97.0,101.9,96.3,100.0,100.55,99.47,727033,7029,268526,36.93
IIFLSEC, EQ, 04-Oct-2021,100.55,101.4,102.1,98.75,99.15,99.1,100.08,461972,4471,302116,65.4
IIFLSEC, EQ, 05-Oct-2021,99.1,99.1,100.5,98.75,99.15,99.1,99.51,214563,2257,142366,66.35
IIFLSEC, EQ, 06-Oct-2021,99.1,99.6,100.95,98.1,98.5,98.45,99.55,319765,3558,191638,59.93
IIFLSEC, EQ, 07-Oct-2021,98.45,98.45,102.15,98.45,99.8,99.4,100.28,313435,4406,174817,55.77
IIFLSEC, EQ, 08-Oct-2021,99.4,100.35,107.25,99.15,106.6,106.35,104.27,1401856,15150,772364,55.1
IIFLSEC, EQ, 11-Oct-2021,106.35,107.2,116.95,107.1,116.95,116.95,115.16,2535881,13951,1410167,55.61
IIFLSEC, EQ, 12-Oct-2021,116.95,116.9,119.15,112.0,112.35,112.45,114.71,1106395,17239,644964,58.29
IIFLSEC, EQ, 13-Oct-2021,112.45,113.35,116.8,113.35,114.9,114.55,115.39,815365,8625,512820,62.89
IIFLSEC, EQ, 14-Oct-2021,114.55,115.45,117.2,111.4,114.8,114.45,114.32,737257,6986,476485,64.63
IIFLSEC, EQ, 18-Oct-2021,114.45,115.65,117.25,114.5,115.25,114.9,115.85,468119,5284,312032,66.66
IIFLSEC, EQ, 19-Oct-2021,114.9,115.9,116.4,106.0,107.4,107.6,110.4,846693,10233,461906,54.55
IIFLSEC, EQ, 20-Oct-2021,107.6,108.0,110.0,101.9,106.3,105.5,106.21,715476,8753,346940,48.49
IIFLSEC, EQ, 21-Oct-2021,105.5,109.25,113.5,104.45,105.0,105.05,108.39,1888015,20738,590107,31.26
IIFLSEC, EQ, 22-Oct-2021,105.05,105.5,108.0,100.0,101.7,102.0,104.09,690161,7948,353790,51.26
IIFLSEC, EQ, 25-Oct-2021,102.0,102.9,102.9,96.8,97.15,97.1,98.29,504881,5434,281957,55.85
IIFLSEC, EQ, 26-Oct-2021,97.1,97.5,100.9,96.35,99.4,99.5,98.67,551659,5677,291717,52.88
IIFLSEC, EQ, 27-Oct-2021,99.5,100.0,101.9,99.1,99.6,99.65,100.45,243647,2998,135837,55.75
IIFLSEC, EQ, 28-Oct-2021,99.65,99.7,100.55,96.0,97.0,96.7,97.72,295955,3523,179582,60.68
IIFLSEC, EQ, 29-Oct-2021,96.7,96.7,98.45,94.2,96.8,96.15,96.6,281077,4012,146677,52.18
IIFLSEC, EQ, 01-Nov-2021,96.15,96.95,99.55,96.9,99.5,98.65,98.37,205281,2695,113216,55.15
IIFLSEC, EQ, 02-Nov-2021,98.65,100.0,100.95,98.05,98.9,99.05,99.11,214785,2994,103122,48.01
IIFLSEC, EQ, 03-Nov-2021,99.05,99.05,100.0,97.7,98.9,98.15,98.7,169420,2258,91362,53.93
IIFLSEC, EQ, 08-Nov-2021,99.3,100.3,101.25,99.1,100.0,99.9,100.2,260405,2887,152186,58.44
IIFLSEC, EQ, 09-Nov-2021,99.9,99.9,101.0,99.15,99.9,99.8,100.06,311659,3211,212153,68.07
IIFLSEC, EQ, 10-Nov-2021,99.8,99.8,102.75,98.0,98.5,98.55,100.41,549307,6188,298787,54.39
IIFLSEC, EQ, 11-Nov-2021,98.55,98.55,101.0,97.25,99.0,98.8,98.68,270375,3234,144181,53.33
IIFLSEC, EQ, 12-Nov-2021,98.8,99.8,99.8,97.75,98.5,98.35,98.54,239843,2365,134958,56.27
IIFLSEC, EQ, 15-Nov-2021,98.35,99.35,99.35,97.15,97.4,97.4,97.9,197826,2539,125524,63.45
IIFLSEC, EQ, 16-Nov-2021,97.4,97.95,99.2,97.0,97.9,97.4,98.0,224001,2833,109510,48.89
IIFLSEC, EQ, 17-Nov-2021,97.4,97.5,98.4,96.0,96.9,96.55,96.98,226281,3347,140009,61.87
IIFLSEC, EQ, 18-Nov-2021,96.55,97.0,97.65,94.15,94.8,94.8,95.33,246548,2854,154750,62.77
IIFLSEC, EQ, 22-Nov-2021,94.8,95.0,95.25,90.0,93.0,92.8,93.11,325121,4726,188597,58.01
IIFLSEC, EQ, 23-Nov-2021,92.8,92.5,96.75,88.7,95.8,94.75,93.12,297525,3129,157631,52.98
IIFLSEC, EQ, 24-Nov-2021,94.75,96.6,96.6,93.3,93.6,93.65,94.83,203823,3166,94153,46.19
IIFLSEC, EQ, 25-Nov-2021,93.65,93.65,94.05,92.3,93.4,93.0,93.13,141037,2167,76043,53.92
IIFLSEC, EQ, 26-Nov-2021,93.0,93.05,93.15,86.65,87.25,87.9,90.01,303289,4417,185528,61.17
IIFLSEC, EQ, 29-Nov-2021,87.9,86.0,89.6,84.0,85.6,85.8,86.42,240261,3706,115816,48.2
IIFLSEC, EQ, 30-Nov-2021,85.8,85.8,91.0,83.55,84.2,84.55,86.92,618550,8026,378141,61.13
