SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INDHOTEL, EQ, 17-Sep-2021,155.05,156.0,156.0,148.3,148.8,149.05,150.5,3971900,21520,2107150,53.05
INDHOTEL, EQ, 20-Sep-2021,149.05,149.2,169.55,147.8,160.8,161.05,163.99,46373514,243456,9559317,20.61
INDHOTEL, EQ, 21-Sep-2021,161.05,161.05,167.3,155.3,164.0,164.4,162.42,21720031,106613,3346798,15.41
INDHOTEL, EQ, 22-Sep-2021,164.4,165.0,176.95,163.3,172.8,173.1,172.17,24926771,137313,5475253,21.97
INDHOTEL, EQ, 23-Sep-2021,173.1,174.5,185.35,173.65,185.0,183.95,182.0,24600021,150827,5901748,23.99
INDHOTEL, EQ, 24-Sep-2021,183.95,186.65,186.9,174.7,178.9,178.8,180.0,10933180,86582,2367804,21.66
INDHOTEL, EQ, 27-Sep-2021,178.8,182.0,200.5,178.1,189.0,189.35,191.85,42179916,206657,7268926,17.23
INDHOTEL, EQ, 28-Sep-2021,189.35,190.8,194.8,183.4,186.45,187.35,189.66,19088264,102804,3500125,18.34
INDHOTEL, EQ, 29-Sep-2021,187.35,185.0,190.65,184.0,185.15,185.3,186.47,9496831,54401,1540734,16.22
INDHOTEL, EQ, 30-Sep-2021,185.3,184.5,188.8,179.3,181.75,181.4,182.31,9154987,53123,3020468,32.99
INDHOTEL, EQ, 01-Oct-2021,181.4,179.9,186.7,178.35,184.25,184.1,182.52,6462916,40529,1205187,18.65
INDHOTEL, EQ, 04-Oct-2021,184.1,185.45,192.2,184.2,187.75,187.8,188.6,9806329,57398,2287991,23.33
INDHOTEL, EQ, 05-Oct-2021,187.8,187.65,195.45,186.35,192.15,193.6,192.27,11041670,57423,2604567,23.59
INDHOTEL, EQ, 06-Oct-2021,193.6,193.9,200.65,184.0,184.9,185.2,193.04,19883989,111623,5064026,25.47
INDHOTEL, EQ, 07-Oct-2021,185.2,187.2,198.7,187.2,196.2,196.15,195.32,15735451,76474,5822908,37.01
INDHOTEL, EQ, 08-Oct-2021,196.15,198.35,211.7,198.35,203.1,202.65,205.39,34186886,188312,7134844,20.87
INDHOTEL, EQ, 11-Oct-2021,202.65,204.2,211.5,201.0,207.85,206.8,208.08,13499862,82243,4059337,30.07
INDHOTEL, EQ, 12-Oct-2021,206.8,208.25,218.95,207.1,213.65,213.75,214.67,22065528,143934,5548061,25.14
INDHOTEL, EQ, 13-Oct-2021,213.75,215.4,235.1,214.6,230.9,230.85,224.85,29860918,201257,8853945,29.65
INDHOTEL, EQ, 14-Oct-2021,230.85,233.4,237.4,221.6,229.2,229.55,230.83,19655318,113433,6870626,34.96
INDHOTEL, EQ, 18-Oct-2021,229.55,231.65,235.0,222.15,225.2,225.45,230.42,12208890,131880,5143574,42.13
INDHOTEL, EQ, 19-Oct-2021,225.45,227.75,230.8,211.5,217.0,214.85,221.7,12540061,71985,4545718,36.25
INDHOTEL, EQ, 20-Oct-2021,214.85,218.0,224.65,213.0,220.95,219.4,219.42,14827814,88910,3250936,21.92
