SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INDIGOPNTS, EQ, 17-Sep-2021,2576.15,2585.0,2618.0,2555.0,2606.95,2605.35,2568.26,104359,6895,86762,83.14
INDIGOPNTS, EQ, 20-Sep-2021,2605.35,2605.0,2618.0,2560.0,2565.0,2581.05,2590.43,51856,3138,44579,85.97
INDIGOPNTS, EQ, 21-Sep-2021,2581.05,2569.0,2598.95,2541.0,2570.0,2561.45,2559.75,12517,3272,4783,38.21
INDIGOPNTS, EQ, 22-Sep-2021,2561.45,2556.0,2603.0,2535.0,2589.0,2593.5,2563.82,46460,3959,38652,83.19
INDIGOPNTS, EQ, 23-Sep-2021,2593.5,2609.0,2626.25,2561.0,2570.05,2577.1,2582.58,14945,3167,7777,52.04
INDIGOPNTS, EQ, 24-Sep-2021,2577.1,2592.95,2695.0,2574.05,2583.0,2587.85,2634.3,132369,19101,46521,35.14
INDIGOPNTS, EQ, 27-Sep-2021,2587.85,2600.0,2608.95,2515.0,2533.0,2529.4,2547.52,30511,5980,16582,54.35
INDIGOPNTS, EQ, 28-Sep-2021,2529.4,2521.0,2556.1,2502.0,2511.5,2523.65,2525.78,29780,7243,16113,54.11
INDIGOPNTS, EQ, 29-Sep-2021,2523.65,2520.0,2595.0,2500.05,2552.5,2558.55,2533.79,23308,3678,11421,49.0
INDIGOPNTS, EQ, 30-Sep-2021,2558.55,2570.0,2572.15,2535.0,2548.0,2560.25,2548.8,17979,2389,11547,64.22
INDIGOPNTS, EQ, 01-Oct-2021,2560.25,2546.5,2548.0,2515.0,2524.85,2526.3,2532.25,14900,2254,9931,66.65
INDIGOPNTS, EQ, 04-Oct-2021,2526.3,2546.0,2560.0,2531.0,2532.0,2545.85,2542.58,12301,2406,7320,59.51
INDIGOPNTS, EQ, 05-Oct-2021,2545.85,2545.85,2545.85,2525.0,2541.05,2534.5,2533.36,14649,2995,4432,30.25
INDIGOPNTS, EQ, 06-Oct-2021,2534.5,2531.0,2554.85,2490.0,2496.0,2501.35,2521.12,21929,4704,9908,45.18
INDIGOPNTS, EQ, 07-Oct-2021,2501.35,2529.8,2535.8,2510.0,2511.0,2515.65,2520.83,15812,3702,6852,43.33
INDIGOPNTS, EQ, 08-Oct-2021,2515.65,2534.8,2589.9,2519.0,2530.05,2533.3,2547.49,25666,5838,8965,34.93
INDIGOPNTS, EQ, 11-Oct-2021,2533.3,2533.3,2568.0,2524.25,2545.0,2543.0,2544.34,18585,5267,7730,41.59
INDIGOPNTS, EQ, 12-Oct-2021,2543.0,2545.0,2565.0,2525.5,2545.0,2536.75,2539.15,14512,3925,5281,36.39
INDIGOPNTS, EQ, 13-Oct-2021,2536.75,2540.0,2547.2,2507.05,2516.25,2522.3,2521.64,21842,6377,12429,56.9
INDIGOPNTS, EQ, 14-Oct-2021,2522.3,2522.3,2524.95,2502.0,2505.25,2508.0,2511.43,22229,5450,12510,56.28
INDIGOPNTS, EQ, 18-Oct-2021,2508.0,2515.0,2515.0,2490.0,2490.0,2493.85,2499.53,24008,5934,12145,50.59
INDIGOPNTS, EQ, 19-Oct-2021,2493.85,2495.0,2504.95,2470.0,2470.9,2474.5,2482.85,18405,5592,8808,47.86
INDIGOPNTS, EQ, 20-Oct-2021,2474.5,2470.0,2504.05,2450.0,2485.8,2481.2,2480.76,36548,5081,25717,70.36
INDIGOPNTS, EQ, 21-Oct-2021,2481.2,2485.5,2493.35,2401.05,2436.2,2448.85,2449.5,25471,6834,8812,34.6
INDIGOPNTS, EQ, 22-Oct-2021,2448.85,2454.95,2458.95,2330.1,2415.0,2420.8,2411.09,18209,5537,7454,40.94
INDIGOPNTS, EQ, 25-Oct-2021,2420.8,2420.85,2446.2,2390.0,2390.0,2403.0,2409.27,22744,4628,12827,56.4
INDIGOPNTS, EQ, 26-Oct-2021,2403.0,2419.0,2419.0,2377.25,2389.8,2384.3,2393.67,13241,3118,6689,50.52
INDIGOPNTS, EQ, 27-Oct-2021,2384.3,2417.9,2484.0,2391.0,2400.0,2413.85,2430.24,24258,4227,7942,32.74
INDIGOPNTS, EQ, 28-Oct-2021,2413.85,2391.0,2408.55,2375.0,2389.0,2390.15,2388.47,13482,5363,6770,50.22
INDIGOPNTS, EQ, 29-Oct-2021,2390.15,2388.0,2450.0,2302.5,2425.0,2390.35,2391.19,48453,11288,10322,21.3
INDIGOPNTS, EQ, 01-Nov-2021,2390.35,2390.35,2418.7,2360.8,2365.0,2364.85,2377.82,31894,7462,18535,58.11
INDIGOPNTS, EQ, 02-Nov-2021,2364.85,2376.0,2385.0,2333.0,2343.0,2343.0,2350.45,34803,4809,25933,74.51
INDIGOPNTS, EQ, 03-Nov-2021,2343.0,2344.0,2359.7,2309.0,2314.95,2316.8,2325.88,17779,5383,10174,57.22
INDIGOPNTS, EQ, 08-Nov-2021,2349.85,2349.2,2395.0,2339.95,2370.15,2383.65,2374.49,89904,3249,82615,91.89
INDIGOPNTS, EQ, 09-Nov-2021,2383.65,2357.0,2375.05,2340.05,2343.9,2346.6,2350.53,18903,4271,9173,48.53
INDIGOPNTS, EQ, 10-Nov-2021,2346.6,2352.2,2357.0,2328.2,2338.9,2333.1,2339.35,9628,2167,5593,58.09
INDIGOPNTS, EQ, 11-Nov-2021,2333.1,2349.9,2357.1,2323.0,2332.0,2326.3,2333.09,7939,1976,4599,57.93
INDIGOPNTS, EQ, 12-Nov-2021,2326.3,2326.3,2333.15,2295.0,2298.0,2298.7,2303.75,18674,4332,11154,59.73
INDIGOPNTS, EQ, 15-Nov-2021,2298.7,2303.0,2346.65,2255.0,2278.05,2283.0,2299.74,23646,6764,10400,43.98
INDIGOPNTS, EQ, 16-Nov-2021,2283.0,2283.0,2330.0,2276.2,2314.65,2316.95,2313.29,44040,4212,34190,77.63
INDIGOPNTS, EQ, 17-Nov-2021,2316.95,2318.9,2334.9,2290.0,2298.0,2292.35,2309.58,16365,6136,8530,52.12
INDIGOPNTS, EQ, 18-Nov-2021,2292.35,2336.0,2345.0,2280.0,2283.0,2300.7,2306.41,13343,3916,5352,40.11
INDIGOPNTS, EQ, 22-Nov-2021,2300.7,2287.0,2335.0,2251.0,2330.0,2319.9,2283.93,23384,7142,11856,50.7
INDIGOPNTS, EQ, 23-Nov-2021,2319.9,2300.0,2329.0,2280.6,2288.0,2283.45,2290.57,17586,4618,9621,54.71
INDIGOPNTS, EQ, 24-Nov-2021,2283.45,2284.1,2295.45,2260.0,2260.0,2262.45,2270.07,12258,2782,8462,69.03
INDIGOPNTS, EQ, 25-Nov-2021,2262.45,2274.95,2291.8,2240.0,2255.15,2267.6,2254.63,12357,2761,6230,50.42
INDIGOPNTS, EQ, 26-Nov-2021,2267.6,2250.0,2253.95,2222.2,2235.9,2234.1,2237.81,13801,3257,7349,53.25
INDIGOPNTS, EQ, 29-Nov-2021,2234.1,2200.0,2218.4,2129.3,2180.0,2155.15,2166.2,27393,6577,14633,53.42
INDIGOPNTS, EQ, 30-Nov-2021,2155.15,2160.0,2249.95,2159.95,2230.1,2222.4,2195.98,19672,4816,11453,58.22
INDIGOPNTS, EQ, 01-Dec-2021,2222.4,2207.0,2275.0,2196.0,2250.0,2260.75,2228.7,10506,3806,3636,34.61
INDIGOPNTS, EQ, 02-Dec-2021,2260.75,2288.0,2288.0,2195.0,2218.0,2222.3,2222.92,19352,6266,7412,38.3
