SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INDOSTAR, EQ, 17-Sep-2021,293.7,294.65,298.25,290.05,291.45,290.8,292.97,143396,5479,82087,57.24
INDOSTAR, EQ, 20-Sep-2021,290.8,291.0,297.0,274.9,275.0,279.75,285.65,229250,8592,131640,57.42
INDOSTAR, EQ, 21-Sep-2021,279.75,280.95,287.5,278.15,284.7,284.7,283.68,73654,3808,31610,42.92
INDOSTAR, EQ, 22-Sep-2021,284.7,285.65,290.0,282.25,288.95,288.6,287.57,106797,3613,67042,62.78
INDOSTAR, EQ, 23-Sep-2021,288.6,292.2,298.95,289.1,294.3,294.85,294.56,151814,4489,103755,68.34
INDOSTAR, EQ, 24-Sep-2021,294.85,296.0,299.65,289.0,290.0,289.95,293.62,125339,3928,73324,58.5
INDOSTAR, EQ, 27-Sep-2021,289.95,291.4,292.75,282.0,283.85,283.15,286.82,134626,3309,94265,70.02
INDOSTAR, EQ, 28-Sep-2021,283.15,284.0,289.0,281.3,285.85,285.8,286.74,55057,2448,34553,62.76
INDOSTAR, EQ, 29-Sep-2021,285.8,285.0,289.95,281.65,285.1,284.8,286.2,33357,1828,19579,58.7
INDOSTAR, EQ, 30-Sep-2021,284.8,286.25,293.5,284.8,286.7,286.05,289.07,124527,3963,52436,42.11
INDOSTAR, EQ, 01-Oct-2021,286.05,285.0,287.95,280.0,282.5,282.75,283.76,297058,3971,245017,82.48
INDOSTAR, EQ, 04-Oct-2021,282.75,283.0,288.0,280.55,282.7,283.5,284.73,125000,2938,74713,59.77
INDOSTAR, EQ, 05-Oct-2021,283.5,284.8,287.25,281.15,282.7,282.25,283.57,92025,2292,68194,74.1
INDOSTAR, EQ, 06-Oct-2021,282.25,282.95,285.65,278.6,278.65,280.55,282.54,80352,2646,54855,68.27
