SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INDUSTOWER, EQ, 17-Sep-2021,269.35,269.0,275.0,262.85,268.65,268.75,269.0,13749530,96141,3050143,22.18
INDUSTOWER, EQ, 20-Sep-2021,268.75,267.9,274.15,261.5,261.7,263.05,267.78,5364134,45956,960584,17.91
INDUSTOWER, EQ, 21-Sep-2021,263.05,268.0,274.55,263.75,270.4,270.85,269.35,9607647,84666,1033266,10.75
INDUSTOWER, EQ, 22-Sep-2021,270.85,271.45,275.65,269.55,273.1,273.35,272.34,5998444,41450,1148502,19.15
INDUSTOWER, EQ, 23-Sep-2021,273.35,275.15,288.3,272.25,278.9,279.05,282.46,10740265,120571,2341836,21.8
INDUSTOWER, EQ, 24-Sep-2021,279.05,280.7,324.0,278.5,316.0,317.65,309.8,58100771,426396,6218566,10.7
INDUSTOWER, EQ, 27-Sep-2021,317.65,317.65,326.9,310.35,312.6,314.05,317.94,16451516,147043,3503017,21.29
INDUSTOWER, EQ, 28-Sep-2021,314.05,315.0,332.8,312.6,318.55,320.15,322.83,21835879,167378,3668990,16.8
INDUSTOWER, EQ, 29-Sep-2021,320.15,317.0,327.6,312.45,316.85,318.0,319.03,9690718,72481,2790893,28.8
INDUSTOWER, EQ, 30-Sep-2021,318.0,317.95,324.55,304.45,306.75,308.7,313.17,14794626,75341,5288387,35.75
INDUSTOWER, EQ, 01-Oct-2021,308.7,311.0,317.5,302.65,315.9,315.6,311.19,11203743,87280,1641452,14.65
INDUSTOWER, EQ, 04-Oct-2021,315.6,315.0,315.9,302.15,304.9,304.65,307.32,15842060,83525,7754454,48.95
INDUSTOWER, EQ, 05-Oct-2021,304.65,304.65,312.05,303.2,311.0,310.6,307.94,8130892,63422,2972295,36.56
INDUSTOWER, EQ, 06-Oct-2021,310.6,308.0,316.1,308.0,310.95,313.0,311.53,7204136,45536,3555909,49.36
INDUSTOWER, EQ, 07-Oct-2021,313.0,318.0,326.4,300.0,300.6,306.25,314.34,8843692,71917,2117838,23.95
INDUSTOWER, EQ, 08-Oct-2021,306.25,307.8,311.8,300.2,304.75,305.0,305.99,5746316,48844,1388140,24.16
INDUSTOWER, EQ, 11-Oct-2021,305.0,305.0,307.8,292.95,303.55,303.7,301.9,3595497,37699,397298,11.05
INDUSTOWER, EQ, 12-Oct-2021,303.7,305.0,305.0,293.05,298.5,299.0,298.74,4012453,39817,761842,18.99
INDUSTOWER, EQ, 13-Oct-2021,299.0,298.95,303.8,296.6,297.5,298.4,300.16,1888828,21333,372835,19.74
INDUSTOWER, EQ, 14-Oct-2021,298.4,298.4,311.0,298.05,306.0,306.0,306.52,4256928,40833,1249360,29.35
INDUSTOWER, EQ, 18-Oct-2021,306.0,300.2,307.55,299.0,301.4,301.15,301.31,3192293,35732,1549426,48.54
INDUSTOWER, EQ, 19-Oct-2021,301.15,303.7,305.6,293.45,294.9,294.95,298.39,3104071,34754,961628,30.98
INDUSTOWER, EQ, 20-Oct-2021,294.95,295.3,313.35,290.5,302.6,303.0,304.58,18376360,189949,5510091,29.98
INDUSTOWER, EQ, 21-Oct-2021,303.0,305.45,305.45,294.0,296.25,295.8,298.3,7048354,54474,3373097,47.86
INDUSTOWER, EQ, 22-Oct-2021,295.8,290.0,305.8,290.0,297.4,302.0,297.84,5330583,54890,1403678,26.33
INDUSTOWER, EQ, 25-Oct-2021,302.0,298.9,302.65,286.1,288.4,288.55,293.54,4370271,48696,754616,17.27
INDUSTOWER, EQ, 26-Oct-2021,288.55,292.0,304.0,278.0,283.05,281.45,286.21,11610386,114495,1673361,14.41
INDUSTOWER, EQ, 27-Oct-2021,281.45,284.4,284.5,270.4,273.5,274.95,275.92,8287553,73899,3018414,36.42
INDUSTOWER, EQ, 28-Oct-2021,274.95,275.0,275.8,262.85,272.0,272.55,268.75,5966890,73107,2408958,40.37
INDUSTOWER, EQ, 29-Oct-2021,272.55,274.55,280.5,266.65,272.0,271.5,274.4,2933333,31894,667906,22.77
INDUSTOWER, EQ, 01-Nov-2021,271.5,274.0,286.7,272.55,283.95,285.05,280.98,5892031,64229,2396237,40.67
INDUSTOWER, EQ, 02-Nov-2021,285.05,285.4,287.8,282.3,285.45,285.35,285.41,2589924,31905,1218774,47.06
INDUSTOWER, EQ, 03-Nov-2021,285.35,287.95,292.0,283.35,286.9,287.55,288.47,3996110,44549,1713898,42.89
INDUSTOWER, EQ, 08-Nov-2021,287.15,295.0,296.0,288.4,290.0,290.55,291.51,4540426,58535,1977328,43.55
INDUSTOWER, EQ, 09-Nov-2021,290.55,292.0,295.6,286.3,291.0,290.75,290.74,2779461,32342,1152563,41.47
INDUSTOWER, EQ, 10-Nov-2021,290.75,290.0,298.85,289.15,294.1,293.55,294.98,3318285,41010,1276487,38.47
INDUSTOWER, EQ, 11-Nov-2021,293.55,295.1,296.55,288.0,291.8,291.15,291.93,1700027,27134,525502,30.91
INDUSTOWER, EQ, 12-Nov-2021,291.15,292.7,296.9,290.55,293.4,293.1,293.87,3211857,37466,1836069,57.17
INDUSTOWER, EQ, 15-Nov-2021,293.1,295.0,295.35,288.35,290.05,290.65,291.05,1154601,21570,467280,40.47
INDUSTOWER, EQ, 16-Nov-2021,290.65,291.7,298.25,290.0,294.85,296.1,294.19,2624301,37901,1063114,40.51
INDUSTOWER, EQ, 17-Nov-2021,296.1,295.0,296.95,284.1,287.0,288.4,289.03,4149011,53366,1060931,25.57
INDUSTOWER, EQ, 18-Nov-2021,288.4,289.2,291.1,281.8,283.5,284.45,285.86,1892371,32266,542697,28.68
INDUSTOWER, EQ, 22-Nov-2021,284.45,294.7,307.0,280.0,291.45,291.95,290.07,11173039,137766,2567318,22.98
INDUSTOWER, EQ, 23-Nov-2021,291.95,292.45,296.9,285.4,293.75,294.25,292.75,5884383,87037,2734053,46.46
INDUSTOWER, EQ, 24-Nov-2021,294.25,297.0,301.5,286.5,287.6,288.8,294.99,7543988,84058,2976613,39.46
INDUSTOWER, EQ, 25-Nov-2021,288.8,287.9,297.95,280.9,295.0,296.8,291.6,5414623,58365,1287863,23.78
INDUSTOWER, EQ, 26-Nov-2021,296.8,292.8,292.8,276.85,278.0,278.7,283.87,3331104,49956,1214266,36.45
INDUSTOWER, EQ, 29-Nov-2021,278.7,286.0,288.0,268.95,281.1,281.5,280.5,6828312,83810,3022996,44.27
INDUSTOWER, EQ, 30-Nov-2021,281.5,280.1,286.2,278.6,282.0,284.45,283.78,6236260,66368,3273841,52.5
INDUSTOWER, EQ, 01-Dec-2021,284.45,282.9,287.6,274.2,283.7,284.4,281.19,5675397,68037,1881712,33.16
INDUSTOWER, EQ, 02-Dec-2021,284.4,284.1,289.0,277.25,279.4,278.8,281.84,6385949,84328,2534623,39.69
INDUSTOWER, EQ, 03-Dec-2021,278.8,278.8,284.5,275.55,281.35,280.7,279.1,5821900,55116,2047815,35.17
INDUSTOWER, EQ, 06-Dec-2021,280.7,280.7,283.0,266.2,267.55,268.5,273.77,3947420,50112,1467580,37.18
INDUSTOWER, EQ, 07-Dec-2021,268.5,271.5,272.55,265.0,269.0,269.3,269.54,2929191,49713,994881,33.96
INDUSTOWER, EQ, 08-Dec-2021,269.3,271.8,276.8,271.6,273.0,273.1,273.37,2382012,41639,1010328,42.41
INDUSTOWER, EQ, 09-Dec-2021,273.1,268.6,281.5,268.0,274.8,275.1,276.22,7232434,74294,2849476,39.4
INDUSTOWER, EQ, 10-Dec-2021,275.1,276.0,276.95,272.05,273.2,273.35,273.65,1948104,27671,781081,40.09
INDUSTOWER, EQ, 13-Dec-2021,273.35,275.0,275.3,268.0,269.5,269.8,271.16,2860633,38673,1529261,53.46
INDUSTOWER, EQ, 14-Dec-2021,269.8,271.0,271.0,265.4,266.2,266.15,267.88,2911351,48067,1741304,59.81
INDUSTOWER, EQ, 15-Dec-2021,266.15,266.5,269.9,264.0,264.5,265.2,266.74,2699092,28820,900785,33.37
