SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INEOSSTYRO, EQ, 17-Sep-2021,1374.15,1375.7,1380.3,1343.95,1355.05,1370.15,1364.92,17819,2614,9944,55.81
INEOSSTYRO, EQ, 20-Sep-2021,1370.15,1354.5,1354.5,1324.45,1325.0,1328.45,1339.21,11349,2047,6764,59.6
INEOSSTYRO, EQ, 21-Sep-2021,1328.45,1317.25,1352.0,1307.3,1342.2,1337.55,1332.49,14063,1770,7893,56.13
INEOSSTYRO, EQ, 22-Sep-2021,1337.55,1338.5,1382.5,1334.25,1369.0,1367.9,1361.97,16670,2400,8727,52.35
INEOSSTYRO, EQ, 23-Sep-2021,1367.9,1386.0,1407.0,1356.3,1373.85,1368.1,1382.46,9644,2012,5752,59.64
INEOSSTYRO, EQ, 24-Sep-2021,1368.1,1384.1,1389.9,1340.6,1353.0,1346.2,1357.66,7945,1677,4977,62.64
INEOSSTYRO, EQ, 27-Sep-2021,1346.2,1352.95,1415.9,1352.95,1387.0,1387.25,1386.7,33916,4586,17518,51.65
INEOSSTYRO, EQ, 28-Sep-2021,1387.25,1383.0,1435.0,1374.05,1396.0,1399.6,1408.36,33110,4612,17885,54.02
INEOSSTYRO, EQ, 29-Sep-2021,1399.6,1399.0,1425.05,1380.0,1389.9,1387.7,1399.79,9247,1415,5630,60.88
INEOSSTYRO, EQ, 30-Sep-2021,1387.7,1399.0,1415.0,1376.25,1387.95,1385.35,1388.5,12192,1850,7157,58.7
INEOSSTYRO, EQ, 01-Oct-2021,1385.35,1378.0,1415.0,1369.75,1405.0,1404.8,1391.81,10400,1640,7108,68.35
INEOSSTYRO, EQ, 04-Oct-2021,1404.8,1404.0,1424.6,1385.05,1403.0,1400.9,1410.39,17202,2320,12115,70.43
INEOSSTYRO, EQ, 05-Oct-2021,1400.9,1425.0,1507.0,1425.0,1470.0,1470.6,1475.09,167523,15453,64248,38.35
INEOSSTYRO, EQ, 06-Oct-2021,1470.6,1481.0,1520.0,1445.0,1446.0,1452.3,1490.96,56577,6893,30192,53.36
INEOSSTYRO, EQ, 07-Oct-2021,1452.3,1465.25,1495.0,1456.0,1460.0,1464.8,1475.69,20273,2834,13469,66.44
INEOSSTYRO, EQ, 08-Oct-2021,1464.8,1470.05,1484.0,1455.0,1473.85,1471.45,1468.08,15532,2542,9173,59.06
INEOSSTYRO, EQ, 11-Oct-2021,1471.45,1550.0,1560.0,1510.0,1555.0,1546.8,1538.95,92882,8751,59273,63.82
INEOSSTYRO, EQ, 12-Oct-2021,1546.8,1551.0,1595.0,1522.0,1582.0,1584.75,1569.9,86510,8409,51564,59.6
INEOSSTYRO, EQ, 13-Oct-2021,1584.75,1650.0,1674.0,1600.0,1627.5,1631.2,1647.11,129948,12392,69272,53.31
INEOSSTYRO, EQ, 14-Oct-2021,1631.2,1644.0,1644.0,1565.0,1574.1,1572.65,1592.19,69167,5788,46238,66.85
INEOSSTYRO, EQ, 18-Oct-2021,1572.65,1779.8,1881.0,1750.2,1829.0,1833.6,1813.44,503628,45615,252649,50.17
INEOSSTYRO, EQ, 19-Oct-2021,1833.6,1850.0,1874.0,1795.0,1817.0,1814.8,1834.67,171037,16022,99374,58.1
INEOSSTYRO, EQ, 20-Oct-2021,1814.8,1824.9,1829.7,1776.0,1801.35,1794.9,1800.15,108808,7246,74741,68.69
INEOSSTYRO, EQ, 21-Oct-2021,1794.9,1805.0,1809.55,1773.0,1774.25,1775.75,1783.93,97473,6270,73299,75.2
INEOSSTYRO, EQ, 22-Oct-2021,1775.75,1608.0,1615.0,1516.0,1598.9,1587.35,1587.87,67117,7769,33962,50.6
INEOSSTYRO, EQ, 25-Oct-2021,1587.35,1565.0,1589.55,1433.65,1493.5,1492.9,1492.44,43226,5684,21268,49.2
INEOSSTYRO, EQ, 26-Oct-2021,1492.9,1493.0,1539.95,1492.0,1505.0,1499.45,1505.15,20850,2544,12926,62.0
INEOSSTYRO, EQ, 27-Oct-2021,1499.45,1525.0,1525.0,1486.0,1495.3,1496.85,1499.1,14156,2383,8719,61.59
INEOSSTYRO, EQ, 28-Oct-2021,1496.85,1490.05,1502.6,1450.0,1451.8,1454.1,1468.09,21183,2679,14011,66.14
INEOSSTYRO, EQ, 29-Oct-2021,1454.1,1469.0,1515.2,1424.05,1495.0,1503.65,1485.74,26739,3879,16191,60.55
INEOSSTYRO, EQ, 01-Nov-2021,1503.65,1503.65,1512.0,1468.0,1475.0,1472.85,1478.01,12157,1632,8829,72.62
INEOSSTYRO, EQ, 02-Nov-2021,1472.85,1475.35,1515.0,1463.1,1470.7,1474.2,1485.93,19812,2429,14220,71.77
INEOSSTYRO, EQ, 03-Nov-2021,1474.2,1487.0,1504.5,1470.0,1473.05,1473.1,1481.41,6584,1242,3875,58.85
INEOSSTYRO, EQ, 08-Nov-2021,1497.1,1505.0,1505.0,1470.25,1480.0,1476.9,1482.37,13947,1528,10684,76.6
INEOSSTYRO, EQ, 09-Nov-2021,1476.9,1489.9,1525.0,1470.05,1500.0,1501.5,1501.29,17688,2026,11091,62.7
INEOSSTYRO, EQ, 10-Nov-2021,1501.5,1504.4,1549.0,1487.75,1539.2,1540.65,1537.23,19632,2497,13440,68.46
INEOSSTYRO, EQ, 11-Nov-2021,1540.65,1526.15,1570.0,1519.9,1560.0,1562.15,1553.14,19370,2237,12300,63.5
INEOSSTYRO, EQ, 12-Nov-2021,1562.15,1570.0,1599.0,1520.0,1528.0,1527.6,1560.52,65402,5297,33860,51.77
INEOSSTYRO, EQ, 15-Nov-2021,1527.6,1527.0,1538.9,1480.0,1490.0,1491.55,1508.83,21075,1912,14706,69.78
INEOSSTYRO, EQ, 16-Nov-2021,1491.55,1499.9,1517.85,1475.0,1509.0,1504.95,1498.91,60533,6907,19692,32.53
INEOSSTYRO, EQ, 17-Nov-2021,1504.95,1510.0,1514.2,1472.0,1485.0,1487.85,1495.9,11321,1399,8623,76.17
INEOSSTYRO, EQ, 18-Nov-2021,1487.85,1490.0,1495.3,1455.0,1473.95,1467.4,1469.35,18717,2231,13093,69.95
INEOSSTYRO, EQ, 22-Nov-2021,1467.4,1434.0,1644.0,1400.0,1468.0,1455.95,1432.94,24957,2501,16715,66.98
INEOSSTYRO, EQ, 23-Nov-2021,1455.95,1454.7,1470.0,1400.0,1445.0,1443.4,1436.35,16262,2025,11046,67.93
INEOSSTYRO, EQ, 24-Nov-2021,1443.4,1470.0,1470.0,1434.8,1435.0,1439.8,1447.71,11770,1610,7314,62.14
INEOSSTYRO, EQ, 25-Nov-2021,1439.8,1439.65,1450.0,1428.0,1437.0,1436.15,1434.74,9476,1198,6394,67.48
INEOSSTYRO, EQ, 26-Nov-2021,1436.15,1430.0,1474.0,1410.05,1410.5,1412.95,1436.4,20334,2716,12592,61.93
INEOSSTYRO, EQ, 29-Nov-2021,1412.95,1390.0,1400.0,1333.05,1359.0,1356.3,1365.09,18428,2817,12285,66.66
INEOSSTYRO, EQ, 30-Nov-2021,1356.3,1375.0,1430.0,1360.0,1375.0,1395.6,1390.15,16015,2001,8395,52.42
INEOSSTYRO, EQ, 01-Dec-2021,1395.6,1409.95,1427.9,1385.8,1392.0,1394.7,1401.99,7096,1292,4173,58.81
INEOSSTYRO, EQ, 02-Dec-2021,1394.7,1408.75,1408.75,1372.0,1381.0,1376.5,1382.94,10742,1293,7949,74.0
INEOSSTYRO, EQ, 03-Dec-2021,1376.5,1387.0,1415.05,1379.45,1396.0,1394.45,1395.26,8229,1350,4793,58.25
INEOSSTYRO, EQ, 06-Dec-2021,1394.45,1409.4,1412.8,1381.1,1382.75,1390.5,1397.85,6798,1099,4392,64.61
INEOSSTYRO, EQ, 07-Dec-2021,1390.5,1387.7,1405.65,1386.0,1388.0,1390.0,1396.92,6979,1081,5204,74.57
INEOSSTYRO, EQ, 08-Dec-2021,1390.0,1400.0,1410.0,1385.0,1404.0,1395.75,1398.99,8427,1177,5627,66.77
INEOSSTYRO, EQ, 09-Dec-2021,1395.75,1409.7,1420.0,1390.0,1394.0,1395.05,1397.8,8912,1087,5622,63.08
INEOSSTYRO, EQ, 10-Dec-2021,1395.05,1388.9,1400.0,1382.95,1384.1,1387.55,1391.91,6661,997,4778,71.73
INEOSSTYRO, EQ, 13-Dec-2021,1387.55,1388.1,1398.0,1378.0,1383.0,1385.35,1384.28,8108,1015,5614,69.24
INEOSSTYRO, EQ, 14-Dec-2021,1385.35,1396.9,1396.9,1359.95,1369.0,1367.85,1372.32,8620,1295,5499,63.79
INEOSSTYRO, EQ, 15-Dec-2021,1367.85,1363.0,1389.0,1362.0,1366.0,1368.75,1378.1,7812,1067,4869,62.33
INEOSSTYRO, EQ, 16-Dec-2021,1368.75,1369.05,1386.9,1361.0,1362.05,1367.3,1370.67,6702,1012,4169,62.21
INEOSSTYRO, EQ, 17-Dec-2021,1367.3,1360.0,1360.0,1326.0,1339.9,1339.45,1336.42,7037,1323,4476,63.61
INEOSSTYRO, EQ, 20-Dec-2021,1339.45,1320.0,1320.0,1260.05,1280.0,1271.05,1281.63,16359,2703,10923,66.77
INEOSSTYRO, EQ, 21-Dec-2021,1271.05,1258.15,1292.05,1255.25,1270.05,1269.25,1271.83,11507,1801,6838,59.42
INEOSSTYRO, EQ, 22-Dec-2021,1269.25,1284.0,1315.0,1267.0,1296.0,1292.95,1292.37,8249,1230,5540,67.16
INEOSSTYRO, EQ, 23-Dec-2021,1292.95,1310.0,1315.0,1284.8,1300.0,1296.5,1295.33,8365,1150,5336,63.79
INEOSSTYRO, EQ, 24-Dec-2021,1296.5,1305.95,1318.65,1280.1,1288.0,1295.9,1301.79,10801,1878,6347,58.76
INEOSSTYRO, EQ, 27-Dec-2021,1295.9,1298.0,1335.0,1293.35,1306.0,1300.5,1301.25,9262,1278,6056,65.39
INEOSSTYRO, EQ, 28-Dec-2021,1300.5,1314.0,1379.5,1304.6,1369.0,1359.45,1353.73,19992,2726,12070,60.37
INEOSSTYRO, EQ, 29-Dec-2021,1359.45,1382.0,1382.0,1345.1,1366.95,1360.15,1362.82,5771,1117,3439,59.59
INEOSSTYRO, EQ, 30-Dec-2021,1360.15,1350.0,1377.95,1345.0,1356.95,1349.95,1361.21,8340,1085,5338,64.0
INEOSSTYRO, EQ, 31-Dec-2021,1349.95,1350.0,1389.1,1347.85,1381.0,1377.3,1368.25,12358,1485,8294,67.11
INEOSSTYRO, EQ, 03-Jan-2022,1377.3,1399.9,1420.0,1387.9,1405.0,1404.15,1404.58,12230,1776,8665,70.85
INEOSSTYRO, EQ, 04-Jan-2022,1404.15,1400.15,1424.0,1395.0,1422.0,1419.05,1415.97,14815,1325,11300,76.27
