SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INFIBEAM, EQ, 17-Sep-2021,44.75,44.95,45.1,42.0,42.15,42.15,42.91,6886178,21374,4484339,65.12
INFIBEAM, EQ, 20-Sep-2021,42.15,41.95,43.3,41.8,42.15,42.35,42.57,2719508,8137,1246728,45.84
INFIBEAM, EQ, 21-Sep-2021,42.35,42.35,42.75,40.95,41.25,41.1,41.34,3587722,13360,2120438,59.1
INFIBEAM, EQ, 22-Sep-2021,41.1,41.5,42.55,41.4,41.7,41.55,41.78,2576487,8052,1232465,47.84
INFIBEAM, EQ, 23-Sep-2021,41.55,41.95,43.8,41.85,42.8,42.8,43.01,5357851,12568,3090416,57.68
INFIBEAM, EQ, 24-Sep-2021,42.8,43.0,43.5,42.0,43.05,43.0,42.65,4303070,9528,2931672,68.13
INFIBEAM, EQ, 27-Sep-2021,43.0,43.05,44.0,42.35,43.3,43.65,43.35,4242261,9902,2011708,47.42
INFIBEAM, EQ, 28-Sep-2021,43.65,43.7,43.7,42.35,42.6,42.6,42.79,3268935,6846,2238174,68.47
INFIBEAM, EQ, 29-Sep-2021,42.6,42.3,42.85,41.5,41.6,41.9,41.91,7315944,14524,5237984,71.6
INFIBEAM, EQ, 30-Sep-2021,41.9,41.95,42.15,41.25,41.4,41.35,41.54,5307360,11704,3412542,64.3
INFIBEAM, EQ, 01-Oct-2021,41.35,41.3,42.3,41.25,41.9,41.75,41.72,2354430,5930,989123,42.01
INFIBEAM, EQ, 04-Oct-2021,41.75,42.0,44.25,41.9,43.55,43.5,43.27,6310873,13949,3173357,50.28
INFIBEAM, EQ, 05-Oct-2021,43.5,43.5,44.5,42.95,43.5,43.5,43.74,3612980,8402,1301160,36.01
INFIBEAM, EQ, 06-Oct-2021,43.5,43.5,47.75,43.5,46.5,46.4,46.29,28633802,56758,9371422,32.73
INFIBEAM, EQ, 07-Oct-2021,46.4,47.0,48.4,46.2,47.3,47.5,47.44,9765725,22302,3649394,37.37
INFIBEAM, EQ, 08-Oct-2021,47.5,47.5,47.75,45.6,46.1,45.95,46.45,5117954,11086,3148407,61.52
INFIBEAM, EQ, 11-Oct-2021,45.95,46.5,47.25,46.1,46.5,46.35,46.65,3822492,11254,1836873,48.05
INFIBEAM, EQ, 12-Oct-2021,46.35,46.35,52.2,45.3,50.35,50.85,49.99,29187130,63135,10747447,36.82
INFIBEAM, EQ, 13-Oct-2021,50.85,51.8,51.95,49.15,50.3,50.8,50.77,23603185,42006,12782142,54.15
