SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INFY, EQ, 17-Sep-2021,1702.25,1697.0,1718.0,1684.45,1692.0,1691.3,1696.56,7454864,123572,4936266,66.22
INFY, EQ, 20-Sep-2021,1691.3,1685.0,1707.7,1677.95,1687.4,1687.85,1695.88,5660743,136341,3898202,68.86
INFY, EQ, 21-Sep-2021,1687.85,1700.0,1726.75,1684.65,1717.7,1718.45,1707.5,4672222,138846,2854317,61.09
INFY, EQ, 22-Sep-2021,1718.45,1717.0,1738.9,1713.05,1715.65,1716.9,1727.0,4553892,162450,2565643,56.34
INFY, EQ, 23-Sep-2021,1716.9,1732.0,1745.0,1721.1,1742.1,1742.55,1733.04,3826090,151039,2542806,66.46
INFY, EQ, 24-Sep-2021,1742.55,1758.0,1788.0,1752.45,1763.8,1763.85,1772.2,8280446,231499,4249574,51.32
INFY, EQ, 27-Sep-2021,1763.85,1768.75,1769.0,1718.1,1723.0,1721.15,1732.17,5045337,227547,3353897,66.48
INFY, EQ, 28-Sep-2021,1721.15,1710.0,1710.0,1675.0,1686.3,1687.1,1687.94,6557197,321289,4432200,67.59
INFY, EQ, 29-Sep-2021,1687.1,1659.25,1701.4,1655.0,1688.55,1692.25,1683.09,7792548,252164,5097015,65.41
INFY, EQ, 30-Sep-2021,1692.25,1703.0,1703.0,1670.1,1679.5,1675.2,1682.12,6914031,155817,4013029,58.04
INFY, EQ, 01-Oct-2021,1675.2,1665.1,1678.95,1661.25,1665.6,1665.15,1670.32,5733906,166006,4139955,72.2
INFY, EQ, 04-Oct-2021,1665.15,1672.5,1688.0,1665.4,1681.9,1678.75,1678.53,2947154,122901,1900709,64.49
INFY, EQ, 05-Oct-2021,1678.75,1671.0,1702.95,1663.0,1691.7,1692.8,1677.62,4373310,174119,2453697,56.11
INFY, EQ, 06-Oct-2021,1692.8,1702.1,1709.0,1670.0,1672.65,1673.55,1682.79,4271698,168805,2859420,66.94
INFY, EQ, 07-Oct-2021,1673.55,1687.0,1704.2,1676.65,1690.35,1691.0,1693.19,5476108,142352,3855195,70.4
INFY, EQ, 08-Oct-2021,1691.0,1705.25,1731.5,1698.4,1723.85,1723.85,1719.42,4738376,223183,2484109,52.43
INFY, EQ, 11-Oct-2021,1723.85,1682.0,1730.0,1663.7,1693.0,1690.95,1698.64,8840633,264208,4763503,53.88
INFY, EQ, 12-Oct-2021,1690.95,1677.0,1689.0,1662.0,1688.0,1685.15,1677.23,7439300,258781,3823146,51.39
INFY, EQ, 13-Oct-2021,1685.15,1695.95,1713.65,1680.05,1705.0,1709.2,1697.94,7104171,273495,4375894,61.6
INFY, EQ, 14-Oct-2021,1709.2,1754.0,1783.6,1698.2,1714.0,1715.75,1738.12,19655776,428428,9689787,49.3
INFY, EQ, 18-Oct-2021,1715.75,1740.0,1799.0,1740.0,1798.0,1792.15,1770.72,13438109,310783,9274584,69.02
INFY, EQ, 19-Oct-2021,1792.15,1814.0,1834.5,1782.3,1823.5,1822.15,1818.83,10324260,236442,6341209,61.42
INFY, EQ, 20-Oct-2021,1822.15,1829.4,1848.0,1794.05,1797.4,1802.35,1819.25,5876115,193075,3320472,56.51
INFY, EQ, 21-Oct-2021,1802.35,1814.0,1814.0,1746.85,1757.0,1753.65,1768.17,8779629,227646,5699645,64.92
