SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
IRCON, EQ, 17-Sep-2021,44.85,45.15,45.15,43.75,44.8,44.8,44.47,1966390,9926,1251422,63.64
IRCON, EQ, 20-Sep-2021,44.8,45.0,45.3,43.6,43.7,43.9,44.65,2305410,14213,1247048,54.09
IRCON, EQ, 21-Sep-2021,43.9,43.7,43.9,42.8,43.35,43.1,43.09,2046907,10418,1338593,65.4
IRCON, EQ, 22-Sep-2021,43.1,43.7,43.8,43.25,43.65,43.6,43.55,862713,5422,508501,58.94
IRCON, EQ, 23-Sep-2021,43.6,44.0,45.0,43.8,44.6,44.55,44.62,1668803,6803,996458,59.71
IRCON, EQ, 24-Sep-2021,44.55,45.0,46.6,44.6,45.65,45.8,45.83,9786989,30270,3461801,35.37
IRCON, EQ, 27-Sep-2021,45.8,46.5,46.7,45.1,45.35,45.3,45.77,2322491,10991,1237211,53.27
IRCON, EQ, 28-Sep-2021,45.3,45.5,45.9,45.05,45.15,45.15,45.26,1495414,6855,738772,49.4
IRCON, EQ, 29-Sep-2021,45.15,45.7,45.95,45.05,45.35,45.5,45.38,1727378,7403,706347,40.89
IRCON, EQ, 30-Sep-2021,45.5,45.7,45.75,45.1,45.2,45.2,45.37,1054393,6057,620131,58.81
IRCON, EQ, 01-Oct-2021,45.2,45.2,45.25,44.85,45.1,45.1,45.06,996063,4864,552732,55.49
IRCON, EQ, 04-Oct-2021,45.1,45.3,45.35,44.95,45.15,45.1,45.13,1318198,5922,828957,62.89
IRCON, EQ, 05-Oct-2021,45.1,45.3,48.05,45.0,47.9,47.5,46.88,11143516,34887,4573497,41.04
IRCON, EQ, 06-Oct-2021,47.5,48.25,48.4,46.55,46.9,46.8,47.7,5805438,20294,2959958,50.99
IRCON, EQ, 07-Oct-2021,46.8,47.7,47.8,46.8,46.85,46.9,47.18,1893320,8553,979972,51.76
IRCON, EQ, 08-Oct-2021,46.9,47.3,47.3,46.1,46.3,46.3,46.53,2320388,11224,1486875,64.08
IRCON, EQ, 11-Oct-2021,46.3,46.55,46.55,45.8,46.0,45.95,46.14,1767750,8300,1202057,68.0
IRCON, EQ, 12-Oct-2021,45.95,45.95,46.4,45.4,46.1,45.95,45.81,3859262,14191,2176737,56.4
IRCON, EQ, 13-Oct-2021,45.95,46.3,47.0,45.75,46.6,46.5,46.5,3022484,13454,1754017,58.03
IRCON, EQ, 14-Oct-2021,46.5,46.9,46.9,46.4,46.55,46.5,46.61,1756607,11412,1036039,58.98
IRCON, EQ, 18-Oct-2021,46.5,47.25,48.5,46.9,48.15,48.25,48.05,6179457,23398,3630840,58.76
