SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ITDC, EQ, 17-Sep-2021,386.95,389.4,429.95,380.15,403.85,407.75,415.23,1288314,36420,134950,10.47
ITDC, EQ, 20-Sep-2021,407.75,400.0,441.0,396.2,405.0,409.8,425.67,931893,34394,124260,13.33
ITDC, EQ, 21-Sep-2021,409.8,407.4,434.0,402.4,421.85,422.35,423.59,914281,31338,92602,10.13
ITDC, EQ, 22-Sep-2021,422.35,422.5,434.35,418.15,424.05,424.45,428.13,273820,10314,67632,24.7
ITDC, EQ, 23-Sep-2021,424.45,427.0,432.7,414.8,417.4,416.05,423.69,112168,5101,37741,33.65
ITDC, EQ, 24-Sep-2021,416.05,418.7,419.65,408.0,409.7,409.5,413.93,69221,3304,28011,40.47
ITDC, EQ, 27-Sep-2021,409.5,412.65,448.0,406.1,425.95,427.0,433.61,744604,25593,122658,16.47
ITDC, EQ, 28-Sep-2021,427.0,426.85,440.0,422.0,429.0,428.4,431.47,453395,17972,60555,13.36
ITDC, EQ, 29-Sep-2021,428.4,425.0,432.9,424.7,426.0,425.75,428.79,58989,3059,21986,37.27
ITDC, EQ, 30-Sep-2021,425.75,427.9,428.95,420.0,421.8,421.95,424.23,33750,2145,14596,43.25
ITDC, EQ, 01-Oct-2021,421.95,414.0,429.75,411.0,419.0,421.7,420.7,160730,7388,33362,20.76
ITDC, EQ, 04-Oct-2021,421.7,423.5,434.9,412.0,424.0,425.3,426.77,93965,5114,32196,34.26
ITDC, EQ, 05-Oct-2021,425.3,423.0,427.9,417.0,419.0,418.4,421.65,59154,3339,24675,41.71
ITDC, EQ, 06-Oct-2021,418.4,420.1,429.0,413.4,417.5,415.4,421.92,124023,7446,26129,21.07
ITDC, EQ, 07-Oct-2021,415.4,416.6,428.0,416.5,425.5,424.4,424.43,65121,3200,27558,42.32
ITDC, EQ, 08-Oct-2021,424.4,425.55,441.95,424.0,425.0,426.6,432.85,185497,9866,35506,19.14
ITDC, EQ, 11-Oct-2021,426.6,429.3,429.3,420.0,424.0,421.95,424.42,52104,3746,16217,31.12
ITDC, EQ, 12-Oct-2021,421.95,420.0,436.5,420.0,426.8,424.25,428.01,74479,3954,23717,31.84
ITDC, EQ, 13-Oct-2021,424.25,428.0,429.9,421.25,422.0,422.65,424.2,46956,3046,16982,36.17
ITDC, EQ, 14-Oct-2021,422.65,425.2,425.9,419.5,423.0,421.2,421.84,42183,2438,20445,48.47
ITDC, EQ, 18-Oct-2021,421.2,424.6,441.8,421.4,429.5,430.8,434.85,252252,9595,98638,39.1
ITDC, EQ, 19-Oct-2021,430.8,434.9,435.25,416.05,421.7,420.35,426.38,64164,3982,26750,41.69
ITDC, EQ, 20-Oct-2021,420.35,420.0,420.0,406.45,408.1,408.75,412.39,61523,4437,22969,37.33
