SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
J&KBANK, EQ, 17-Sep-2021,39.55,39.9,40.35,37.3,38.6,38.7,38.64,5930750,13820,2687596,45.32
J&KBANK, EQ, 20-Sep-2021,38.7,37.55,38.25,36.85,37.2,37.2,37.73,2474187,7357,1231817,49.79
J&KBANK, EQ, 21-Sep-2021,37.2,36.75,37.6,36.1,37.1,37.0,36.83,2880752,8748,759480,26.36
J&KBANK, EQ, 22-Sep-2021,37.0,37.35,38.0,37.05,37.2,37.2,37.37,1765213,5456,465779,26.39
J&KBANK, EQ, 23-Sep-2021,37.2,37.9,38.2,36.8,37.2,36.95,37.23,2387611,6785,1035995,43.39
J&KBANK, EQ, 24-Sep-2021,36.95,37.2,37.25,36.4,36.55,36.55,36.74,1477776,5027,669594,45.31
J&KBANK, EQ, 27-Sep-2021,36.55,36.7,36.95,36.0,36.15,36.15,36.39,1782036,5634,913003,51.23
J&KBANK, EQ, 28-Sep-2021,36.15,36.6,37.0,36.1,36.6,36.65,36.55,1993142,5108,764985,38.38
J&KBANK, EQ, 29-Sep-2021,36.65,36.4,38.5,36.25,37.15,37.2,37.59,4632832,12146,1670952,36.07
J&KBANK, EQ, 30-Sep-2021,37.2,37.4,38.75,37.25,38.0,37.95,38.07,4044730,8908,1410667,34.88
J&KBANK, EQ, 01-Oct-2021,37.95,37.55,38.35,37.25,37.9,37.95,37.85,2080589,5687,859650,41.32
J&KBANK, EQ, 04-Oct-2021,37.95,38.35,38.4,37.75,37.9,37.85,37.96,1829909,4700,720126,39.35
J&KBANK, EQ, 05-Oct-2021,37.85,37.8,38.4,37.6,37.75,37.75,37.99,1724815,4463,639470,37.07
J&KBANK, EQ, 06-Oct-2021,37.75,37.95,38.2,36.8,37.1,37.1,37.68,1686357,4867,785906,46.6
J&KBANK, EQ, 07-Oct-2021,37.1,37.55,37.7,36.8,37.05,37.0,37.21,1970182,5117,690516,35.05
J&KBANK, EQ, 08-Oct-2021,37.0,37.25,37.7,36.75,37.6,37.3,37.1,1487122,4417,588456,39.57
J&KBANK, EQ, 11-Oct-2021,37.3,37.7,37.75,37.0,37.05,37.1,37.33,1804849,5227,680776,37.72
J&KBANK, EQ, 12-Oct-2021,37.1,37.05,38.25,36.75,37.6,37.75,37.62,3854902,9424,1112238,28.85
J&KBANK, EQ, 13-Oct-2021,37.75,37.95,39.5,37.8,39.15,39.1,38.63,6568676,15074,2976370,45.31
J&KBANK, EQ, 14-Oct-2021,39.1,39.45,40.2,38.5,38.9,38.95,39.39,5160380,11073,2099352,40.68
J&KBANK, EQ, 18-Oct-2021,38.95,39.45,41.45,39.25,40.3,40.4,40.61,11290999,23856,4661030,41.28
J&KBANK, EQ, 19-Oct-2021,40.4,40.8,40.8,38.5,38.65,38.8,39.6,4487936,12397,1896284,42.25
J&KBANK, EQ, 20-Oct-2021,38.8,38.65,38.75,37.3,37.8,37.7,38.02,4017933,10280,1517638,37.77
J&KBANK, EQ, 21-Oct-2021,37.7,38.15,40.5,37.95,38.55,38.55,39.3,6506232,15507,2215085,34.05
J&KBANK, EQ, 22-Oct-2021,38.55,38.8,42.0,38.65,40.1,40.05,40.63,14161515,27792,4269376,30.15
J&KBANK, EQ, 25-Oct-2021,40.05,40.8,41.4,39.35,39.7,39.75,40.54,9773810,21536,3011167,30.81
J&KBANK, EQ, 26-Oct-2021,39.75,40.0,41.15,39.6,40.9,40.9,40.62,5556814,11979,1829499,32.92
J&KBANK, EQ, 27-Oct-2021,40.9,41.35,44.45,40.75,43.3,43.15,43.25,23971804,45372,7486693,31.23
J&KBANK, EQ, 28-Oct-2021,43.15,43.4,43.55,40.0,40.25,40.2,41.84,8576720,20770,3584958,41.8
J&KBANK, EQ, 29-Oct-2021,40.2,40.2,41.15,38.65,40.05,40.15,40.05,6063725,15006,1460836,24.09
J&KBANK, EQ, 01-Nov-2021,40.15,40.5,41.15,39.35,40.9,40.8,40.39,3522913,8882,1304618,37.03
J&KBANK, EQ, 02-Nov-2021,40.8,41.5,44.7,41.0,43.8,44.15,43.37,18657348,36396,4882442,26.17
J&KBANK, EQ, 03-Nov-2021,44.15,43.85,46.35,43.45,44.8,44.7,45.18,14798892,38194,4693672,31.72
J&KBANK, EQ, 08-Nov-2021,45.25,45.6,48.3,45.35,47.8,47.75,47.21,13522834,36759,4266881,31.55
J&KBANK, EQ, 09-Nov-2021,47.75,47.7,47.95,46.35,47.05,47.15,47.08,7003981,21852,2256545,32.22
J&KBANK, EQ, 10-Nov-2021,47.15,46.55,47.95,46.2,46.95,46.75,47.0,5565397,15458,1941506,34.89
J&KBANK, EQ, 11-Nov-2021,46.75,46.15,47.15,45.55,45.85,45.8,46.25,3860696,12788,1540036,39.89
J&KBANK, EQ, 12-Nov-2021,45.8,46.25,46.75,44.75,45.95,46.0,45.82,4229344,13705,1337181,31.62
J&KBANK, EQ, 15-Nov-2021,46.0,45.6,45.7,42.5,42.95,43.05,44.0,6855804,21850,3113922,45.42
J&KBANK, EQ, 16-Nov-2021,43.05,43.05,43.95,41.15,41.7,41.5,42.4,5788818,18027,2205961,38.11
J&KBANK, EQ, 17-Nov-2021,41.5,41.6,42.75,41.3,41.65,41.8,42.06,4436320,12451,1338730,30.18
J&KBANK, EQ, 18-Nov-2021,41.8,42.1,42.55,40.7,41.1,41.1,41.47,4741484,13793,1285554,27.11
J&KBANK, EQ, 22-Nov-2021,41.1,41.3,41.7,38.3,39.05,38.95,39.63,4490438,13919,1651094,36.77
J&KBANK, EQ, 23-Nov-2021,38.95,38.95,40.5,38.55,40.15,40.2,39.93,4187614,12549,986539,23.56
J&KBANK, EQ, 24-Nov-2021,40.2,40.75,41.4,39.85,40.0,40.2,40.82,2468535,7589,889977,36.05
J&KBANK, EQ, 25-Nov-2021,40.2,40.2,40.5,39.65,40.15,40.15,40.12,2543039,6841,745487,29.31
J&KBANK, EQ, 26-Nov-2021,40.15,39.8,39.8,37.5,37.7,37.95,38.89,5596575,17123,3154276,56.36
J&KBANK, EQ, 29-Nov-2021,37.95,37.3,38.0,35.8,36.25,36.25,36.57,7064365,19347,2588682,36.64
J&KBANK, EQ, 30-Nov-2021,36.25,36.5,37.65,36.3,36.6,36.75,37.13,3878757,11216,1298016,33.46
J&KBANK, EQ, 01-Dec-2021,36.75,36.95,37.5,36.3,37.05,36.95,36.81,3141690,7810,1169443,37.22
J&KBANK, EQ, 02-Dec-2021,36.95,37.35,37.4,36.65,37.0,37.0,37.05,2667414,6824,1076534,40.36
J&KBANK, EQ, 03-Dec-2021,37.0,37.3,37.4,36.75,37.0,37.0,37.05,2561424,6379,1165657,45.51
J&KBANK, EQ, 06-Dec-2021,37.0,37.25,37.25,36.5,36.55,36.7,36.91,2717943,6560,1252402,46.08
J&KBANK, EQ, 07-Dec-2021,36.7,37.0,37.4,36.65,37.05,37.1,37.06,2642738,6022,1108451,41.94
J&KBANK, EQ, 08-Dec-2021,37.1,37.3,37.85,37.2,37.3,37.35,37.47,2563152,6673,1118542,43.64
J&KBANK, EQ, 09-Dec-2021,37.35,37.25,37.8,36.9,37.25,37.15,37.25,3375286,9336,1658609,49.14
J&KBANK, EQ, 10-Dec-2021,37.15,37.4,39.4,37.1,38.85,38.85,38.44,6026541,13685,2111726,35.04
J&KBANK, EQ, 13-Dec-2021,38.85,39.3,39.45,38.05,38.25,38.25,38.73,2421965,7201,1032632,42.64
J&KBANK, EQ, 14-Dec-2021,38.25,37.95,38.2,37.5,37.75,37.7,37.81,1770734,6845,638264,36.05
J&KBANK, EQ, 15-Dec-2021,37.7,37.75,38.7,37.25,37.45,37.45,37.94,3339131,9290,1118113,33.49
J&KBANK, EQ, 16-Dec-2021,37.45,37.9,37.9,36.85,37.2,37.1,37.27,1874272,6877,688231,36.72
J&KBANK, EQ, 17-Dec-2021,37.1,36.9,36.95,35.9,36.15,36.25,36.31,1958164,7153,806847,41.2
J&KBANK, EQ, 20-Dec-2021,36.25,35.7,35.9,34.15,34.4,34.35,34.67,3194358,12179,1286049,40.26
J&KBANK, EQ, 21-Dec-2021,34.35,34.6,36.35,34.6,35.7,35.8,35.44,2671091,7663,818446,30.64
J&KBANK, EQ, 22-Dec-2021,35.8,35.95,36.45,35.8,36.1,36.1,36.09,1353633,4903,508978,37.6
J&KBANK, EQ, 23-Dec-2021,36.1,36.4,37.1,36.1,36.45,36.5,36.52,1413702,4822,533975,37.77
J&KBANK, EQ, 24-Dec-2021,36.5,36.8,36.8,35.6,35.9,35.75,35.95,1560694,4981,568393,36.42
J&KBANK, EQ, 27-Dec-2021,35.75,35.75,35.9,34.6,35.55,35.6,35.52,1338649,4706,466335,34.84
J&KBANK, EQ, 28-Dec-2021,35.6,36.0,36.2,35.65,35.95,35.85,35.96,1018598,3415,512127,50.28
J&KBANK, EQ, 29-Dec-2021,35.85,36.1,36.8,35.75,35.9,35.9,36.19,1496721,5551,501448,33.5
J&KBANK, EQ, 30-Dec-2021,35.9,36.0,37.0,35.65,36.3,36.45,36.39,2043466,6281,918315,44.94
J&KBANK, EQ, 31-Dec-2021,36.45,36.55,37.4,36.25,36.35,36.35,36.66,1678552,4899,596103,35.51
J&KBANK, EQ, 03-Jan-2022,36.35,36.5,37.3,36.25,36.75,36.85,36.74,2110604,5594,756906,35.86
J&KBANK, EQ, 04-Jan-2022,36.85,37.0,37.5,36.7,37.0,37.0,37.07,1801108,5062,678084,37.65
J&KBANK, EQ, 05-Jan-2022,37.0,37.0,37.9,36.8,37.1,37.05,37.23,2501368,5753,821336,32.84
J&KBANK, EQ, 06-Jan-2022,37.05,36.6,38.85,36.45,38.5,38.2,37.78,4562714,10391,1560121,34.19
J&KBANK, EQ, 07-Jan-2022,38.2,38.45,39.1,37.4,37.65,37.75,38.21,3857878,9399,1332977,34.55
J&KBANK, EQ, 10-Jan-2022,37.75,38.0,39.2,38.0,38.8,38.9,38.66,3298379,8546,1513054,45.87
