SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
JBMA, EQ, 17-Sep-2021,474.9,477.95,481.4,442.0,456.0,455.75,457.78,121312,7251,49735,41.0
JBMA, EQ, 20-Sep-2021,455.75,452.0,468.0,445.0,455.0,449.05,455.45,42674,3281,18029,42.25
JBMA, EQ, 21-Sep-2021,449.05,464.0,464.45,450.0,460.0,459.75,456.34,50687,3287,20130,39.71
JBMA, EQ, 22-Sep-2021,459.75,462.45,466.0,455.45,459.1,460.3,460.68,33252,2655,13353,40.16
JBMA, EQ, 23-Sep-2021,460.3,462.5,539.4,462.5,518.95,516.6,517.69,1533351,48593,276813,18.05
JBMA, EQ, 24-Sep-2021,516.6,524.0,524.0,505.0,509.0,510.45,513.53,222342,13106,76778,34.53
JBMA, EQ, 27-Sep-2021,510.45,513.4,549.0,481.7,526.0,526.6,528.32,622857,27507,162118,26.03
JBMA, EQ, 28-Sep-2021,526.6,535.0,543.0,517.6,529.0,528.4,531.94,262306,14142,93886,35.79
JBMA, EQ, 29-Sep-2021,528.4,525.9,534.4,519.65,522.0,527.25,527.8,78225,5373,32890,42.05
JBMA, EQ, 30-Sep-2021,527.25,523.5,543.25,515.05,518.5,520.5,531.85,165217,12129,40567,24.55
JBMA, EQ, 01-Oct-2021,520.5,516.0,544.0,513.95,526.5,528.2,532.05,175971,10200,43218,24.56
JBMA, EQ, 04-Oct-2021,528.2,532.35,556.7,525.7,541.5,542.8,544.81,314468,13815,103640,32.96
JBMA, EQ, 05-Oct-2021,542.8,544.0,557.3,531.15,531.15,536.15,544.43,119931,7160,42333,35.3
JBMA, EQ, 06-Oct-2021,536.15,538.5,547.0,522.0,526.0,525.45,536.56,93556,5708,40177,42.94
JBMA, EQ, 07-Oct-2021,525.45,533.7,542.0,527.0,529.0,528.9,535.12,68006,4594,22234,32.69
JBMA, EQ, 08-Oct-2021,528.9,534.0,537.85,527.0,530.7,529.55,532.03,35805,3214,13054,36.46
JBMA, EQ, 11-Oct-2021,529.55,532.2,547.75,525.55,530.65,528.35,536.92,115242,7058,21803,18.92
JBMA, EQ, 12-Oct-2021,528.35,529.9,538.85,526.7,529.2,529.5,531.7,38745,2984,14488,37.39
JBMA, EQ, 13-Oct-2021,529.5,534.0,624.0,533.0,605.05,610.5,591.31,908314,46878,259748,28.6
