SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
JMFINANCIL, EQ, 17-Sep-2021,91.4,92.3,92.8,89.15,91.2,90.55,90.75,2128755,14767,1111276,52.2
JMFINANCIL, EQ, 20-Sep-2021,90.55,89.55,91.45,89.0,89.75,89.9,90.43,1213226,7240,544525,44.88
JMFINANCIL, EQ, 21-Sep-2021,89.9,89.85,90.7,88.5,89.6,89.8,89.53,1357971,10450,629942,46.39
JMFINANCIL, EQ, 22-Sep-2021,89.8,90.2,91.5,89.65,90.0,90.05,90.48,1070192,8754,494970,46.25
JMFINANCIL, EQ, 23-Sep-2021,90.05,90.9,92.2,89.65,91.75,91.5,91.09,3130241,15671,1904802,60.85
JMFINANCIL, EQ, 24-Sep-2021,91.5,92.0,93.1,90.0,92.2,92.3,92.13,2126452,12709,806257,37.92
JMFINANCIL, EQ, 27-Sep-2021,92.3,92.8,94.25,92.45,93.5,93.0,93.49,2291411,17141,1138866,49.7
JMFINANCIL, EQ, 28-Sep-2021,93.0,93.5,94.2,92.15,92.95,93.05,93.12,1921033,13554,950979,49.5
JMFINANCIL, EQ, 29-Sep-2021,93.05,92.8,93.4,91.4,92.0,92.0,92.31,1349908,9627,722876,53.55
JMFINANCIL, EQ, 30-Sep-2021,92.0,92.5,93.15,92.0,92.2,92.55,92.62,1261499,8354,425151,33.7
JMFINANCIL, EQ, 01-Oct-2021,92.55,91.85,92.95,91.3,91.75,92.05,92.13,1026546,7872,398253,38.8
JMFINANCIL, EQ, 04-Oct-2021,92.05,92.05,94.2,92.05,92.8,92.75,93.32,1442469,7845,715485,49.6
JMFINANCIL, EQ, 05-Oct-2021,92.75,92.7,93.9,92.4,92.8,92.8,92.93,713631,5490,280016,39.24
JMFINANCIL, EQ, 06-Oct-2021,92.8,93.25,93.8,90.8,90.95,91.2,92.67,1667396,7416,987529,59.23
JMFINANCIL, EQ, 07-Oct-2021,91.2,91.5,91.8,90.0,90.35,90.3,90.93,1379042,7096,777744,56.4
JMFINANCIL, EQ, 08-Oct-2021,90.3,90.5,92.35,90.5,91.75,91.35,91.4,1073757,6481,540152,50.3
JMFINANCIL, EQ, 11-Oct-2021,91.35,92.3,93.5,91.9,92.5,92.7,92.9,1404254,8256,635766,45.27
JMFINANCIL, EQ, 12-Oct-2021,92.7,92.95,93.8,92.2,92.8,92.75,92.87,1791470,9238,970928,54.2
JMFINANCIL, EQ, 13-Oct-2021,92.75,93.4,96.9,93.0,94.0,93.9,94.84,5422691,24439,2319118,42.77
JMFINANCIL, EQ, 14-Oct-2021,93.9,96.0,96.1,93.5,93.8,93.95,94.2,1828489,8065,1072523,58.66
JMFINANCIL, EQ, 18-Oct-2021,93.95,94.4,96.4,93.8,94.3,94.15,94.98,2155695,12847,924000,42.86
JMFINANCIL, EQ, 19-Oct-2021,94.15,95.0,95.85,90.3,92.0,91.8,93.31,1871651,9982,813981,43.49
JMFINANCIL, EQ, 20-Oct-2021,91.8,92.3,92.8,89.9,91.15,90.9,91.39,1295583,8533,509380,39.32
JMFINANCIL, EQ, 21-Oct-2021,90.9,91.2,91.75,90.35,90.9,91.05,91.06,750754,6029,244785,32.61
JMFINANCIL, EQ, 22-Oct-2021,91.05,91.0,91.85,88.95,90.1,89.85,90.54,774794,6618,359389,46.39
JMFINANCIL, EQ, 25-Oct-2021,89.85,90.0,90.8,87.5,90.0,90.1,89.31,1116455,10388,495939,44.42
JMFINANCIL, EQ, 26-Oct-2021,90.1,90.75,91.5,89.25,90.3,90.4,90.49,590643,4710,241804,40.94
JMFINANCIL, EQ, 27-Oct-2021,90.4,90.7,91.3,88.7,88.9,88.9,89.95,666337,5523,341702,51.28
JMFINANCIL, EQ, 28-Oct-2021,88.9,89.6,90.85,88.2,90.2,90.1,89.75,972495,6005,593613,61.04
JMFINANCIL, EQ, 29-Oct-2021,90.1,87.7,88.95,86.35,88.75,87.9,87.81,1117084,9291,516070,46.2
JMFINANCIL, EQ, 01-Nov-2021,87.9,88.0,89.0,85.55,85.7,85.9,86.56,1634450,15249,1046611,64.03
JMFINANCIL, EQ, 02-Nov-2021,85.9,85.0,85.85,82.25,83.0,83.05,83.81,3194443,21752,1704791,53.37
JMFINANCIL, EQ, 03-Nov-2021,83.05,84.65,84.75,83.3,83.95,83.9,83.97,870986,7884,427123,49.04
JMFINANCIL, EQ, 08-Nov-2021,84.7,85.0,85.4,82.55,83.35,83.25,83.31,1918810,12589,981493,51.15
JMFINANCIL, EQ, 09-Nov-2021,83.25,83.75,84.9,83.5,84.9,84.65,84.35,949539,8618,517378,54.49
JMFINANCIL, EQ, 10-Nov-2021,84.65,84.85,85.9,83.2,83.5,83.85,84.44,1558397,7454,1082495,69.46
JMFINANCIL, EQ, 11-Nov-2021,83.85,83.85,85.0,82.0,82.15,82.55,83.4,1267405,11560,798352,62.99
JMFINANCIL, EQ, 12-Nov-2021,82.55,83.15,83.25,81.5,81.95,82.2,82.24,1197492,10971,717009,59.88
JMFINANCIL, EQ, 15-Nov-2021,82.2,82.2,82.95,80.75,81.2,81.0,81.48,1101496,7133,735857,66.81
JMFINANCIL, EQ, 16-Nov-2021,81.0,81.0,81.8,79.0,79.6,79.7,80.5,802696,7021,490904,61.16
JMFINANCIL, EQ, 17-Nov-2021,79.7,79.7,81.55,79.7,81.4,81.2,80.91,809257,5907,416014,51.41
JMFINANCIL, EQ, 18-Nov-2021,81.2,82.0,82.45,78.7,79.5,79.35,79.68,1208765,8198,662703,54.82
JMFINANCIL, EQ, 22-Nov-2021,79.35,79.6,79.65,76.8,77.95,77.65,77.89,953186,6830,515911,54.12
JMFINANCIL, EQ, 23-Nov-2021,77.65,77.3,79.85,76.7,77.95,77.9,78.05,1297010,9697,640988,49.42
JMFINANCIL, EQ, 24-Nov-2021,77.9,78.25,79.2,77.0,77.35,77.15,77.98,1024300,9215,601389,58.71
JMFINANCIL, EQ, 25-Nov-2021,77.15,77.25,77.85,76.65,77.0,76.95,77.17,518630,8126,262991,50.71
JMFINANCIL, EQ, 26-Nov-2021,76.95,76.8,78.7,74.0,74.1,74.6,75.98,1970366,20714,1235334,62.7
JMFINANCIL, EQ, 29-Nov-2021,74.6,74.6,74.6,64.9,71.5,71.0,71.86,2317350,21902,1189483,51.33
JMFINANCIL, EQ, 30-Nov-2021,71.0,72.35,72.9,70.6,71.2,71.15,71.62,1376308,8489,700320,50.88
JMFINANCIL, EQ, 01-Dec-2021,71.15,72.0,72.1,70.2,71.05,70.8,70.93,1357363,15200,637129,46.94
JMFINANCIL, EQ, 02-Dec-2021,70.8,71.2,71.75,69.7,70.2,70.1,70.35,2559693,28052,1588853,62.07
JMFINANCIL, EQ, 03-Dec-2021,70.1,70.35,70.85,69.5,69.85,69.8,70.08,1466833,17791,902965,61.56
JMFINANCIL, EQ, 06-Dec-2021,69.8,70.3,72.3,68.4,68.5,68.5,69.98,2262809,14310,1181578,52.22
JMFINANCIL, EQ, 07-Dec-2021,68.5,69.4,70.7,69.1,69.95,70.05,70.02,2323360,13865,1674607,72.08
JMFINANCIL, EQ, 08-Dec-2021,70.05,70.95,72.2,69.5,71.6,70.85,70.66,2681103,19731,1493656,55.71
JMFINANCIL, EQ, 09-Dec-2021,70.85,71.5,78.7,71.5,77.5,77.7,76.56,10975298,48728,2485140,22.64
JMFINANCIL, EQ, 10-Dec-2021,77.7,77.5,77.7,75.05,75.5,75.35,76.07,2397894,14213,1012460,42.22
JMFINANCIL, EQ, 13-Dec-2021,75.35,76.05,76.85,73.5,73.9,73.7,74.82,1833702,14000,924655,50.43
JMFINANCIL, EQ, 14-Dec-2021,73.7,73.55,74.4,71.8,72.45,72.1,72.78,1662951,10326,868955,52.25
JMFINANCIL, EQ, 15-Dec-2021,72.1,72.05,72.95,71.3,71.7,71.6,71.88,1347147,11280,690087,51.23
JMFINANCIL, EQ, 16-Dec-2021,71.6,72.4,73.8,71.5,71.85,71.7,72.38,2480951,10354,1257425,50.68
JMFINANCIL, EQ, 17-Dec-2021,71.7,71.65,73.3,71.3,73.1,72.9,72.51,2626039,14712,1327977,50.57
JMFINANCIL, EQ, 20-Dec-2021,72.9,72.75,72.75,69.75,71.2,71.9,70.68,2347753,13159,1346606,57.36
JMFINANCIL, EQ, 21-Dec-2021,71.9,72.75,72.75,71.7,72.5,72.55,72.32,893811,5828,416595,46.61
JMFINANCIL, EQ, 22-Dec-2021,72.55,72.7,72.95,71.5,71.55,71.7,72.07,1233836,8092,754776,61.17
JMFINANCIL, EQ, 23-Dec-2021,71.7,71.8,73.4,71.75,73.0,73.0,72.65,1530916,10084,906213,59.19
JMFINANCIL, EQ, 24-Dec-2021,73.0,73.3,74.25,72.2,73.1,73.2,72.92,611192,3659,282953,46.3
JMFINANCIL, EQ, 27-Dec-2021,73.2,72.2,73.45,71.65,73.2,73.1,72.59,817749,4402,457463,55.94
JMFINANCIL, EQ, 28-Dec-2021,73.1,73.2,74.0,72.3,72.65,72.75,72.79,1228736,11537,668810,54.43
JMFINANCIL, EQ, 29-Dec-2021,72.75,73.0,73.9,72.75,73.35,73.1,73.28,710974,6294,369022,51.9
JMFINANCIL, EQ, 30-Dec-2021,73.1,74.1,74.1,73.2,73.6,73.5,73.55,588443,5541,314814,53.5
JMFINANCIL, EQ, 31-Dec-2021,73.5,73.4,76.55,73.1,74.4,74.4,74.69,1700739,8491,896941,52.74
JMFINANCIL, EQ, 03-Jan-2022,74.4,75.0,76.2,74.95,75.5,75.4,75.48,1103221,8740,532780,48.29
JMFINANCIL, EQ, 04-Jan-2022,75.4,76.3,76.3,73.9,74.25,74.2,74.87,636286,8372,284059,44.64
JMFINANCIL, EQ, 05-Jan-2022,74.2,73.6,74.8,73.2,73.4,73.4,73.72,741056,5100,404529,54.59
JMFINANCIL, EQ, 06-Jan-2022,73.4,73.0,73.6,72.6,73.35,73.1,73.08,611905,3623,309546,50.59
JMFINANCIL, EQ, 07-Jan-2022,73.1,72.75,73.9,72.5,72.8,72.85,73.14,869620,7005,479059,55.09
JMFINANCIL, EQ, 10-Jan-2022,72.85,73.4,76.5,72.75,76.5,74.65,74.62,3535998,11481,2615627,73.97
JMFINANCIL, EQ, 11-Jan-2022,74.65,77.0,77.5,75.6,76.25,76.0,76.46,1754573,9708,747179,42.58
JMFINANCIL, EQ, 12-Jan-2022,76.0,76.5,79.45,76.5,77.25,77.45,78.14,2557889,16596,1059640,41.43
JMFINANCIL, EQ, 13-Jan-2022,77.45,77.95,78.0,76.3,76.85,76.6,77.01,804697,4901,330005,41.01
JMFINANCIL, EQ, 14-Jan-2022,76.6,76.9,76.9,75.5,76.05,76.05,76.16,764325,5899,435161,56.93
JMFINANCIL, EQ, 17-Jan-2022,76.05,77.55,78.55,76.65,77.25,77.2,77.57,1411330,12807,731006,51.8
JMFINANCIL, EQ, 18-Jan-2022,77.2,77.95,78.2,75.3,75.75,75.8,76.7,818170,7008,446003,54.51
JMFINANCIL, EQ, 19-Jan-2022,75.8,75.6,75.95,74.5,74.7,74.7,75.0,499209,4287,258509,51.78
JMFINANCIL, EQ, 20-Jan-2022,74.7,74.0,76.05,74.0,74.65,74.75,75.13,547147,5358,296513,54.19
JMFINANCIL, EQ, 21-Jan-2022,74.75,74.5,75.1,72.8,73.3,73.35,73.83,694619,6365,367962,52.97
JMFINANCIL, EQ, 24-Jan-2022,73.35,73.35,74.35,70.4,70.8,70.95,71.64,920314,8936,485235,52.72
