SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
JSLHISAR, EQ, 17-Sep-2021,296.35,299.0,303.0,286.15,302.0,297.2,293.11,623143,10033,357554,57.38
JSLHISAR, EQ, 20-Sep-2021,297.2,296.0,296.0,276.6,277.95,278.6,285.99,626968,12217,340440,54.3
JSLHISAR, EQ, 21-Sep-2021,278.6,274.8,282.5,265.0,279.9,279.7,273.22,568627,12145,214820,37.78
JSLHISAR, EQ, 22-Sep-2021,279.7,283.35,286.0,277.7,279.75,280.6,281.37,243517,5412,106047,43.55
JSLHISAR, EQ, 23-Sep-2021,280.6,283.1,287.8,279.3,284.45,284.2,283.45,357670,7237,216884,60.64
JSLHISAR, EQ, 24-Sep-2021,284.2,285.8,288.8,276.5,277.5,277.8,281.87,305669,5096,202030,66.09
JSLHISAR, EQ, 27-Sep-2021,277.8,279.0,282.85,273.5,276.35,275.75,277.41,162809,3724,92065,56.55
JSLHISAR, EQ, 28-Sep-2021,275.75,274.1,286.5,274.1,282.15,282.9,280.86,293073,6227,142511,48.63
JSLHISAR, EQ, 29-Sep-2021,282.9,282.0,293.65,280.0,288.0,288.3,288.66,336339,6986,147704,43.92
JSLHISAR, EQ, 30-Sep-2021,288.3,289.85,293.9,286.75,287.0,288.6,290.24,181927,4840,96001,52.77
JSLHISAR, EQ, 01-Oct-2021,288.6,288.0,301.6,285.6,296.75,298.25,297.1,649491,13407,325169,50.07
JSLHISAR, EQ, 04-Oct-2021,298.25,300.0,308.55,300.0,305.0,305.85,304.95,688026,12069,313324,45.54
JSLHISAR, EQ, 05-Oct-2021,305.85,306.7,313.0,303.0,303.0,305.1,309.42,532959,11559,234965,44.09
JSLHISAR, EQ, 06-Oct-2021,305.1,305.45,309.35,288.1,296.0,296.15,296.92,511503,9901,255937,50.04
JSLHISAR, EQ, 07-Oct-2021,296.15,298.7,301.9,291.5,296.75,296.85,295.85,450150,18646,246804,54.83
