SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KEC, EQ, 17-Sep-2021,428.0,429.95,435.0,411.5,415.0,416.8,428.38,1245059,18564,1051964,84.49
KEC, EQ, 20-Sep-2021,416.8,418.0,449.9,417.05,434.0,438.45,437.25,1793773,53217,579080,32.28
KEC, EQ, 21-Sep-2021,438.45,431.95,468.0,431.95,456.65,454.85,457.97,3222440,86416,850513,26.39
KEC, EQ, 22-Sep-2021,454.85,468.5,474.8,437.6,441.85,441.7,456.21,2424442,59680,691021,28.5
KEC, EQ, 23-Sep-2021,441.7,446.0,458.6,442.7,454.25,453.55,453.6,599780,25970,208671,34.79
KEC, EQ, 24-Sep-2021,453.55,453.55,461.95,445.0,452.35,452.75,453.71,426310,15412,153082,35.91
KEC, EQ, 27-Sep-2021,452.75,456.0,458.8,436.15,440.9,442.1,446.38,322783,11518,130061,40.29
KEC, EQ, 28-Sep-2021,442.1,443.0,454.5,436.55,445.0,444.85,446.74,332235,11068,115155,34.66
KEC, EQ, 29-Sep-2021,444.85,440.7,454.7,437.0,437.9,440.95,445.89,281259,12923,116865,41.55
KEC, EQ, 30-Sep-2021,440.95,440.0,446.0,435.55,443.5,443.1,441.75,370015,10902,189535,51.22
KEC, EQ, 01-Oct-2021,443.1,438.0,444.9,437.0,439.0,440.8,440.85,115941,5885,47764,41.2
KEC, EQ, 04-Oct-2021,440.8,444.8,449.75,436.75,440.25,438.9,442.89,181992,7430,88998,48.9
KEC, EQ, 05-Oct-2021,438.9,439.9,462.0,439.6,455.35,455.9,454.1,503323,15409,213410,42.4
KEC, EQ, 06-Oct-2021,455.9,457.9,459.25,447.05,449.15,449.55,453.28,155228,6324,69554,44.81
KEC, EQ, 07-Oct-2021,449.55,449.9,458.0,449.8,453.5,453.7,453.86,131690,9019,60690,46.09
KEC, EQ, 08-Oct-2021,453.7,456.0,469.0,455.0,463.2,463.55,463.33,621873,20323,262724,42.25
KEC, EQ, 11-Oct-2021,463.55,464.9,477.5,464.9,474.5,474.5,473.1,768788,18415,441847,57.47
KEC, EQ, 12-Oct-2021,474.5,474.5,485.0,458.0,461.0,460.1,470.63,406959,12667,112344,27.61
KEC, EQ, 13-Oct-2021,460.1,461.0,471.45,461.0,462.05,464.2,467.27,361549,24140,191003,52.83
KEC, EQ, 14-Oct-2021,464.2,468.5,473.4,458.4,461.45,459.7,466.98,281381,11342,147385,52.38
KEC, EQ, 18-Oct-2021,459.7,458.0,467.0,453.9,460.3,461.1,461.15,208356,11359,115560,55.46
KEC, EQ, 19-Oct-2021,461.1,460.3,467.9,450.55,461.75,459.95,461.81,201621,14179,99247,49.22
KEC, EQ, 20-Oct-2021,459.95,459.95,468.0,453.1,463.3,462.2,461.92,572780,32110,354180,61.84
KEC, EQ, 21-Oct-2021,462.2,458.35,475.0,458.35,466.65,464.6,467.87,441545,16287,252226,57.12
KEC, EQ, 22-Oct-2021,464.6,474.85,514.05,468.25,490.0,491.8,496.88,3103336,86124,669811,21.58
KEC, EQ, 25-Oct-2021,491.8,500.0,541.7,496.05,530.0,526.35,524.56,4637369,131542,1799563,38.81
KEC, EQ, 26-Oct-2021,526.35,535.0,550.0,518.35,523.0,522.8,529.97,2202437,66081,849954,38.59
KEC, EQ, 27-Oct-2021,522.8,521.9,526.6,512.5,518.1,518.0,518.55,525661,14889,319570,60.79
KEC, EQ, 28-Oct-2021,518.0,500.0,501.0,467.5,473.3,476.9,489.1,963085,40496,431599,44.81
KEC, EQ, 29-Oct-2021,476.9,480.0,500.0,472.5,480.05,477.65,484.31,759511,26809,102729,13.53
KEC, EQ, 01-Nov-2021,477.65,479.9,487.75,464.3,469.0,468.6,475.28,212067,8841,97616,46.03
KEC, EQ, 02-Nov-2021,468.6,471.65,471.65,450.0,451.3,452.55,454.62,604616,26482,345368,57.12
KEC, EQ, 03-Nov-2021,452.55,455.95,461.45,451.15,451.95,453.75,456.76,185109,6933,67549,36.49
KEC, EQ, 08-Nov-2021,466.45,471.75,479.95,467.0,473.9,475.35,475.43,756360,26278,451068,59.64
KEC, EQ, 09-Nov-2021,475.35,478.8,478.8,465.2,466.5,467.5,470.98,228298,6983,109910,48.14
KEC, EQ, 10-Nov-2021,467.5,468.45,468.45,457.0,458.7,458.3,461.85,96459,4223,51458,53.35
KEC, EQ, 11-Nov-2021,458.3,458.05,469.15,458.05,467.5,461.5,464.3,222240,7530,61774,27.8
KEC, EQ, 12-Nov-2021,461.5,467.5,472.35,455.65,456.4,457.1,461.14,297922,7576,74143,24.89
KEC, EQ, 15-Nov-2021,457.1,460.0,465.25,458.05,461.65,463.1,462.17,164346,8354,54357,33.07
KEC, EQ, 16-Nov-2021,463.1,465.5,484.6,464.05,479.8,480.0,474.72,318167,15899,121401,38.16
KEC, EQ, 17-Nov-2021,480.0,481.4,499.7,481.4,491.0,486.1,492.7,540078,19250,121178,22.44
KEC, EQ, 18-Nov-2021,486.1,492.7,493.3,477.3,487.0,485.6,483.84,170823,7600,49067,28.72
KEC, EQ, 22-Nov-2021,485.6,484.7,484.8,468.05,473.0,476.45,475.6,182439,13514,74980,41.1
KEC, EQ, 23-Nov-2021,476.45,470.0,483.7,466.65,473.65,475.65,476.62,163547,9348,54171,33.12
KEC, EQ, 24-Nov-2021,475.65,477.7,481.5,465.5,465.75,469.05,474.55,85046,5750,38886,45.72
KEC, EQ, 25-Nov-2021,469.05,466.05,469.9,456.15,461.2,461.1,463.18,125432,7721,61677,49.17
KEC, EQ, 26-Nov-2021,461.1,456.7,460.6,434.4,447.1,445.7,444.61,327767,12496,157738,48.13
KEC, EQ, 29-Nov-2021,445.7,440.0,444.3,421.0,433.0,433.0,430.71,180886,9050,63723,35.23
