SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KIOCL, EQ, 17-Sep-2021,263.1,265.9,266.35,253.5,256.1,255.55,258.76,59841,7277,25126,41.99
KIOCL, EQ, 20-Sep-2021,255.55,250.2,264.0,241.0,246.2,246.15,254.15,121791,16661,38188,31.36
KIOCL, EQ, 21-Sep-2021,246.15,247.0,254.4,242.85,249.0,249.35,249.52,72526,9780,23048,31.78
KIOCL, EQ, 22-Sep-2021,249.35,250.0,253.3,247.25,251.2,251.2,250.31,40437,4823,16614,41.09
KIOCL, EQ, 23-Sep-2021,251.2,252.0,256.9,250.1,252.0,251.85,254.4,45993,3128,19805,43.06
KIOCL, EQ, 24-Sep-2021,251.85,250.55,254.3,235.35,242.0,242.65,246.25,45913,1748,28832,62.8
KIOCL, EQ, 27-Sep-2021,242.65,235.55,245.75,235.55,236.5,237.15,240.76,71858,6886,32470,45.19
KIOCL, EQ, 28-Sep-2021,237.15,239.75,251.0,237.9,246.0,246.65,243.68,82976,8006,27504,33.15
KIOCL, EQ, 29-Sep-2021,246.65,241.3,253.95,239.75,241.8,242.95,247.0,74079,6149,37655,50.83
KIOCL, EQ, 30-Sep-2021,242.95,243.0,253.0,242.8,244.0,243.8,247.45,98351,9311,41686,42.38
KIOCL, EQ, 01-Oct-2021,243.8,244.0,253.9,240.8,253.9,251.3,247.94,99883,6846,46693,46.75
KIOCL, EQ, 04-Oct-2021,251.3,254.75,261.5,251.05,256.0,256.7,256.73,114158,8746,40408,35.4
KIOCL, EQ, 05-Oct-2021,256.7,258.0,262.0,257.15,260.05,259.55,260.12,42945,1663,24114,56.15
KIOCL, EQ, 06-Oct-2021,259.55,263.0,263.0,250.25,252.9,252.65,256.34,44421,4347,17573,39.56
KIOCL, EQ, 07-Oct-2021,252.65,259.0,274.0,257.0,263.7,263.65,266.91,168421,10633,72853,43.26
KIOCL, EQ, 08-Oct-2021,263.65,264.9,279.9,264.9,271.05,271.5,273.61,205410,10758,76057,37.03
KIOCL, EQ, 11-Oct-2021,271.5,274.9,319.0,273.05,302.0,299.15,301.63,980189,37163,316801,32.32
KIOCL, EQ, 12-Oct-2021,299.15,303.0,315.0,301.95,306.3,306.05,308.69,408720,13478,178040,43.56
KIOCL, EQ, 13-Oct-2021,306.05,309.0,309.0,293.0,293.7,294.15,298.14,135628,7138,69968,51.59
KIOCL, EQ, 14-Oct-2021,294.15,296.7,298.45,284.1,284.1,285.4,289.49,117573,5043,57312,48.75
KIOCL, EQ, 18-Oct-2021,285.4,286.55,305.0,285.55,294.5,295.15,297.32,191457,6880,81154,42.39
KIOCL, EQ, 19-Oct-2021,295.15,297.95,297.95,280.05,281.1,283.75,289.09,72961,3835,33619,46.08
KIOCL, EQ, 20-Oct-2021,283.75,278.0,284.85,262.2,272.0,268.7,273.64,115304,5441,50442,43.75
KIOCL, EQ, 21-Oct-2021,268.7,271.5,283.8,269.0,279.8,279.9,279.42,145035,6684,47574,32.8
KIOCL, EQ, 22-Oct-2021,279.9,282.0,287.0,255.65,264.3,262.95,266.55,186526,8456,90135,48.32
KIOCL, EQ, 25-Oct-2021,262.95,265.0,268.05,255.6,261.35,261.25,261.23,64841,3992,22738,35.07
KIOCL, EQ, 26-Oct-2021,261.25,262.0,271.1,261.15,270.8,269.8,268.34,37625,2180,15579,41.41
KIOCL, EQ, 27-Oct-2021,269.8,286.0,286.0,272.25,274.95,274.65,279.62,134569,5653,33527,24.91
KIOCL, EQ, 28-Oct-2021,274.65,277.0,278.8,260.0,263.5,261.85,266.61,48350,4087,19978,41.32
KIOCL, EQ, 29-Oct-2021,261.85,267.0,269.05,259.0,261.1,261.95,263.51,53573,3404,14587,27.23
KIOCL, EQ, 01-Nov-2021,261.95,266.0,275.0,260.0,267.0,267.25,267.01,64855,4733,16831,25.95
KIOCL, EQ, 02-Nov-2021,267.25,269.0,270.65,264.6,268.0,268.45,267.36,38359,2245,18122,47.24
KIOCL, EQ, 03-Nov-2021,268.45,269.0,270.95,255.5,260.5,259.45,262.21,59130,3218,32818,55.5
KIOCL, EQ, 08-Nov-2021,266.25,269.0,269.0,261.85,265.5,266.0,265.12,28192,1929,14510,51.47
KIOCL, EQ, 09-Nov-2021,266.0,266.0,271.15,265.05,268.1,268.35,268.47,41508,1717,21786,52.49
KIOCL, EQ, 10-Nov-2021,268.35,268.5,271.0,262.0,265.5,264.15,265.25,35063,1913,16814,47.95
KIOCL, EQ, 11-Nov-2021,264.15,265.5,274.85,261.35,268.7,269.3,268.16,70409,2913,33074,46.97
KIOCL, EQ, 12-Nov-2021,269.3,267.0,273.75,265.5,266.95,268.2,269.28,35608,4011,15991,44.91
KIOCL, EQ, 15-Nov-2021,268.2,262.0,266.9,252.0,261.85,260.1,258.5,117241,4940,59400,50.66
KIOCL, EQ, 16-Nov-2021,260.1,260.0,263.0,256.5,258.5,258.6,259.23,50761,2064,27686,54.54
KIOCL, EQ, 17-Nov-2021,258.6,260.4,260.4,254.4,255.1,255.05,256.16,28383,1237,17731,62.47
KIOCL, EQ, 18-Nov-2021,255.05,248.25,257.05,247.5,252.2,252.3,251.5,62341,3167,33010,52.95
KIOCL, EQ, 22-Nov-2021,252.3,257.8,257.8,240.2,243.0,244.15,245.17,56064,3961,28178,50.26
KIOCL, EQ, 23-Nov-2021,244.15,242.8,249.0,238.0,242.7,243.75,245.09,42178,2558,11161,26.46
KIOCL, EQ, 24-Nov-2021,243.75,244.2,260.35,244.2,251.1,252.7,250.97,44976,2918,17675,39.3
KIOCL, EQ, 25-Nov-2021,252.7,256.5,259.0,241.25,248.6,247.7,251.15,38187,1893,14612,38.26
KIOCL, EQ, 26-Nov-2021,247.7,245.0,245.95,237.6,241.45,240.7,241.7,36120,2957,17936,49.66
KIOCL, EQ, 29-Nov-2021,240.7,239.95,240.65,209.4,217.2,223.9,228.86,52948,3607,22032,41.61
KIOCL, EQ, 30-Nov-2021,223.9,223.0,235.0,219.0,227.6,229.25,230.93,48266,2845,19918,41.27
