SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KIRIINDUS, EQ, 17-Sep-2021,532.0,535.0,535.0,515.0,525.0,526.3,524.16,162486,6009,75413,46.41
KIRIINDUS, EQ, 20-Sep-2021,526.3,514.0,525.0,505.1,507.25,508.15,515.69,98238,4076,56458,57.47
KIRIINDUS, EQ, 21-Sep-2021,508.15,508.8,512.3,495.1,505.0,504.7,502.17,104128,4466,41077,39.45
KIRIINDUS, EQ, 22-Sep-2021,504.7,507.0,538.95,505.0,538.0,533.3,528.2,370033,13424,128472,34.72
KIRIINDUS, EQ, 23-Sep-2021,533.3,537.5,546.0,531.55,534.45,533.1,537.37,245047,7574,112390,45.86
KIRIINDUS, EQ, 24-Sep-2021,533.1,534.4,543.0,511.0,513.65,512.4,521.27,335166,15420,85598,25.54
KIRIINDUS, EQ, 27-Sep-2021,512.4,516.0,541.0,515.05,525.9,528.5,530.68,340841,11770,116564,34.2
KIRIINDUS, EQ, 28-Sep-2021,528.5,530.0,531.85,512.8,516.0,515.7,519.68,183597,7188,89283,48.63
KIRIINDUS, EQ, 29-Sep-2021,515.7,512.0,523.0,509.45,514.0,515.0,516.16,103758,5086,34523,33.27
KIRIINDUS, EQ, 30-Sep-2021,515.0,517.9,520.2,509.0,510.35,512.5,513.18,184336,8050,98912,53.66
KIRIINDUS, EQ, 01-Oct-2021,512.5,508.0,514.7,504.0,506.05,506.6,508.06,94273,4436,46676,49.51
KIRIINDUS, EQ, 04-Oct-2021,506.6,507.1,525.5,507.1,521.5,520.75,518.81,176943,7454,73218,41.38
KIRIINDUS, EQ, 05-Oct-2021,520.75,520.0,569.8,519.0,550.15,551.85,552.63,1320700,41763,423904,32.1
KIRIINDUS, EQ, 06-Oct-2021,551.85,553.0,559.7,530.0,534.0,531.65,546.63,310159,11019,152009,49.01
KIRIINDUS, EQ, 07-Oct-2021,531.65,535.85,547.85,530.2,535.15,536.8,536.33,211608,6833,92522,43.72
KIRIINDUS, EQ, 08-Oct-2021,536.8,539.6,539.9,530.0,530.5,531.95,533.38,128262,4807,60934,47.51
KIRIINDUS, EQ, 11-Oct-2021,531.95,533.8,539.85,525.3,527.0,527.85,531.67,152611,5130,80497,52.75
KIRIINDUS, EQ, 12-Oct-2021,527.85,525.25,556.0,523.0,550.0,550.7,546.94,553357,18909,183627,33.18
KIRIINDUS, EQ, 13-Oct-2021,550.7,554.9,555.85,541.0,542.0,542.35,546.93,213279,6471,117935,55.3
KIRIINDUS, EQ, 14-Oct-2021,542.35,546.65,546.65,532.5,534.05,533.8,536.86,92799,3906,43938,47.35
KIRIINDUS, EQ, 18-Oct-2021,533.8,533.45,538.7,525.1,526.0,526.2,529.57,122208,4915,69910,57.21
KIRIINDUS, EQ, 19-Oct-2021,526.2,529.5,529.5,511.05,513.5,512.2,518.0,206098,6559,131505,63.81
KIRIINDUS, EQ, 20-Oct-2021,512.2,512.0,515.4,496.75,500.25,499.8,503.82,171174,9659,81208,47.44
KIRIINDUS, EQ, 21-Oct-2021,499.8,503.7,503.7,490.8,496.0,498.05,498.03,143677,6440,73161,50.92
KIRIINDUS, EQ, 22-Oct-2021,498.05,500.55,508.95,489.0,494.0,490.75,495.98,159652,5067,93919,58.83
KIRIINDUS, EQ, 25-Oct-2021,490.75,495.7,495.7,482.75,489.9,489.95,489.45,91350,4394,40367,44.19
KIRIINDUS, EQ, 26-Oct-2021,489.95,489.9,510.0,489.4,500.4,502.35,503.06,141147,5472,73810,52.29
KIRIINDUS, EQ, 27-Oct-2021,502.35,502.0,507.35,494.0,494.75,495.6,500.0,70340,4009,26875,38.21
KIRIINDUS, EQ, 28-Oct-2021,495.6,495.5,497.15,483.15,485.0,485.9,489.74,72625,3229,40277,55.46
KIRIINDUS, EQ, 29-Oct-2021,485.9,485.05,497.0,479.1,485.0,482.9,485.96,115202,5807,45941,39.88
KIRIINDUS, EQ, 01-Nov-2021,482.9,483.25,489.7,483.0,486.9,485.7,486.8,74988,3740,35850,47.81
KIRIINDUS, EQ, 02-Nov-2021,485.7,489.7,508.0,488.05,490.0,490.8,498.43,162589,5421,72925,44.85
KIRIINDUS, EQ, 03-Nov-2021,490.8,492.1,494.65,479.1,484.3,484.7,485.3,94621,3686,41450,43.81
KIRIINDUS, EQ, 08-Nov-2021,490.6,490.0,496.2,488.1,492.5,493.4,492.47,102147,3519,19885,19.47
KIRIINDUS, EQ, 09-Nov-2021,493.4,493.95,523.7,493.0,505.05,505.85,510.5,326960,12064,99100,30.31
KIRIINDUS, EQ, 10-Nov-2021,505.85,506.9,513.45,503.1,508.3,506.05,507.29,86911,3328,42375,48.76
KIRIINDUS, EQ, 11-Nov-2021,506.05,509.8,521.05,500.1,508.0,508.75,513.54,132729,4634,60016,45.22
KIRIINDUS, EQ, 12-Nov-2021,508.75,511.9,519.3,486.0,492.0,490.0,505.14,454795,17882,154135,33.89
KIRIINDUS, EQ, 15-Nov-2021,490.0,495.8,499.1,482.85,486.0,485.2,488.02,133713,5577,59316,44.36
KIRIINDUS, EQ, 16-Nov-2021,485.2,489.7,494.4,485.0,489.45,489.2,490.2,79570,3530,36215,45.51
KIRIINDUS, EQ, 17-Nov-2021,489.2,485.1,493.55,482.1,484.7,484.0,486.88,87105,3739,44927,51.58
KIRIINDUS, EQ, 18-Nov-2021,484.0,486.0,487.0,468.65,476.05,477.75,478.16,98869,4428,51615,52.21
KIRIINDUS, EQ, 22-Nov-2021,477.75,484.0,485.05,444.15,449.0,448.55,458.89,159390,7032,83748,52.54
KIRIINDUS, EQ, 23-Nov-2021,448.55,444.5,461.0,425.0,457.55,459.0,453.58,105366,5683,41267,39.17
KIRIINDUS, EQ, 24-Nov-2021,459.0,460.0,473.5,459.0,467.0,466.45,467.48,84180,4292,32972,39.17
KIRIINDUS, EQ, 25-Nov-2021,466.45,467.0,484.9,457.5,474.75,475.7,471.4,102604,5229,43396,42.29
KIRIINDUS, EQ, 26-Nov-2021,475.7,469.0,474.0,452.6,454.95,455.85,461.83,79258,4325,36342,45.85
KIRIINDUS, EQ, 29-Nov-2021,455.85,451.1,455.2,436.4,443.0,442.65,447.0,84941,5299,38752,45.62
KIRIINDUS, EQ, 30-Nov-2021,442.65,443.9,459.45,443.05,447.2,447.4,450.54,54262,3685,17956,33.09
KIRIINDUS, EQ, 01-Dec-2021,447.4,448.9,453.8,434.95,444.6,444.45,446.55,59644,3468,28633,48.01
KIRIINDUS, EQ, 02-Dec-2021,444.45,444.6,454.8,444.6,451.5,452.4,450.37,52034,2823,23889,45.91
KIRIINDUS, EQ, 03-Dec-2021,452.4,451.5,462.9,451.5,456.6,456.05,457.54,77771,3701,30727,39.51
KIRIINDUS, EQ, 06-Dec-2021,456.05,457.1,460.6,452.0,452.0,453.25,455.78,31027,1859,16131,51.99
KIRIINDUS, EQ, 07-Dec-2021,453.25,454.9,458.6,450.0,452.95,452.2,453.62,50422,1904,30235,59.96
KIRIINDUS, EQ, 08-Dec-2021,452.2,456.5,513.2,456.4,488.9,490.15,494.91,1104799,44846,200388,18.14
KIRIINDUS, EQ, 09-Dec-2021,490.15,491.55,505.95,483.5,488.55,491.05,495.4,307454,13404,95767,31.15
KIRIINDUS, EQ, 10-Dec-2021,491.05,489.0,501.95,485.1,490.0,489.35,491.02,125218,5627,38606,30.83
KIRIINDUS, EQ, 13-Dec-2021,489.35,494.0,497.6,479.8,481.5,481.4,487.14,138164,4633,74178,53.69
KIRIINDUS, EQ, 14-Dec-2021,481.4,477.9,489.95,474.5,481.9,480.25,482.88,99717,5567,32194,32.29
KIRIINDUS, EQ, 15-Dec-2021,480.25,483.9,487.65,472.0,475.2,474.15,479.43,71483,3256,22271,31.16
KIRIINDUS, EQ, 16-Dec-2021,474.15,478.0,483.95,470.55,477.0,475.3,476.42,63958,3276,21448,33.53
KIRIINDUS, EQ, 17-Dec-2021,475.3,476.9,483.3,460.0,465.1,463.35,472.56,161548,6299,41562,25.73
KIRIINDUS, EQ, 20-Dec-2021,463.35,462.2,462.2,447.0,447.0,450.8,452.36,81303,3308,44112,54.26
KIRIINDUS, EQ, 21-Dec-2021,450.8,450.8,466.85,445.15,453.1,453.95,455.86,74319,3593,35004,47.1
KIRIINDUS, EQ, 22-Dec-2021,453.95,453.95,475.4,453.9,467.05,468.75,465.96,151986,6935,64881,42.69
KIRIINDUS, EQ, 23-Dec-2021,468.75,469.9,476.3,468.45,471.5,472.95,472.0,58373,2570,30899,52.93
KIRIINDUS, EQ, 24-Dec-2021,472.95,473.1,473.1,459.55,461.05,461.8,463.94,49938,2328,28490,57.05
KIRIINDUS, EQ, 27-Dec-2021,461.8,461.8,477.7,455.75,472.0,469.15,466.96,66603,3800,24459,36.72
KIRIINDUS, EQ, 28-Dec-2021,469.15,471.0,478.8,470.85,472.5,473.55,474.62,55348,2546,27332,49.38
KIRIINDUS, EQ, 29-Dec-2021,473.55,475.9,491.5,473.55,476.0,478.25,482.66,120186,4634,56571,47.07
KIRIINDUS, EQ, 30-Dec-2021,478.25,478.5,508.0,470.05,493.1,492.6,488.4,201846,5061,91639,45.4
KIRIINDUS, EQ, 31-Dec-2021,492.6,492.6,499.0,484.0,484.0,486.65,490.64,134217,5831,56318,41.96
KIRIINDUS, EQ, 03-Jan-2022,486.65,488.85,499.0,486.85,489.15,489.7,492.42,149440,5907,64969,43.47
KIRIINDUS, EQ, 04-Jan-2022,489.7,487.5,496.7,486.0,487.1,488.4,491.47,71074,3141,29375,41.33
KIRIINDUS, EQ, 05-Jan-2022,488.4,487.9,499.0,485.0,497.75,495.35,493.4,131897,5609,56579,42.9
KIRIINDUS, EQ, 06-Jan-2022,495.35,494.5,512.0,489.1,506.5,504.95,504.22,261853,9742,113285,43.26
KIRIINDUS, EQ, 07-Jan-2022,504.95,506.6,516.0,500.1,502.0,503.95,508.88,173233,7079,82448,47.59
KIRIINDUS, EQ, 10-Jan-2022,503.95,508.85,509.85,495.95,500.0,499.1,503.62,87447,3826,45310,51.81
KIRIINDUS, EQ, 11-Jan-2022,499.1,498.0,506.85,494.15,496.0,496.85,500.9,96838,4736,35585,36.75
KIRIINDUS, EQ, 12-Jan-2022,496.85,500.0,500.35,485.5,488.0,488.25,490.9,133103,5578,82065,61.66
KIRIINDUS, EQ, 13-Jan-2022,488.25,490.9,494.65,486.2,490.5,490.65,490.96,90204,2880,45883,50.87
KIRIINDUS, EQ, 14-Jan-2022,490.65,485.2,492.95,485.2,491.0,489.85,489.29,56118,3195,29484,52.54
KIRIINDUS, EQ, 17-Jan-2022,489.85,489.9,523.4,489.9,521.3,519.75,514.85,505573,17858,197046,38.97
KIRIINDUS, EQ, 18-Jan-2022,519.75,523.85,531.1,502.3,507.0,506.65,518.15,224206,9161,106828,47.65
KIRIINDUS, EQ, 19-Jan-2022,506.65,509.0,512.0,498.1,506.9,505.6,504.49,99203,5719,48768,49.16
KIRIINDUS, EQ, 20-Jan-2022,505.6,502.0,520.95,502.0,517.0,517.7,514.42,162286,6311,72115,44.44
KIRIINDUS, EQ, 21-Jan-2022,517.7,517.0,533.8,512.0,523.4,522.15,525.29,326043,12232,124206,38.09
KIRIINDUS, EQ, 24-Jan-2022,522.15,520.2,530.0,480.25,482.0,487.35,502.55,245400,9165,125725,51.23
KIRIINDUS, EQ, 25-Jan-2022,487.35,484.5,519.0,475.1,512.0,512.1,505.95,220052,8887,94870,43.11
KIRIINDUS, EQ, 27-Jan-2022,512.1,508.0,530.7,502.5,508.4,508.45,517.46,243143,9657,89922,36.98
KIRIINDUS, EQ, 28-Jan-2022,508.45,511.0,521.3,500.65,503.05,504.35,512.13,107613,4873,42635,39.62
KIRIINDUS, EQ, 31-Jan-2022,504.35,508.9,512.7,495.05,496.35,497.65,502.98,98229,4360,51632,52.56
KIRIINDUS, EQ, 01-Feb-2022,497.65,501.5,511.05,491.1,494.0,494.25,500.01,141171,5889,63259,44.81
