SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KIRLOSENG, EQ, 17-Sep-2021,210.25,211.35,214.25,208.45,214.25,213.05,211.36,162450,3310,88169,54.27
KIRLOSENG, EQ, 20-Sep-2021,213.05,212.0,214.15,207.0,210.0,209.7,210.48,85904,2534,57536,66.98
KIRLOSENG, EQ, 21-Sep-2021,209.7,210.0,210.6,204.95,210.1,209.4,207.3,80021,2683,41832,52.28
KIRLOSENG, EQ, 22-Sep-2021,209.4,209.3,218.5,209.3,213.8,213.1,214.59,204468,5100,135567,66.3
KIRLOSENG, EQ, 23-Sep-2021,213.1,217.05,217.6,210.9,212.0,212.0,213.07,186315,4151,122000,65.48
KIRLOSENG, EQ, 24-Sep-2021,212.0,213.1,216.15,210.05,210.25,210.45,212.02,92324,2361,45850,49.66
KIRLOSENG, EQ, 27-Sep-2021,210.45,211.55,212.5,207.0,207.7,207.95,208.64,89411,2574,54143,60.56
KIRLOSENG, EQ, 28-Sep-2021,207.95,208.0,210.3,206.0,207.45,207.0,207.91,73996,2529,43854,59.27
KIRLOSENG, EQ, 29-Sep-2021,207.0,207.0,208.05,203.0,205.1,204.8,205.8,89667,2813,55212,61.57
KIRLOSENG, EQ, 30-Sep-2021,204.8,205.85,212.0,204.0,210.0,207.8,209.05,88887,3402,43340,48.76
KIRLOSENG, EQ, 01-Oct-2021,207.8,208.8,209.85,201.5,202.9,202.4,204.1,172531,5816,103806,60.17
KIRLOSENG, EQ, 04-Oct-2021,202.4,202.6,206.55,197.1,197.85,197.9,200.23,249940,6030,164341,65.75
KIRLOSENG, EQ, 05-Oct-2021,197.9,198.0,200.95,196.3,200.0,199.85,198.86,107728,3518,70830,65.75
KIRLOSENG, EQ, 06-Oct-2021,199.85,200.85,204.4,197.0,197.95,198.35,199.77,167557,5788,93032,55.52
KIRLOSENG, EQ, 07-Oct-2021,198.35,199.35,201.7,198.5,199.6,199.35,199.58,58239,2302,31640,54.33
KIRLOSENG, EQ, 08-Oct-2021,199.35,201.0,202.5,199.5,199.85,200.2,200.92,170134,2608,137643,80.9
KIRLOSENG, EQ, 11-Oct-2021,200.2,203.6,218.4,200.05,211.55,211.85,209.15,778881,16153,353452,45.38
KIRLOSENG, EQ, 12-Oct-2021,211.85,212.0,213.0,206.25,206.95,207.25,209.26,210651,7666,115182,54.68
KIRLOSENG, EQ, 13-Oct-2021,207.25,214.0,215.0,208.7,210.0,210.4,211.21,168862,5329,85425,50.59
KIRLOSENG, EQ, 14-Oct-2021,210.4,212.1,212.1,207.0,209.3,208.95,209.22,99797,3186,59087,59.21
KIRLOSENG, EQ, 18-Oct-2021,208.95,211.3,225.25,208.3,218.7,218.35,220.27,525372,16127,288897,54.99
KIRLOSENG, EQ, 19-Oct-2021,218.35,220.0,239.0,217.1,225.5,224.05,230.52,863366,25975,376814,43.64
KIRLOSENG, EQ, 20-Oct-2021,224.05,225.85,226.55,212.05,216.0,215.75,219.64,263180,7652,145017,55.1
KIRLOSENG, EQ, 21-Oct-2021,215.75,216.85,228.5,213.0,227.4,224.5,220.1,241401,7844,131841,54.61
KIRLOSENG, EQ, 22-Oct-2021,224.5,224.5,229.9,220.15,222.5,223.15,225.13,206022,8161,106836,51.86
KIRLOSENG, EQ, 25-Oct-2021,223.15,224.3,225.4,213.35,215.0,215.25,217.09,191103,9050,93561,48.96
KIRLOSENG, EQ, 26-Oct-2021,215.25,217.6,220.0,213.9,214.25,214.8,216.86,62047,2335,40517,65.3
KIRLOSENG, EQ, 27-Oct-2021,214.8,215.3,220.0,214.5,216.3,216.7,217.06,84477,2707,47514,56.24
KIRLOSENG, EQ, 28-Oct-2021,216.7,216.3,221.0,207.45,208.8,210.4,215.41,141413,6019,69568,49.19
KIRLOSENG, EQ, 29-Oct-2021,210.4,205.6,208.0,200.05,203.25,201.7,202.99,217942,7470,126767,58.17
KIRLOSENG, EQ, 01-Nov-2021,201.7,202.0,206.1,196.0,201.55,200.45,200.77,141599,4948,85682,60.51
KIRLOSENG, EQ, 02-Nov-2021,200.45,203.0,205.0,196.85,199.95,198.8,199.92,100616,4944,63167,62.78
KIRLOSENG, EQ, 03-Nov-2021,198.8,198.8,201.2,197.25,197.3,197.8,198.88,63581,2454,38920,61.21
KIRLOSENG, EQ, 08-Nov-2021,201.15,202.2,203.6,196.75,198.85,198.65,199.17,115562,3660,78412,67.85
KIRLOSENG, EQ, 09-Nov-2021,198.65,201.9,208.0,200.0,202.0,201.85,204.73,307189,8575,213314,69.44
KIRLOSENG, EQ, 10-Nov-2021,201.85,203.9,205.4,200.65,202.0,201.8,203.01,97959,4811,57436,58.63
KIRLOSENG, EQ, 11-Nov-2021,201.8,204.0,204.0,199.0,200.8,200.85,201.09,49782,1509,31228,62.73
KIRLOSENG, EQ, 12-Nov-2021,200.85,200.9,203.85,198.5,200.8,200.8,200.52,477527,2769,400002,83.77
KIRLOSENG, EQ, 15-Nov-2021,200.8,201.85,203.0,197.05,197.95,197.95,200.01,306129,1644,287042,93.77
KIRLOSENG, EQ, 16-Nov-2021,197.95,198.95,198.95,194.0,194.0,194.75,196.22,484244,3956,425503,87.87
KIRLOSENG, EQ, 17-Nov-2021,194.75,194.75,197.65,193.75,195.0,196.4,196.19,165493,1927,141114,85.27
KIRLOSENG, EQ, 18-Nov-2021,196.4,197.25,197.25,190.1,190.65,191.05,192.46,54742,2126,33307,60.84
KIRLOSENG, EQ, 22-Nov-2021,191.05,192.05,193.65,177.85,182.9,183.1,185.63,127668,6462,63536,49.77
KIRLOSENG, EQ, 23-Nov-2021,183.1,183.1,186.75,179.15,185.0,185.3,183.48,80394,7164,40369,50.21
KIRLOSENG, EQ, 24-Nov-2021,185.3,186.75,191.0,186.0,186.1,187.0,188.35,44562,2594,19267,43.24
KIRLOSENG, EQ, 25-Nov-2021,187.0,190.0,191.2,187.45,191.2,190.05,189.24,31666,2400,11908,37.61
KIRLOSENG, EQ, 26-Nov-2021,190.05,187.8,190.5,183.5,184.05,184.15,185.74,49306,4667,25783,52.29
