SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KOTAKBANK, EQ, 17-Sep-2021,1906.8,1916.0,2017.0,1913.0,2014.1,2007.95,1970.51,14638489,293393,9086311,62.07
KOTAKBANK, EQ, 20-Sep-2021,2007.95,1990.0,2037.2,1981.35,1996.5,2001.45,2007.91,5881089,166070,2788037,47.41
KOTAKBANK, EQ, 21-Sep-2021,2001.45,2017.0,2027.65,1996.1,2016.1,2010.95,2008.43,3866888,101763,2179400,56.36
KOTAKBANK, EQ, 22-Sep-2021,2010.95,2016.5,2022.4,1978.8,1991.0,1985.55,1998.64,1911809,77186,604977,31.64
KOTAKBANK, EQ, 23-Sep-2021,1985.55,2004.0,2052.0,1990.9,2024.05,2024.0,2024.09,2989107,104489,1333371,44.61
KOTAKBANK, EQ, 24-Sep-2021,2024.0,2030.0,2052.35,2013.9,2026.9,2028.1,2031.11,2114888,65688,933062,44.12
KOTAKBANK, EQ, 27-Sep-2021,2028.1,2031.2,2058.0,2025.5,2034.85,2033.35,2039.44,1830064,67818,878628,48.01
KOTAKBANK, EQ, 28-Sep-2021,2033.35,2040.0,2077.8,2012.9,2073.0,2068.2,2043.85,3899267,96823,1744958,44.75
KOTAKBANK, EQ, 29-Sep-2021,2068.2,2059.9,2060.0,2020.15,2031.0,2030.45,2038.47,3420314,141811,1856690,54.28
KOTAKBANK, EQ, 30-Sep-2021,2030.45,2025.45,2035.0,1996.8,2000.45,2005.5,2012.58,4572748,131723,2752431,60.19
KOTAKBANK, EQ, 01-Oct-2021,2005.5,1997.0,2010.8,1971.9,1990.05,1993.55,1994.62,3373978,91507,1649462,48.89
KOTAKBANK, EQ, 04-Oct-2021,1993.55,1995.0,2014.9,1988.0,1993.15,1990.95,1999.23,2043053,56990,1206493,59.05
KOTAKBANK, EQ, 05-Oct-2021,1990.95,1994.9,1997.95,1975.5,1983.85,1982.35,1981.83,2719807,69810,2129884,78.31
KOTAKBANK, EQ, 06-Oct-2021,1982.35,1976.05,2005.0,1942.1,1953.7,1955.75,1976.23,2979275,95523,1953091,65.56
KOTAKBANK, EQ, 07-Oct-2021,1955.75,1968.0,1982.25,1949.25,1953.8,1952.45,1961.72,2222130,79698,1425190,64.14
KOTAKBANK, EQ, 08-Oct-2021,1952.45,1950.0,1966.15,1931.0,1939.0,1936.35,1944.89,1937834,67152,1219112,62.91
KOTAKBANK, EQ, 11-Oct-2021,1936.35,1949.0,2005.0,1945.0,1977.45,1975.4,1985.71,2376167,96217,1269424,53.42
KOTAKBANK, EQ, 12-Oct-2021,1975.4,1980.0,2004.0,1965.0,1995.0,1995.1,1990.31,1890902,74771,950144,50.25
KOTAKBANK, EQ, 13-Oct-2021,1995.1,2004.0,2022.0,1994.55,2008.0,2009.35,2009.98,1742478,60271,972979,55.84
KOTAKBANK, EQ, 14-Oct-2021,2009.35,2008.0,2025.5,1985.0,2016.95,2017.8,2007.05,1652356,59155,812548,49.18
KOTAKBANK, EQ, 18-Oct-2021,2017.8,2017.8,2046.95,2007.95,2011.0,2011.6,2023.76,2166779,76560,1241941,57.32
KOTAKBANK, EQ, 19-Oct-2021,2011.6,2011.9,2044.95,1992.1,2044.0,2035.35,2018.79,1695203,56524,926447,54.65
KOTAKBANK, EQ, 20-Oct-2021,2035.35,2042.0,2044.95,1998.2,2022.5,2015.45,2016.01,1794893,67147,926017,51.59
KOTAKBANK, EQ, 21-Oct-2021,2015.45,2031.0,2155.0,2022.0,2155.0,2143.75,2101.83,9495518,300992,3802840,40.05
KOTAKBANK, EQ, 22-Oct-2021,2143.75,2154.9,2201.65,2122.75,2172.05,2171.4,2168.93,5931826,202778,2950524,49.74
KOTAKBANK, EQ, 25-Oct-2021,2171.4,2152.0,2182.95,2115.05,2150.0,2154.5,2152.23,6777262,169924,4230724,62.43
KOTAKBANK, EQ, 26-Oct-2021,2154.5,2154.5,2240.0,2123.7,2210.65,2210.95,2198.09,10669001,350259,4246938,39.81
KOTAKBANK, EQ, 27-Oct-2021,2210.95,2200.0,2253.0,2176.6,2181.65,2188.25,2210.75,4550568,178521,2051834,45.09
KOTAKBANK, EQ, 28-Oct-2021,2188.25,2188.25,2190.0,2090.4,2099.8,2098.5,2134.72,3102289,107254,1483041,47.8
KOTAKBANK, EQ, 29-Oct-2021,2098.5,2077.55,2096.95,2015.0,2042.0,2031.15,2048.76,4666345,156067,2668064,57.18
KOTAKBANK, EQ, 01-Nov-2021,2031.15,2055.0,2086.8,2034.8,2084.5,2076.5,2060.82,1966588,138223,876426,44.57
KOTAKBANK, EQ, 02-Nov-2021,2076.5,2066.15,2093.5,2060.0,2072.0,2076.65,2078.03,1536206,55760,795562,51.79
KOTAKBANK, EQ, 03-Nov-2021,2076.65,2080.0,2111.6,2028.0,2036.95,2037.55,2076.09,2067291,93983,664214,32.13
KOTAKBANK, EQ, 08-Nov-2021,2057.0,2055.0,2127.6,2055.0,2125.95,2118.85,2098.53,2121996,104975,907421,42.76
KOTAKBANK, EQ, 09-Nov-2021,2118.85,2120.0,2126.95,2083.3,2100.0,2097.2,2103.59,1777573,61828,892387,50.2
KOTAKBANK, EQ, 10-Nov-2021,2097.2,2085.0,2091.35,2063.05,2077.55,2076.05,2077.46,1445788,78920,866668,59.94
KOTAKBANK, EQ, 11-Nov-2021,2076.05,2073.0,2077.7,2047.55,2055.45,2054.1,2062.0,1547153,86034,731316,47.27
KOTAKBANK, EQ, 12-Nov-2021,2054.1,2068.0,2080.0,2053.05,2078.0,2074.7,2066.16,1434428,76866,790229,55.09
KOTAKBANK, EQ, 15-Nov-2021,2074.7,2080.1,2108.0,2080.0,2094.75,2097.3,2092.78,1819328,71222,904537,49.72
KOTAKBANK, EQ, 16-Nov-2021,2097.3,2099.9,2103.85,2070.0,2080.0,2082.85,2081.81,1545107,60874,1013646,65.6
KOTAKBANK, EQ, 17-Nov-2021,2082.85,2070.0,2081.85,2045.5,2048.0,2053.1,2064.15,1446763,70660,841431,58.16
KOTAKBANK, EQ, 18-Nov-2021,2053.1,2050.0,2062.45,2008.9,2025.0,2024.45,2031.42,2793199,84499,1825752,65.36
KOTAKBANK, EQ, 22-Nov-2021,2024.45,2044.0,2044.0,1941.0,1962.35,1955.45,1971.53,2748329,121609,1728337,62.89
KOTAKBANK, EQ, 23-Nov-2021,1955.45,1938.0,1993.15,1932.7,1975.15,1982.9,1959.72,3229625,94874,1928921,59.73
KOTAKBANK, EQ, 24-Nov-2021,1982.9,1979.55,2024.95,1970.0,2006.55,2011.4,2001.56,1947483,72678,1005372,51.62
KOTAKBANK, EQ, 25-Nov-2021,2011.4,2020.0,2048.0,2013.05,2030.0,2035.1,2030.96,3164428,112658,1679716,53.08
