SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KRBL, EQ, 17-Sep-2021,271.35,272.65,273.4,260.5,265.0,265.6,265.85,522234,9885,213346,40.85
KRBL, EQ, 20-Sep-2021,265.6,265.5,271.75,260.9,265.5,266.65,266.47,789766,17086,185696,23.51
KRBL, EQ, 21-Sep-2021,266.65,266.0,269.7,258.8,262.95,262.8,262.95,306767,5777,120090,39.15
KRBL, EQ, 22-Sep-2021,262.8,264.0,275.0,261.25,272.5,272.75,270.09,1006977,15182,306211,30.41
KRBL, EQ, 23-Sep-2021,272.75,275.0,303.5,273.5,287.2,290.1,292.64,5551409,76141,1651845,29.76
KRBL, EQ, 24-Sep-2021,290.1,288.9,293.3,283.1,284.7,285.55,286.69,1194351,19979,476765,39.92
KRBL, EQ, 27-Sep-2021,285.55,288.0,297.0,285.7,293.05,293.6,293.21,1325934,14769,682431,51.47
KRBL, EQ, 28-Sep-2021,293.6,292.05,307.9,292.05,294.2,296.15,300.27,1950724,27724,563592,28.89
KRBL, EQ, 29-Sep-2021,296.15,295.0,308.0,292.2,306.55,306.0,301.42,1529776,22279,584356,38.2
KRBL, EQ, 30-Sep-2021,306.0,311.0,331.35,306.25,318.0,316.15,320.25,4103109,60767,1038522,25.31
KRBL, EQ, 01-Oct-2021,316.15,314.5,326.0,307.45,320.5,321.55,318.14,1482297,23773,447085,30.16
KRBL, EQ, 04-Oct-2021,321.55,325.0,328.4,318.0,320.8,321.25,323.54,1314376,21766,394929,30.05
KRBL, EQ, 05-Oct-2021,321.25,320.0,329.95,316.9,323.5,325.85,324.39,1063933,18082,261028,24.53
KRBL, EQ, 06-Oct-2021,325.85,329.0,329.0,314.5,314.5,316.95,322.28,873863,15643,352827,40.38
KRBL, EQ, 07-Oct-2021,316.95,319.0,324.9,304.4,312.2,311.55,317.47,914999,13648,274664,30.02
KRBL, EQ, 08-Oct-2021,311.55,313.8,322.0,309.25,318.0,312.95,314.55,854793,15747,274402,32.1
KRBL, EQ, 11-Oct-2021,312.95,315.0,321.95,311.65,317.25,315.95,317.07,647338,11707,242574,37.47
KRBL, EQ, 12-Oct-2021,315.95,315.95,318.9,295.2,308.9,307.45,311.79,508238,9714,242797,47.77
KRBL, EQ, 13-Oct-2021,307.45,309.9,332.45,308.55,323.4,324.45,322.83,1748360,26459,579804,33.16
KRBL, EQ, 14-Oct-2021,324.45,325.7,337.95,316.0,319.0,320.85,327.3,1358416,20266,612588,45.1
KRBL, EQ, 18-Oct-2021,320.85,322.0,323.9,316.0,318.0,317.9,320.29,583840,10433,286632,49.09
KRBL, EQ, 19-Oct-2021,317.9,319.85,323.0,300.3,304.1,303.65,310.02,588670,11770,277155,47.08
KRBL, EQ, 20-Oct-2021,303.65,305.85,306.8,285.3,292.0,290.55,295.65,606315,11300,259926,42.87
