SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
LAURUSLABS, EQ, 17-Sep-2021,649.8,651.05,658.8,640.7,652.9,651.15,650.05,7469405,67408,3582510,47.96
LAURUSLABS, EQ, 20-Sep-2021,651.15,647.0,648.8,630.0,631.9,632.95,640.35,1692423,42517,874559,51.67
LAURUSLABS, EQ, 21-Sep-2021,632.95,628.0,629.95,605.0,625.05,624.15,617.35,3559102,76698,1413661,39.72
LAURUSLABS, EQ, 22-Sep-2021,624.15,625.0,630.0,618.0,619.0,620.9,624.09,1628104,39718,714421,43.88
LAURUSLABS, EQ, 23-Sep-2021,620.9,623.7,627.25,613.55,622.7,622.15,620.58,1939792,42260,976280,50.33
LAURUSLABS, EQ, 24-Sep-2021,622.15,625.3,626.9,608.1,610.45,610.15,614.1,2093230,45883,1218590,58.22
LAURUSLABS, EQ, 27-Sep-2021,610.15,602.9,606.4,590.25,601.85,599.7,596.37,3334512,82742,1853612,55.59
LAURUSLABS, EQ, 28-Sep-2021,599.7,595.0,606.0,588.0,591.5,592.55,594.53,1860597,46793,906483,48.72
LAURUSLABS, EQ, 29-Sep-2021,592.55,589.95,602.0,587.25,599.6,599.7,597.39,1941262,38781,995714,51.29
LAURUSLABS, EQ, 30-Sep-2021,599.7,604.1,623.0,603.25,618.4,616.45,613.02,3309583,62488,1504797,45.47
LAURUSLABS, EQ, 01-Oct-2021,616.45,618.8,622.0,611.35,617.3,619.2,616.61,1514828,23657,760306,50.19
LAURUSLABS, EQ, 04-Oct-2021,619.2,622.05,628.25,617.5,618.45,620.5,623.76,2643784,43928,1231322,46.57
LAURUSLABS, EQ, 05-Oct-2021,620.5,619.0,623.8,614.15,621.7,622.2,619.23,1207264,23204,602034,49.87
LAURUSLABS, EQ, 06-Oct-2021,622.2,623.0,631.5,613.35,626.9,626.9,619.75,1947159,33751,883616,45.38
LAURUSLABS, EQ, 07-Oct-2021,626.9,644.0,655.0,639.0,650.0,650.65,648.84,4804002,81469,1987382,41.37
LAURUSLABS, EQ, 08-Oct-2021,650.65,654.7,657.9,645.3,648.6,649.15,650.38,2260601,37057,1107207,48.98
LAURUSLABS, EQ, 11-Oct-2021,649.15,650.0,651.75,634.05,638.3,639.1,642.44,1778154,40217,836008,47.02
LAURUSLABS, EQ, 12-Oct-2021,639.1,639.0,640.0,627.15,627.75,630.6,632.4,1378007,40256,768520,55.77
