SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
LEMONTREE, EQ, 17-Sep-2021,41.0,41.5,41.5,39.3,40.2,40.3,40.22,2120696,10891,893618,42.14
LEMONTREE, EQ, 20-Sep-2021,40.3,39.85,43.0,38.7,38.95,39.3,41.47,17767809,56341,5585472,31.44
LEMONTREE, EQ, 21-Sep-2021,39.3,39.4,40.3,38.85,40.0,39.9,39.65,2884892,8905,1230423,42.65
LEMONTREE, EQ, 22-Sep-2021,39.9,40.35,42.8,39.85,41.6,41.5,41.74,16282143,39601,8318800,51.09
LEMONTREE, EQ, 23-Sep-2021,41.5,42.9,43.95,42.15,43.05,42.85,43.05,15093361,36341,5996104,39.73
LEMONTREE, EQ, 24-Sep-2021,42.85,43.25,43.35,40.0,41.25,41.0,41.51,6081161,16635,2728916,44.87
LEMONTREE, EQ, 27-Sep-2021,41.0,41.4,45.15,41.2,44.0,43.85,43.82,20910199,50324,5989965,28.65
LEMONTREE, EQ, 28-Sep-2021,43.85,44.35,45.45,43.25,43.8,43.95,44.32,11928596,32831,3911663,32.79
LEMONTREE, EQ, 29-Sep-2021,43.95,43.05,47.0,42.8,46.0,45.7,45.69,17293026,38281,5977250,34.56
LEMONTREE, EQ, 30-Sep-2021,45.7,46.2,47.3,45.05,45.35,45.4,46.07,7455145,20987,2952756,39.61
LEMONTREE, EQ, 01-Oct-2021,45.4,45.3,46.55,44.2,45.45,45.6,45.32,6745856,21124,1948943,28.89
LEMONTREE, EQ, 04-Oct-2021,45.6,45.85,46.85,44.8,45.7,45.75,45.91,6114938,18997,2260070,36.96
LEMONTREE, EQ, 05-Oct-2021,45.75,45.85,46.4,45.55,45.9,45.8,45.89,4308057,12406,1799722,41.78
LEMONTREE, EQ, 06-Oct-2021,45.8,46.3,48.8,45.6,46.45,46.6,47.42,17505874,44663,5735792,32.76
LEMONTREE, EQ, 07-Oct-2021,46.6,47.25,52.0,46.8,51.7,51.25,50.0,32233358,85180,10092311,31.31
LEMONTREE, EQ, 08-Oct-2021,51.25,52.0,56.2,52.0,54.7,54.8,54.47,36585324,96017,9872345,26.98
LEMONTREE, EQ, 11-Oct-2021,54.8,55.2,57.0,53.7,56.35,56.2,55.67,16428757,58068,4339997,26.42
LEMONTREE, EQ, 12-Oct-2021,56.2,56.15,57.55,54.2,55.05,55.05,55.68,13424915,43260,6599602,49.16
LEMONTREE, EQ, 13-Oct-2021,55.05,55.3,56.1,54.25,54.8,54.6,54.92,8631411,28377,4575916,53.01
LEMONTREE, EQ, 14-Oct-2021,54.6,55.15,55.3,53.5,54.95,54.9,54.54,5978300,28870,2760275,46.17
LEMONTREE, EQ, 18-Oct-2021,54.9,55.45,55.8,54.2,54.75,54.75,55.01,9031936,26435,5711434,63.24
LEMONTREE, EQ, 19-Oct-2021,54.75,55.5,55.5,51.55,52.2,52.1,53.47,5276325,22338,2407383,45.63
LEMONTREE, EQ, 20-Oct-2021,52.1,52.15,53.65,49.25,52.3,51.9,52.05,5232057,23404,1402770,26.81
LEMONTREE, EQ, 21-Oct-2021,51.9,52.6,53.95,51.45,52.5,52.55,52.37,2851186,15808,1064817,37.35
LEMONTREE, EQ, 22-Oct-2021,52.55,53.25,54.9,50.4,51.15,51.25,52.22,5042899,25260,2040182,40.46
LEMONTREE, EQ, 25-Oct-2021,51.25,51.7,52.0,49.0,49.4,49.5,50.06,3129240,15159,1137691,36.36
LEMONTREE, EQ, 26-Oct-2021,49.5,49.9,53.1,49.8,52.95,52.8,51.94,4763372,23843,1557479,32.7
LEMONTREE, EQ, 27-Oct-2021,52.8,52.8,55.0,52.5,53.75,53.65,53.92,5812141,31315,2110467,36.31
LEMONTREE, EQ, 28-Oct-2021,53.65,53.9,55.5,53.1,54.5,54.85,54.63,7241192,27170,3055802,42.2
LEMONTREE, EQ, 29-Oct-2021,54.85,54.6,54.8,52.6,54.45,54.5,53.96,4213490,21160,1549674,36.78
LEMONTREE, EQ, 01-Nov-2021,54.5,54.6,55.9,54.5,55.05,55.0,55.15,3562298,16452,1447522,40.63
LEMONTREE, EQ, 02-Nov-2021,55.0,55.4,56.7,55.15,55.6,55.55,55.83,4342601,17672,1655764,38.13
LEMONTREE, EQ, 03-Nov-2021,55.55,55.8,58.35,55.55,56.9,57.05,57.16,10984141,37487,3158194,28.75
LEMONTREE, EQ, 08-Nov-2021,57.35,57.7,57.7,54.85,56.45,56.15,56.17,4654069,33653,1766118,37.95
LEMONTREE, EQ, 09-Nov-2021,56.15,56.2,57.4,55.7,56.05,56.0,56.46,3748094,21097,1854068,49.47
LEMONTREE, EQ, 10-Nov-2021,56.0,56.0,56.7,55.05,55.5,55.35,55.81,2762140,12595,1022941,37.03
LEMONTREE, EQ, 11-Nov-2021,55.35,55.65,55.65,54.1,55.0,54.6,54.69,2364395,13126,898521,38.0
LEMONTREE, EQ, 12-Nov-2021,54.6,55.1,55.1,54.2,54.65,54.65,54.58,1417675,7852,483984,34.14
LEMONTREE, EQ, 15-Nov-2021,54.65,55.2,57.5,54.4,57.5,56.9,56.1,6456251,30232,2865850,44.39
LEMONTREE, EQ, 16-Nov-2021,56.9,57.65,59.9,57.35,58.1,58.3,58.82,15524237,58610,5556480,35.79
