SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
LTI, EQ, 17-Sep-2021,5672.3,5675.3,5782.7,5670.0,5714.0,5715.25,5727.89,358488,36665,151879,42.37
LTI, EQ, 20-Sep-2021,5715.25,5715.0,5799.0,5476.35,5558.0,5547.45,5673.85,240211,26559,79874,33.25
LTI, EQ, 21-Sep-2021,5547.45,5600.0,5767.0,5514.7,5767.0,5739.75,5641.91,313977,34320,87559,27.89
LTI, EQ, 22-Sep-2021,5739.75,5770.1,5880.0,5722.8,5862.0,5848.3,5819.39,269591,27603,80655,29.92
LTI, EQ, 23-Sep-2021,5848.3,5916.95,6098.0,5860.0,6090.0,6036.7,5968.98,280558,31566,89937,32.06
LTI, EQ, 24-Sep-2021,6036.7,6170.0,6498.5,6100.0,6250.0,6231.35,6346.74,1103223,117330,137013,12.42
LTI, EQ, 27-Sep-2021,6231.35,6300.0,6368.4,5930.0,5988.75,5980.2,6044.34,448074,66649,132952,29.67
LTI, EQ, 28-Sep-2021,5980.2,6025.0,6025.0,5680.85,5774.0,5771.35,5812.33,458096,57581,128536,28.06
LTI, EQ, 29-Sep-2021,5771.35,5655.0,5919.95,5635.55,5719.0,5744.6,5734.79,783825,69176,293451,37.44
LTI, EQ, 30-Sep-2021,5744.6,5760.0,5868.85,5715.0,5778.9,5765.15,5793.48,282121,35144,64909,23.01
LTI, EQ, 01-Oct-2021,5765.15,5758.0,5800.0,5680.0,5758.0,5750.8,5728.61,211279,28052,91911,43.5
LTI, EQ, 04-Oct-2021,5750.8,5799.9,5860.0,5680.3,5740.0,5738.15,5759.3,264342,29995,131886,49.89
LTI, EQ, 05-Oct-2021,5738.15,5755.0,5803.05,5652.05,5762.0,5765.4,5735.3,310789,33335,155592,50.06
LTI, EQ, 06-Oct-2021,5765.4,5799.0,5799.0,5670.0,5690.0,5688.85,5701.58,237547,42492,116101,48.87
LTI, EQ, 07-Oct-2021,5688.85,5730.0,5848.0,5710.0,5795.0,5777.6,5780.72,299275,35537,126194,42.17
LTI, EQ, 08-Oct-2021,5777.6,5848.0,5999.95,5782.0,5988.0,5983.55,5935.5,504760,52063,134706,26.69
LTI, EQ, 11-Oct-2021,5983.55,5958.25,5958.25,5610.0,5880.0,5879.15,5811.84,359610,42039,114248,31.77
LTI, EQ, 12-Oct-2021,5879.15,5879.2,5948.95,5720.0,5835.0,5823.95,5814.1,262597,29479,107215,40.83
LTI, EQ, 13-Oct-2021,5823.95,5838.0,5997.0,5831.2,5982.0,5951.35,5906.28,183586,24289,73006,39.77
LTI, EQ, 14-Oct-2021,5951.35,6060.0,6273.15,6030.0,6101.0,6098.9,6145.46,485930,54006,120280,24.75
LTI, EQ, 18-Oct-2021,6098.9,6144.0,6233.15,5858.8,5905.0,5905.85,6003.16,703972,68811,271521,38.57
LTI, EQ, 19-Oct-2021,5905.85,6444.0,7063.35,6380.0,6900.0,6855.15,6747.09,3798353,312153,478054,12.59
LTI, EQ, 20-Oct-2021,6855.15,6806.0,7155.0,6500.0,6960.0,6940.15,6889.85,1863489,179576,219133,11.76
LTI, EQ, 21-Oct-2021,6940.15,6979.0,7051.4,6550.25,6652.0,6653.3,6734.8,633550,81404,109681,17.31
LTI, EQ, 22-Oct-2021,6653.3,6660.0,6773.95,6472.05,6529.95,6543.5,6581.54,499076,62088,131964,26.44
LTI, EQ, 25-Oct-2021,6543.5,6555.0,6586.7,6264.2,6404.0,6411.45,6371.98,386502,58062,155105,40.13
LTI, EQ, 26-Oct-2021,6411.45,6450.0,6608.85,6420.0,6518.85,6506.65,6499.94,363082,55138,125313,34.51
LTI, EQ, 27-Oct-2021,6506.65,6570.0,6689.0,6546.55,6655.05,6658.55,6624.01,313943,32377,112864,35.95
LTI, EQ, 28-Oct-2021,6658.55,6694.0,6855.0,6643.65,6683.55,6689.35,6763.4,568697,62623,199069,35.0
LTI, EQ, 29-Oct-2021,6689.35,6700.0,6829.85,6610.0,6720.0,6682.3,6720.4,280562,36816,81706,29.12
LTI, EQ, 01-Nov-2021,6682.3,6720.0,6835.0,6661.0,6816.0,6802.15,6753.88,294832,36385,106510,36.13
LTI, EQ, 02-Nov-2021,6802.15,6824.0,6908.0,6736.15,6741.45,6752.9,6818.75,220667,29444,83752,37.95
LTI, EQ, 03-Nov-2021,6752.9,6730.0,6800.0,6644.4,6774.0,6736.05,6710.87,203300,23934,93618,46.05
LTI, EQ, 08-Nov-2021,6765.0,6786.0,6878.8,6680.0,6836.0,6827.9,6804.55,252226,28013,98264,38.96
LTI, EQ, 09-Nov-2021,6827.9,6849.0,6932.2,6758.2,6830.0,6839.65,6870.36,228146,23091,75788,33.22
LTI, EQ, 10-Nov-2021,6839.65,6820.0,6917.95,6786.0,6845.0,6835.8,6874.52,137693,15420,58054,42.16
LTI, EQ, 11-Nov-2021,6835.8,6839.0,6999.9,6763.05,6997.95,6948.75,6875.83,174895,26532,61338,35.07
LTI, EQ, 12-Nov-2021,6948.75,7000.0,7266.0,6954.4,7260.0,7243.25,7138.29,594614,61164,129546,21.79
LTI, EQ, 15-Nov-2021,7243.25,7278.9,7303.5,7166.0,7189.0,7197.35,7222.83,179625,25241,56204,31.29
LTI, EQ, 16-Nov-2021,7197.35,7189.0,7325.0,7180.0,7270.0,7291.3,7261.59,304970,33677,89659,29.4
LTI, EQ, 17-Nov-2021,7291.3,7274.0,7564.95,7240.0,7384.1,7397.05,7445.4,571581,59551,103929,18.18
LTI, EQ, 18-Nov-2021,7397.05,7399.0,7411.8,7121.2,7164.0,7147.65,7204.67,310851,44327,105221,33.85
LTI, EQ, 22-Nov-2021,7147.65,7099.0,7099.0,6753.45,6843.95,6829.6,6900.14,353527,49899,110642,31.3
LTI, EQ, 23-Nov-2021,6829.6,6789.95,6949.0,6600.0,6939.0,6927.35,6828.98,246188,41272,70319,28.56
LTI, EQ, 24-Nov-2021,6927.35,6940.0,7002.55,6720.0,6738.4,6749.05,6848.06,336544,36113,100014,29.72
LTI, EQ, 25-Nov-2021,6749.05,6760.0,6880.0,6712.4,6870.0,6849.8,6812.1,158382,25848,44039,27.81
LTI, EQ, 26-Nov-2021,6849.8,6865.0,6865.0,6616.15,6660.0,6648.3,6717.73,171743,27252,49039,28.55
LTI, EQ, 29-Nov-2021,6648.3,6530.0,6792.0,6392.35,6740.0,6748.55,6687.49,249304,38772,56568,22.69
LTI, EQ, 30-Nov-2021,6748.55,6814.0,6949.95,6755.25,6787.0,6809.7,6831.75,299419,41534,117622,39.28
LTI, EQ, 01-Dec-2021,6809.7,6820.0,6929.75,6816.15,6915.2,6912.2,6876.74,199325,32427,92711,46.51
LTI, EQ, 02-Dec-2021,6912.2,6920.0,6977.8,6784.0,6971.4,6948.75,6895.68,303243,39174,102648,33.85
LTI, EQ, 03-Dec-2021,6948.75,6969.0,6999.0,6835.15,6850.0,6848.85,6920.71,286743,36289,140914,49.14
LTI, EQ, 06-Dec-2021,6848.85,6866.4,6866.4,6520.8,6572.8,6556.05,6653.26,317321,48545,137793,43.42
LTI, EQ, 07-Dec-2021,6556.05,6650.0,6684.95,6493.0,6565.0,6556.4,6550.55,253149,40652,98605,38.95
LTI, EQ, 08-Dec-2021,6556.4,6639.0,6720.0,6606.05,6647.0,6647.8,6667.84,335995,31486,177027,52.69
LTI, EQ, 09-Dec-2021,6647.8,6590.0,6674.7,6553.05,6604.0,6606.1,6594.08,236607,27140,125514,53.05
LTI, EQ, 10-Dec-2021,6606.1,6610.0,6629.95,6464.1,6615.0,6613.2,6539.48,380321,39816,161396,42.44
LTI, EQ, 13-Dec-2021,6613.2,6664.0,6891.5,6600.0,6800.0,6770.6,6793.38,404491,37649,125323,30.98
LTI, EQ, 14-Dec-2021,6770.6,6788.0,6788.0,6641.75,6674.95,6670.05,6696.69,264969,42217,123329,46.54
LTI, EQ, 15-Dec-2021,6670.05,6685.0,6714.4,6565.0,6690.0,6675.65,6639.33,241189,27084,123627,51.26
LTI, EQ, 16-Dec-2021,6675.65,6774.0,6850.0,6721.15,6843.6,6839.55,6804.07,355537,41089,92158,25.92
LTI, EQ, 17-Dec-2021,6839.55,6917.2,7129.3,6867.1,6950.0,6978.3,6988.07,865305,101572,221745,25.63
LTI, EQ, 20-Dec-2021,6978.3,6906.0,6937.45,6610.0,6714.0,6736.05,6734.93,416395,44652,146477,35.18
