SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
M&MFIN, EQ, 17-Sep-2021,173.6,175.0,184.0,172.35,179.5,179.35,178.51,19994657,101851,6818970,34.1
M&MFIN, EQ, 20-Sep-2021,179.35,177.0,180.9,175.25,176.0,176.2,178.16,6902972,44878,2690862,38.98
M&MFIN, EQ, 21-Sep-2021,176.2,176.5,182.0,173.7,181.0,180.85,178.41,6074735,37960,2060060,33.91
M&MFIN, EQ, 22-Sep-2021,180.85,182.0,184.6,179.6,180.6,180.85,181.97,5658901,33048,1889757,33.39
M&MFIN, EQ, 23-Sep-2021,180.85,184.0,187.7,182.0,184.95,185.0,185.51,7121779,49235,2674948,37.56
M&MFIN, EQ, 24-Sep-2021,185.0,185.2,186.15,181.2,181.55,181.95,183.77,5256102,28895,2498380,47.53
M&MFIN, EQ, 27-Sep-2021,181.95,184.0,185.15,178.95,180.5,181.2,181.99,4694851,24149,2472315,52.66
M&MFIN, EQ, 28-Sep-2021,181.2,180.5,183.75,177.1,180.05,179.75,181.18,6519405,34282,3148294,48.29
M&MFIN, EQ, 29-Sep-2021,179.75,178.0,185.45,175.45,183.1,183.5,181.72,5621283,35057,1592315,28.33
M&MFIN, EQ, 30-Sep-2021,183.5,182.5,186.75,181.75,184.9,185.2,184.81,4617058,34059,1714610,37.14
M&MFIN, EQ, 01-Oct-2021,185.2,183.95,187.4,182.05,186.0,186.3,184.92,6104420,27656,2275377,37.27
M&MFIN, EQ, 04-Oct-2021,186.3,188.0,191.25,186.3,188.5,188.65,189.43,4819940,31610,1506718,31.26
M&MFIN, EQ, 05-Oct-2021,188.65,191.0,192.95,185.4,185.9,186.0,187.61,13189065,57594,6438622,48.82
M&MFIN, EQ, 06-Oct-2021,186.0,187.4,187.65,180.5,180.95,181.4,183.72,3652687,24146,1581737,43.3
M&MFIN, EQ, 07-Oct-2021,181.4,183.0,185.45,182.05,182.9,182.5,184.04,2918786,18425,1092504,37.43
M&MFIN, EQ, 08-Oct-2021,182.5,183.9,186.75,181.6,184.9,184.55,184.52,3788922,22710,1121636,29.6
M&MFIN, EQ, 11-Oct-2021,184.55,184.5,187.0,183.8,184.85,185.0,185.64,1716675,11975,487513,28.4
M&MFIN, EQ, 12-Oct-2021,185.0,185.8,187.3,181.9,186.3,186.5,184.88,3296782,16488,936653,28.41
M&MFIN, EQ, 13-Oct-2021,186.5,187.3,191.2,185.65,186.2,186.05,188.36,4806511,30741,1298719,27.02
M&MFIN, EQ, 14-Oct-2021,186.05,187.0,187.95,184.6,185.35,185.2,186.26,2556839,18687,636103,24.88
M&MFIN, EQ, 18-Oct-2021,185.2,186.1,189.0,185.1,187.05,187.45,187.23,3605004,20733,1738946,48.24
M&MFIN, EQ, 19-Oct-2021,187.45,188.4,195.6,187.45,190.3,190.15,192.39,13404959,81894,3226007,24.07
M&MFIN, EQ, 20-Oct-2021,190.15,191.4,192.0,181.75,185.25,184.5,186.98,5097569,31067,1229168,24.11
M&MFIN, EQ, 21-Oct-2021,184.5,186.5,192.95,182.05,192.0,191.75,188.09,5360423,25579,1574240,29.37
M&MFIN, EQ, 22-Oct-2021,191.75,193.0,193.8,186.45,187.3,187.05,190.44,5698253,34190,1581309,27.75
M&MFIN, EQ, 25-Oct-2021,187.05,188.0,188.55,179.35,180.0,180.9,182.77,3923911,20275,993485,25.32
M&MFIN, EQ, 26-Oct-2021,180.9,179.7,189.35,179.35,188.7,188.2,186.79,4842168,51670,1500064,30.98
M&MFIN, EQ, 27-Oct-2021,188.2,188.65,194.4,186.0,191.1,192.0,191.19,8096872,43681,2703621,33.39
