SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MAHLIFE, EQ, 17-Sep-2021,274.5,275.0,280.0,268.45,280.0,277.15,276.04,410097,9139,352859,86.04
MAHLIFE, EQ, 20-Sep-2021,277.15,279.9,279.9,269.0,271.0,272.0,276.73,86719,3980,54897,63.3
MAHLIFE, EQ, 21-Sep-2021,272.0,272.0,276.0,268.3,270.0,270.4,271.57,113222,4286,84392,74.54
MAHLIFE, EQ, 22-Sep-2021,270.4,275.0,291.5,270.5,275.55,273.75,280.53,439610,11291,225658,51.33
MAHLIFE, EQ, 23-Sep-2021,273.75,277.5,281.95,274.0,279.95,279.8,279.1,469869,9707,245535,52.26
MAHLIFE, EQ, 24-Sep-2021,279.8,292.0,295.0,284.4,285.0,285.6,290.36,1155333,27719,606983,52.54
MAHLIFE, EQ, 27-Sep-2021,285.6,288.95,289.0,276.15,276.55,277.2,281.34,230004,10179,149984,65.21
MAHLIFE, EQ, 28-Sep-2021,277.2,276.2,278.9,270.0,272.25,272.0,272.47,197547,6558,125843,63.7
MAHLIFE, EQ, 29-Sep-2021,272.0,274.5,284.4,269.4,279.0,280.35,276.94,301692,8688,142620,47.27
MAHLIFE, EQ, 30-Sep-2021,280.35,282.95,283.95,272.45,276.0,276.2,276.39,189261,5576,113351,59.89
MAHLIFE, EQ, 01-Oct-2021,276.2,273.05,278.0,272.0,273.1,273.7,274.74,144380,4112,74616,51.68
MAHLIFE, EQ, 04-Oct-2021,273.7,271.0,276.2,271.0,272.45,272.15,272.81,141458,4273,89987,63.61
MAHLIFE, EQ, 05-Oct-2021,272.15,274.5,278.0,270.0,272.1,271.7,273.55,127854,3860,76758,60.04
MAHLIFE, EQ, 06-Oct-2021,271.7,276.7,277.0,270.65,271.0,273.45,273.56,161787,5165,107731,66.59
MAHLIFE, EQ, 07-Oct-2021,273.45,275.0,283.3,275.0,278.35,278.55,279.11,340056,11822,217586,63.99
MAHLIFE, EQ, 08-Oct-2021,278.55,279.5,281.1,271.75,275.65,275.55,275.95,735944,4241,679207,92.29
MAHLIFE, EQ, 11-Oct-2021,275.55,276.1,285.0,274.35,278.15,280.05,281.14,350282,10700,284828,81.31
MAHLIFE, EQ, 12-Oct-2021,280.05,282.7,282.7,274.0,280.0,278.6,277.01,302229,8107,240754,79.66
MAHLIFE, EQ, 13-Oct-2021,278.6,281.5,281.5,275.3,279.9,279.45,279.27,136131,6147,97837,71.87
MAHLIFE, EQ, 14-Oct-2021,279.45,278.5,283.05,272.0,274.0,274.15,277.15,164761,6629,97106,58.94
MAHLIFE, EQ, 18-Oct-2021,274.15,275.15,284.15,273.25,277.0,277.95,280.0,242353,6432,174203,71.88
MAHLIFE, EQ, 19-Oct-2021,277.95,279.0,280.0,269.1,270.0,270.05,273.34,126652,3897,86047,67.94
MAHLIFE, EQ, 20-Oct-2021,270.05,274.0,298.8,265.0,289.95,289.3,285.12,509017,7471,383018,75.25
MAHLIFE, EQ, 21-Oct-2021,289.3,295.0,295.0,276.5,279.95,279.5,283.91,264881,11798,150349,56.76
MAHLIFE, EQ, 22-Oct-2021,279.5,284.85,284.85,271.0,278.6,276.65,276.09,143563,4600,77514,53.99
MAHLIFE, EQ, 25-Oct-2021,276.65,273.4,276.0,255.0,268.0,265.5,264.92,185472,6319,105911,57.1
MAHLIFE, EQ, 26-Oct-2021,265.5,270.0,284.8,267.0,274.95,275.55,278.43,229435,7332,106365,46.36
