SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MAHSCOOTER, EQ, 17-Sep-2021,4391.55,4409.85,4549.0,4389.35,4430.0,4431.75,4463.15,40334,5992,25623,63.53
MAHSCOOTER, EQ, 20-Sep-2021,4431.75,4431.75,4579.15,4406.45,4480.25,4493.95,4511.76,27114,3531,19375,71.46
MAHSCOOTER, EQ, 21-Sep-2021,4493.95,4455.05,4680.0,4455.05,4678.0,4651.1,4595.61,22250,3641,13101,58.88
MAHSCOOTER, EQ, 22-Sep-2021,4651.1,4675.0,4802.45,4561.55,4610.0,4600.6,4681.19,24241,4467,7671,31.64
MAHSCOOTER, EQ, 23-Sep-2021,4600.6,4659.85,4843.0,4625.0,4747.0,4726.85,4742.5,22355,5929,9050,40.48
MAHSCOOTER, EQ, 24-Sep-2021,4726.85,4798.0,4799.0,4670.0,4675.0,4680.25,4722.46,6626,1600,3700,55.84
MAHSCOOTER, EQ, 27-Sep-2021,4680.25,4757.0,4779.9,4630.0,4753.0,4748.65,4727.04,9503,2380,4509,47.45
MAHSCOOTER, EQ, 28-Sep-2021,4748.65,4777.0,4878.8,4690.05,4735.0,4729.55,4798.5,15125,3809,6273,41.47
MAHSCOOTER, EQ, 29-Sep-2021,4729.55,4753.0,4753.0,4526.0,4611.0,4598.3,4633.02,10698,2603,5565,52.02
MAHSCOOTER, EQ, 30-Sep-2021,4598.3,4601.0,4680.0,4601.0,4680.0,4653.95,4648.64,3770,1443,1790,47.48
MAHSCOOTER, EQ, 01-Oct-2021,4653.95,4648.6,4695.0,4616.5,4695.0,4672.6,4659.03,3707,1410,1896,51.15
MAHSCOOTER, EQ, 04-Oct-2021,4672.6,4699.95,4780.0,4662.5,4719.95,4733.1,4721.4,5177,1677,2601,50.24
MAHSCOOTER, EQ, 05-Oct-2021,4733.1,4681.0,4806.0,4679.85,4699.0,4694.75,4744.59,7069,1853,4108,58.11
MAHSCOOTER, EQ, 06-Oct-2021,4694.75,4699.0,4786.0,4655.0,4670.2,4695.55,4713.16,4894,1800,2484,50.76
MAHSCOOTER, EQ, 07-Oct-2021,4695.55,4701.8,4775.0,4690.0,4700.0,4705.3,4733.59,3138,997,1831,58.35
MAHSCOOTER, EQ, 08-Oct-2021,4705.3,4748.0,4748.0,4688.75,4700.0,4700.15,4706.49,2253,740,1068,47.4
MAHSCOOTER, EQ, 11-Oct-2021,4700.15,4700.15,4769.0,4681.05,4707.95,4709.75,4720.39,3770,1158,1760,46.68
MAHSCOOTER, EQ, 12-Oct-2021,4709.75,4717.85,4808.95,4662.5,4720.15,4730.6,4753.3,6968,1362,4182,60.02
MAHSCOOTER, EQ, 13-Oct-2021,4730.6,4754.3,4880.0,4754.3,4817.95,4814.65,4820.02,6945,1567,3559,51.25
MAHSCOOTER, EQ, 14-Oct-2021,4814.65,4849.4,4879.95,4739.95,4759.0,4751.9,4806.47,4813,1218,2588,53.77
MAHSCOOTER, EQ, 18-Oct-2021,4751.9,4775.7,4859.35,4751.9,4762.65,4771.35,4784.39,4878,1333,2487,50.98
MAHSCOOTER, EQ, 19-Oct-2021,4771.35,4771.9,5050.0,4675.0,4750.0,4760.15,4880.16,18502,4434,6467,34.95
MAHSCOOTER, EQ, 20-Oct-2021,4760.15,4799.95,4811.0,4625.0,4687.8,4677.7,4703.33,7078,2480,3747,52.94
MAHSCOOTER, EQ, 21-Oct-2021,4677.7,4700.0,4704.85,4600.0,4652.85,4649.35,4658.32,3344,1019,2016,60.29
MAHSCOOTER, EQ, 22-Oct-2021,4649.35,4658.3,4735.0,4593.8,4622.1,4626.3,4675.94,6433,1831,3275,50.91
MAHSCOOTER, EQ, 25-Oct-2021,4626.3,4649.45,4650.0,4452.0,4505.25,4507.5,4525.69,5494,1324,3300,60.07
MAHSCOOTER, EQ, 26-Oct-2021,4507.5,4585.0,4650.0,4472.55,4568.0,4549.1,4551.22,8358,2138,2940,35.18
MAHSCOOTER, EQ, 27-Oct-2021,4549.1,4549.1,4637.0,4515.05,4527.0,4530.45,4560.15,3861,1242,2283,59.13
MAHSCOOTER, EQ, 28-Oct-2021,4530.45,4575.95,4576.05,4401.0,4448.2,4434.9,4458.68,5931,1685,3360,56.65
MAHSCOOTER, EQ, 29-Oct-2021,4434.9,4442.35,4517.0,4337.15,4429.9,4413.75,4428.9,7356,1523,3654,49.67
MAHSCOOTER, EQ, 01-Nov-2021,4413.75,4446.0,4446.0,4325.0,4336.0,4339.65,4358.12,9928,2389,6462,65.09
MAHSCOOTER, EQ, 02-Nov-2021,4339.65,4361.3,4380.0,4321.0,4324.0,4331.55,4345.6,3541,893,2217,62.61
MAHSCOOTER, EQ, 03-Nov-2021,4331.55,4334.1,4465.85,4334.1,4358.0,4354.7,4366.64,3070,1147,1570,51.14
MAHSCOOTER, EQ, 08-Nov-2021,4372.2,4340.1,4420.0,4332.05,4390.0,4377.75,4371.13,6999,2046,3961,56.59
MAHSCOOTER, EQ, 09-Nov-2021,4377.75,4409.95,4444.75,4400.0,4421.15,4424.15,4414.79,4220,857,2784,65.97
MAHSCOOTER, EQ, 10-Nov-2021,4424.15,4425.0,4444.5,4398.85,4435.65,4435.7,4422.28,2282,520,1411,61.83
MAHSCOOTER, EQ, 11-Nov-2021,4435.7,4455.95,4487.95,4425.0,4449.95,4446.65,4448.65,3908,865,1720,44.01
MAHSCOOTER, EQ, 12-Nov-2021,4446.65,4446.65,4510.05,4425.0,4437.4,4436.85,4454.32,3911,775,2369,60.57
MAHSCOOTER, EQ, 15-Nov-2021,4436.85,4499.95,4505.0,4405.55,4418.6,4425.3,4465.95,4222,1093,2158,51.11
MAHSCOOTER, EQ, 16-Nov-2021,4425.3,4425.4,4450.0,4366.0,4398.0,4399.65,4422.55,2034,699,1365,67.11
MAHSCOOTER, EQ, 17-Nov-2021,4399.65,4421.6,4450.0,4367.9,4376.1,4378.75,4403.98,3437,743,2262,65.81
MAHSCOOTER, EQ, 18-Nov-2021,4378.75,4389.55,4391.95,4335.1,4353.0,4347.55,4356.05,2999,600,2036,67.89
MAHSCOOTER, EQ, 22-Nov-2021,4347.55,4347.6,4356.6,4146.95,4170.0,4161.35,4250.54,8693,1806,6270,72.13
MAHSCOOTER, EQ, 23-Nov-2021,4161.35,4100.0,4237.0,4068.05,4233.5,4223.45,4202.36,2069,700,1034,49.98
MAHSCOOTER, EQ, 24-Nov-2021,4223.45,4223.45,4275.05,4115.05,4170.0,4182.8,4204.15,4319,1140,1863,43.13
MAHSCOOTER, EQ, 25-Nov-2021,4182.8,4125.0,4200.0,4125.0,4200.0,4193.75,4173.06,1134,457,581,51.23
MAHSCOOTER, EQ, 26-Nov-2021,4193.75,4180.35,4193.95,4090.0,4100.0,4104.4,4124.14,4323,1208,2606,60.28
MAHSCOOTER, EQ, 29-Nov-2021,4104.4,4085.1,4170.9,3985.1,4120.0,4093.25,4068.76,5053,1678,2792,55.25
MAHSCOOTER, EQ, 30-Nov-2021,4093.25,4086.35,4250.0,3960.0,4116.5,4126.15,4160.83,4049,1060,2094,51.72
MAHSCOOTER, EQ, 01-Dec-2021,4126.15,4122.55,4280.0,4121.0,4235.0,4238.05,4232.61,5526,1476,3141,56.84
MAHSCOOTER, EQ, 02-Dec-2021,4238.05,4280.0,4314.75,4204.0,4293.0,4278.0,4273.54,13607,1095,11772,86.51
MAHSCOOTER, EQ, 03-Dec-2021,4278.0,4299.4,4303.3,4247.85,4280.0,4276.45,4274.9,22350,756,21296,95.28
MAHSCOOTER, EQ, 06-Dec-2021,4276.45,4299.95,4309.8,4224.95,4226.5,4238.7,4272.32,3378,985,2097,62.08
MAHSCOOTER, EQ, 07-Dec-2021,4238.7,4259.85,4289.95,4216.85,4243.5,4243.05,4251.75,6064,842,5092,83.97
MAHSCOOTER, EQ, 08-Dec-2021,4243.05,4217.85,4307.7,4217.85,4299.0,4293.3,4278.46,5875,629,4423,75.29
MAHSCOOTER, EQ, 09-Dec-2021,4293.3,4279.6,4325.0,4235.05,4245.0,4253.6,4282.11,5634,936,4107,72.9
MAHSCOOTER, EQ, 10-Dec-2021,4253.6,4279.95,4303.0,4225.8,4298.0,4292.45,4289.39,5564,803,3882,69.77
MAHSCOOTER, EQ, 13-Dec-2021,4292.45,4299.9,4320.0,4229.95,4242.0,4235.55,4271.99,4596,1128,2955,64.3
