SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MANAPPURAM, EQ, 17-Sep-2021,168.05,168.0,169.4,163.0,163.75,163.75,165.39,6450126,33596,2651391,41.11
MANAPPURAM, EQ, 20-Sep-2021,163.75,163.0,165.4,161.0,161.55,161.4,162.5,4684570,28625,2109842,45.04
MANAPPURAM, EQ, 21-Sep-2021,161.4,161.0,167.0,160.8,166.1,166.35,164.07,9767673,41212,2997996,30.69
MANAPPURAM, EQ, 22-Sep-2021,166.35,167.15,174.35,165.0,170.95,171.35,170.54,9197054,52174,2917896,31.73
MANAPPURAM, EQ, 23-Sep-2021,171.35,172.4,175.9,171.55,173.9,174.0,174.17,8206583,60198,3514943,42.83
MANAPPURAM, EQ, 24-Sep-2021,174.0,175.2,176.7,170.9,174.0,173.0,174.46,10644679,78596,5444088,51.14
MANAPPURAM, EQ, 27-Sep-2021,173.0,174.0,175.1,171.35,173.0,172.9,172.71,2878790,15201,1156628,40.18
MANAPPURAM, EQ, 28-Sep-2021,172.9,173.0,173.45,168.15,169.35,169.45,170.04,3895097,30298,1512734,38.84
MANAPPURAM, EQ, 29-Sep-2021,169.45,167.5,175.25,166.8,172.65,173.25,172.9,5549571,52597,1629276,29.36
MANAPPURAM, EQ, 30-Sep-2021,173.25,172.75,173.65,168.55,169.4,169.15,170.9,4201283,28781,1379292,32.83
MANAPPURAM, EQ, 01-Oct-2021,169.15,170.0,180.5,169.4,180.1,179.55,176.92,21186331,112726,4337236,20.47
MANAPPURAM, EQ, 04-Oct-2021,179.55,181.95,183.75,179.05,182.6,182.65,181.61,6961154,45969,1455636,20.91
MANAPPURAM, EQ, 05-Oct-2021,182.65,182.3,185.8,181.0,184.0,184.3,184.18,4707964,33325,1527427,32.44
MANAPPURAM, EQ, 06-Oct-2021,184.3,185.0,186.9,182.5,184.0,184.3,184.55,6436903,59072,3170663,49.26
MANAPPURAM, EQ, 07-Oct-2021,184.3,185.0,194.8,185.0,194.45,194.05,191.64,9959507,128150,2843914,28.55
MANAPPURAM, EQ, 08-Oct-2021,194.05,194.3,195.4,191.6,193.2,193.1,193.45,3552067,49982,1345905,37.89
MANAPPURAM, EQ, 11-Oct-2021,193.1,195.2,196.85,192.5,193.0,193.45,195.06,3272160,39927,1051610,32.14
MANAPPURAM, EQ, 12-Oct-2021,193.45,192.75,196.45,192.25,194.8,195.05,195.1,2297440,37064,877087,38.18
MANAPPURAM, EQ, 13-Oct-2021,195.05,196.0,198.9,194.7,195.15,195.2,196.94,3313833,24268,1073774,32.4
MANAPPURAM, EQ, 14-Oct-2021,195.2,196.6,196.85,192.65,195.05,195.3,194.62,3180833,39576,1235067,38.83
MANAPPURAM, EQ, 18-Oct-2021,195.3,196.0,201.75,195.05,196.65,197.4,198.58,3702353,22970,1126292,30.42
MANAPPURAM, EQ, 19-Oct-2021,197.4,197.4,202.4,194.15,198.0,200.4,199.32,10120725,45230,3071379,30.35
MANAPPURAM, EQ, 20-Oct-2021,200.4,200.4,202.0,193.3,195.3,195.6,196.61,6424748,47833,2112362,32.88
MANAPPURAM, EQ, 21-Oct-2021,195.6,196.0,200.3,195.3,199.25,199.75,197.92,3556307,22959,1127308,31.7
MANAPPURAM, EQ, 22-Oct-2021,199.75,201.35,208.25,198.7,199.0,199.7,203.12,11635925,108578,2382319,20.47
MANAPPURAM, EQ, 25-Oct-2021,199.7,201.0,201.0,189.25,199.65,199.85,196.01,5712106,43676,1574021,27.56
MANAPPURAM, EQ, 26-Oct-2021,199.85,201.25,207.9,200.0,204.65,204.5,204.89,5221790,38443,1150111,22.03
MANAPPURAM, EQ, 27-Oct-2021,204.5,206.2,210.9,203.2,204.05,203.85,206.88,6668162,39945,971173,14.56
MANAPPURAM, EQ, 28-Oct-2021,203.85,203.95,205.2,198.85,200.7,200.6,202.53,3985530,21893,1444587,36.25
MANAPPURAM, EQ, 29-Oct-2021,200.6,200.6,210.7,195.0,208.0,207.8,206.06,7601518,49752,1533645,20.18
MANAPPURAM, EQ, 01-Nov-2021,207.8,207.8,207.8,193.25,193.5,193.95,196.65,7285801,53460,1852878,25.43
MANAPPURAM, EQ, 02-Nov-2021,193.95,193.3,199.3,193.3,198.3,198.25,197.43,4212632,24429,995369,23.63
MANAPPURAM, EQ, 03-Nov-2021,198.25,200.0,209.1,199.45,202.9,202.8,204.42,9559711,55235,893850,9.35
MANAPPURAM, EQ, 08-Nov-2021,208.25,208.25,220.0,204.65,218.0,218.65,214.94,15496533,94862,2943784,19.0
MANAPPURAM, EQ, 09-Nov-2021,218.65,219.95,224.2,216.45,221.95,222.3,220.06,7836730,43860,1749310,22.32
MANAPPURAM, EQ, 10-Nov-2021,222.3,218.65,224.5,218.3,220.0,219.7,221.43,3651033,26441,735485,20.14
