SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MAXHEALTH, EQ, 17-Sep-2021,397.65,398.9,399.5,355.7,382.0,379.25,379.51,13751716,42861,9532142,69.32
MAXHEALTH, EQ, 20-Sep-2021,379.25,378.95,384.95,369.65,374.0,373.25,376.79,580568,20662,321278,55.34
MAXHEALTH, EQ, 21-Sep-2021,373.25,373.25,375.0,354.05,365.9,365.45,364.15,1377842,24728,983851,71.41
MAXHEALTH, EQ, 22-Sep-2021,365.45,365.45,375.0,365.4,372.75,371.9,371.81,808433,21014,573675,70.96
MAXHEALTH, EQ, 23-Sep-2021,371.9,375.45,379.9,369.0,370.95,371.55,373.2,378053,22910,252554,66.8
MAXHEALTH, EQ, 24-Sep-2021,371.55,373.75,376.85,361.0,363.0,364.95,366.37,519024,20471,344277,66.33
MAXHEALTH, EQ, 27-Sep-2021,364.95,366.1,366.65,354.0,357.9,358.95,357.87,471875,17120,262029,55.53
MAXHEALTH, EQ, 28-Sep-2021,358.95,362.4,374.0,354.5,371.2,369.7,364.11,983226,23155,627146,63.78
MAXHEALTH, EQ, 29-Sep-2021,369.7,354.0,357.0,345.85,355.75,355.05,350.16,96097669,68161,87955605,91.53
MAXHEALTH, EQ, 30-Sep-2021,355.05,361.9,363.7,357.7,359.0,359.55,360.63,1452877,33232,938226,64.58
MAXHEALTH, EQ, 01-Oct-2021,359.55,359.4,368.5,357.2,358.7,358.7,362.24,1110460,36091,688285,61.98
MAXHEALTH, EQ, 04-Oct-2021,358.7,359.9,360.5,350.25,353.45,353.0,352.98,4530962,34969,3705140,81.77
MAXHEALTH, EQ, 05-Oct-2021,353.0,355.3,358.95,351.9,352.55,352.55,353.97,2076160,45889,1644434,79.21
MAXHEALTH, EQ, 06-Oct-2021,352.55,355.0,355.55,341.05,343.9,347.45,349.33,4127745,32662,3078797,74.59
MAXHEALTH, EQ, 07-Oct-2021,347.45,346.0,354.0,345.4,350.5,350.55,351.29,923705,14082,673816,72.95
MAXHEALTH, EQ, 08-Oct-2021,350.55,352.0,354.75,347.0,349.9,349.95,351.48,755728,18922,504078,66.7
MAXHEALTH, EQ, 11-Oct-2021,349.95,349.95,355.45,345.55,349.5,348.35,348.71,1131648,26987,877862,77.57
MAXHEALTH, EQ, 12-Oct-2021,348.35,349.3,351.7,329.0,335.5,335.7,336.64,1699250,30556,1204709,70.9
MAXHEALTH, EQ, 13-Oct-2021,335.7,335.7,343.4,330.2,332.55,332.4,336.02,973485,24477,706187,72.54
MAXHEALTH, EQ, 14-Oct-2021,332.4,332.4,352.5,325.5,351.2,350.45,341.0,1356052,46994,837879,61.79
MAXHEALTH, EQ, 18-Oct-2021,350.45,354.4,355.4,343.3,345.3,345.9,349.05,1210015,25750,929295,76.8
MAXHEALTH, EQ, 19-Oct-2021,345.9,345.05,346.35,332.55,335.4,335.8,337.86,1035758,20461,848077,81.88
MAXHEALTH, EQ, 20-Oct-2021,335.8,335.8,346.5,332.0,344.0,342.5,339.88,484858,16088,296499,61.15
MAXHEALTH, EQ, 21-Oct-2021,342.5,349.75,349.75,334.0,345.0,344.5,342.2,415483,10176,256235,61.67
MAXHEALTH, EQ, 22-Oct-2021,344.5,345.95,349.0,330.25,333.0,332.75,338.01,743267,23097,573197,77.12
MAXHEALTH, EQ, 25-Oct-2021,332.75,327.5,336.35,321.85,332.95,333.95,332.45,549253,26678,338343,61.6
MAXHEALTH, EQ, 26-Oct-2021,333.95,336.0,346.75,323.8,346.75,343.35,337.83,382923,13012,209247,54.64
MAXHEALTH, EQ, 27-Oct-2021,343.35,346.4,347.35,336.9,338.05,338.85,341.42,155424,7924,83647,53.82
MAXHEALTH, EQ, 28-Oct-2021,338.85,337.85,339.4,328.55,334.95,335.3,333.68,303395,13490,190181,62.68
MAXHEALTH, EQ, 29-Oct-2021,335.3,332.0,334.9,328.1,331.15,331.35,330.81,355760,8144,265689,74.68
MAXHEALTH, EQ, 01-Nov-2021,331.35,333.0,343.35,330.0,342.15,342.8,335.4,388602,13060,269959,69.47
MAXHEALTH, EQ, 02-Nov-2021,342.8,347.65,347.65,339.6,342.7,342.6,341.23,869662,17306,716809,82.42
