SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MAZDOCK, EQ, 17-Sep-2021,257.2,259.0,259.25,248.3,257.1,256.85,254.22,789525,13633,326339,41.33
MAZDOCK, EQ, 20-Sep-2021,256.85,252.3,265.8,251.4,256.45,257.1,260.8,1611100,28999,506416,31.43
MAZDOCK, EQ, 21-Sep-2021,257.1,258.0,258.5,248.7,251.5,251.2,251.92,426678,8873,169083,39.63
MAZDOCK, EQ, 22-Sep-2021,251.2,252.7,255.0,251.0,251.95,251.55,252.78,267989,5266,110325,41.17
MAZDOCK, EQ, 23-Sep-2021,251.55,253.5,256.45,251.35,252.8,252.65,253.52,243556,5041,96950,39.81
MAZDOCK, EQ, 24-Sep-2021,252.65,253.05,255.75,250.35,252.25,252.05,252.78,265890,4196,130944,49.25
MAZDOCK, EQ, 27-Sep-2021,252.05,250.1,256.75,250.1,251.75,251.7,253.19,318155,6233,101291,31.84
MAZDOCK, EQ, 28-Sep-2021,251.7,252.9,256.7,249.0,250.5,250.9,253.06,330720,6467,145354,43.95
MAZDOCK, EQ, 29-Sep-2021,250.9,249.0,255.9,248.75,252.45,252.25,253.47,336308,6350,121409,36.1
MAZDOCK, EQ, 30-Sep-2021,252.25,254.25,255.95,250.3,251.0,251.15,252.78,199904,3815,107215,53.63
MAZDOCK, EQ, 01-Oct-2021,251.15,250.85,252.95,250.15,250.65,250.85,251.35,167360,3592,80205,47.92
MAZDOCK, EQ, 04-Oct-2021,250.85,252.0,260.65,251.6,254.8,254.75,256.52,601976,10616,199570,33.15
MAZDOCK, EQ, 05-Oct-2021,254.75,255.4,259.85,253.8,256.6,255.7,257.22,337570,6345,141863,42.02
MAZDOCK, EQ, 06-Oct-2021,255.7,256.1,263.0,253.2,254.3,254.95,258.55,801092,14883,266883,33.31
MAZDOCK, EQ, 07-Oct-2021,254.95,255.6,262.0,255.6,257.75,257.75,258.9,509973,7333,226031,44.32
MAZDOCK, EQ, 08-Oct-2021,257.75,260.5,267.5,259.45,260.95,260.8,263.67,1518547,24930,501969,33.06
MAZDOCK, EQ, 11-Oct-2021,260.8,261.85,269.0,261.0,261.0,261.8,264.12,721966,11434,292096,40.46
MAZDOCK, EQ, 12-Oct-2021,261.8,262.0,274.7,261.5,269.3,269.45,270.36,2592447,43475,845972,32.63
MAZDOCK, EQ, 13-Oct-2021,269.45,271.0,276.9,267.05,270.1,271.25,272.35,1363370,20307,585308,42.93
MAZDOCK, EQ, 14-Oct-2021,271.25,271.25,274.0,267.0,267.8,267.7,270.55,618078,13247,308734,49.95
MAZDOCK, EQ, 18-Oct-2021,267.7,268.9,274.7,267.45,269.45,269.8,271.56,751318,12670,312279,41.56
MAZDOCK, EQ, 19-Oct-2021,269.8,269.15,273.5,257.0,261.0,260.75,267.22,669815,13593,347037,51.81
MAZDOCK, EQ, 20-Oct-2021,260.75,263.0,274.6,256.35,272.5,272.0,269.11,2132157,36105,634702,29.77
MAZDOCK, EQ, 21-Oct-2021,272.0,274.9,281.0,270.2,278.8,279.0,276.78,2358076,37944,672259,28.51
