SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MFSL, EQ, 17-Sep-2021,1104.45,1114.1,1122.75,1073.0,1079.9,1081.7,1084.86,3421832,53171,1501118,43.87
MFSL, EQ, 20-Sep-2021,1081.7,1080.1,1080.1,1041.95,1045.0,1048.0,1062.02,616108,31738,206701,33.55
MFSL, EQ, 21-Sep-2021,1048.0,1050.0,1056.9,1028.75,1045.7,1046.35,1040.38,536055,19041,225993,42.16
MFSL, EQ, 22-Sep-2021,1046.35,1050.0,1066.0,1035.1,1037.05,1039.2,1048.82,270710,11256,108130,39.94
MFSL, EQ, 23-Sep-2021,1039.2,1054.8,1054.8,1022.85,1044.0,1041.2,1036.46,730906,25292,434810,59.49
MFSL, EQ, 24-Sep-2021,1041.2,1052.0,1065.0,1041.0,1042.8,1045.25,1053.04,748894,20472,397389,53.06
MFSL, EQ, 27-Sep-2021,1045.25,1050.0,1056.1,1019.25,1027.4,1030.05,1038.79,972222,45845,625026,64.29
MFSL, EQ, 28-Sep-2021,1030.05,1026.0,1034.8,983.2,1004.0,1003.0,1006.75,937602,33443,441978,47.14
MFSL, EQ, 29-Sep-2021,1003.0,986.0,1008.65,982.05,1005.0,1004.3,994.33,1336616,41552,712643,53.32
MFSL, EQ, 30-Sep-2021,1004.3,1009.6,1026.0,997.7,1010.0,1014.3,1009.15,785594,26485,403238,51.33
MFSL, EQ, 01-Oct-2021,1014.3,1017.15,1024.45,993.75,1016.45,1012.75,1012.79,901962,47151,519751,57.62
MFSL, EQ, 04-Oct-2021,1012.75,1013.45,1028.2,1010.5,1020.0,1019.35,1018.11,398371,12472,240435,60.35
MFSL, EQ, 05-Oct-2021,1019.35,1024.0,1026.8,1004.7,1019.5,1015.2,1015.68,473749,20323,193162,40.77
MFSL, EQ, 06-Oct-2021,1015.2,1018.0,1045.6,1013.0,1018.0,1020.85,1027.13,1305712,28252,670573,51.36
MFSL, EQ, 07-Oct-2021,1020.85,1025.95,1038.0,1024.05,1028.4,1026.65,1029.02,273771,12375,100323,36.64
MFSL, EQ, 08-Oct-2021,1026.65,1032.95,1032.95,996.15,998.9,998.9,1008.11,524861,24585,187396,35.7
MFSL, EQ, 11-Oct-2021,998.9,997.0,1007.75,985.5,995.0,994.95,996.56,676703,22927,331247,48.95
MFSL, EQ, 12-Oct-2021,994.95,999.85,1014.9,992.0,1001.0,999.9,1003.84,885062,32941,483394,54.62
MFSL, EQ, 13-Oct-2021,999.9,1000.8,1011.0,990.5,991.75,993.65,996.75,562910,20125,302394,53.72
MFSL, EQ, 14-Oct-2021,993.65,996.9,998.0,982.5,989.9,988.25,986.86,817971,14122,581687,71.11
MFSL, EQ, 18-Oct-2021,988.25,994.05,1016.3,992.6,1002.9,1001.6,1003.87,514982,25215,240803,46.76
MFSL, EQ, 19-Oct-2021,1001.6,1009.9,1009.9,975.15,979.0,981.0,990.33,1496561,43992,1055895,70.55
MFSL, EQ, 20-Oct-2021,981.0,981.0,988.0,959.3,984.1,979.5,973.56,2492736,70576,1922728,77.13
MFSL, EQ, 21-Oct-2021,979.5,984.35,992.0,966.4,986.0,980.1,981.41,953559,25453,636144,66.71
MFSL, EQ, 22-Oct-2021,980.1,985.0,1000.95,966.05,971.7,977.05,982.82,570015,23218,250267,43.91
MFSL, EQ, 25-Oct-2021,977.05,973.0,979.85,944.25,957.6,958.35,959.61,1185724,37520,567948,47.9
MFSL, EQ, 26-Oct-2021,958.35,956.5,993.9,954.65,979.9,975.9,977.18,1689758,36234,1087285,64.35
MFSL, EQ, 27-Oct-2021,975.9,980.0,992.25,975.05,977.3,980.75,982.94,1451076,36026,996150,68.65
MFSL, EQ, 28-Oct-2021,980.75,980.75,993.15,974.3,980.3,980.25,980.92,637750,40673,373170,58.51
MFSL, EQ, 29-Oct-2021,980.25,970.2,989.0,956.15,971.25,973.6,975.47,367794,20269,122973,33.44
MFSL, EQ, 01-Nov-2021,973.6,973.0,996.15,973.0,990.0,989.65,989.16,438184,21338,210359,48.01
MFSL, EQ, 02-Nov-2021,989.65,990.0,992.95,980.45,983.0,983.7,988.28,396350,24898,254590,64.23
MFSL, EQ, 03-Nov-2021,983.7,987.5,991.8,965.55,978.8,980.05,975.6,578125,17852,375017,64.87
MFSL, EQ, 08-Nov-2021,979.75,981.0,1009.4,979.75,999.15,1000.1,1000.55,412181,19060,164667,39.95
MFSL, EQ, 09-Nov-2021,1000.1,1005.1,1013.9,992.55,1000.0,1000.75,1004.55,636700,22269,312806,49.13
MFSL, EQ, 10-Nov-2021,1000.75,1021.0,1026.5,975.0,990.0,993.05,991.91,797294,28698,210038,26.34
MFSL, EQ, 11-Nov-2021,993.05,998.0,998.4,962.3,964.95,964.65,971.9,490633,28706,259274,52.84
MFSL, EQ, 12-Nov-2021,964.65,956.3,982.95,955.1,977.0,973.55,963.31,1248970,38017,852471,68.25
MFSL, EQ, 15-Nov-2021,973.55,980.0,987.4,960.5,965.5,964.9,966.99,318792,19926,166645,52.27
MFSL, EQ, 16-Nov-2021,964.9,964.0,975.85,954.1,956.0,959.3,967.08,429440,24832,267119,62.2
MFSL, EQ, 17-Nov-2021,959.3,952.8,958.85,944.85,947.0,948.6,951.11,762507,22605,595296,78.07
MFSL, EQ, 18-Nov-2021,948.6,946.95,957.0,937.1,950.0,949.9,949.57,603082,15693,384579,63.77
MFSL, EQ, 22-Nov-2021,949.9,950.0,952.45,915.3,929.6,923.55,930.88,750893,22550,521150,69.4
MFSL, EQ, 23-Nov-2021,923.55,913.75,953.7,910.5,948.45,946.25,939.65,618887,30913,333079,53.82
MFSL, EQ, 24-Nov-2021,946.25,950.0,962.75,937.85,940.9,940.9,949.98,478680,24957,310351,64.83
MFSL, EQ, 25-Nov-2021,940.9,942.9,958.0,935.15,955.45,954.95,948.94,233942,12586,90347,38.62
MFSL, EQ, 26-Nov-2021,954.95,950.0,961.1,933.0,942.0,942.1,943.76,466813,23845,224120,48.01
MFSL, EQ, 29-Nov-2021,942.1,932.3,951.8,910.25,932.85,937.65,937.79,439740,23598,230708,52.46
MFSL, EQ, 30-Nov-2021,937.65,932.85,958.75,926.25,938.6,940.25,941.63,462327,16355,212688,46.0
MFSL, EQ, 01-Dec-2021,940.25,944.95,975.0,944.3,968.0,968.4,956.84,552794,13682,232365,42.03
MFSL, EQ, 02-Dec-2021,968.4,969.0,970.65,958.75,969.0,965.35,963.7,196690,9338,63608,32.34
MFSL, EQ, 03-Dec-2021,965.35,960.0,984.9,960.0,974.1,974.1,976.94,254241,17258,81434,32.03
MFSL, EQ, 06-Dec-2021,974.1,975.95,988.8,941.55,942.1,955.05,967.96,1067454,12829,838847,78.58
MFSL, EQ, 07-Dec-2021,955.05,950.0,971.8,946.4,969.0,969.35,964.98,734868,14908,544827,74.14
MFSL, EQ, 08-Dec-2021,969.35,970.0,981.5,967.85,976.65,979.55,975.34,396861,18900,253759,63.94
MFSL, EQ, 09-Dec-2021,979.55,980.0,987.5,969.65,972.35,972.1,977.32,224791,6570,89378,39.76
MFSL, EQ, 10-Dec-2021,972.1,972.5,996.5,968.5,988.0,991.75,981.34,463657,9328,284111,61.28
MFSL, EQ, 13-Dec-2021,991.75,997.0,1000.0,990.0,999.0,996.05,996.09,228298,12389,123928,54.28
MFSL, EQ, 14-Dec-2021,996.05,995.05,999.5,982.05,994.65,996.05,990.78,326854,14455,180830,55.32
MFSL, EQ, 15-Dec-2021,996.05,997.0,1016.0,974.35,978.35,979.4,993.8,366013,17861,73676,20.13
MFSL, EQ, 16-Dec-2021,979.4,981.0,989.0,974.3,977.0,976.75,978.96,129556,7488,51185,39.51
MFSL, EQ, 17-Dec-2021,976.75,977.0,979.8,936.0,942.45,946.35,953.89,520367,16731,352684,67.78
MFSL, EQ, 20-Dec-2021,946.35,942.5,945.7,881.0,920.0,934.3,932.69,372744,20509,162660,43.64
MFSL, EQ, 21-Dec-2021,934.3,926.0,970.0,924.0,962.85,965.35,959.26,288349,12328,137797,47.79
MFSL, EQ, 22-Dec-2021,965.35,971.0,976.0,949.4,956.6,951.95,956.67,229254,10874,129140,56.33
MFSL, EQ, 23-Dec-2021,951.95,953.25,969.9,953.25,964.0,963.5,963.45,128365,8676,41439,32.28
MFSL, EQ, 24-Dec-2021,963.5,966.0,968.05,946.5,950.0,949.15,954.07,116245,5542,22497,19.35
MFSL, EQ, 27-Dec-2021,949.15,949.15,965.25,939.55,957.8,955.25,953.01,204449,12005,79595,38.93
MFSL, EQ, 28-Dec-2021,955.25,960.3,995.0,955.45,976.0,969.5,979.95,445626,19628,201807,45.29
MFSL, EQ, 29-Dec-2021,969.5,972.0,988.3,958.0,958.0,960.9,974.57,426693,17641,177093,41.5
MFSL, EQ, 30-Dec-2021,960.9,955.0,990.0,953.25,985.9,982.2,973.26,286433,11483,124240,43.37
MFSL, EQ, 31-Dec-2021,982.2,982.2,987.15,969.05,981.15,980.35,979.54,202398,13627,107180,52.96
MFSL, EQ, 03-Jan-2022,980.35,983.0,1020.75,981.8,1017.45,1017.35,1006.62,445918,28286,240356,53.9
MFSL, EQ, 04-Jan-2022,1017.35,1016.0,1041.7,1010.1,1024.7,1027.15,1025.0,478153,49535,223122,46.66
MFSL, EQ, 05-Jan-2022,1027.15,1021.0,1032.25,1006.1,1008.0,1013.0,1018.51,289439,20099,133897,46.26
MFSL, EQ, 06-Jan-2022,1013.0,1004.0,1019.55,990.0,1010.0,1016.1,1002.04,571703,18177,295522,51.69
MFSL, EQ, 07-Jan-2022,1016.1,1008.0,1036.95,997.85,1030.95,1033.95,1016.4,1113706,30730,607436,54.54
MFSL, EQ, 10-Jan-2022,1033.95,1041.8,1072.65,1034.1,1053.25,1053.75,1052.58,1077013,74284,589392,54.72
MFSL, EQ, 11-Jan-2022,1053.75,1053.0,1080.7,1046.15,1063.8,1068.8,1070.84,1185695,40598,710536,59.93
MFSL, EQ, 12-Jan-2022,1068.8,1066.0,1068.8,1042.2,1052.9,1052.75,1052.36,302278,17026,156917,51.91
MFSL, EQ, 13-Jan-2022,1052.75,1055.0,1057.6,1043.5,1052.0,1051.0,1050.83,362711,8401,260926,71.94
MFSL, EQ, 14-Jan-2022,1051.0,1054.1,1059.0,1022.0,1026.0,1031.3,1038.14,605040,18240,423590,70.01
MFSL, EQ, 17-Jan-2022,1031.3,1031.3,1035.7,1016.2,1021.85,1020.0,1021.41,347930,22242,246555,70.86
MFSL, EQ, 18-Jan-2022,1020.0,1029.1,1038.55,1010.5,1014.0,1017.5,1023.29,476014,25804,229238,48.16
MFSL, EQ, 19-Jan-2022,1017.5,1018.0,1019.85,991.05,994.9,995.0,999.59,360574,13172,245795,68.17
MFSL, EQ, 20-Jan-2022,995.0,1000.0,1000.0,965.95,977.0,972.1,979.49,679625,31194,477498,70.26
MFSL, EQ, 21-Jan-2022,972.1,971.9,971.9,928.0,930.7,933.25,943.74,1505922,30730,1201328,79.77
MFSL, EQ, 24-Jan-2022,933.25,934.0,934.0,891.2,909.3,909.3,908.44,838522,42804,553841,66.05
MFSL, EQ, 25-Jan-2022,909.3,890.0,919.5,872.8,880.0,884.85,892.55,1198055,50141,937144,78.22
MFSL, EQ, 27-Jan-2022,884.85,885.0,903.8,862.7,900.0,894.3,882.67,865685,36748,604794,69.86
MFSL, EQ, 28-Jan-2022,894.3,909.6,945.45,895.0,917.3,913.4,927.26,639411,20554,347133,54.29
MFSL, EQ, 31-Jan-2022,913.4,907.55,955.0,890.0,947.1,952.15,933.69,1206887,36920,727239,60.26
MFSL, EQ, 01-Feb-2022,952.15,951.0,960.2,923.5,925.1,928.85,946.13,957544,22030,581472,60.73
MFSL, EQ, 02-Feb-2022,928.85,934.0,935.5,917.0,928.0,925.15,926.7,620013,27931,447142,72.12
MFSL, EQ, 03-Feb-2022,925.15,925.0,925.0,899.0,906.5,907.05,906.56,497782,18343,277162,55.68
MFSL, EQ, 04-Feb-2022,907.05,908.0,909.95,880.5,882.0,884.4,889.22,740569,77794,512866,69.25
MFSL, EQ, 07-Feb-2022,884.4,875.0,884.4,851.05,868.1,869.3,860.84,1157647,32901,834674,72.1
