SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MINDACORP, EQ, 17-Sep-2021,133.5,134.85,136.65,133.0,135.8,136.05,135.29,954169,14524,425811,44.63
MINDACORP, EQ, 20-Sep-2021,136.05,134.5,136.0,127.45,128.0,129.6,133.07,432733,7499,209438,48.4
MINDACORP, EQ, 21-Sep-2021,129.6,128.7,133.5,125.25,131.75,132.25,130.16,737811,10195,191970,26.02
MINDACORP, EQ, 22-Sep-2021,132.25,133.8,134.4,127.0,128.25,127.9,129.95,619205,7527,326875,52.79
MINDACORP, EQ, 23-Sep-2021,127.9,129.0,131.1,128.05,129.3,128.85,129.65,346217,5601,117100,33.82
MINDACORP, EQ, 24-Sep-2021,128.85,129.9,130.5,127.0,128.0,127.5,128.4,315202,4478,149465,47.42
MINDACORP, EQ, 27-Sep-2021,127.5,128.25,130.8,120.15,125.9,124.7,126.16,879838,9241,416402,47.33
MINDACORP, EQ, 28-Sep-2021,124.7,125.9,127.95,118.7,121.3,120.75,122.02,1456449,16713,750734,51.55
MINDACORP, EQ, 29-Sep-2021,120.75,121.0,131.0,120.5,130.25,129.4,126.56,1137617,15028,499415,43.9
MINDACORP, EQ, 30-Sep-2021,129.4,130.4,130.4,126.7,127.75,127.05,128.12,311242,5457,120961,38.86
MINDACORP, EQ, 01-Oct-2021,127.05,127.0,134.05,125.35,132.6,132.95,130.76,931666,11885,400193,42.95
MINDACORP, EQ, 04-Oct-2021,132.95,133.8,136.0,130.55,134.0,133.85,133.5,734702,11289,290409,39.53
MINDACORP, EQ, 05-Oct-2021,133.85,134.35,137.7,133.5,134.2,134.5,135.57,860080,11245,294204,34.21
MINDACORP, EQ, 06-Oct-2021,134.5,135.35,136.5,128.25,130.35,129.65,131.67,549850,9403,251828,45.8
MINDACORP, EQ, 07-Oct-2021,129.65,130.8,134.9,130.8,133.85,132.95,133.36,389928,6091,171545,43.99
MINDACORP, EQ, 08-Oct-2021,132.95,133.8,134.75,132.1,132.4,132.65,133.41,342532,6919,173732,50.72
MINDACORP, EQ, 11-Oct-2021,132.65,133.8,140.0,133.1,139.5,138.8,138.39,1996943,24620,909248,45.53
MINDACORP, EQ, 12-Oct-2021,138.8,139.3,141.85,137.0,137.1,137.6,139.33,837576,12290,285197,34.05
MINDACORP, EQ, 13-Oct-2021,137.6,138.65,140.0,136.05,137.0,136.7,138.21,490647,8890,220012,44.84
MINDACORP, EQ, 14-Oct-2021,136.7,137.7,137.7,132.0,132.5,133.25,134.65,495839,9472,273511,55.16
