SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MINDAIND, EQ, 17-Sep-2021,732.75,740.3,755.75,706.4,710.55,713.95,734.8,768045,33953,362615,47.21
MINDAIND, EQ, 20-Sep-2021,713.95,709.7,721.7,699.8,713.0,708.95,713.75,246197,12190,87891,35.7
MINDAIND, EQ, 21-Sep-2021,708.95,710.0,744.0,704.0,741.95,741.5,730.9,556797,25771,313716,56.34
MINDAIND, EQ, 22-Sep-2021,741.5,745.15,745.5,724.7,736.8,739.6,734.81,227449,9996,97779,42.99
MINDAIND, EQ, 23-Sep-2021,739.6,740.9,744.45,729.95,732.95,733.25,736.44,149489,14723,87697,58.66
MINDAIND, EQ, 24-Sep-2021,733.25,739.0,739.95,730.3,735.0,736.2,735.12,287802,9491,222702,77.38
MINDAIND, EQ, 27-Sep-2021,736.2,742.9,748.1,733.0,735.0,738.65,740.88,346150,25137,126741,36.61
MINDAIND, EQ, 28-Sep-2021,738.65,745.0,745.0,724.8,730.2,735.4,733.74,84526,5739,35681,42.21
MINDAIND, EQ, 29-Sep-2021,735.4,736.0,743.9,726.35,737.0,738.35,738.55,118737,9734,56707,47.76
MINDAIND, EQ, 30-Sep-2021,738.35,739.0,749.95,731.9,734.2,738.7,740.99,180284,20222,110597,61.35
MINDAIND, EQ, 01-Oct-2021,738.7,738.7,740.2,717.95,720.65,721.8,728.9,98418,7355,50727,51.54
MINDAIND, EQ, 04-Oct-2021,721.8,731.65,731.65,715.15,722.0,720.8,719.58,118198,6597,51596,43.65
MINDAIND, EQ, 05-Oct-2021,720.8,729.8,729.8,715.0,726.0,726.45,720.72,107856,6738,51386,47.64
MINDAIND, EQ, 06-Oct-2021,726.45,730.0,736.8,726.05,735.0,734.0,734.43,154941,7254,87565,56.52
MINDAIND, EQ, 07-Oct-2021,734.0,740.0,782.0,732.0,774.0,774.8,761.42,691642,26891,262186,37.91
MINDAIND, EQ, 08-Oct-2021,774.8,777.0,807.0,777.0,783.8,781.05,792.78,739420,32178,235000,31.78
MINDAIND, EQ, 11-Oct-2021,781.05,784.0,789.95,762.8,774.0,775.5,773.43,282019,15468,117605,41.7
MINDAIND, EQ, 12-Oct-2021,775.5,775.4,780.05,763.05,767.25,768.4,768.41,217831,12245,76068,34.92
MINDAIND, EQ, 13-Oct-2021,768.4,778.8,830.0,770.55,829.75,822.55,814.15,1008066,44996,356690,35.38
MINDAIND, EQ, 14-Oct-2021,822.55,833.9,833.95,786.0,799.9,793.45,807.09,279505,17269,117126,41.9
MINDAIND, EQ, 18-Oct-2021,793.45,810.0,810.0,768.0,769.0,773.35,781.72,198074,12842,104959,52.99
MINDAIND, EQ, 19-Oct-2021,773.35,779.7,782.95,752.6,764.9,762.55,765.51,397162,22401,244737,61.62
MINDAIND, EQ, 20-Oct-2021,762.55,760.0,773.35,750.0,757.1,759.2,760.22,146928,13658,59072,40.2
MINDAIND, EQ, 21-Oct-2021,759.2,764.4,764.4,742.0,751.0,755.65,751.17,137930,9576,76800,55.68
MINDAIND, EQ, 22-Oct-2021,755.65,747.1,770.75,747.1,767.0,764.7,761.54,109266,9934,46790,42.82
MINDAIND, EQ, 25-Oct-2021,764.7,760.0,801.9,751.25,780.55,783.85,786.27,616883,41646,219286,35.55
MINDAIND, EQ, 26-Oct-2021,783.85,781.4,783.4,758.0,770.0,765.55,769.13,220495,16382,152257,69.05
MINDAIND, EQ, 27-Oct-2021,765.55,770.0,778.0,762.0,766.0,764.6,768.74,64328,5656,24107,37.48
MINDAIND, EQ, 28-Oct-2021,764.6,763.0,791.65,759.0,764.9,764.25,773.64,206209,23242,91646,44.44
MINDAIND, EQ, 29-Oct-2021,764.25,765.0,798.7,758.0,781.7,781.55,779.03,234544,26440,100808,42.98
MINDAIND, EQ, 01-Nov-2021,781.55,782.0,790.0,770.65,774.6,774.1,777.32,102245,8617,40326,39.44
MINDAIND, EQ, 02-Nov-2021,774.1,774.8,823.0,774.8,795.0,797.65,809.36,734045,36477,199707,27.21
MINDAIND, EQ, 03-Nov-2021,797.65,790.0,809.9,785.7,788.0,789.8,795.37,185326,10490,54684,29.51
MINDAIND, EQ, 08-Nov-2021,798.35,801.9,845.0,788.0,842.0,833.6,822.72,397794,16759,188753,47.45
MINDAIND, EQ, 09-Nov-2021,833.6,842.5,884.0,835.1,847.8,849.45,863.11,1106111,48151,275081,24.87
MINDAIND, EQ, 10-Nov-2021,849.45,844.0,873.5,826.6,868.0,866.9,846.08,351752,18324,127714,36.31
MINDAIND, EQ, 11-Nov-2021,866.9,865.0,879.4,839.7,855.3,862.15,861.42,347070,22537,56644,16.32
MINDAIND, EQ, 12-Nov-2021,862.15,859.0,949.0,855.0,931.75,936.3,916.45,1790550,83497,374821,20.93
MINDAIND, EQ, 15-Nov-2021,936.3,937.0,985.0,919.4,949.05,949.4,959.68,939495,50549,272342,28.99
MINDAIND, EQ, 16-Nov-2021,949.4,945.0,948.95,910.0,925.0,923.1,930.54,719101,25694,498862,69.37
MINDAIND, EQ, 17-Nov-2021,923.1,923.1,938.0,904.9,915.0,915.7,922.63,161555,12106,38111,23.59
MINDAIND, EQ, 18-Nov-2021,915.7,917.3,917.95,871.2,885.0,878.5,890.93,198937,17778,75836,38.12
MINDAIND, EQ, 22-Nov-2021,878.5,878.45,935.9,833.2,844.9,849.7,889.91,803935,47812,137129,17.06
MINDAIND, EQ, 23-Nov-2021,849.7,847.9,877.75,837.05,850.0,848.95,855.7,192065,14092,61416,31.98
MINDAIND, EQ, 24-Nov-2021,848.95,863.05,884.8,857.1,876.0,869.45,871.33,305641,22642,105063,34.37
MINDAIND, EQ, 25-Nov-2021,869.45,873.8,899.5,871.75,887.0,889.25,885.75,233282,17399,81532,34.95
MINDAIND, EQ, 26-Nov-2021,889.25,886.5,892.7,840.0,847.3,845.6,871.45,168855,18815,57818,34.24
MINDAIND, EQ, 29-Nov-2021,845.6,831.3,880.0,805.55,869.0,869.8,847.38,242181,21906,90308,37.29
MINDAIND, EQ, 30-Nov-2021,869.8,872.0,925.0,866.45,907.8,906.4,894.98,468364,26548,193849,41.39
MINDAIND, EQ, 01-Dec-2021,906.4,914.0,921.15,881.75,897.5,899.1,895.34,111201,10607,30955,27.84
MINDAIND, EQ, 02-Dec-2021,899.1,900.0,931.0,896.05,914.0,914.85,915.18,244722,16825,98254,40.15
MINDAIND, EQ, 03-Dec-2021,914.85,915.0,925.0,875.0,880.3,880.25,887.89,236251,20560,85086,36.02
MINDAIND, EQ, 06-Dec-2021,880.25,884.9,891.95,855.65,859.1,857.85,863.1,139455,11518,49916,35.79
MINDAIND, EQ, 07-Dec-2021,857.85,858.8,868.55,850.0,861.0,861.15,859.05,144554,17895,56458,39.06
MINDAIND, EQ, 08-Dec-2021,861.15,869.65,928.0,864.45,919.05,919.0,905.01,704570,34722,217272,30.84
MINDAIND, EQ, 09-Dec-2021,919.0,924.8,926.05,900.25,908.9,908.95,909.42,123144,10445,36425,29.58
MINDAIND, EQ, 10-Dec-2021,908.95,907.8,955.0,903.05,949.0,942.0,935.19,1042028,36824,670596,64.35
MINDAIND, EQ, 13-Dec-2021,942.0,981.1,1060.0,975.0,1035.0,1038.6,1028.17,3872196,192435,487444,12.59
