SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NAM-INDIA, EQ, 17-Sep-2021,441.1,442.05,445.1,427.8,440.0,439.6,437.16,1720375,32696,708819,41.2
NAM-INDIA, EQ, 20-Sep-2021,439.6,437.0,439.5,430.0,430.55,434.4,434.98,1153389,17517,530550,46.0
NAM-INDIA, EQ, 21-Sep-2021,434.4,430.6,434.25,420.05,431.0,429.55,426.27,1045547,16793,309661,29.62
NAM-INDIA, EQ, 22-Sep-2021,429.55,433.3,437.85,429.55,435.55,435.2,434.4,498248,8661,166506,33.42
NAM-INDIA, EQ, 23-Sep-2021,435.2,438.0,454.3,438.0,442.7,443.95,445.94,2364420,33524,674486,28.53
NAM-INDIA, EQ, 24-Sep-2021,443.95,448.5,448.75,430.65,434.95,437.45,437.51,1421046,16436,683212,48.08
NAM-INDIA, EQ, 27-Sep-2021,437.45,441.4,441.4,424.45,434.25,437.2,434.88,1237119,16251,516325,41.74
NAM-INDIA, EQ, 28-Sep-2021,437.2,435.8,439.55,429.0,430.9,431.45,435.01,1033921,12566,419198,40.54
NAM-INDIA, EQ, 29-Sep-2021,431.45,425.0,434.0,421.55,431.7,431.6,430.56,614132,11358,254293,41.41
NAM-INDIA, EQ, 30-Sep-2021,431.6,430.0,434.2,423.65,426.4,425.35,428.04,954859,16189,405407,42.46
NAM-INDIA, EQ, 01-Oct-2021,425.35,424.9,445.8,422.25,439.4,440.65,435.9,2107618,35123,845260,40.1
NAM-INDIA, EQ, 04-Oct-2021,440.65,441.0,451.0,434.65,446.65,448.6,446.71,1735065,28359,822546,47.41
NAM-INDIA, EQ, 05-Oct-2021,448.6,449.5,464.5,444.65,447.75,448.25,456.11,2337401,33804,540428,23.12
NAM-INDIA, EQ, 06-Oct-2021,448.25,450.2,453.4,438.8,442.2,443.15,445.14,860760,14743,326608,37.94
NAM-INDIA, EQ, 07-Oct-2021,443.15,445.2,449.75,443.15,446.5,445.25,445.66,516379,8826,250320,48.48
NAM-INDIA, EQ, 08-Oct-2021,445.25,445.3,459.0,444.9,447.0,447.3,451.75,1133070,17874,431581,38.09
NAM-INDIA, EQ, 11-Oct-2021,447.3,450.0,454.0,440.2,444.0,444.4,445.17,1012771,15274,648742,64.06
NAM-INDIA, EQ, 12-Oct-2021,444.4,447.0,453.5,437.0,449.85,449.55,445.64,2900148,26637,1676815,57.82
NAM-INDIA, EQ, 13-Oct-2021,449.55,451.4,453.85,440.1,442.0,441.65,445.11,436152,7965,184049,42.2
NAM-INDIA, EQ, 14-Oct-2021,441.65,445.4,451.3,440.25,448.0,449.1,446.53,1162197,15568,544440,46.85
NAM-INDIA, EQ, 18-Oct-2021,449.1,451.1,464.0,446.55,451.65,451.7,455.93,1464039,24129,273553,18.68
NAM-INDIA, EQ, 19-Oct-2021,451.7,454.45,476.45,442.25,458.0,458.1,466.3,3137503,51314,456769,14.56
NAM-INDIA, EQ, 20-Oct-2021,458.1,458.8,470.7,445.4,461.0,461.05,460.42,1455498,25467,376014,25.83
NAM-INDIA, EQ, 21-Oct-2021,461.05,466.65,466.65,452.0,455.7,456.4,458.85,1388366,16965,286502,20.64
NAM-INDIA, EQ, 22-Oct-2021,456.4,459.0,464.4,443.2,448.05,449.3,453.34,774493,20322,242757,31.34
NAM-INDIA, EQ, 25-Oct-2021,449.3,450.9,450.9,427.05,432.35,433.2,434.33,769813,17258,206332,26.8
NAM-INDIA, EQ, 26-Oct-2021,433.2,425.0,442.0,425.0,431.05,430.95,433.01,985787,18053,318033,32.26
NAM-INDIA, EQ, 27-Oct-2021,430.95,437.95,442.3,426.6,434.3,435.1,433.26,1385616,24811,422054,30.46
NAM-INDIA, EQ, 28-Oct-2021,435.1,437.0,441.5,415.0,417.9,417.1,426.25,1341264,17350,658542,49.1
NAM-INDIA, EQ, 29-Oct-2021,417.1,414.2,429.0,410.4,420.65,418.35,419.54,639366,14295,200913,31.42
NAM-INDIA, EQ, 01-Nov-2021,418.35,419.95,425.4,417.75,424.6,423.1,421.4,374409,8377,151138,40.37
NAM-INDIA, EQ, 02-Nov-2021,423.1,422.95,426.8,419.0,421.75,422.05,422.63,540335,9210,279296,51.69
NAM-INDIA, EQ, 03-Nov-2021,422.05,422.95,426.0,420.1,421.0,422.45,422.99,462496,10347,255450,55.23
NAM-INDIA, EQ, 08-Nov-2021,425.1,423.75,428.15,420.0,426.9,426.4,423.98,328004,6775,90334,27.54
NAM-INDIA, EQ, 09-Nov-2021,426.4,429.0,436.0,426.05,428.6,430.05,430.79,493004,9725,156749,31.79
NAM-INDIA, EQ, 10-Nov-2021,430.05,427.0,431.7,424.75,425.7,426.6,429.16,240269,5887,72851,30.32
NAM-INDIA, EQ, 11-Nov-2021,426.6,428.0,428.45,418.1,421.8,420.7,422.56,332792,6108,151439,45.51
NAM-INDIA, EQ, 12-Nov-2021,420.7,424.95,424.95,417.05,421.8,422.25,420.54,398907,4696,163467,40.98
NAM-INDIA, EQ, 15-Nov-2021,422.25,426.45,426.45,416.5,416.8,417.5,420.33,317413,6077,137123,43.2
NAM-INDIA, EQ, 16-Nov-2021,417.5,420.15,423.7,416.0,417.9,418.3,419.53,298883,6677,140035,46.85
NAM-INDIA, EQ, 17-Nov-2021,418.3,419.0,422.5,416.0,418.5,419.2,420.45,263950,4621,120930,45.82
NAM-INDIA, EQ, 18-Nov-2021,419.2,420.0,421.4,400.95,401.0,403.35,408.07,456060,9704,136235,29.87
NAM-INDIA, EQ, 22-Nov-2021,403.35,406.9,406.9,383.4,387.1,387.95,393.5,523851,12876,184588,35.24
NAM-INDIA, EQ, 23-Nov-2021,387.95,388.65,396.75,381.7,395.95,394.55,391.46,269216,7557,87905,32.65
NAM-INDIA, EQ, 24-Nov-2021,394.55,394.55,399.35,388.15,389.0,390.9,395.3,272202,6341,117238,43.07
NAM-INDIA, EQ, 25-Nov-2021,390.9,390.7,391.5,385.2,389.65,388.35,388.34,344458,7157,132425,38.44
NAM-INDIA, EQ, 26-Nov-2021,388.35,383.5,387.55,375.0,375.55,376.3,380.49,597531,13203,179794,30.09
NAM-INDIA, EQ, 29-Nov-2021,376.3,375.9,375.9,360.8,367.3,369.1,370.27,259434,7493,69369,26.74
NAM-INDIA, EQ, 30-Nov-2021,369.1,369.1,376.0,364.35,366.0,366.3,369.88,348497,7684,148670,42.66
NAM-INDIA, EQ, 01-Dec-2021,366.3,368.9,378.8,365.15,373.0,372.65,369.18,777897,11177,382156,49.13
NAM-INDIA, EQ, 02-Dec-2021,372.65,370.4,374.1,367.5,373.0,370.35,369.85,597004,8444,376928,63.14
NAM-INDIA, EQ, 03-Dec-2021,370.35,372.0,375.2,365.0,365.15,366.25,369.15,772506,10968,479060,62.01
NAM-INDIA, EQ, 06-Dec-2021,366.25,369.0,372.0,361.1,363.75,363.2,366.08,1053135,15756,368590,35.0
NAM-INDIA, EQ, 07-Dec-2021,363.2,364.95,367.0,362.4,365.7,364.95,364.65,917859,18011,461763,50.31
NAM-INDIA, EQ, 08-Dec-2021,364.95,369.7,374.2,365.0,372.0,372.15,368.41,1124174,13564,710438,63.2
NAM-INDIA, EQ, 09-Dec-2021,372.15,374.0,383.55,369.05,373.2,372.95,375.76,1873007,29789,857012,45.76
NAM-INDIA, EQ, 10-Dec-2021,372.95,374.9,376.75,369.15,370.5,370.85,371.01,702489,11291,435144,61.94
NAM-INDIA, EQ, 13-Dec-2021,370.85,374.0,374.0,364.55,366.5,366.35,369.56,566836,9144,341414,60.23
