SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NAUKRI, EQ, 17-Sep-2021,6858.2,6870.0,6935.0,6565.25,6620.0,6614.7,6724.21,563009,56330,259012,46.0
NAUKRI, EQ, 20-Sep-2021,6614.7,6614.7,6775.0,6560.0,6599.0,6595.45,6629.93,497418,55187,142478,28.64
NAUKRI, EQ, 21-Sep-2021,6595.45,6601.0,6770.0,6595.6,6725.0,6727.0,6704.4,452843,50093,93752,20.7
NAUKRI, EQ, 22-Sep-2021,6727.0,6800.0,6870.0,6750.0,6796.0,6797.65,6810.31,284589,34410,72022,25.31
NAUKRI, EQ, 23-Sep-2021,6797.65,6858.85,6900.0,6797.25,6826.0,6836.95,6838.62,350913,39415,186012,53.01
NAUKRI, EQ, 24-Sep-2021,6836.95,6850.0,6888.0,6643.0,6650.0,6651.5,6722.78,310339,31604,140360,45.23
NAUKRI, EQ, 27-Sep-2021,6651.5,6705.0,6789.8,6567.7,6710.0,6718.05,6673.84,227099,28213,60082,26.46
NAUKRI, EQ, 28-Sep-2021,6718.05,6710.0,6786.0,6622.0,6745.0,6755.45,6702.63,243206,29454,93075,38.27
NAUKRI, EQ, 29-Sep-2021,6755.45,6675.0,6676.8,6411.0,6445.0,6441.8,6503.97,644462,79692,297974,46.24
NAUKRI, EQ, 30-Sep-2021,6441.8,6460.0,6502.95,6380.05,6435.0,6431.4,6439.36,336350,51086,156270,46.46
NAUKRI, EQ, 01-Oct-2021,6431.4,6445.0,6524.0,6400.0,6429.0,6428.65,6469.33,331594,40343,158647,47.84
NAUKRI, EQ, 04-Oct-2021,6428.65,6486.55,6587.25,6425.0,6550.0,6544.6,6521.27,285726,36402,153397,53.69
NAUKRI, EQ, 05-Oct-2021,6544.6,6560.0,6564.95,6427.0,6499.0,6492.8,6470.15,309234,40702,183004,59.18
NAUKRI, EQ, 06-Oct-2021,6492.8,6562.0,6651.9,6525.0,6570.0,6565.45,6583.61,394228,36222,172371,43.72
NAUKRI, EQ, 07-Oct-2021,6565.45,6619.0,6620.45,6532.1,6608.0,6600.85,6581.27,221706,25483,110378,49.79
NAUKRI, EQ, 08-Oct-2021,6600.85,6655.0,6878.55,6631.0,6665.0,6670.95,6768.01,633366,81885,184129,29.07
NAUKRI, EQ, 11-Oct-2021,6670.95,6744.0,6746.05,6482.5,6645.0,6632.25,6616.99,216362,28298,67624,31.26
NAUKRI, EQ, 12-Oct-2021,6632.25,6632.25,6675.0,6560.1,6648.5,6660.95,6625.25,180116,24950,90208,50.08
NAUKRI, EQ, 13-Oct-2021,6660.95,6699.0,6840.0,6660.0,6795.0,6805.9,6761.15,308452,43893,143968,46.67
NAUKRI, EQ, 14-Oct-2021,6805.9,6830.0,7180.0,6819.85,6990.0,7008.85,7053.3,675707,87504,186516,27.6
NAUKRI, EQ, 18-Oct-2021,7008.85,7008.85,7131.6,6950.0,7048.0,7019.5,7020.85,220828,27912,73190,33.14
NAUKRI, EQ, 19-Oct-2021,7019.5,7266.0,7465.4,6621.3,6943.3,6931.55,7217.63,854356,96846,173602,20.32
NAUKRI, EQ, 20-Oct-2021,6931.55,6979.8,7088.9,6705.0,6929.0,6917.0,6908.2,506746,72764,167097,32.97
NAUKRI, EQ, 21-Oct-2021,6917.0,6986.15,7041.9,6590.6,6725.0,6729.55,6742.28,296735,42174,90566,30.52
NAUKRI, EQ, 22-Oct-2021,6729.55,6775.0,6850.0,6225.0,6275.1,6289.65,6458.03,556318,72813,183026,32.9
NAUKRI, EQ, 25-Oct-2021,6289.65,6270.0,6289.0,5870.95,5920.0,5955.7,5986.68,669605,84278,268644,40.12
NAUKRI, EQ, 26-Oct-2021,5955.7,5932.9,6150.0,5903.05,6100.0,6069.65,6057.65,246269,44772,84344,34.25
NAUKRI, EQ, 27-Oct-2021,6069.65,6148.9,6257.95,6081.75,6207.35,6216.45,6183.87,310037,38542,122379,39.47
NAUKRI, EQ, 28-Oct-2021,6216.45,6270.0,6270.0,6091.1,6131.0,6140.55,6171.58,189847,21950,67694,35.66
NAUKRI, EQ, 29-Oct-2021,6140.55,6178.0,6230.0,6045.15,6100.0,6075.35,6126.55,208118,30961,64818,31.14
NAUKRI, EQ, 01-Nov-2021,6075.35,6107.3,6325.95,6101.85,6298.0,6296.15,6227.68,294471,46865,89552,30.41
NAUKRI, EQ, 02-Nov-2021,6296.15,6296.15,6329.5,6125.0,6147.0,6135.95,6172.68,439175,30681,324746,73.94
NAUKRI, EQ, 03-Nov-2021,6135.95,6190.0,6239.45,6011.0,6064.0,6048.9,6075.15,326224,37548,168644,51.7
NAUKRI, EQ, 08-Nov-2021,6114.35,6171.0,6209.0,6062.0,6166.15,6156.05,6128.14,220858,26683,112822,51.08
NAUKRI, EQ, 09-Nov-2021,6156.05,6200.0,6240.0,6110.0,6219.0,6219.15,6181.84,381714,25729,192359,50.39
NAUKRI, EQ, 10-Nov-2021,6219.15,6219.15,6267.3,6120.1,6140.0,6131.75,6179.38,171145,26723,79000,46.16
NAUKRI, EQ, 11-Nov-2021,6131.75,6147.8,6170.0,6032.0,6139.95,6147.6,6099.57,143814,21731,51046,35.49
NAUKRI, EQ, 12-Nov-2021,6147.6,6169.0,6432.15,6120.05,6409.8,6406.5,6338.84,513495,53352,171938,33.48
NAUKRI, EQ, 15-Nov-2021,6406.5,6469.9,6549.0,6320.0,6328.0,6342.7,6411.35,445466,57928,142846,32.07
NAUKRI, EQ, 16-Nov-2021,6342.7,6348.0,6580.0,6330.0,6530.0,6533.45,6505.35,519430,61635,142205,27.38
NAUKRI, EQ, 17-Nov-2021,6533.45,6538.0,6637.15,6490.1,6555.0,6545.0,6577.02,386339,51568,110546,28.61
NAUKRI, EQ, 18-Nov-2021,6545.0,6597.0,6696.0,6371.0,6461.0,6485.9,6516.84,471710,65714,143237,30.37
NAUKRI, EQ, 22-Nov-2021,6485.9,6521.0,6561.45,5959.2,6064.9,6071.9,6141.84,588081,78017,191770,32.61
NAUKRI, EQ, 23-Nov-2021,6071.9,6030.0,6034.6,5840.0,5990.0,5996.2,5944.3,528429,71125,164095,31.05
NAUKRI, EQ, 24-Nov-2021,5996.2,6100.0,6133.95,5912.05,5942.95,5968.9,6016.3,405940,51425,136802,33.7
NAUKRI, EQ, 25-Nov-2021,5968.9,6016.9,6020.9,5910.0,5983.0,5952.85,5953.69,243081,28054,114880,47.26
