SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NHPC, EQ, 17-Sep-2021,28.1,28.15,28.15,27.15,27.65,27.7,27.62,8478012,13375,5078818,59.91
NHPC, EQ, 20-Sep-2021,27.7,27.65,28.0,27.45,27.8,27.95,27.86,5160370,15005,2793989,54.14
NHPC, EQ, 21-Sep-2021,27.95,28.1,28.1,27.25,27.35,27.45,27.63,3057872,7680,1470471,48.09
NHPC, EQ, 22-Sep-2021,27.45,27.7,27.7,27.2,27.2,27.3,27.36,2010083,6391,1045208,52.0
NHPC, EQ, 23-Sep-2021,27.3,27.4,28.1,27.25,27.75,27.75,27.71,8964666,21194,5377988,59.99
NHPC, EQ, 24-Sep-2021,27.75,27.75,28.2,27.75,27.85,27.95,27.98,6112661,19870,3230697,52.85
NHPC, EQ, 27-Sep-2021,27.95,28.05,28.1,27.35,27.65,27.75,27.84,2639851,7785,1445748,54.77
NHPC, EQ, 28-Sep-2021,27.75,27.8,28.9,27.7,28.3,28.3,28.29,15391270,23051,5787690,37.6
NHPC, EQ, 29-Sep-2021,28.3,28.9,29.55,28.4,29.35,29.3,28.93,49407780,39477,22639725,45.82
NHPC, EQ, 30-Sep-2021,29.3,29.7,30.1,29.4,29.75,29.85,29.84,16721645,43613,8860453,52.99
NHPC, EQ, 01-Oct-2021,29.85,29.8,29.8,28.8,29.1,29.1,29.19,8758023,24904,3758195,42.91
NHPC, EQ, 04-Oct-2021,29.1,29.5,29.9,29.35,29.6,29.7,29.67,5360130,13438,2854754,53.26
NHPC, EQ, 05-Oct-2021,29.7,29.9,30.2,29.8,30.1,30.1,30.08,13082841,19093,7489334,57.25
NHPC, EQ, 06-Oct-2021,30.1,30.25,30.35,30.0,30.2,30.25,30.24,11816465,20864,7441654,62.98
NHPC, EQ, 07-Oct-2021,30.25,30.65,30.85,30.4,30.55,30.55,30.61,5925842,15001,3014924,50.88
NHPC, EQ, 08-Oct-2021,30.55,31.0,31.0,30.35,30.5,30.6,30.69,5049101,14058,2583066,51.16
NHPC, EQ, 11-Oct-2021,30.6,31.0,31.0,30.4,30.55,30.55,30.81,7480325,16489,4334768,57.95
NHPC, EQ, 12-Oct-2021,30.55,30.6,30.75,29.95,30.1,30.1,30.16,4625421,13869,2478665,53.59
NHPC, EQ, 13-Oct-2021,30.1,30.4,30.4,29.05,29.45,29.3,29.58,7779181,19611,3625145,46.6
NHPC, EQ, 14-Oct-2021,29.3,29.65,31.2,29.55,30.9,30.9,30.7,14468309,24855,6905313,47.73
NHPC, EQ, 18-Oct-2021,30.9,31.6,37.05,31.15,35.55,35.5,35.43,99121664,139542,30033940,30.3
NHPC, EQ, 19-Oct-2021,35.5,36.2,36.65,33.5,34.45,34.05,35.18,32946758,63826,14217684,43.15
NHPC, EQ, 20-Oct-2021,34.05,34.25,34.25,32.05,32.25,32.3,32.95,11853827,28785,4380303,36.95
NHPC, EQ, 21-Oct-2021,32.3,32.8,33.15,30.75,31.1,31.1,31.82,12293127,28060,5781950,47.03
NHPC, EQ, 22-Oct-2021,31.1,31.5,32.75,31.0,32.75,32.4,31.97,17399594,45703,5760242,33.11
NHPC, EQ, 25-Oct-2021,32.4,32.9,33.15,31.5,32.25,32.4,32.32,11105504,26484,4369110,39.34
NHPC, EQ, 26-Oct-2021,32.4,32.3,32.8,31.3,31.7,31.5,31.98,12705415,18951,7938018,62.48
NHPC, EQ, 27-Oct-2021,31.5,31.85,32.15,31.4,31.7,31.6,31.7,5069463,14669,1738671,34.3
NHPC, EQ, 28-Oct-2021,31.6,31.95,32.15,30.9,31.2,31.1,31.52,6233438,18988,2309951,37.06
NHPC, EQ, 29-Oct-2021,31.1,31.15,31.15,30.1,30.9,30.7,30.61,6302140,15512,2371249,37.63
NHPC, EQ, 01-Nov-2021,30.7,31.0,32.1,30.85,32.05,31.95,31.58,4458450,18842,1760981,39.5
NHPC, EQ, 02-Nov-2021,31.95,32.0,32.25,31.5,31.7,31.6,31.87,3700476,15285,1482082,40.05
NHPC, EQ, 03-Nov-2021,31.6,31.85,31.85,30.2,30.35,30.4,30.88,7219594,19284,3969223,54.98
NHPC, EQ, 08-Nov-2021,30.95,31.2,32.15,30.85,32.0,31.95,31.6,6713458,22055,3549465,52.87
NHPC, EQ, 09-Nov-2021,31.95,32.0,32.85,31.9,32.75,32.6,32.28,5772115,17964,3116277,53.99
NHPC, EQ, 10-Nov-2021,32.6,32.7,33.2,32.1,32.25,32.25,32.6,4463155,15189,1626126,36.43
NHPC, EQ, 11-Nov-2021,32.25,32.35,32.4,31.75,32.05,32.05,32.04,4698113,16604,2034233,43.3
NHPC, EQ, 12-Nov-2021,32.05,32.35,33.1,32.1,32.25,32.3,32.56,10547305,20743,5952403,56.44
NHPC, EQ, 15-Nov-2021,32.3,32.3,32.65,31.7,31.95,31.8,32.14,4777578,17369,2582551,54.06
NHPC, EQ, 16-Nov-2021,31.8,32.0,34.7,31.8,33.95,33.9,33.55,22872229,53858,9075486,39.68
NHPC, EQ, 17-Nov-2021,33.9,34.0,34.85,32.85,33.2,33.15,33.95,14367451,33477,4876222,33.94
NHPC, EQ, 18-Nov-2021,33.15,33.25,33.55,32.05,32.55,32.6,32.52,11326550,32224,5078075,44.83
NHPC, EQ, 22-Nov-2021,32.6,32.9,32.9,31.2,31.45,31.35,31.75,8147305,21702,3574737,43.88
NHPC, EQ, 23-Nov-2021,31.35,31.3,31.95,30.7,31.65,31.6,31.48,5476269,15952,1962527,35.84
NHPC, EQ, 24-Nov-2021,31.6,31.9,32.15,31.15,31.25,31.25,31.64,7554572,41157,3246193,42.97
NHPC, EQ, 25-Nov-2021,31.25,31.35,31.4,30.9,31.15,31.1,31.11,4193270,40721,2253266,53.74
NHPC, EQ, 26-Nov-2021,31.1,30.95,31.2,30.5,30.65,30.65,30.85,5018226,14994,3135629,62.48
NHPC, EQ, 29-Nov-2021,30.65,30.0,30.85,29.1,30.35,30.3,30.04,7389085,28721,3188101,43.15
NHPC, EQ, 30-Nov-2021,30.3,30.35,31.3,30.3,31.2,31.1,30.91,5416702,14913,2789518,51.5
NHPC, EQ, 01-Dec-2021,31.1,31.35,31.8,31.1,31.8,31.55,31.33,5763012,26849,2700729,46.86
NHPC, EQ, 02-Dec-2021,31.55,31.8,32.4,31.8,32.3,32.25,32.14,6183580,17424,2732473,44.19
NHPC, EQ, 03-Dec-2021,32.25,32.5,33.7,32.35,32.5,32.55,32.92,11495189,25139,4778993,41.57
NHPC, EQ, 06-Dec-2021,32.55,32.7,33.65,32.45,33.55,33.4,33.16,18407697,28187,12158369,66.05
NHPC, EQ, 07-Dec-2021,33.4,33.7,34.5,33.3,33.5,33.55,33.87,6480043,22411,2709290,41.81
NHPC, EQ, 08-Dec-2021,33.55,34.1,34.9,33.6,33.8,33.7,33.92,6583659,20392,2389682,36.3
NHPC, EQ, 09-Dec-2021,33.7,34.3,34.3,32.8,32.85,32.9,33.32,7198862,23046,3852735,53.52
NHPC, EQ, 10-Dec-2021,32.9,32.9,33.0,31.9,32.2,32.1,32.14,12527829,21779,8331900,66.51
NHPC, EQ, 13-Dec-2021,32.1,32.35,32.6,31.5,31.8,31.85,32.1,5282213,16104,2907029,55.03
NHPC, EQ, 14-Dec-2021,31.85,31.6,32.0,31.5,31.65,31.65,31.73,2628857,10053,1183592,45.02
NHPC, EQ, 15-Dec-2021,31.65,31.75,32.2,30.85,31.2,30.95,31.43,8299994,25105,4718246,56.85
NHPC, EQ, 16-Dec-2021,30.95,31.35,31.5,30.8,30.95,30.9,31.08,6574893,18650,4069524,61.89
NHPC, EQ, 17-Dec-2021,30.9,30.9,31.7,30.3,31.55,31.4,30.96,6181243,18618,3192553,51.65
NHPC, EQ, 20-Dec-2021,31.4,31.15,31.15,29.25,29.3,29.4,29.99,7184222,21365,3579606,49.83
NHPC, EQ, 21-Dec-2021,29.4,29.75,31.35,29.65,30.75,30.95,30.54,5796186,29414,3252007,56.11
NHPC, EQ, 22-Dec-2021,30.95,30.9,31.15,30.35,30.9,31.0,30.89,4400281,12440,1634331,37.14
NHPC, EQ, 23-Dec-2021,31.0,31.05,31.35,30.8,30.9,30.9,31.02,2121388,8609,824168,38.85
NHPC, EQ, 24-Dec-2021,30.9,30.9,31.0,30.1,30.45,30.35,30.44,3175921,11258,1615347,50.86
NHPC, EQ, 27-Dec-2021,30.35,30.15,30.5,30.0,30.05,30.05,30.19,4479995,12675,2263872,50.53
NHPC, EQ, 28-Dec-2021,30.05,30.15,31.35,30.15,31.0,30.9,30.63,5134587,17241,2893192,56.35
NHPC, EQ, 29-Dec-2021,30.9,31.0,31.65,30.5,30.65,30.65,31.09,4706368,13220,2393342,50.85
