SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NMDC, EQ, 17-Sep-2021,152.1,152.0,152.1,146.05,147.95,147.4,147.84,20729611,90358,11412647,55.05
NMDC, EQ, 20-Sep-2021,147.4,143.2,143.2,135.0,135.1,136.0,139.42,22877537,129203,9772702,42.72
NMDC, EQ, 21-Sep-2021,136.0,136.0,138.75,133.55,138.25,138.1,136.56,15301311,70335,5309473,34.7
NMDC, EQ, 22-Sep-2021,138.1,139.0,145.7,137.35,144.65,144.6,142.0,20171139,94024,7121756,35.31
NMDC, EQ, 23-Sep-2021,144.6,146.75,146.75,142.0,142.85,142.9,143.94,10725591,58715,3675417,34.27
NMDC, EQ, 24-Sep-2021,142.9,143.6,145.05,139.3,139.85,140.0,141.63,10274492,55790,2599250,25.3
NMDC, EQ, 27-Sep-2021,140.0,140.95,141.35,138.6,139.45,139.85,139.95,7831476,39426,2828600,36.12
NMDC, EQ, 28-Sep-2021,139.85,140.05,142.9,139.15,140.55,140.5,140.86,9755704,52465,4041925,41.43
NMDC, EQ, 29-Sep-2021,140.5,139.05,144.85,139.05,143.0,142.9,142.39,13337719,66034,5074298,38.04
NMDC, EQ, 30-Sep-2021,142.9,145.25,148.4,142.65,143.0,143.0,144.81,18633153,98531,5066862,27.19
NMDC, EQ, 01-Oct-2021,143.0,142.3,145.4,140.95,143.8,143.65,143.62,11422428,53901,3796399,33.24
NMDC, EQ, 04-Oct-2021,143.65,144.8,148.7,143.1,148.4,148.4,146.18,15790438,71972,6052744,38.33
NMDC, EQ, 05-Oct-2021,148.4,148.0,149.55,146.1,146.4,146.65,147.56,16333090,73577,6256060,38.3
NMDC, EQ, 06-Oct-2021,146.65,147.5,148.85,142.8,143.0,143.35,145.61,10206727,46327,4450391,43.6
NMDC, EQ, 07-Oct-2021,143.35,144.85,146.15,143.45,144.55,144.35,144.62,7219473,29733,3228012,44.71
NMDC, EQ, 08-Oct-2021,144.35,145.45,149.05,144.35,145.2,145.6,146.2,9488844,43946,3073413,32.39
NMDC, EQ, 11-Oct-2021,145.6,146.4,154.0,146.0,154.0,153.05,150.87,27537045,121352,11106430,40.33
NMDC, EQ, 12-Oct-2021,153.05,154.8,154.8,149.3,152.0,151.6,151.72,17011149,87430,5608746,32.97
NMDC, EQ, 13-Oct-2021,151.6,151.6,155.0,150.4,151.6,151.6,152.94,15148397,66895,6336547,41.83
NMDC, EQ, 14-Oct-2021,151.6,152.8,154.4,152.3,153.25,153.55,153.38,9832276,50861,4531275,46.09
NMDC, EQ, 18-Oct-2021,153.55,155.6,159.6,155.25,157.55,157.55,157.58,23800882,105994,8157498,34.27
NMDC, EQ, 19-Oct-2021,157.55,158.95,158.95,151.5,152.3,152.35,155.23,14926631,57374,5219732,34.97
NMDC, EQ, 20-Oct-2021,152.35,152.5,152.85,148.15,149.4,149.15,149.94,12128714,67869,4861484,40.08
NMDC, EQ, 21-Oct-2021,149.15,150.0,150.3,144.2,146.15,145.95,146.86,14743150,61194,6977967,47.33
NMDC, EQ, 22-Oct-2021,145.95,146.6,147.0,141.0,142.25,142.5,143.42,9951415,59187,4017796,40.37
NMDC, EQ, 25-Oct-2021,142.5,143.0,143.95,138.8,140.0,140.5,141.27,8351888,55308,2852246,34.15
NMDC, EQ, 26-Oct-2021,140.5,140.8,143.3,139.75,142.95,142.55,141.38,10074890,53235,4756322,47.21
NMDC, EQ, 27-Oct-2021,142.55,143.0,143.95,140.0,140.4,140.3,141.95,9398554,41476,3875599,41.24
NMDC, EQ, 28-Oct-2021,140.3,140.3,142.25,133.1,134.9,134.55,137.96,27413882,79283,17528737,63.94
NMDC, EQ, 29-Oct-2021,134.55,133.7,144.8,133.6,142.95,143.15,141.62,38951500,129510,16105473,41.35
NMDC, EQ, 01-Nov-2021,143.15,144.0,146.65,143.4,145.8,145.65,145.1,13789878,58433,5214317,37.81
NMDC, EQ, 02-Nov-2021,145.65,145.5,145.5,141.6,142.1,141.85,142.55,11077501,51128,3948421,35.64
NMDC, EQ, 03-Nov-2021,141.85,142.45,143.35,141.0,141.7,141.9,142.05,7969183,28631,3995221,50.13
NMDC, EQ, 08-Nov-2021,142.35,144.0,146.1,141.65,145.2,145.25,144.27,7561559,31714,3469269,45.88
NMDC, EQ, 09-Nov-2021,145.25,146.0,148.5,144.8,147.55,147.8,146.8,10674592,47402,4598040,43.07
NMDC, EQ, 10-Nov-2021,147.8,146.65,147.05,144.0,144.4,144.25,144.82,7895109,34918,3483002,44.12
NMDC, EQ, 11-Nov-2021,144.25,145.1,145.8,142.8,144.75,144.65,144.41,7541905,46115,2703362,35.84
NMDC, EQ, 12-Nov-2021,144.65,147.0,147.65,142.25,142.9,143.05,143.87,11385732,62663,3383121,29.71
NMDC, EQ, 15-Nov-2021,143.05,143.8,143.95,140.0,140.3,140.2,141.55,5969923,37283,2818336,47.21
NMDC, EQ, 16-Nov-2021,140.2,141.0,141.9,138.5,138.8,139.45,140.48,5535853,32204,2212185,39.96
NMDC, EQ, 17-Nov-2021,139.45,139.0,140.55,137.35,138.15,138.2,139.1,8126177,42909,3846626,47.34
NMDC, EQ, 18-Nov-2021,138.2,138.25,139.25,135.3,135.85,135.8,136.8,8122655,49118,3640512,44.82
NMDC, EQ, 22-Nov-2021,135.8,136.45,137.2,133.15,136.2,135.6,135.14,8155718,49471,2633879,32.29
NMDC, EQ, 23-Nov-2021,135.6,136.3,143.6,136.15,141.9,142.25,140.9,25553102,110500,6642019,25.99
NMDC, EQ, 24-Nov-2021,142.25,143.25,144.75,141.5,142.1,143.0,143.43,10436743,39169,3752442,35.95
NMDC, EQ, 25-Nov-2021,143.0,142.8,143.65,141.35,143.2,143.0,142.67,6664853,29974,2437374,36.57
NMDC, EQ, 26-Nov-2021,143.0,140.5,142.75,135.5,135.8,135.9,138.52,10098003,50933,3832390,37.95
NMDC, EQ, 29-Nov-2021,135.9,136.0,138.0,130.8,135.15,134.95,135.33,9892425,43079,3358625,33.95
NMDC, EQ, 30-Nov-2021,134.95,135.5,137.7,132.4,132.65,132.85,134.98,7521233,50110,3106522,41.3
NMDC, EQ, 01-Dec-2021,132.85,132.85,138.5,132.75,137.55,137.6,135.66,11464138,48116,5187900,45.25
NMDC, EQ, 02-Dec-2021,137.6,137.75,142.3,135.8,142.3,141.6,139.48,25288901,60094,16037488,63.42
NMDC, EQ, 03-Dec-2021,141.6,143.5,147.5,142.6,145.85,145.95,145.37,29920870,109083,9532665,31.86
NMDC, EQ, 06-Dec-2021,145.95,145.0,145.0,141.5,143.4,142.95,143.61,23988384,95079,9315799,38.83
NMDC, EQ, 07-Dec-2021,142.95,144.9,146.3,144.05,145.55,145.3,145.37,13172576,47247,4875474,37.01
NMDC, EQ, 08-Dec-2021,145.3,146.0,147.5,146.0,147.0,146.95,146.85,10506147,44847,4896678,46.61
NMDC, EQ, 09-Dec-2021,146.95,147.2,148.2,146.25,147.2,147.05,147.18,11384949,41863,5667398,49.78
NMDC, EQ, 10-Dec-2021,147.05,147.0,148.45,146.6,148.15,147.9,147.55,10477407,39175,5517289,52.66
NMDC, EQ, 13-Dec-2021,147.9,149.4,150.1,146.7,147.65,147.5,148.03,14981099,55756,6890328,45.99
NMDC, EQ, 14-Dec-2021,147.5,138.8,140.35,137.5,138.6,138.65,138.75,16673360,80415,6695193,40.16
NMDC, EQ, 15-Dec-2021,138.65,139.0,141.4,137.65,137.9,137.85,139.23,9044645,45246,2585483,28.59
NMDC, EQ, 16-Dec-2021,137.85,138.9,139.0,135.25,136.7,136.45,136.73,6137597,32751,2421566,39.45
NMDC, EQ, 17-Dec-2021,136.45,136.5,136.9,134.2,135.1,134.95,135.35,6104584,35465,2213360,36.26
NMDC, EQ, 20-Dec-2021,134.95,133.7,133.7,127.9,130.4,130.5,130.56,11466406,52717,4923627,42.94
NMDC, EQ, 21-Dec-2021,130.5,125.0,134.8,125.0,133.45,133.3,133.26,9059473,37471,3281013,36.22
NMDC, EQ, 22-Dec-2021,133.3,134.4,134.7,132.85,134.25,133.95,133.72,4563582,28592,1772817,38.85
NMDC, EQ, 23-Dec-2021,133.95,134.75,137.0,134.5,134.8,134.95,135.52,4780545,21856,1536704,32.14
NMDC, EQ, 24-Dec-2021,134.95,135.9,135.9,131.8,132.6,132.6,132.9,3530507,23459,1401263,39.69
NMDC, EQ, 27-Dec-2021,132.6,132.5,134.05,130.5,132.0,132.5,132.52,4469638,24952,1297963,29.04
NMDC, EQ, 28-Dec-2021,132.5,133.25,133.45,132.4,132.75,132.7,132.9,3055856,16765,1236171,40.45
NMDC, EQ, 29-Dec-2021,132.7,131.7,133.45,130.7,131.5,131.4,131.7,4708795,27015,1805199,38.34
NMDC, EQ, 30-Dec-2021,131.4,132.0,132.1,129.8,131.6,131.4,131.08,12168630,41892,6148417,50.53
NMDC, EQ, 31-Dec-2021,131.4,131.6,134.4,131.15,133.5,133.3,133.06,4296127,20433,1847902,43.01
NMDC, EQ, 03-Jan-2022,133.3,134.4,135.6,133.6,134.8,135.3,134.68,3891035,23568,1521002,39.09
NMDC, EQ, 04-Jan-2022,135.3,136.0,136.5,134.35,135.85,135.8,135.49,3950622,21801,1517016,38.4
NMDC, EQ, 05-Jan-2022,135.8,135.8,138.9,135.25,138.45,138.6,137.57,4986657,26965,2219050,44.5
NMDC, EQ, 06-Jan-2022,138.6,138.3,139.75,137.65,138.6,138.65,138.73,5541434,33288,2119260,38.24
NMDC, EQ, 07-Jan-2022,138.65,139.5,139.65,136.9,138.55,138.65,138.42,3356602,20103,1053394,31.38
NMDC, EQ, 10-Jan-2022,138.65,140.05,141.2,139.3,140.2,139.95,140.17,5261751,43633,2676159,50.86
NMDC, EQ, 11-Jan-2022,139.95,140.0,140.4,136.1,136.5,136.45,137.69,5432123,31104,2791428,51.39
NMDC, EQ, 12-Jan-2022,136.45,139.0,142.25,138.05,141.1,141.3,141.1,11254966,68069,3158900,28.07
NMDC, EQ, 13-Jan-2022,141.3,142.1,146.45,141.0,145.9,146.05,144.73,12199243,61055,5300455,43.45
NMDC, EQ, 14-Jan-2022,146.05,145.15,146.9,144.3,145.5,145.95,145.47,5211695,31400,1833716,35.18
NMDC, EQ, 17-Jan-2022,145.95,146.4,146.4,143.5,144.7,144.8,144.57,4563962,27543,1343374,29.43
NMDC, EQ, 18-Jan-2022,144.8,145.3,145.65,139.7,140.4,140.05,142.17,6137008,39236,2853048,46.49
NMDC, EQ, 19-Jan-2022,140.05,140.35,143.1,139.8,141.9,141.6,141.61,4575686,24762,1314678,28.73
NMDC, EQ, 20-Jan-2022,141.6,142.0,144.95,141.35,143.3,143.25,143.36,6232345,33228,2268929,36.41
NMDC, EQ, 21-Jan-2022,143.25,143.0,143.3,138.4,140.0,139.75,140.65,4784547,28586,1807984,37.79
NMDC, EQ, 24-Jan-2022,139.75,139.75,139.75,133.05,133.55,133.95,135.39,6822893,42570,2567755,37.63
NMDC, EQ, 25-Jan-2022,133.95,133.65,137.35,132.8,135.8,135.65,135.52,4762403,31920,1611105,33.83
NMDC, EQ, 27-Jan-2022,135.65,135.0,136.55,132.8,134.85,134.2,134.19,10404432,40522,5689261,54.68
NMDC, EQ, 28-Jan-2022,134.2,136.35,141.15,135.0,138.45,138.1,138.4,9852710,39495,3610259,36.64
NMDC, EQ, 31-Jan-2022,138.1,140.3,141.35,138.1,139.5,138.95,139.46,6614820,32844,1784222,26.97
NMDC, EQ, 01-Feb-2022,138.95,140.9,146.0,138.7,145.3,145.5,143.22,11744700,58923,4420030,37.63
NMDC, EQ, 02-Feb-2022,145.5,146.5,151.2,145.3,150.5,150.5,148.34,19662509,77028,10572352,53.77
NMDC, EQ, 03-Feb-2022,150.5,150.75,154.95,149.8,153.3,153.95,153.28,26764867,90102,9964288,37.23
NMDC, EQ, 04-Feb-2022,153.95,154.4,155.45,152.6,153.2,153.4,154.02,12957277,52916,5498142,42.43
NMDC, EQ, 07-Feb-2022,153.4,153.9,155.95,152.5,153.7,153.95,154.46,11987318,110538,6017821,50.2
NMDC, EQ, 08-Feb-2022,153.95,154.5,155.35,150.35,153.05,153.4,152.55,12326734,44416,5117481,41.52
NMDC, EQ, 09-Feb-2022,153.4,153.0,157.65,152.8,155.5,155.7,155.11,17521097,66157,7435561,42.44
NMDC, EQ, 10-Feb-2022,155.7,156.25,160.5,156.1,159.0,159.3,159.26,18433104,113401,8496700,46.09
NMDC, EQ, 11-Feb-2022,159.3,158.9,161.4,157.1,157.85,158.15,159.26,15004288,70616,6994853,46.62
NMDC, EQ, 14-Feb-2022,158.15,156.0,157.3,152.0,152.35,152.75,155.03,13314771,71848,6933693,52.08
NMDC, EQ, 15-Feb-2022,152.75,153.25,153.25,144.1,149.4,149.3,147.54,17659797,77035,5585159,31.63
NMDC, EQ, 16-Feb-2022,149.3,151.95,154.45,149.05,152.4,152.7,152.32,13525671,59577,5206806,38.5
NMDC, EQ, 17-Feb-2022,152.7,147.9,148.0,144.0,144.6,144.65,146.01,12454932,60513,4263400,34.23
NMDC, EQ, 18-Feb-2022,144.65,144.6,145.7,141.55,142.1,142.15,143.23,6234795,36720,2000976,32.09
NMDC, EQ, 21-Feb-2022,142.15,141.0,143.4,139.65,140.2,140.05,141.16,4899102,31453,1505506,30.73
NMDC, EQ, 22-Feb-2022,140.05,137.0,140.5,135.9,140.25,140.05,138.27,11506176,71634,4964452,43.15
NMDC, EQ, 23-Feb-2022,140.05,141.4,144.7,140.75,142.45,142.75,143.13,10043690,52466,5442664,54.19
NMDC, EQ, 24-Feb-2022,142.75,139.0,140.5,133.8,134.85,134.45,137.43,12259007,70215,5059349,41.27
NMDC, EQ, 25-Feb-2022,134.45,139.0,142.0,138.2,141.1,141.0,140.57,10771799,70064,4314435,40.05
NMDC, EQ, 28-Feb-2022,141.0,140.9,144.2,139.4,143.1,143.15,142.46,6903025,39946,1997523,28.94
NMDC, EQ, 02-Mar-2022,143.15,143.9,151.7,142.7,150.8,151.1,149.38,18826666,93593,7269769,38.61
NMDC, EQ, 03-Mar-2022,151.1,155.0,156.4,151.7,152.8,152.6,153.56,11783592,62501,3497618,29.68
NMDC, EQ, 04-Mar-2022,152.6,151.25,153.75,147.6,147.7,148.1,150.99,8997783,73178,2727901,30.32
NMDC, EQ, 08-Mar-2022,153.05,155.0,155.0,149.0,152.7,153.25,151.9,14939858,76350,5524358,36.98
NMDC, EQ, 09-Mar-2022,153.25,154.9,155.0,152.0,152.7,152.8,153.38,7255636,52553,2533395,34.92
NMDC, EQ, 10-Mar-2022,152.8,153.25,154.0,150.3,152.9,153.25,152.03,8762674,48566,2801301,31.97
NMDC, EQ, 11-Mar-2022,153.25,153.0,158.0,152.85,157.0,157.3,156.7,16491139,85934,4579017,27.77
NMDC, EQ, 14-Mar-2022,157.3,157.3,159.4,153.6,156.0,156.25,156.81,12958038,48194,5531175,42.69
