SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NTPC, EQ, 17-Sep-2021,124.0,124.15,124.7,121.55,123.4,123.75,123.41,15763396,51067,8813710,55.91
NTPC, EQ, 20-Sep-2021,123.75,122.5,123.95,121.8,121.9,122.7,123.04,7431359,47856,3453156,46.47
NTPC, EQ, 21-Sep-2021,122.7,122.3,125.4,122.1,123.95,124.1,123.82,8629222,62492,3401018,39.41
NTPC, EQ, 22-Sep-2021,124.1,124.6,127.0,124.0,124.1,124.4,125.27,11698183,88112,4298027,36.74
NTPC, EQ, 23-Sep-2021,124.4,124.8,127.0,124.65,126.15,126.2,126.13,11053966,71113,6135788,55.51
NTPC, EQ, 24-Sep-2021,126.2,126.5,126.7,123.95,124.0,124.25,124.84,8598140,49190,5043150,58.65
NTPC, EQ, 27-Sep-2021,124.25,125.3,127.8,124.5,127.55,126.85,126.0,8490460,55836,4722495,55.62
NTPC, EQ, 28-Sep-2021,126.85,127.5,133.65,127.35,131.6,131.95,131.62,35900138,155824,13979397,38.94
NTPC, EQ, 29-Sep-2021,131.95,131.4,144.25,130.6,140.4,140.65,139.46,75859390,355026,29257264,38.57
NTPC, EQ, 30-Sep-2021,140.65,141.75,143.2,139.1,141.8,141.85,141.37,34614825,173139,11922502,34.44
NTPC, EQ, 01-Oct-2021,141.85,140.95,144.35,137.7,139.8,139.9,140.42,22452069,85203,6220929,27.71
NTPC, EQ, 04-Oct-2021,139.9,143.45,149.35,140.5,145.5,145.55,144.81,58612212,227650,24222616,41.33
NTPC, EQ, 05-Oct-2021,145.55,145.55,147.85,144.2,145.5,145.4,146.26,24390676,129484,8699030,35.67
NTPC, EQ, 06-Oct-2021,145.4,146.45,147.3,142.8,143.4,143.3,144.67,14421296,88043,6655069,46.15
NTPC, EQ, 07-Oct-2021,143.3,144.2,145.65,142.25,143.0,142.8,143.84,10035682,59608,3721615,37.08
NTPC, EQ, 08-Oct-2021,142.8,143.55,143.9,140.3,140.95,141.1,141.46,10686586,76418,5193183,48.6
NTPC, EQ, 11-Oct-2021,141.1,142.0,146.75,141.45,145.15,144.8,145.05,17449923,105918,7437731,42.62
NTPC, EQ, 12-Oct-2021,144.8,146.0,146.25,143.8,144.7,144.55,144.7,16030831,131072,9627513,60.06
NTPC, EQ, 13-Oct-2021,144.55,145.5,147.25,144.7,146.4,146.35,145.97,19100941,123479,9913880,51.9
NTPC, EQ, 14-Oct-2021,146.35,147.5,150.6,146.85,149.3,149.4,149.04,29263867,131692,17438768,59.59
NTPC, EQ, 18-Oct-2021,149.4,151.25,151.7,148.7,149.55,149.55,150.23,25346029,112055,17270137,68.14
NTPC, EQ, 19-Oct-2021,149.55,150.95,152.1,148.1,149.5,149.65,150.73,20234486,100324,8820317,43.59
NTPC, EQ, 20-Oct-2021,149.65,150.65,150.65,145.3,146.5,146.25,147.53,16129487,114373,8793303,54.52
NTPC, EQ, 21-Oct-2021,146.25,147.7,148.55,145.9,148.25,147.9,147.28,20818539,71392,13415334,64.44
NTPC, EQ, 22-Oct-2021,147.9,147.85,148.1,144.0,144.7,144.9,145.36,11379569,75736,6576863,57.8
NTPC, EQ, 25-Oct-2021,144.9,144.7,146.25,143.15,143.9,143.9,144.47,14079380,118611,7648070,54.32
NTPC, EQ, 26-Oct-2021,143.9,145.3,145.65,142.45,143.5,143.2,143.66,16224116,64062,10885895,67.1
NTPC, EQ, 27-Oct-2021,143.2,144.0,144.55,140.85,141.1,141.3,142.73,15072448,82438,9389916,62.3
NTPC, EQ, 28-Oct-2021,141.3,141.3,141.85,136.3,137.4,137.35,138.99,19999659,150976,11703624,58.52
NTPC, EQ, 29-Oct-2021,137.35,131.0,136.9,128.55,133.1,132.65,133.9,29217522,147316,13256265,45.37
NTPC, EQ, 01-Nov-2021,132.65,133.2,135.3,130.9,134.1,134.3,133.48,10043407,67112,4222136,42.04
NTPC, EQ, 02-Nov-2021,134.3,135.0,140.8,135.0,136.85,136.65,137.69,21525811,126588,4247800,19.73
NTPC, EQ, 03-Nov-2021,136.65,137.95,138.95,135.55,137.15,136.75,137.09,9808728,53841,4450143,45.37
NTPC, EQ, 08-Nov-2021,137.15,138.7,140.6,136.55,140.5,140.3,138.61,12765483,68123,6891295,53.98
NTPC, EQ, 09-Nov-2021,140.3,140.75,141.4,138.05,138.35,138.5,139.66,9556650,73088,4202400,43.97
NTPC, EQ, 10-Nov-2021,138.5,138.2,138.25,136.75,137.45,137.4,137.37,5479056,49548,2255260,41.16
NTPC, EQ, 11-Nov-2021,137.4,137.5,137.75,134.35,136.6,136.65,135.68,11418813,78681,7184593,62.92
NTPC, EQ, 12-Nov-2021,136.65,138.2,138.2,134.65,136.45,136.45,135.95,9306659,45177,4654194,50.01
NTPC, EQ, 15-Nov-2021,136.45,137.3,137.65,136.0,137.1,137.15,136.85,3991733,45118,1537892,38.53
