SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
OBEROIRLTY, EQ, 17-Sep-2021,771.05,775.0,779.3,735.0,741.05,741.0,751.36,593116,22152,305632,51.53
OBEROIRLTY, EQ, 20-Sep-2021,741.0,737.0,737.0,710.0,713.55,717.55,729.09,1011981,14347,838893,82.9
OBEROIRLTY, EQ, 21-Sep-2021,717.55,718.2,736.0,705.55,720.1,724.75,723.15,1065170,20314,535855,50.31
OBEROIRLTY, EQ, 22-Sep-2021,724.75,729.95,779.0,726.75,756.0,750.7,755.35,3025955,55693,1438419,47.54
OBEROIRLTY, EQ, 23-Sep-2021,750.7,760.0,888.65,760.0,849.0,847.3,837.26,7669511,198368,1672169,21.8
OBEROIRLTY, EQ, 24-Sep-2021,847.3,854.9,967.0,847.0,938.2,932.0,929.77,14671223,428912,2049084,13.97
OBEROIRLTY, EQ, 27-Sep-2021,932.0,936.0,976.0,904.05,945.0,948.8,946.08,5038193,139723,1109811,22.03
OBEROIRLTY, EQ, 28-Sep-2021,948.8,948.8,953.0,866.35,886.0,886.6,892.35,3411212,117871,998563,29.27
OBEROIRLTY, EQ, 29-Sep-2021,886.6,881.0,949.0,881.0,933.15,934.6,924.1,2206118,65519,737834,33.44
OBEROIRLTY, EQ, 30-Sep-2021,934.6,940.7,982.95,936.0,965.0,964.2,967.54,1499959,41028,620529,41.37
OBEROIRLTY, EQ, 01-Oct-2021,964.2,960.0,989.5,908.85,913.0,916.2,945.15,3896753,132976,1256514,32.25
OBEROIRLTY, EQ, 04-Oct-2021,916.2,922.0,941.95,905.0,917.95,917.5,926.83,2019471,56287,390746,19.35
OBEROIRLTY, EQ, 05-Oct-2021,917.5,921.9,924.0,882.25,885.95,886.7,898.95,1192687,38128,399398,33.49
OBEROIRLTY, EQ, 06-Oct-2021,886.7,893.7,894.7,848.6,857.5,857.7,865.29,1449763,49509,584410,40.31
OBEROIRLTY, EQ, 07-Oct-2021,857.7,867.05,952.0,867.05,935.3,937.45,921.04,5192469,118372,872508,16.8
OBEROIRLTY, EQ, 08-Oct-2021,937.45,980.0,980.0,906.0,916.0,917.8,931.46,4095012,112859,611062,14.92
